or_w,or_x,or_y,or_z
7.664271168277222435e-01,-4.633163110430255777e-02,6.378892425680857681e-01,-5.949931735972817382e-02
7.664270847594296665e-01,-4.633172737323608403e-02,6.378892773373593394e-01,-5.949928271664884499e-02
7.664257257273280333e-01,-4.634274786384882244e-02,6.378809089995420845e-01,-5.959784054547793281e-02
7.663577138208040873e-01,-4.642962320835240797e-02,6.378668521776977851e-01,-6.054769565389039876e-02
7.661059829485558081e-01,-4.661239066388299379e-02,6.379771155955811235e-01,-6.240278762496993120e-02
7.657883504957835319e-01,-4.695034584961224611e-02,6.382223625527121413e-01,-6.353017556392655252e-02
7.657912204620438423e-01,-4.752104242452695471e-02,6.383055029796650404e-01,-6.222252048910051347e-02
7.663522672617706366e-01,-4.813793707408446643e-02,6.379489939466865822e-01,-5.837827163770367006e-02
7.674640835451996823e-01,-4.867160346818611566e-02,6.371165550292104962e-01,-5.208119422280332173e-02
7.689024620330849880e-01,-4.945330056535051505e-02,6.359733672156236972e-01,-4.337339201716725046e-02
7.703574509832196160e-01,-5.109720195795547371e-02,6.346975248082897814e-01,-3.312892495893370731e-02
7.715700398321643227e-01,-5.459171837919944703e-02,6.333746380600577819e-01,-2.315136670025308777e-02
7.724778356897133991e-01,-5.962497088447291094e-02,6.320666013549224305e-01,-1.465154144789783917e-02
7.731970318651915086e-01,-6.535810251887896882e-02,6.307322760140396944e-01,-8.453658624459368942e-03
7.738195996752835759e-01,-7.143333482900562914e-02,6.293480235978032855e-01,-4.644461984982099258e-03
7.743930741197547762e-01,-7.744023664613389202e-02,6.279406376358330766e-01,-2.988663422025690779e-03
7.750228855415374207e-01,-8.236020430507991208e-02,6.265380856834825707e-01,-2.520083683437101402e-03
7.757292409058538230e-01,-8.563026748273112887e-02,6.252262090024673924e-01,-1.946707699352099447e-03
7.764023081146270711e-01,-8.792375726681211923e-02,6.240743472416406812e-01,-2.792441342159627236e-04
7.769283479725082042e-01,-9.014806290817274637e-02,6.230936192040674726e-01,3.163949713553649429e-03
7.772591080145992981e-01,-9.278994349798108665e-02,6.222457440390214423e-01,8.278853744070347950e-03
7.773860832460823822e-01,-9.653071916879633896e-02,6.214078924687639338e-01,1.431534175627722540e-02
7.773449485462132769e-01,-1.015407699029854949e-01,6.204920865789678164e-01,2.034388139153020178e-02
7.772589586401940087e-01,-1.074827142807584651e-01,6.194032430358408226e-01,2.560468435823915270e-02
7.771958967399399398e-01,-1.138808277404139979e-01,6.181472153282037141e-01,2.986160320120359243e-02
7.772155846986759098e-01,-1.199504538338094506e-01,6.168031263287454546e-01,3.319227135409637958e-02
7.772926701309977870e-01,-1.254712917371736958e-01,6.154406005726025253e-01,3.613761305431317794e-02
7.774060568267887605e-01,-1.303088708119996275e-01,6.141058817400528724e-01,3.915848578529901314e-02
7.774892485303563916e-01,-1.347234521287491160e-01,6.128159610992521822e-01,4.262226751610394965e-02
7.774793933246344491e-01,-1.389736339074556515e-01,6.115880716701771469e-01,4.660635820217583214e-02
7.773468359677838668e-01,-1.432945274896789689e-01,6.104058743925405706e-01,5.102199044983543597e-02
7.770695106976329702e-01,-1.479563962317156922e-01,6.092334226731687119e-01,5.573613779408245761e-02
7.766659279546402894e-01,-1.530465353383014815e-01,6.080392217516606967e-01,6.045741631044294212e-02
7.761517852412518348e-01,-1.586239399681826368e-01,6.067865545513145831e-01,6.509169802311552677e-02
7.756093530762979693e-01,-1.644411480007195170e-01,6.054261044582734952e-01,6.963097231298517875e-02
7.750993040421672031e-01,-1.702772263827134758e-01,6.039448316920841275e-01,7.400929212726331530e-02
7.746134852398055548e-01,-1.758511920226448477e-01,6.024287764418354563e-01,7.829352504293786430e-02
7.741463712907477035e-01,-1.809708429467559998e-01,6.009279285920047231e-01,8.265938820624621486e-02
7.736692898617648639e-01,-1.858224264541780413e-01,5.994048560742367693e-01,8.729074559251698284e-02
7.731255201459932280e-01,-1.906061629279360847e-01,5.978581795950573818e-01,9.225951356993306041e-02
7.724929808458855796e-01,-1.954375150461814536e-01,5.962644309539164578e-01,9.760891678332446475e-02
7.718164756479423128e-01,-2.002706996298816711e-01,5.946042993305811208e-01,1.031343880853309997e-01
7.711296906091346104e-01,-2.050988848885870741e-01,5.928727504537747439e-01,1.086063969013547070e-01
7.704296898159384011e-01,-2.099175828424358070e-01,5.910579775990125739e-01,1.141190982275590571e-01
7.696594799582767710e-01,-2.147009386557606203e-01,5.891964006031320533e-01,1.198974285254012645e-01
7.687828650570467381e-01,-2.192648192760747738e-01,5.873770786062377791e-01,1.260317934114660865e-01
7.678696644606584076e-01,-2.232531016826912462e-01,5.856497951825309078e-01,1.324709341432814824e-01
7.670051285438159727e-01,-2.266496882478041541e-01,5.839272793182751498e-01,1.391473466244128598e-01
7.661005852979978492e-01,-2.297464303873968383e-01,5.821826251191141166e-01,1.461843423206846404e-01
7.650547302181424092e-01,-2.326972244455896011e-01,5.804579341724744879e-01,1.536614726025601063e-01
7.638831033599897680e-01,-2.354147325001163249e-01,5.788012120381480496e-01,1.614052820268921384e-01
7.626406746957764549e-01,-2.377920356734073148e-01,5.772607432091609869e-01,1.691277133395799326e-01
7.612909251937126642e-01,-2.399420202335043051e-01,5.758194729019515679e-01,1.769064407275335038e-01
7.597901845169606760e-01,-2.419426077318186097e-01,5.744612170320154698e-01,1.848701171138960875e-01
7.581515129902341998e-01,-2.437769962223231557e-01,5.731804817832354404e-01,1.929849599481222588e-01
7.564404159835718122e-01,-2.452800079534929456e-01,5.719797577251154452e-01,2.011834275422645923e-01
7.547303085551846369e-01,-2.463391245762713566e-01,5.708438165258371555e-01,2.093717607162153549e-01
7.529571023991381562e-01,-2.470423931500876358e-01,5.697835846425644002e-01,2.176518426415013918e-01
7.511148572215037289e-01,-2.475482167316606363e-01,5.686993066855077217e-01,2.261137992903518024e-01
7.492150607858147904e-01,-2.479178527517155173e-01,5.675572334538838692e-01,2.347175275365263880e-01
7.472885709165110191e-01,-2.480675080362848839e-01,5.663901134314068830e-01,2.433609308031683405e-01
7.453921977339126315e-01,-2.479767603212197358e-01,5.651812452076302451e-01,2.519288748110316001e-01
7.435315709110023041e-01,-2.476678291765591067e-01,5.638955239912281092e-01,2.604674403303532948e-01
7.416047800331420081e-01,-2.472615300804378580e-01,5.625339988886183251e-01,2.691460311218721868e-01
7.396380558941328953e-01,-2.467821185484359303e-01,5.610749887007577819e-01,2.779010422656556512e-01
7.376601729354937964e-01,-2.460944929896948241e-01,5.595701384440575632e-01,2.866639669484474795e-01
7.356744981271482464e-01,-2.451710887024478591e-01,5.580345859997994928e-01,2.954176211701958765e-01
7.336762688958550216e-01,-2.441767576441690735e-01,5.564122767323309571e-01,3.041417790882761651e-01
7.315787924010690446e-01,-2.430777684978369935e-01,5.547253536517651185e-01,3.130262784288713740e-01
7.294636350212472253e-01,-2.418647435737056317e-01,5.528931238985993479e-01,3.220146651058961029e-01
7.273976289735435419e-01,-2.403793622212921921e-01,5.509984248523255301e-01,3.309247458139208398e-01
7.253172877293646570e-01,-2.384219711243169559e-01,5.491426129404957113e-01,3.398708379061054496e-01
7.231852613892059134e-01,-2.362302257045106602e-01,5.472667842414362660e-01,3.488515802444631109e-01
7.208155850466759773e-01,-2.339953070814304315e-01,5.454516882411855061e-01,3.579853969263631641e-01
7.182887181623694994e-01,-2.318117186505695426e-01,5.436247595848286984e-01,3.671467897493680410e-01
7.158028598256404029e-01,-2.295883695911254685e-01,5.418469699869202794e-01,3.759219434003778781e-01
7.134526025211516131e-01,-2.270400054476809093e-01,5.401319562031440258e-01,3.843119693299671402e-01
7.113490768455790203e-01,-2.242981865043519596e-01,5.382887679800371084e-01,3.923238670643617865e-01
7.094071271504758247e-01,-2.214216095591888811e-01,5.363069750096942645e-01,4.001110187488941539e-01
7.076159098022670735e-01,-2.182340866532979651e-01,5.341888875614528853e-01,4.077938695262204871e-01
7.059296327319931619e-01,-2.148464519125083405e-01,5.319368377652081703e-01,4.153884403300481809e-01
7.042396198298404020e-01,-2.112461079586958612e-01,5.295896074393262598e-01,4.230324898001159295e-01
7.026365006928551038e-01,-2.074933476191310466e-01,5.271355629610765536e-01,4.305537792768919236e-01
7.010089393157232784e-01,-2.036748985387835942e-01,5.246709235629393175e-01,4.379765115531576991e-01
6.993596523873827353e-01,-1.996962496132407561e-01,5.221181408978561311e-01,4.454325217677441162e-01
6.978737388539645314e-01,-1.956628900057964526e-01,5.194726186810313395e-01,4.525886394213183284e-01
6.964734088437304349e-01,-1.915154437183057834e-01,5.168639834174151293e-01,4.594542939584483343e-01
6.952062282661519710e-01,-1.871601166534853922e-01,5.141396672697384762e-01,4.661757109223593765e-01
6.941018756762975528e-01,-1.827479450092265589e-01,5.113989953980678793e-01,4.725429528449209826e-01
6.930521938596352349e-01,-1.782204173442348549e-01,5.087437612033705037e-01,4.786396607727377295e-01
6.920790373362499803e-01,-1.735942642867263352e-01,5.060031305199009788e-01,4.846157956469634986e-01
6.911073087269824500e-01,-1.688924324514368969e-01,5.032730039165047575e-01,4.904715257929270766e-01
6.901152090337918654e-01,-1.641174233039635888e-01,5.006057961450098848e-01,4.961857580527015421e-01
6.891927613762819371e-01,-1.592820425878312962e-01,4.978637585321336045e-01,5.017711096863201048e-01
6.882195732336428007e-01,-1.543532003804171937e-01,4.951518951955579118e-01,5.073002160798598670e-01
6.873436726986200673e-01,-1.493512677212373019e-01,4.923955113950133633e-01,5.126397709788762524e-01
6.866174443213264311e-01,-1.442692096735949392e-01,4.895848559108664233e-01,5.177350182830428027e-01
6.858423238968628377e-01,-1.390170168221092351e-01,4.868924943579591158e-01,5.227143337651228849e-01
6.851506686201624952e-01,-1.337704871703333520e-01,4.841311332739768880e-01,5.275329978744558446e-01
6.845350865969753729e-01,-1.284666040246058571e-01,4.813507727203275577e-01,5.321742951981051073e-01
6.839047082988117809e-01,-1.229989742190632368e-01,4.787117144009578329e-01,5.366383296067017694e-01
6.833810214104637515e-01,-1.175706275095297348e-01,4.759526913667704306e-01,5.409589288511045257e-01
6.828608833428462255e-01,-1.120410612495898323e-01,4.731520828707353465e-01,5.452292371740332655e-01
6.823701938384658661e-01,-1.064348541508985252e-01,4.704729431930745331e-01,5.492701977223755083e-01
6.820014121402008245e-01,-1.008428437223988644e-01,4.678292125769338838e-01,5.530285910948887773e-01
6.814806890444348175e-01,-9.515066241343111964e-02,4.654225984106489244e-01,5.566976080337395771e-01
6.806809077530485697e-01,-8.966459278751970352e-02,4.636700543936236873e-01,5.600391444170201849e-01
6.794974735730526794e-01,-8.450506497494550406e-02,4.628534896704339374e-01,5.629464668166239694e-01
6.778633958938758974e-01,-7.935467904767826153e-02,4.629872109741693387e-01,5.655500808017115411e-01
6.761232991262313696e-01,-7.422570954316792813e-02,4.639251572515540878e-01,5.675572895229124004e-01
6.742049467379823691e-01,-6.921344771420348541e-02,4.655752296990105510e-01,5.691194021822322258e-01
6.718761366718457584e-01,-6.433040880084457680e-02,4.676041139646568978e-01,5.707805603537663419e-01
6.694349324776813770e-01,-5.961566922757890324e-02,4.696842107683193435e-01,5.724505090539189212e-01
6.671736841547397656e-01,-5.486469297002753709e-02,4.717049162288128872e-01,5.739020932548206666e-01
6.651279627202539846e-01,-5.007964138427353079e-02,4.734074675406929611e-01,5.753105182448295940e-01
6.632680503411861883e-01,-4.569261956803631619e-02,4.747282663224173249e-01,5.767328246841204598e-01
6.615531077941735338e-01,-4.182023778727786412e-02,4.757775818615473384e-01,5.781299558726091803e-01
6.600413623921125295e-01,-3.795582584869718751e-02,4.765040852935791271e-01,5.795244705051175726e-01
6.589457017740054656e-01,-3.407535563762341402e-02,4.769637133922579042e-01,5.806333166110958510e-01
6.581365075825763578e-01,-3.059781967393834443e-02,4.772714678846532999e-01,5.814912353264138911e-01
6.574101936477346753e-01,-2.770703146512597942e-02,4.774261232526583743e-01,5.823301937315082943e-01
6.567041407453504398e-01,-2.517977422478143504e-02,4.776569548394825060e-01,5.830518707554007696e-01
6.561108066910439351e-01,-2.285866136594797218e-02,4.780260020337937510e-01,5.835128381821362842e-01
6.556459378237130542e-01,-2.087249193263149630e-02,4.784663374862887508e-01,5.837488391322441794e-01
6.552170682253932732e-01,-1.943800654410813081e-02,4.790185893791525373e-01,5.838269850194648392e-01
6.548000134174898346e-01,-1.867060084002507975e-02,4.796506245675631885e-01,5.838010187081502655e-01
6.544271282958209479e-01,-1.849702753929620067e-02,4.803131249857915397e-01,5.836799599858462084e-01
6.541620113579190710e-01,-1.886221410874643067e-02,4.810359724746047227e-01,5.833700994741579660e-01
6.538482879314275742e-01,-1.962183914993450434e-02,4.817942835070332386e-01,5.830708946410028126e-01
6.534618030642141973e-01,-2.072984339289845462e-02,4.825287871788575544e-01,5.828584005336739926e-01
6.530977864842433256e-01,-2.220413642848554150e-02,4.832212041526178226e-01,5.826384174358406609e-01
6.527072665518096617e-01,-2.382281260023763614e-02,4.837964548678488907e-01,5.825347097363214877e-01
