lin_vel_X,lin_vel_Y,lin_vel_Z
-1.333757249453439686e-05,-4.836144191710184672e-06,1.478786831679345659e-05
1.437490865058960528e-05,6.121317942176875960e-06,-2.453520095428086937e-05
-3.539836471259080785e-04,-1.756381520017783393e-04,2.242638248854257003e-03
-6.922873487149959655e-03,-7.531888486566188853e-03,1.219842316683004448e-02
5.106592494631590103e-04,-6.504223272420887880e-03,6.914496532923820535e-03
3.409874590140511696e-02,2.286608291308431587e-02,-1.247856735573828896e-02
6.599503997447633830e-02,6.988266097469582327e-02,-1.059019970323375401e-02
8.340730592220378659e-02,1.169882806826474664e-01,1.327240513681104614e-02
9.571569282295905312e-02,1.662762449272963683e-01,4.158034948641020634e-02
1.107276027662574963e-01,2.176323107188761763e-01,6.068124083557217135e-02
1.303086902688238569e-01,2.726217694439747596e-01,7.312659333580420751e-02
1.491021355502811507e-01,3.215673732601187496e-01,8.784244612708078104e-02
1.595036046924829254e-01,3.643093025135090701e-01,1.131345806908649054e-01
1.646629352229661558e-01,4.002851838388831185e-01,1.434438775812072464e-01
1.720472319231252933e-01,4.360723902320193801e-01,1.739189019322107399e-01
1.922367127670087383e-01,4.810193580957048964e-01,1.986173974641513018e-01
2.207923141444603221e-01,5.304356133987735422e-01,2.149950140125553855e-01
2.444989135282699400e-01,5.750053679675688478e-01,2.287963619097496404e-01
2.613769255860955432e-01,6.127151551552432185e-01,2.459895960439373863e-01
2.757308686917024354e-01,6.489671418568356831e-01,2.739864190931226018e-01
2.886345518461060355e-01,6.888310943214301929e-01,3.039022862932209690e-01
2.984701293540906741e-01,7.190373851509576086e-01,3.214756735882676741e-01
3.095846628049684912e-01,7.451338460589906898e-01,3.305211101823627984e-01
3.256974924717368491e-01,7.805727487905671502e-01,3.383920255579092040e-01
3.416994696851510249e-01,8.156855809020895354e-01,3.480534157468404555e-01
3.542645615863946329e-01,8.476627820704101257e-01,3.620670649750055703e-01
3.652810299594483889e-01,8.798836007605931320e-01,3.713540364440581776e-01
3.717280560331623351e-01,9.058476475750242285e-01,3.859364161278232563e-01
3.735970849789376769e-01,9.272300371353405790e-01,3.985527946339356142e-01
3.717177948538903376e-01,9.420301693076917893e-01,4.023598712482868711e-01
3.778170345612603676e-01,9.572211795598102313e-01,3.951830098108223832e-01
3.841147760647148912e-01,9.825222456819262540e-01,3.974120091794455245e-01
3.931293428043690086e-01,1.013039984019393991e+00,4.018072059411660346e-01
4.053108828552551834e-01,1.049363169513923388e+00,4.132549558038301485e-01
4.143704830015308427e-01,1.088563918847791578e+00,4.243248943501183867e-01
4.150353234635499877e-01,1.104499048058493749e+00,4.189545478436050852e-01
4.063354602216952549e-01,1.106585133403382493e+00,4.136699812928967268e-01
3.975562077086297608e-01,1.113196369171991718e+00,4.104812188605087564e-01
3.963094812868993566e-01,1.129500954060477458e+00,4.055131001883100494e-01
3.965799826092302194e-01,1.157866845486494656e+00,4.133831189188254540e-01
3.939155581822861851e-01,1.177634784602577422e+00,4.113103221584571423e-01
3.852562363150652813e-01,1.174368259307943863e+00,3.949182476369805239e-01
3.720514259343332131e-01,1.167254508187917983e+00,3.839706406405942740e-01
3.636856379273776252e-01,1.169065931265073299e+00,3.708225767981747079e-01
3.664748428135673475e-01,1.187842803603053277e+00,3.537234368843167887e-01
3.692466009284769979e-01,1.205392585540784323e+00,3.306023567180885747e-01
3.694481995696869969e-01,1.191710282108641827e+00,2.794846753734441802e-01
3.562242591492679744e-01,1.154049097098765575e+00,2.338559622779055325e-01
3.534356993583099849e-01,1.139954376368536249e+00,1.896427415796836380e-01
3.685042549127621747e-01,1.152963817173113359e+00,1.396784534518209775e-01
3.772495039865118027e-01,1.151201800864758651e+00,8.402901825959696591e-02
3.693586962444764810e-01,1.115852806983853585e+00,2.285217005914113447e-02
3.516152582356426026e-01,1.063298333682017649e+00,-2.715760544936262830e-02
3.478806331730479040e-01,1.034968633059804688e+00,-7.996994188534556347e-02
3.575075813766365185e-01,1.043496988788639168e+00,-1.323401107130590670e-01
3.533555701113756942e-01,1.028218766085466251e+00,-1.744216002267267862e-01
3.302388328912084781e-01,9.676781189434131569e-01,-2.181459155336378797e-01
3.100004765846694488e-01,9.137183718554463541e-01,-2.658450555062563669e-01
3.061202592240107601e-01,9.007502373697586773e-01,-3.066449951615760616e-01
3.055505671331195661e-01,8.963958784579885153e-01,-3.431597231875418985e-01
2.874619711737490535e-01,8.563141178676990650e-01,-3.805937156716449055e-01
2.582438725474595076e-01,7.817876417393648802e-01,-4.157918588910269331e-01
2.450685385628794122e-01,7.365517618552956947e-01,-4.620027309240919422e-01
2.398812021508644476e-01,7.391759462268812086e-01,-4.898821685614263011e-01
2.264437870323082469e-01,7.222928249660010014e-01,-5.082768772559975723e-01
2.023244356458358539e-01,6.569901985069064310e-01,-5.434969496346019335e-01
1.752940272675845845e-01,5.975479691873972765e-01,-5.690302097920523217e-01
1.633483809144038457e-01,5.817039069925241668e-01,-5.775865962088448935e-01
1.622674963278544769e-01,5.880068130057505282e-01,-6.110688270560955537e-01
1.465126646255949794e-01,5.596761001156332904e-01,-6.266023552294786025e-01
1.172880077615972572e-01,4.904674328900685554e-01,-6.357572477255705179e-01
8.262681266412194581e-02,4.124058471926264624e-01,-6.631281105577790935e-01
4.582973578630693268e-02,3.405603455200296170e-01,-6.594310220686608881e-01
2.355949712790282591e-02,2.841048923494279843e-01,-6.857230208323329412e-01
5.671998796823174427e-05,2.319506723398646886e-01,-7.000714861731215377e-01
-1.858290791686889598e-02,1.768724536031750505e-01,-7.069377104808823864e-01
-3.020968661954601120e-02,1.367106284921766890e-01,-7.348868382201135807e-01
-5.014330889369045252e-02,9.777621084071938529e-02,-7.349888148436199975e-01
-7.205118231784454763e-02,3.621021557777488742e-02,-7.597557873794488215e-01
-1.138509149883057125e-01,-5.118436667636645093e-02,-7.463397525203769867e-01
-1.493790055023394014e-01,-1.395333472467919222e-01,-7.604634002836951900e-01
-1.749137945726073340e-01,-1.987314842438178131e-01,-7.489860045522964693e-01
-1.946292243212217610e-01,-2.239019644635283912e-01,-7.564228121616312084e-01
-2.128995339201151527e-01,-2.586424154354672877e-01,-7.436658521931571730e-01
-2.444804596460289359e-01,-3.259186461608872820e-01,-7.403213139068616222e-01
-2.766436350763137320e-01,-4.011339629035236554e-01,-7.300398272473602734e-01
-2.970721258891815819e-01,-4.532466956367618427e-01,-7.295140168994904695e-01
-3.171435364018486691e-01,-4.838539486269561873e-01,-7.217690882648393202e-01
-3.368972379335390954e-01,-5.190315562136278427e-01,-7.078897684070677432e-01
-3.563714803993732194e-01,-5.749689299600270198e-01,-7.077004185826442084e-01
-3.818132250583684550e-01,-6.251499329968486229e-01,-6.930202831267815444e-01
-3.976740523910722303e-01,-6.662159083975190965e-01,-7.101266009163530457e-01
-4.240349778907707146e-01,-7.136194209251290888e-01,-6.801657371082266978e-01
-4.444308935807403937e-01,-7.620396996465658157e-01,-6.958811422327816354e-01
-4.657150443781424842e-01,-8.120118813020048565e-01,-6.937436178885132421e-01
-4.927904250554480114e-01,-8.585797190699907544e-01,-6.894594632259668510e-01
-5.158481981206638478e-01,-9.020600589873380981e-01,-6.882674025723967137e-01
-5.349460953185507517e-01,-9.396111073854530593e-01,-6.699532137688040123e-01
-5.559591094528608668e-01,-9.754804619400684329e-01,-6.938160364161125582e-01
-5.865144460636707580e-01,-1.027166567002774755e+00,-6.704951306562796365e-01
-6.046413318693983907e-01,-1.063171341194085739e+00,-6.726084335770532441e-01
-6.217079846687704192e-01,-1.084330686717233316e+00,-6.844834851832697353e-01
-6.432720150553353777e-01,-1.108284897701452776e+00,-6.757965771739986582e-01
-6.588779751265463336e-01,-1.133826641158607540e+00,-6.989486531906499156e-01
-6.824928477804077520e-01,-1.174748187951079492e+00,-6.913519335909147356e-01
-7.127237794513390234e-01,-1.216905459881186813e+00,-7.148083591827784078e-01
-7.312016031561361373e-01,-1.239175925881868201e+00,-7.443102411620257097e-01
-7.393055772277437043e-01,-1.235846985001537446e+00,-7.303446173444053668e-01
-7.447452601878624678e-01,-1.222725626218024386e+00,-7.802136108045608642e-01
-7.625590011587179973e-01,-1.232695153047459469e+00,-7.994180222653184398e-01
-7.835144984062361040e-01,-1.250013133508407481e+00,-7.957291925171100511e-01
-8.103181113609427833e-01,-1.270490485111893442e+00,-8.392894458689535986e-01
-8.377424333593765926e-01,-1.283921658529723731e+00,-8.352352100715425554e-01
-8.373798791606443803e-01,-1.243933037599267211e+00,-8.294881413691723715e-01
-8.471526628710456253e-01,-1.221729570096762085e+00,-8.331280762365991244e-01
-8.911467872360055997e-01,-1.262872280399146563e+00,-7.917239196315204453e-01
-9.198215818499483332e-01,-1.270879663220147116e+00,-7.567095154067523533e-01
-9.279681942992790145e-01,-1.243170307542176056e+00,-7.186971338255339070e-01
-9.413305939037768244e-01,-1.227740308300063754e+00,-6.692875615705865533e-01
-9.664812304207720528e-01,-1.238792150239067302e+00,-6.088578182240940162e-01
-9.970613685761356981e-01,-1.256889932644031038e+00,-5.492330931508866421e-01
-1.001303645962546618e+00,-1.231683509081621164e+00,-4.996709047975083084e-01
-9.906849268235060624e-01,-1.190454432097844073e+00,-4.382440990746971909e-01
-1.002884485451741137e+00,-1.189839898389026152e+00,-3.777174486546854837e-01
-1.013304125031767366e+00,-1.182476581019784145e+00,-3.372449135280571331e-01
-1.007411961995420491e+00,-1.147170625031842972e+00,-2.858845513569703845e-01
-9.924881055894784199e-01,-1.105000538695584122e+00,-2.230246118733520966e-01
-9.820769328170877444e-01,-1.069319979640105167e+00,-1.822646952975295054e-01
-9.925106766275078041e-01,-1.061367098635240813e+00,-1.492250568974175517e-01
-9.960630969237341814e-01,-1.040183209924907981e+00,-1.055845775736457132e-01
-9.889333165963947181e-01,-1.005435007003377512e+00,-6.396545268609743484e-02
-9.775705612661100830e-01,-9.704728960018066397e-01,-1.755999490978177660e-02
-9.655554249607901651e-01,-9.367717627731924068e-01,2.308831140419837988e-02
-9.571748199123202294e-01,-9.062433877918677494e-01,3.788582671583857336e-02
-9.622647810261674151e-01,-8.975452254318828649e-01,4.922035960349646633e-02
-9.581662962468543432e-01,-8.869247877919719247e-01,7.710937200363961186e-02
-9.205856278318006458e-01,-8.582456035953672790e-01,9.979041645043031095e-02
-8.584556982490652022e-01,-8.208599765251016755e-01,7.914685883895544727e-02
-8.013410857560367972e-01,-8.070329551119500566e-01,4.710806689547328285e-02
-7.579103583682784695e-01,-8.084778916122649095e-01,3.489214579160081209e-02
-7.013362604526087729e-01,-8.007462482605443022e-01,9.128578760721522273e-03
-6.378808527074203427e-01,-7.751266794398018467e-01,-4.296104531323819559e-02
-5.827674700822320641e-01,-7.531262102900149191e-01,-9.596532118717152060e-02
-5.419283799721164030e-01,-7.322375891335091147e-01,-1.367025941919845222e-01
-4.895859533590432577e-01,-6.861534544018508264e-01,-1.673268668889088817e-01
-4.294284523173022561e-01,-6.068347542046214071e-01,-1.899090659582059748e-01
-4.014977917578759770e-01,-5.440006300841270237e-01,-2.108476533831077637e-01
-4.048116213930229579e-01,-5.007637531884803206e-01,-2.099101199305895837e-01
-4.025122539068438088e-01,-4.567897168779839201e-01,-1.836287711692997648e-01
-3.717357765123918134e-01,-3.947668752421910621e-01,-1.663317263030640869e-01
-3.385552908290263563e-01,-3.395909358628936836e-01,-1.577440793029468435e-01
-3.149501447999921711e-01,-3.006408167886214788e-01,-1.382007827216317486e-01
-2.967388731871521412e-01,-2.711208634829089803e-01,-1.091640966757706221e-01
-2.704478592291259531e-01,-2.353078888408084435e-01,-7.128857849226956367e-02
-2.258036691497393722e-01,-1.832267952781028997e-01,-2.410305471522135312e-02
-1.818724121190888332e-01,-1.404917556612984841e-01,1.789123677133144796e-02
-1.439093764458631020e-01,-1.033696618870802858e-01,4.644223800759031406e-02
-1.108593462356142478e-01,-7.342485817532906633e-02,8.170270717731685506e-02
-8.383559422572789410e-02,-4.521353006997346630e-02,1.176937540397688942e-01
-6.691338581053020429e-02,-3.091820999589146163e-02,1.485091333646971490e-01
