pos_X,pos_Y,pos_Z
3.206225877253486845e-01,-3.450623922026241353e-01,8.585958466450361870e-01
3.206226452249977821e-01,-3.450623677173572101e-01,8.585957485042349235e-01
3.206212293774635680e-01,-3.450630703360164087e-01,8.586047190284157304e-01
3.205935426563083501e-01,-3.450932001873344701e-01,8.586535114661806301e-01
3.205955926332631489e-01,-3.451192173507742211e-01,8.586811648344053749e-01
3.207320026929891821e-01,-3.450277777820853764e-01,8.586312560867130905e-01
3.209960749158435878e-01,-3.447483287424097931e-01,8.585889283176649789e-01
3.213299610202378642e-01,-3.442805033575844220e-01,8.586421032850485302e-01
3.217133953254830425e-01,-3.436155943172090055e-01,8.588085966056339116e-01
3.221573919622178206e-01,-3.427453595268004638e-01,8.590515979101819299e-01
3.226805026467374216e-01,-3.416553080996732050e-01,8.593444778576780907e-01
3.232797158714440511e-01,-3.403696552454837931e-01,8.596962877679841242e-01
3.239214992267184234e-01,-3.389131991875963812e-01,8.601493960546442441e-01
3.245847799124120803e-01,-3.373129819294147791e-01,8.607239599329079560e-01
3.252784365464279071e-01,-3.355697897141363129e-01,8.614207098556554421e-01
3.260538617362609415e-01,-3.336470888006318747e-01,8.622165489443525122e-01
3.269446366885275790e-01,-3.315270724931673185e-01,8.630781814073827940e-01
3.279312632498342928e-01,-3.292290957621223368e-01,8.639953480695548027e-01
3.289863303255666782e-01,-3.267805737015415657e-01,8.649816146897372215e-01
3.300996545889829936e-01,-3.241874283795404543e-01,8.660803157515969408e-01
3.312655652723809352e-01,-3.214352551097692801e-01,8.672992372014343143e-01
3.324715474898720102e-01,-3.185625636390145288e-01,8.685888395941958606e-01
3.337225083875430265e-01,-3.155857549121391936e-01,8.699149498396934188e-01
3.350387086522670366e-01,-3.124675366060960524e-01,8.712729732610603461e-01
3.364196760679389331e-01,-3.092092636883790324e-01,8.726700979451671447e-01
3.378516126071690051e-01,-3.058235099065941820e-01,8.741237319759019853e-01
3.393282414136980507e-01,-3.023092445485934254e-01,8.756150509535436388e-01
3.408311506859485474e-01,-2.986915164310211535e-01,8.771651620509510749e-01
3.423419483071473146e-01,-2.949885561986335114e-01,8.787661421091422786e-01
3.438454868861518521e-01,-2.912264853362604988e-01,8.803826092506193968e-01
3.453736755144187209e-01,-2.874037168257933539e-01,8.819704552839836564e-01
3.469277149129699200e-01,-2.834799493944967774e-01,8.835675289163836821e-01
3.485186164193134206e-01,-2.794344186748807246e-01,8.851825969925569693e-01
3.501592955674337482e-01,-2.752441029252915006e-01,8.868439422334867261e-01
3.518373550343886769e-01,-2.708974411738933052e-01,8.885502145153767461e-01
3.535184572785834423e-01,-2.664870335297684356e-01,8.902351392816998388e-01
3.551647279209497188e-01,-2.620680742798415785e-01,8.918988523882983577e-01
3.567760931212302644e-01,-2.576224694681318317e-01,8.935498209669671121e-01
3.583833224794689687e-01,-2.531114902678042178e-01,8.951808183744121017e-01
3.599929479172936930e-01,-2.484871532335911348e-01,8.968434894492914866e-01
3.615927225673038481e-01,-2.437836542676916074e-01,8.984979931843024570e-01
3.631577335724146538e-01,-2.390927771002471225e-01,9.000866043794819582e-01
3.646695400187423552e-01,-2.344299395620273729e-01,9.016312146211171719e-01
3.661480034955725826e-01,-2.297594445076025504e-01,9.031230250563264672e-01
3.676388330871540600e-01,-2.250134876025706165e-01,9.045460641511429145e-01
3.691418450199632217e-01,-2.201969276301706802e-01,9.058762282365435681e-01
3.706450924351711307e-01,-2.154344060557368545e-01,9.070011501033010681e-01
3.720942370979264946e-01,-2.108216525883534753e-01,9.079424562590155956e-01
3.735319645439126313e-01,-2.062646760858191652e-01,9.087061287477128380e-01
3.750306244977192338e-01,-2.016554959540844960e-01,9.092694815312697409e-01
3.765647805076187127e-01,-1.970531488524430164e-01,9.096093498119988130e-01
