joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
8.349940982024565139e-01,-7.815835839811693941e-02,1.351053157962039286e+00,1.307938350913062209e+00,1.541975222954673486e+00,-9.481326713693108976e-01,1.592001212540352206e+00
8.349940982024565139e-01,-7.815835839811693941e-02,1.351053277735259073e+00,1.307938470795365182e+00,1.541974743512728452e+00,-9.481326713693108976e-01,1.592001212540352206e+00
8.349929597023701966e-01,-7.815895759146508637e-02,1.351056513575688678e+00,1.307918217449332676e+00,1.541966210772558021e+00,-9.481122981409756401e-01,1.591983475850015095e+00
8.349761818522899448e-01,-7.817501647497740458e-02,1.351037698271875032e+00,1.307800772062438721e+00,1.541895360004319038e+00,-9.479575219067534197e-01,1.591815636808104228e+00
8.349697103895971084e-01,-7.819119513170952329e-02,1.351087792384759290e+00,1.307722275334004536e+00,1.541733716859428949e+00,-9.476524634429613902e-01,1.591465637534204891e+00
8.350219016246582804e-01,-7.815314520873027637e-02,1.351383622965557363e+00,1.307832949716073223e+00,1.541562677909054546e+00,-9.473979185164890238e-01,1.591184307803314324e+00
8.351081880847843752e-01,-7.804540701587547868e-02,1.351966415781985065e+00,1.307976281062821711e+00,1.541571306642333772e+00,-9.475444855945839295e-01,1.591349210765094169e+00
8.351691278917943162e-01,-7.786558377975257017e-02,1.352773433446987861e+00,1.307967712259785698e+00,1.541859503262075215e+00,-9.482949377930927071e-01,1.592064609116447649e+00
8.351896208933493604e-01,-7.763608585518078087e-02,1.353796227148915898e+00,1.307757449063462918e+00,1.542427843028800316e+00,-9.498214283896661003e-01,1.593316421322819032e+00
8.351995078563013708e-01,-7.738345839105569002e-02,1.355047739813154850e+00,1.307405292671693475e+00,1.543207009493213100e+00,-9.522013756083447245e-01,1.595026749958205592e+00
8.352491225490572546e-01,-7.715108427296299420e-02,1.356570095833818046e+00,1.306949712322809098e+00,1.544118002246674948e+00,-9.554679158339368650e-01,1.597037642943648805e+00
8.353837653195500534e-01,-7.698941704252935947e-02,1.358375399505586500e+00,1.306359249547909274e+00,1.545080671057636357e+00,-9.594200135349473246e-01,1.599200615738705977e+00
8.355976237850448740e-01,-7.688527411884649165e-02,1.360385693297681442e+00,1.305540607117436691e+00,1.546103836296528478e+00,-9.639914560465357996e-01,1.601448137300454544e+00
8.358770959401981004e-01,-7.679707030545615543e-02,1.362523259553012567e+00,1.304454057410670886e+00,1.547199769722373830e+00,-9.690606634058981372e-01,1.603765227249775993e+00
8.362411167529597567e-01,-7.669112969264578472e-02,1.364765807689980237e+00,1.303102176860833739e+00,1.548369813493365443e+00,-9.745271477360502033e-01,1.606141279657150145e+00
8.367541015262920379e-01,-7.654024837881100163e-02,1.367169843179385946e+00,1.301549380879970519e+00,1.549636210609064424e+00,-9.803008476478641819e-01,1.608576354300103928e+00
8.374711775753870269e-01,-7.632770807323221995e-02,1.369752084093782685e+00,1.299870031402439174e+00,1.550987743489314896e+00,-9.863183666743277067e-01,1.611072967943415701e+00
8.383746683146835466e-01,-7.602714372317585789e-02,1.372442362852249964e+00,1.298082524416700467e+00,1.552433520309341120e+00,-9.925878539758752339e-01,1.613617937897094290e+00
8.394566640211038600e-01,-7.565029975824826003e-02,1.375191783728599626e+00,1.296156000319953261e+00,1.553987251154000493e+00,-9.990566390064002933e-01,1.616185797843886496e+00
8.407141687279072739e-01,-7.517728247932557728e-02,1.377983508877058449e+00,1.293994046142679544e+00,1.555631774375310750e+00,-1.005605838118623696e+00,1.618767379569242326e+00
8.421412502791392196e-01,-7.458717924225126417e-02,1.380799442178546999e+00,1.291576108887631635e+00,1.557389524609984255e+00,-1.012326950962058048e+00,1.621343748323377465e+00
8.437236473713316531e-01,-7.389892512405857317e-02,1.383606207592734672e+00,1.289011484781268813e+00,1.559271527277426239e+00,-1.019158198880823152e+00,1.623917360548128297e+00
8.454539896972280699e-01,-7.309945753522507916e-02,1.386390622429630071e+00,1.286370581060034990e+00,1.561247390435807514e+00,-1.026023062495441396e+00,1.626476292154059200e+00
8.473474971823868884e-01,-7.216133237320843108e-02,1.389180430115741549e+00,1.283663584338097241e+00,1.563335042456250212e+00,-1.033009326303951259e+00,1.629029411486338175e+00
8.494020128180213014e-01,-7.107705966661530261e-02,1.391978387180453636e+00,1.280875993765548726e+00,1.565538222357606202e+00,-1.040059465999602084e+00,1.631574021902191252e+00
8.516149598436598689e-01,-6.986143980748571458e-02,1.394776284140389899e+00,1.277966343810067462e+00,1.567849068478802232e+00,-1.047113320846727369e+00,1.634106588237222102e+00
8.539513444078400406e-01,-6.847935906205428191e-02,1.397545119513901035e+00,1.274967650974158762e+00,1.570268923152564389e+00,-1.054256278460889984e+00,1.636608355074227639e+00
8.564031370142641819e-01,-6.696281531504283402e-02,1.400284114120560419e+00,1.271837251666054547e+00,1.572806031663335213e+00,-1.061372810808459910e+00,1.639077105408727864e+00
8.589512828126791844e-01,-6.533338018148288073e-02,1.402976250345681963e+00,1.268585571937278500e+00,1.575452819631235846e+00,-1.068486946273554006e+00,1.641504150664466977e+00
8.615693566455754349e-01,-6.361532170101412420e-02,1.405603192523746658e+00,1.265285296133529913e+00,1.578202575916234141e+00,-1.075638772123802100e+00,1.643887513383404775e+00
8.642851617169885481e-01,-6.181595029428328669e-02,1.408213836053693546e+00,1.262043683136618633e+00,1.581044946527087491e+00,-1.082713299850478261e+00,1.646233725023927175e+00
8.671105625569938136e-01,-5.992825508277617452e-02,1.410841617080629051e+00,1.258768753985986422e+00,1.583981081635771337e+00,-1.089814072856668314e+00,1.648552253124550671e+00
8.700544873973696802e-01,-5.793527844749980088e-02,1.413511882148586585e+00,1.255439056948904675e+00,1.587006666962912815e+00,-1.096929286935238945e+00,1.650838423802626798e+00
8.731470166604906602e-01,-5.584031611549355317e-02,1.416273766530193434e+00,1.252000063794446172e+00,1.590139439242482133e+00,-1.103968940474589600e+00,1.653087802831029851e+00
8.763647810421976159e-01,-5.362317462733492274e-02,1.419107196866496556e+00,1.248433858063361379e+00,1.593353800079435167e+00,-1.111065818778558256e+00,1.655293080007279150e+00
8.796597238833395727e-01,-5.133976026047684660e-02,1.421935773551238347e+00,1.244898931141347642e+00,1.596665856419288820e+00,-1.118129380819722796e+00,1.657452457533164392e+00
8.829934356140287655e-01,-4.903237761427775565e-02,1.424705747315752946e+00,1.241397560137660339e+00,1.600081935604172889e+00,-1.125128228124876006e+00,1.659570729282719759e+00
8.863726874572566139e-01,-4.671199193791692600e-02,1.427445101460237842e+00,1.237900323600800156e+00,1.603574138895092149e+00,-1.132130970241333578e+00,1.661644419541827178e+00
8.898689052672501543e-01,-4.443367098722574016e-02,1.430273078951631360e+00,1.234441436638134881e+00,1.607162982811912944e+00,-1.139099677128419419e+00,1.663689767290160493e+00
8.935102521131197406e-01,-4.217806004256939578e-02,1.433232882906606998e+00,1.230895424257389514e+00,1.610831977134815851e+00,-1.146046512858341027e+00,1.665719175928201512e+00
8.972507683488082364e-01,-3.990962605483022035e-02,1.436244997978946447e+00,1.227342580985208986e+00,1.614568754286202168e+00,-1.153009946778513095e+00,1.667751041335327811e+00
9.010331695412534536e-01,-3.765850922390955036e-02,1.439223077821913943e+00,1.223927735988087351e+00,1.618380313036364537e+00,-1.159895722819122010e+00,1.669802500899445485e+00
