joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.000000000000000000e+00,-2.997057571563210843e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.678134073923587266e-04,-2.997057571563210843e-05,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.994330494665575770e-05,2.997057574338768404e-05,-1.198604862584495834e-04,0.000000000000000000e+00,0.000000000000000000e+00
-2.846250215793322269e-04,-1.497983370367383937e-04,8.089601074012797710e-04,-5.063336508126514701e-03,-2.133185042607621540e-03,5.093307083814391234e-03,-4.434172584277806806e-03
-4.194462520062947064e-03,-4.014720878079552913e-03,-4.703825953411566729e-03,-2.936134672348877928e-02,-1.771269205974590477e-02,3.869405855555507756e-02,-4.195976047771665662e-02
-1.617865673209095689e-03,-4.044664183029678117e-03,1.252352822106450603e-02,-1.962418210854632861e-02,-4.041078622252225472e-02,7.626461594800737487e-02,-8.749981847483434549e-02
1.304780876529298972e-02,9.512480744811729894e-03,7.395764519951830707e-02,2.766859551717182342e-02,-4.275973759360063298e-02,6.363623161809162099e-02,-7.033243272264178003e-02
2.157161503152371651e-02,2.693454821369942187e-02,1.456982041069254663e-01,3.583283668712189396e-02,2.157183319806410537e-03,-3.664176952372644180e-02,4.122574044496118972e-02
1.523495175248523736e-02,4.495580903072712853e-02,2.017544162506990091e-01,-2.142200759003287658e-03,7.204915493536079296e-02,-1.876130496271943837e-01,1.788495878383700166e-01
5.123250388761046992e-03,5.737448114294732560e-02,2.556984254820093838e-01,-5.256579908069491935e-02,1.420849416812752786e-01,-3.816226491433483137e-01,3.129530515928458101e-01
2.471740738002603521e-03,6.315686603127271259e-02,3.128781660597379499e-01,-8.803909794236064457e-02,1.947916161031959525e-01,-5.949868046696560331e-01,4.275821588466399703e-01
1.240367318897095394e-02,5.809352952317395347e-02,3.805890051657989659e-01,-1.138950872210942045e-01,2.277481883654619566e-01,-8.166350563980351307e-01,5.027232463608033441e-01
3.366069262319970612e-02,4.041680760840868358e-02,4.513259179421136302e-01,-1.476156937249561985e-01,2.406672027403522485e-01,-9.880244252526149129e-01,5.407431987642929982e-01
5.346461637370514275e-02,2.603573092071695405e-02,5.025734480237353807e-01,-2.046606076181456402e-01,2.557913097230302135e-01,-1.142860627897118730e+00,5.618803904371416635e-01
6.986803878830660786e-02,2.205095334758405690e-02,5.343915638327811912e-01,-2.716374266914511892e-01,2.739833564613380901e-01,-1.267301839840584421e+00,5.792724873303622957e-01
9.100520319041405237e-02,2.648515320259267614e-02,5.606370342419175756e-01,-3.379701374592869456e-01,2.925109427479033464e-01,-1.366621082538016507e+00,5.940131018435379495e-01
1.282461933330703019e-01,3.772032845869577322e-02,6.010088723514273035e-01,-3.881989952158049206e-01,3.165992789247451533e-01,-1.443424977953494670e+00,6.087686607384457105e-01
1.792690122737472525e-01,5.313507639469541854e-02,6.455602285991846045e-01,-4.198373693828361120e-01,3.378832200626180615e-01,-1.504379756615881192e+00,6.241534108279434001e-01
2.258726848241299212e-01,7.514108751409051545e-02,6.725696896168198435e-01,-4.468767464346767859e-01,3.614442050065558298e-01,-1.567371825386881801e+00,6.362424884196471453e-01
2.704989266050783492e-01,9.421099123189946578e-02,6.873552190874154810e-01,-4.816310241868015929e-01,3.884327111648433473e-01,-1.617196257631264844e+00,6.419649866980514652e-01
3.143761767008534935e-01,1.182543197306706872e-01,6.979312871147058672e-01,-5.404885443184292981e-01,4.111308053275641861e-01,-1.637299778055850696e+00,6.453954313389576036e-01
3.567703878079864221e-01,1.475258092685782785e-01,7.039833253721372586e-01,-6.044843137619770879e-01,4.394375586683763046e-01,-1.680278210858587862e+00,6.440921885337846930e-01
3.955992730481083797e-01,1.720635295481727500e-01,7.016913535469182506e-01,-6.411560265907056966e-01,4.705006668604960751e-01,-1.707811979691276072e+00,6.434030561877079890e-01
4.325855814741041971e-01,1.998668972083735007e-01,6.961037092238497870e-01,-6.602259303084556663e-01,4.939657895953186717e-01,-1.716215903654561004e+00,6.397329014827257687e-01
4.733768712897046260e-01,2.345312905041620211e-01,6.974519215278696116e-01,-6.767491804844372183e-01,5.219130051106746215e-01,-1.746565952127465682e+00,6.382798330697436739e-01
5.136289089086032433e-01,2.710681766482820887e-01,6.994892661780216514e-01,-6.968976431371287639e-01,5.507949753389973502e-01,-1.762534923912706386e+00,6.361526039632692253e-01
5.532367564096418722e-01,3.039049647823969802e-01,6.994742399840658820e-01,-7.274124888703159542e-01,5.777115302990076806e-01,-1.763463711781321219e+00,6.331415837577125671e-01
5.840961410450429270e-01,3.455201863578581389e-01,6.922088433777839889e-01,-7.496732089771751539e-01,6.049636684405390596e-01,-1.785739403540653747e+00,6.254417092513842036e-01
6.129481516060353297e-01,3.791359367528619462e-01,6.847486516648459975e-01,-7.825998270260536849e-01,6.342771276927061663e-01,-1.779133086892481508e+00,6.171875836250562131e-01
6.370364496037506097e-01,4.073587833899883215e-01,6.730340562803860394e-01,-8.129199321940117073e-01,6.616969919751580775e-01,-1.778533866273523945e+00,6.067613139347782791e-01
6.545184582240626270e-01,4.295146201171891054e-01,6.567355445161737748e-01,-8.250689509371467167e-01,6.874390712495737077e-01,-1.787956462562023674e+00,5.958406797344495409e-01
6.789512678532783063e-01,4.498428516827093770e-01,6.526608824867219383e-01,-8.104032492278201438e-01,7.105926527133377135e-01,-1.768631931669040203e+00,5.865529101305999582e-01
7.063502100013163698e-01,4.719238028767780424e-01,6.569452567338762705e-01,-8.187322876580527264e-01,7.340337771709615211e-01,-1.775193251547513285e+00,5.796320251558739756e-01
7.359812100939666646e-01,4.982441588190933968e-01,6.675662669893833723e-01,-8.324242592704367283e-01,7.563963317853694690e-01,-1.778803519642657704e+00,5.715426695190317652e-01
7.731323157802449941e-01,5.237405830015618990e-01,6.904710954017123647e-01,-8.597482886146257108e-01,7.831930698923295076e-01,-1.759913384837663575e+00,5.623447571007633705e-01
8.044410954267389169e-01,5.542853720396575534e-01,7.083575840757805331e-01,-8.915514327711981934e-01,8.035902092382585238e-01,-1.774219575992164177e+00,5.513192940623246052e-01
8.237357102854891977e-01,5.708535917145189931e-01,7.071441711854475898e-01,-8.837317305034342318e-01,8.280140849634132216e-01,-1.765890510291134863e+00,5.398443814713105304e-01
8.334279326722981995e-01,5.768456615497726814e-01,6.924934411286498559e-01,-8.753427509218258962e-01,8.540197962210172022e-01,-1.749711826288302685e+00,5.295679373888417807e-01
8.448129608069621099e-01,5.800964190902073714e-01,6.848385361212239175e-01,-8.743091342150455247e-01,8.730508227298150459e-01,-1.750685529114393013e+00,5.184225647768547773e-01
