action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.213768,0.665499,0.656017,0.703245,0.710856,-0.384064,0.220931
-0.557847,0.633085,0.671605,0.657187,0.677214,-0.461051,0.211853
-0.537716,0.560733,0.693657,0.685784,0.671227,-0.414168,0.387447
-0.567215,0.544175,0.687482,0.694124,0.667705,-0.395972,0.380374
-0.555461,0.573739,0.692956,0.696517,0.666608,-0.371125,0.371334
-0.474773,0.651333,0.702773,0.703682,0.671598,-0.30157,0.341723
-0.470378,0.676208,0.708564,0.6941,0.669082,-0.313002,0.308994
-0.459555,0.678257,0.709734,0.698105,0.670805,-0.304335,0.307754
-0.475025,0.674273,0.708026,0.697007,0.664737,-0.294345,0.31792
-0.466031,0.680855,0.709431,0.696889,0.668725,-0.290502,0.306855
-0.45956,0.686477,0.710517,0.69666,0.671023,-0.291577,0.297285
-0.461694,0.689995,0.710746,0.695487,0.670361,-0.292343,0.290614
-0.452988,0.693323,0.712003,0.697197,0.67157,-0.292475,0.289322
-0.453868,0.694761,0.712207,0.696952,0.670191,-0.294121,0.287973
-0.444947,0.696052,0.712817,0.69787,0.671658,-0.296313,0.28969
-0.442438,0.697292,0.712772,0.697602,0.672752,-0.295747,0.286989
-0.434356,0.699066,0.713038,0.698396,0.675484,-0.292406,0.284834
-0.4145,0.701709,0.714023,0.699564,0.680193,-0.290141,0.283612
-0.4078,0.703129,0.714864,0.698815,0.681695,-0.291134,0.28234
-0.39542,0.703677,0.715032,0.69894,0.684153,-0.29147,0.28331
-0.396044,0.703848,0.713766,0.698961,0.683608,-0.291895,0.283855
-0.399814,0.702942,0.712584,0.69886,0.682934,-0.292514,0.285622
-0.390296,0.702986,0.712196,0.699023,0.684954,-0.293053,0.286922
-0.392789,0.703116,0.711578,0.698633,0.684998,-0.293651,0.285683
-0.386831,0.703361,0.711589,0.69855,0.686392,-0.294272,0.285769
-0.385892,0.702885,0.710864,0.698043,0.687004,-0.295363,0.286525
-0.384024,0.703183,0.710586,0.697464,0.687828,-0.29545,0.285497
-0.38223,0.703672,0.710665,0.69749,0.688498,-0.293825,0.284135
-0.365945,0.704846,0.71186,0.697953,0.6913,-0.289999,0.284311
-0.364267,0.704883,0.711655,0.697598,0.691876,-0.289105,0.284232
-0.358351,0.705053,0.712173,0.697644,0.693165,-0.287848,0.284226
-0.351581,0.703399,0.711678,0.698484,0.694193,-0.286273,0.288844
-0.339968,0.702622,0.711593,0.699292,0.696114,-0.283444,0.291588
-0.348472,0.700701,0.710225,0.698737,0.695391,-0.284472,0.293784
-0.337902,0.699903,0.710827,0.699274,0.69691,-0.283568,0.296839
-0.330222,0.699385,0.710748,0.699583,0.698328,-0.282257,0.298301
-0.333021,0.699285,0.71057,0.698823,0.697938,-0.283508,0.298542
-0.335713,0.698923,0.710511,0.698404,0.697672,-0.284228,0.298982
-0.338833,0.698458,0.710387,0.698233,0.69738,-0.284442,0.299487
-0.341853,0.697958,0.710283,0.698056,0.697126,-0.284636,0.300029
-0.344818,0.697435,0.710178,0.697885,0.696891,-0.284817,0.300601
-0.347784,0.696877,0.710063,0.697718,0.69666,-0.284977,0.301229
-0.350665,0.696322,0.709933,0.697551,0.696415,-0.285134,0.301874
-0.353789,0.695763,0.709782,0.697383,0.696143,-0.285321,0.302457
-0.356933,0.695185,0.709626,0.697226,0.695867,-0.285493,0.303047
-0.360052,0.694603,0.709465,0.697082,0.695587,-0.285634,0.303628
-0.363135,0.694025,0.709302,0.696944,0.695303,-0.285758,0.304185
-0.366176,0.69344,0.709138,0.696815,0.695015,-0.285841,0.304732
-0.369135,0.692846,0.708976,0.696698,0.694727,-0.285861,0.305267
-0.372018,0.692267,0.708814,0.696586,0.69444,-0.285864,0.30577
-0.374804,0.691707,0.708655,0.696481,0.694156,-0.285852,0.306232
-0.377582,0.691147,0.7085,0.696369,0.693866,-0.285873,0.306696
-0.380363,0.690575,0.708342,0.696257,0.693571,-0.285901,0.307171
-0.383095,0.690009,0.708182,0.696148,0.693275,-0.285919,0.307633
-0.385593,0.689495,0.708037,0.696043,0.693005,-0.28598,0.30805
-0.38784,0.68905,0.70791,0.695928,0.692763,-0.286128,0.30841
-0.389849,0.688703,0.707803,0.695798,0.69253,-0.286283,0.308645
-0.391348,0.688522,0.707741,0.695682,0.692335,-0.286404,0.308675
-0.392858,0.688391,0.707674,0.695539,0.692116,-0.286572,0.308636
-0.39469,0.688228,0.707581,0.695353,0.691836,-0.286818,0.308623
-0.396665,0.688003,0.707471,0.695186,0.691542,-0.287042,0.308679
-0.398451,0.687758,0.707368,0.695085,0.691287,-0.287172,0.308762
-0.400127,0.687477,0.707261,0.69503,0.691062,-0.287243,0.308899
-0.401802,0.687145,0.707166,0.694991,0.690855,-0.287334,0.309124
-0.403511,0.686769,0.707059,0.694956,0.690652,-0.287419,0.309413
-0.405235,0.686374,0.70694,0.694923,0.690444,-0.287498,0.309746
-0.406844,0.685993,0.706825,0.694897,0.690253,-0.287556,0.310074
-0.408254,0.685649,0.706721,0.694883,0.690089,-0.287584,0.310371
-0.409519,0.685327,0.706623,0.694877,0.689946,-0.287596,0.310653
-0.410756,0.684996,0.706525,0.694876,0.689817,-0.287623,0.310938
-0.41211,0.684616,0.706414,0.694872,0.689678,-0.287675,0.311276
-0.413762,0.684141,0.706264,0.694879,0.68947,-0.287705,0.311776
-0.415551,0.683607,0.706101,0.694893,0.689245,-0.287728,0.312339
-0.417507,0.683017,0.705919,0.69491,0.688995,-0.287753,0.312956
-0.419745,0.682372,0.705711,0.694903,0.68869,-0.287793,0.313604
-0.42215,0.681662,0.705481,0.694903,0.68836,-0.287821,0.3143
-0.424681,0.68089,0.705226,0.694919,0.688016,-0.287821,0.315033
-0.427365,0.680053,0.70495,0.694938,0.687644,-0.287823,0.315826
-0.430237,0.679137,0.704648,0.694956,0.687236,-0.287831,0.316694
-0.433208,0.678148,0.704329,0.694988,0.686812,-0.287795,0.317613
-0.436205,0.677093,0.703997,0.695041,0.686387,-0.287702,0.318578
-0.43931,0.67592,0.703638,0.6951,0.68595,-0.287599,0.319675
-0.442469,0.67461,0.70326,0.695172,0.68552,-0.287478,0.320932
-0.445888,0.673001,0.702807,0.695222,0.685185,-0.28811,0.322438
-0.449722,0.671,0.702266,0.695234,0.68498,-0.289951,0.324205
-0.45367,0.668799,0.70169,0.695219,0.68457,-0.291952,0.326147
-0.457486,0.666512,0.701111,0.695241,0.684195,-0.293911,0.328148
-0.459879,0.664675,0.700723,0.695349,0.68405,-0.295295,0.329898
-0.462454,0.662776,0.700261,0.695367,0.683764,-0.296817,0.331732
-0.465109,0.660745,0.699768,0.695373,0.683465,-0.298426,0.333657
-0.467775,0.658634,0.69926,0.695391,0.683184,-0.300051,0.335604
