or_w,or_x,or_y,or_z
0.773912,-0.0525769,0.616991,-0.132734
0.773912,-0.0525769,0.616991,-0.132734
0.773911,-0.0525769,0.616991,-0.132734
0.773912,-0.052577,0.616991,-0.132734
0.774004,-0.0526683,0.617106,-0.13162
0.775209,-0.0524026,0.61707,-0.124617
0.778118,-0.0498967,0.616266,-0.11072
0.781841,-0.0457202,0.614728,-0.0935073
0.784801,-0.0413666,0.613587,-0.076734
0.786831,-0.0374719,0.612954,-0.0614817
0.787995,-0.0342498,0.612908,-0.0472705
0.788519,-0.0304099,0.613326,-0.0338132
0.788472,-0.0264452,0.614161,-0.0204679
0.788204,-0.0223505,0.614966,-0.00722581
0.787788,-0.0184717,0.615642,0.00577196
0.78719,-0.014772,0.616241,0.0189798
0.786186,-0.0104966,0.617062,0.0321699
0.784599,-0.0060528,0.61826,0.0460587
0.782651,-0.000968825,0.619594,0.059663
0.780369,0.00382333,0.620963,0.0735874
0.777867,0.00835693,0.622268,0.0873826
0.775361,0.0130315,0.623242,0.101066
0.772616,0.0175266,0.624078,0.115256
0.769745,0.0222737,0.624706,0.129379
0.766593,0.0272229,0.625306,0.143484
0.763197,0.0321452,0.625783,0.157772
0.75958,0.037209,0.626153,0.172005
0.755768,0.0426634,0.626462,0.185849
0.75153,0.0484497,0.626906,0.199611
0.747015,0.0546728,0.627321,0.213185
0.74228,0.0614041,0.62776,0.226202
0.737346,0.0682194,0.628099,0.239081
0.732124,0.075114,0.628416,0.251884
0.726865,0.0824316,0.628512,0.264282
0.724098,0.0860844,0.628579,0.270483
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
0.721244,0.0898637,0.628616,0.276719
