pos_X,pos_Y,pos_Z
0.316458,-0.332995,0.904051
0.316458,-0.332995,0.904051
0.316458,-0.332995,0.904051
0.316458,-0.332995,0.904051
0.316868,-0.33268,0.903721
0.319059,-0.330922,0.902099
0.322485,-0.328544,0.89868
0.326594,-0.326092,0.893947
0.331054,-0.323613,0.888488
0.335213,-0.321232,0.883025
0.339593,-0.31838,0.87765
0.344062,-0.315527,0.871994
0.349244,-0.312074,0.865987
0.354574,-0.308453,0.859841
0.360081,-0.304536,0.853845
0.365818,-0.300299,0.847788
0.371612,-0.296156,0.841201
0.377936,-0.291543,0.833856
0.384108,-0.287146,0.826094
0.390562,-0.282257,0.818159
0.397075,-0.27709,0.810302
0.403246,-0.272064,0.802576
0.409465,-0.266698,0.794713
0.415385,-0.261466,0.786819
0.421185,-0.256215,0.778705
0.426907,-0.250789,0.770498
0.432443,-0.245364,0.762191
0.43771,-0.240164,0.753728
0.442976,-0.234864,0.744841
0.44803,-0.229678,0.735677
0.452816,-0.224769,0.726276
0.457523,-0.21975,0.716832
0.462178,-0.214543,0.707223
0.466442,-0.209644,0.697601
0.468589,-0.207071,0.692715
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
0.470654,-0.204493,0.687731
