lin_vel_X,lin_vel_Y,lin_vel_Z
-8.85577e-06,-9.43387e-06,-3.14259e-06
-8.85577e-06,-9.43387e-06,-3.14259e-06
2.10386e-05,1.65761e-05,-8.37064e-06
6.296e-06,-2.50385e-06,-2.37429e-05
0.0711829,0.0551159,-0.0570197
0.262618,0.211103,-0.19866
0.356464,0.239006,-0.378745
0.438449,0.259042,-0.511032
0.414311,0.226448,-0.531408
0.425071,0.258988,-0.545528
0.440981,0.290279,-0.546867
0.452319,0.28485,-0.587547
0.529497,0.358626,-0.604152
0.528773,0.362783,-0.602171
0.568564,0.415905,-0.599115
0.559242,0.405125,-0.626171
0.585527,0.418563,-0.678831
0.632165,0.46346,-0.744642
0.621366,0.449444,-0.782547
0.651657,0.505406,-0.79717
0.634617,0.506772,-0.787593
0.605402,0.496716,-0.777923
0.613074,0.538596,-0.79191
0.58267,0.519252,-0.797841
0.579706,0.534807,-0.813739
0.565337,0.54633,-0.823406
0.539268,0.533259,-0.840586
0.514029,0.509118,-0.857594
0.519603,0.52724,-0.905485
0.495542,0.512193,-0.919122
0.47414,0.491169,-0.945604
0.472133,0.516028,-0.946989
0.452335,0.515784,-0.97386
0.412043,0.483893,-0.970714
0.423109,0.512472,-0.980105
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
0.406627,0.513405,-0.99949
