joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.786604,5.11127e-05,1.32637,1.2274,1.60562,-0.907443,1.57076
0.786604,5.11127e-05,1.32637,1.2274,1.60562,-0.907443,1.57076
0.786604,5.12326e-05,1.32637,1.2274,1.60562,-0.907443,1.57076
0.786604,5.11127e-05,1.32637,1.2274,1.60562,-0.907443,1.57076
0.786655,0.000200496,1.32716,1.22821,1.6062,-0.908164,1.57133
0.786109,0.00111591,1.33221,1.23278,1.61187,-0.911884,1.57535
0.783364,0.00188626,1.34244,1.24282,1.62528,-0.917755,1.58331
0.778745,0.0019433,1.35699,1.2568,1.64333,-0.92309,1.59155
0.772724,0.00215584,1.37367,1.2723,1.66065,-0.927334,1.59837
0.765656,0.00305076,1.38983,1.28739,1.67628,-0.932077,1.60433
0.758202,0.00583871,1.40503,1.30195,1.69109,-0.937688,1.61028
0.750094,0.0104746,1.41905,1.31699,1.70627,-0.943095,1.61681
0.741739,0.0171492,1.43324,1.33262,1.72217,-0.948216,1.62369
0.733057,0.0246215,1.44755,1.34838,1.73886,-0.953412,1.63044
0.724229,0.032747,1.46219,1.36353,1.75599,-0.958604,1.63699
0.715729,0.0410316,1.47739,1.37851,1.77327,-0.963835,1.64345
0.707348,0.049516,1.4926,1.39429,1.79046,-0.968622,1.64997
0.699635,0.058438,1.50856,1.41125,1.80759,-0.973368,1.65667
0.691914,0.0676341,1.5241,1.42874,1.82479,-0.977815,1.66343
0.684723,0.0771985,1.54015,1.44614,1.84208,-0.982609,1.6702
0.677828,0.0871841,1.55623,1.46289,1.85947,-0.987695,1.67694
0.670998,0.0968321,1.57213,1.47917,1.87709,-0.992984,1.68366
0.664635,0.106281,1.58862,1.49543,1.89481,-0.99877,1.69042
0.658288,0.115503,1.60498,1.51155,1.91267,-1.00474,1.69725
0.65197,0.124844,1.6214,1.52781,1.93061,-1.01093,1.70414
0.645892,0.134107,1.63812,1.54397,1.94859,-1.01747,1.71108
0.639872,0.143329,1.65489,1.56008,1.96659,-1.02423,1.71807
0.633597,0.152686,1.67147,1.57623,1.98466,-1.03096,1.72503
0.627258,0.162398,1.68846,1.59277,2.00273,-1.03758,1.73202
0.620771,0.172141,1.70559,1.6096,2.02081,-1.0441,1.73907
0.614029,0.182154,1.72245,1.62654,2.03888,-1.05039,1.74609
0.607459,0.192287,1.73953,1.6432,2.057,-1.05661,1.75314
0.601218,0.202562,1.75685,1.65981,2.07512,-1.0628,1.76018
0.594929,0.212674,1.77379,1.67637,2.09333,-1.06888,1.76723
0.591937,0.217829,1.78242,1.68462,2.10242,-1.07192,1.77077
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
0.589031,0.222885,1.79109,1.69307,2.11151,-1.07497,1.77433
