joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.765227,0.066601,1.39197,1.29773,1.6767,-0.945849,1.59285
0.730819,0.0633597,1.39353,1.29312,1.67334,-0.953548,1.59195
0.732832,0.0561246,1.39574,1.29598,1.67274,-0.94886,1.60951
0.729883,0.0544686,1.39512,1.29682,1.67239,-0.94704,1.6088
0.731109,0.0575744,1.39646,1.29786,1.67286,-0.945277,1.60846
0.738632,0.0662492,1.40249,1.30315,1.67903,-0.942041,1.60953
0.736326,0.0695071,1.4133,1.31223,1.69219,-0.949055,1.61421
0.73279,0.069769,1.42797,1.32661,1.71041,-0.953523,1.62233
0.725221,0.0695831,1.44447,1.342,1.72712,-0.956768,1.63016
0.719053,0.0711363,1.46077,1.35708,1.74315,-0.961128,1.63501
0.712246,0.0744864,1.47608,1.37161,1.7582,-0.966846,1.64001
0.703924,0.0794742,1.49013,1.38654,1.77331,-0.972329,1.64588
0.69644,0.0864815,1.50444,1.40233,1.78933,-0.977463,1.65262
0.68767,0.0940976,1.51877,1.41807,1.80588,-0.982824,1.65924
0.679734,0.102352,1.53347,1.43332,1.82316,-0.988235,1.66596
0.671485,0.110761,1.54867,1.44827,1.84054,-0.993409,1.67215
0.663913,0.119423,1.5639,1.46413,1.858,-0.997863,1.67846
0.658185,0.128609,1.57996,1.48121,1.87561,-1.00238,1.68503
0.651134,0.137947,1.59558,1.49862,1.89296,-1.00693,1.69167
0.645181,0.147566,1.61166,1.51603,1.9105,-1.01176,1.69853
0.638224,0.157569,1.62761,1.53279,1.92783,-1.01688,1.70532
0.631017,0.167126,1.64339,1.54905,1.94538,-1.02224,1.71222
0.625605,0.17658,1.65984,1.56533,1.96331,-1.02808,1.71911
0.619009,0.185814,1.67614,1.58141,1.98117,-1.03411,1.72582
0.613287,0.19518,1.69256,1.59766,1.99925,-1.04036,1.73271
0.607303,0.204395,1.70921,1.61378,2.01729,-1.04701,1.73974
0.601469,0.213647,1.72595,1.62983,2.03537,-1.05377,1.74662
0.595374,0.223053,1.74253,1.64598,2.05351,-1.06034,1.75344
0.590663,0.232883,1.75965,1.66257,2.07186,-1.06658,1.76046
