joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-2.39771e-05,3.59547e-05,-4.79541e-05,0,-3.83633e-05,0,2.39552e-05
-2.39771e-05,3.59547e-05,-4.79541e-05,0,-3.83633e-05,0,2.39552e-05
2.39759e-05,4.79518e-05,-2.39759e-05,0,-9.58862e-05,0,2.39541e-05
-1.1977e-05,2.39759e-05,-1.1977e-05,5.99289e-05,3.83615e-05,-2.39541e-05,8.3883e-05
0.00790941,0.0258254,0.13905,0.140895,0.104481,-0.125831,0.09858
-0.0946013,0.109246,0.63582,0.573276,0.762697,-0.452478,0.51839
-0.336425,0.0564564,1.1402,1.12267,1.51792,-0.599653,0.85545
-0.488789,0.000934733,1.56329,1.49164,1.84152,-0.510265,0.792079
-0.657835,0.0251663,1.64034,1.50934,1.6845,-0.39148,0.645875
-0.709821,0.128684,1.61069,1.49536,1.52645,-0.509606,0.584469
-0.75693,0.325244,1.49201,1.46793,1.47604,-0.570196,0.607898
-0.825059,0.504824,1.38639,1.54515,1.53195,-0.536773,0.672144
-0.839811,0.704345,1.42934,1.55917,1.61212,-0.507376,0.684823
-0.882738,0.774331,1.4217,1.53673,1.68598,-0.50323,0.662053
-0.865768,0.828103,1.50351,1.49775,1.71953,-0.525089,0.652334
-0.852914,0.809435,1.50981,1.53144,1.72884,-0.517264,0.652341
-0.828346,0.858475,1.53272,1.60341,1.71952,-0.47195,0.655637
-0.764157,0.905419,1.59468,1.69782,1.71473,-0.465934,0.666999
-0.762647,0.93671,1.56351,1.74135,1.7242,-0.443655,0.672535
-0.69974,0.965173,1.62624,1.72627,1.73452,-0.486008,0.679271
-0.690261,0.985991,1.59832,1.66831,1.75235,-0.512386,0.678612
-0.682435,0.957036,1.58849,1.62557,1.76857,-0.531298,0.672092
-0.62703,0.931797,1.65747,1.62548,1.77427,-0.592599,0.678624
-0.636294,0.927207,1.63012,1.61333,1.78309,-0.603049,0.680769
-0.622884,0.942319,1.65588,1.61065,1.79354,-0.625952,0.685646
-0.600532,0.920915,1.68244,1.60919,1.80121,-0.659904,0.696912
-0.60686,0.918134,1.67146,1.62128,1.80322,-0.676251,0.70004
-0.637666,0.939434,1.65317,1.62424,1.81023,-0.663875,0.696423
-0.636432,0.980299,1.70494,1.66972,1.80183,-0.65279,0.698976
-0.654839,0.984781,1.70761,1.66807,1.80471,-0.644509,0.699875
-0.673138,1.0184,1.68663,1.68114,1.8001,-0.620625,0.698844
-0.64095,1.02235,1.7291,1.64837,1.8113,-0.620109,0.708515
-0.621344,1.02649,1.73112,1.67681,1.81314,-0.617833,0.707748
-0.627096,1.00481,1.69273,1.66591,1.82377,-0.607778,0.707401
-0.598447,1.03108,1.72643,1.64968,1.81683,-0.607448,0.708465
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
-0.581066,1.01125,1.73434,1.69118,1.81909,-0.609312,0.711955
