ball_qw,ball_qx,ball_qy,ball_qz
0.999794,-0.0139076,-0.00144172,-0.014735
0.999806,-0.0137349,-0.00214452,-0.0139208
0.999793,-0.0136151,-0.0014051,-0.0150598
0.999691,-0.0178915,-0.00143212,-0.0171915
0.999839,-0.0123986,-0.000953813,-0.0129696
0.999778,-0.0136713,-0.00243312,-0.0158279
0.999774,-0.0145727,-0.00220146,-0.0153572
0.999804,-0.0145803,-0.00234589,-0.0132171
0.999823,-0.0133723,-0.00203929,-0.0130732
0.999824,-0.0123173,-0.000995865,-0.0141405
0.999843,-0.0115377,0.0066943,-0.0116347
0.999829,-0.0130627,-0.000302475,-0.0130908
0.999845,-0.0134059,0.00440921,-0.0104967
0.999845,-0.0125733,-0.00112797,-0.0123102
0.999853,-0.0127919,0.00167702,-0.0112961
0.999927,-0.0062928,0.00178047,-0.0102062
0.999813,-0.0142432,-0.00196848,-0.012927
0.999644,-0.0184351,-0.00230361,-0.0191652
0.99977,-0.0153438,-0.00219495,-0.0148537
0.999846,-0.0130281,-0.00124239,-0.0117038
0.999771,-0.0148492,-0.00186892,-0.0152701
0.999837,-0.0124386,-0.0013187,-0.0130265
0.999633,-0.0186814,-0.00278735,-0.0194365
0.999764,-0.0144335,-0.00145976,-0.0161899
0.999741,-0.0160292,-0.0031828,-0.0158235
0.99981,-0.0135674,-0.000918363,-0.0139948
0.999787,-0.0141259,-0.00189263,-0.0149177
0.999767,-0.0153474,-0.00257903,-0.0149445
0.999849,-0.0119745,-0.00185543,-0.0124278
0.999806,-0.0135509,-0.00211579,-0.0141454
0.999749,-0.0154003,-0.00325226,-0.0159206
0.999804,-0.0132544,-0.00122894,-0.0146715
0.999823,-0.0130951,-0.00294013,-0.0131575
0.999707,-0.0170261,-0.00232626,-0.0170497
0.99986,-0.0111466,-4.40998e-05,-0.012468
0.999817,-0.0129963,-0.0018113,-0.0139213
0.999894,-0.00960609,0.0067911,-0.00858574
0.99985,-0.0128628,-0.000342424,-0.011611
0.99961,-0.0191845,-0.00132343,-0.0202683
0.999921,-0.00898771,0.00332776,-0.00817163
0.999849,-0.0133782,0.00173313,-0.010925
0.99978,-0.0149146,0.00184522,-0.0145989
0.999634,-0.0184417,3.96078e-05,-0.0197984
0.999637,-0.0193905,-0.00205413,-0.0185847
0.999782,-0.0157573,-0.00246443,-0.0135039
0.999735,-0.0156634,-0.00224106,-0.0167011
0.999781,-0.0150089,-0.00186323,-0.014441
0.99976,-0.0155878,-0.00251723,-0.0151751
0.999684,-0.0172409,-0.00175112,-0.0181943
0.999784,-0.0144667,-0.00219294,-0.0147637
0.999761,-0.0148557,-0.0023799,-0.0158719
0.999834,-0.0125809,-0.00100992,-0.0131801
0.999777,-0.0139683,-0.00149626,-0.0157524
0.999727,-0.0157309,-0.00168966,-0.0172212
0.999776,-0.0147178,-0.00259515,-0.0149758
0.999759,-0.0153049,-0.00213024,-0.0156119
0.999809,-0.0133966,-0.00204713,-0.0140963
0.999856,-0.0122251,-0.000430605,-0.0117587
0.999762,-0.0150842,-0.00204499,-0.0156156
0.999802,-0.0134007,-0.001329,-0.0146219
0.99983,-0.0139355,-0.000909082,-0.0120775
0.999911,-0.0100225,0.00424519,-0.00771118
0.9998,-0.0141166,0.000155646,-0.0141942
