ball_x,ball_y,ball_z
0.710576,0.591183,-1.54579
0.710581,0.591192,-1.54581
0.710551,0.591193,-1.54584
0.710578,0.59115,-1.54595
0.710577,0.59119,-1.54589
0.710582,0.5912,-1.54584
0.710608,0.591195,-1.54585
0.710524,0.591202,-1.54586
0.710604,0.591182,-1.54575
0.710558,0.591204,-1.54586
0.710198,0.591143,-1.54605
0.710515,0.591169,-1.54589
0.710197,0.591172,-1.54601
0.710582,0.591202,-1.54585
0.710452,0.591166,-1.54595
0.710512,0.591442,-1.54621
0.710567,0.591182,-1.54587
0.710553,0.591102,-1.54587
0.710545,0.591172,-1.54582
0.710655,0.5912,-1.54582
0.710537,0.591179,-1.54586
0.710583,0.591194,-1.54591
0.710568,0.591137,-1.54582
0.71054,0.591211,-1.54585
0.710567,0.591181,-1.54577
0.710569,0.591173,-1.54592
0.710557,0.591196,-1.54583
0.710562,0.591153,-1.54584
0.710558,0.591169,-1.54588
0.710632,0.591185,-1.54582
0.710547,0.591186,-1.54581
0.710543,0.591176,-1.54585
0.7107,0.591197,-1.5458
0.710482,0.59117,-1.54578
0.710617,0.591192,-1.54587
0.710573,0.59121,-1.5458
0.710294,0.591188,-1.54608
0.710585,0.591175,-1.54577
0.710516,0.591098,-1.54586
0.710408,0.591205,-1.54606
0.710413,0.591167,-1.546
0.710337,0.59112,-1.5457
0.71049,0.591095,-1.54586
0.710502,0.591133,-1.54594
0.710546,0.591178,-1.54584
0.710523,0.591183,-1.54581
0.710594,0.591176,-1.5459
0.710573,0.59116,-1.54581
0.710552,0.591132,-1.54582
0.710572,0.591169,-1.54578
0.710554,0.591177,-1.5458
0.710613,0.591206,-1.54582
0.710538,0.591183,-1.54582
0.710553,0.59117,-1.54596
0.710601,0.5912,-1.54582
0.710516,0.59117,-1.54586
0.710579,0.59121,-1.54586
0.710618,0.591191,-1.54583
0.710506,0.591212,-1.54582
0.710562,0.591198,-1.54583
0.710576,0.591192,-1.54589
0.710258,0.591197,-1.5461
0.710547,0.591189,-1.54576
0.710523,0.591163,-1.54581
0.710504,0.591168,-1.54577
0.710553,0.59119,-1.54581
