joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.000000000000000000e+00,-5.988660989070943019e-05,0.000000000000000000e+00,-5.994115137575306562e-05,0.000000000000000000e+00,0.000000000000000000e+00,-1.198277612690645810e-04
-5.988660989331151541e-05,5.988660989070943019e-05,-2.999784654011961038e-05,0.000000000000000000e+00,-4.799655428655569267e-05,5.994115143126421685e-05,0.000000000000000000e+00
-2.999784648460845915e-05,2.999784648460845915e-05,0.000000000000000000e+00,0.000000000000000000e+00,4.799655428655569267e-05,-5.994115143126421685e-05,0.000000000000000000e+00
0.000000000000000000e+00,8.988445637531788934e-05,0.000000000000000000e+00,-2.994330494665575770e-05,9.581857585150288514e-05,5.994115143126421685e-05,5.994115137575306562e-05
1.198823028625284337e-04,0.000000000000000000e+00,6.891323460767040388e-04,-7.190756510233597965e-04,-6.710790966257818013e-04,1.228384542750760033e-03,-9.287878687258555033e-04
1.258327847697415791e-03,9.886744785853399109e-04,6.741116061914631530e-03,-7.639906084211389725e-03,-1.581966432184778171e-03,9.467538516660933823e-03,-1.138500086317328908e-03
3.475441410605295545e-03,3.415500259172296604e-03,1.764675133908433224e-02,-1.953432492285411826e-02,6.711227298561439625e-03,1.204413536348702962e-02,1.039632638533127817e-02
4.973424780951862800e-03,6.321691626578161693e-03,2.762365328901061901e-02,-3.097921239680889727e-02,3.000849299283903093e-02,1.707750129587015664e-03,3.547327159081348213e-02
3.984750302332695782e-03,7.460191712968348987e-03,3.166829020118111515e-02,-3.169823350612777091e-02,7.837680249800360599e-02,-2.450774970391700336e-02,9.284780727536467992e-02
-7.490189559145044029e-04,6.231752628664023741e-03,2.519682750845575470e-02,-2.082259607560921211e-02,1.745382482541968372e-01,-7.283411676556328374e-02,2.075368284097933724e-01
-7.490135017940158235e-03,2.996075823781182979e-03,7.400305103044679811e-03,4.194244354049914136e-04,3.224235735317382279e-01,-1.656219828895522106e-01,3.899666592260819797e-01
-1.441101999261062971e-02,-1.348212304085744107e-03,-1.989386274836579815e-02,3.100921024323799458e-02,5.083708645601259235e-01,-3.178516181114310335e-01,6.184459114727536289e-01
-2.019340488096377229e-02,-4.224460366546688161e-03,-5.105278951644809382e-02,7.103648217954283695e-02,7.289763802365012424e-01,-5.185573914613939017e-01,8.733803736170608900e-01
-2.199103946692870792e-02,-2.636537998281646145e-03,-7.373290678780453078e-02,1.179247524809579062e-01,9.551906859905923142e-01,-7.387974897342108882e-01,1.142965456735201002e+00
-1.905495933607337378e-02,4.673882648422410246e-03,-8.203205645462841034e-02,1.677492119960266592e-01,1.192094784334907231e+00,-9.975968744196372917e-01,1.408985323069433804e+00
-1.483044442807113228e-02,1.551957677407758002e-02,-8.152269302130754625e-02,2.074468894118774998e-01,1.422000199653439267e+00,-1.253849496480052839e+00,1.658706595827119656e+00
-1.072586636430283846e-02,3.032007789715695373e-02,-7.424227022112539487e-02,2.410028077385328871e-01,1.629279341107792156e+00,-1.472951149208034938e+00,1.887815039268381234e+00
