lin_vel_X,lin_vel_Y,lin_vel_Z
5.358592516424057083e-06,1.223429255404651460e-05,3.358412668999316114e-05
3.078124900097809608e-05,4.366829426562512115e-07,-6.862594904522389245e-05
5.802345290610932764e-05,2.880689411384309550e-05,-5.896924145877343736e-05
-5.497507979786717472e-05,-3.524202492422741486e-05,4.148509801747693394e-05
-3.247819260190878596e-04,-2.555887292317567464e-04,4.241826205793522279e-04
-2.907376481922549320e-03,-2.771450165230825505e-03,3.082774271856616143e-03
-7.824742211249704343e-03,-7.827466049176249815e-03,7.404790627515213906e-03
-1.422934224079415791e-02,-1.540958073788172011e-02,1.301308362548026648e-02
-1.960169998665987554e-02,-2.211490574100788420e-02,2.167673526456065369e-02
-1.969619523864191146e-02,-2.452480763402891187e-02,2.605260797813149787e-02
-1.289332563302895106e-02,-1.904311305242276445e-02,2.966666544109144640e-02
1.896180242409148007e-03,-2.801228967079155696e-03,3.397298658219598255e-02
2.105134304112506877e-02,2.432678844408182189e-02,4.143182864451843556e-02
4.169050217320584978e-02,5.861151892049604184e-02,5.109704555095848089e-02
6.197124193174775170e-02,9.628907333269749735e-02,5.743816142337742486e-02
7.943229707777173243e-02,1.353106299839531845e-01,6.056481987638335368e-02
9.368617938604503759e-02,1.732329461580096042e-01,5.984547891977989864e-02
1.061052023187561422e-01,2.100600472847480304e-01,5.463020958093569440e-02
1.189279733230587111e-01,2.485422646792599943e-01,4.776861765933260173e-02
1.333587886123604738e-01,2.871944449209893335e-01,3.781210711044295097e-02
1.502095018254644976e-01,3.238942600016456730e-01,2.324365540571939753e-02
1.662495687064918792e-01,3.559733179363820943e-01,4.595823690291503394e-03
1.787027871059637119e-01,3.793721944736837548e-01,-1.491813656045900410e-02
1.892389951147518956e-01,3.925433138639760067e-01,-3.874345408870186885e-02
1.987649814783829239e-01,4.005574802285450930e-01,-6.365288957730000363e-02
2.057156229270660497e-01,4.033605042073006297e-01,-8.461488199053476822e-02
2.171775601165507052e-01,4.079723566915369193e-01,-1.094478698350981882e-01
2.310672969931125698e-01,4.093352020852769058e-01,-1.355947860538019301e-01
2.459941517960989033e-01,4.069238523254161688e-01,-1.588461565078758408e-01
2.569637392897721750e-01,3.999413884853286749e-01,-1.799739605532192366e-01
2.623816504302995400e-01,3.904618747295582892e-01,-1.965109967501780797e-01
2.629550027341573393e-01,3.763524089794480498e-01,-2.120540632536445924e-01
2.625850621563591836e-01,3.566176725496336131e-01,-2.280091506864063144e-01
2.684811237102483483e-01,3.489926527123273781e-01,-2.428324280844255945e-01
2.821676512343301857e-01,3.531328055851798986e-01,-2.529005661419971296e-01
2.998054479830023489e-01,3.571264684622339480e-01,-2.647600961716227719e-01
3.171191094898082596e-01,3.642776923028616665e-01,-2.769188609262121514e-01
3.287082426557016990e-01,3.681592233138386017e-01,-2.887865160137635945e-01
3.294333369306782222e-01,3.565168705263027094e-01,-2.974184296856395848e-01
3.237019218111851226e-01,3.388965355847002869e-01,-3.006414959170505274e-01
3.197182951531692408e-01,3.344319479316402166e-01,-2.989293103693718701e-01
3.208371619096618277e-01,3.328298639989152319e-01,-2.955463735605268760e-01
3.210464383407866107e-01,3.284019080231467269e-01,-2.884802262852931287e-01
3.139341925173683712e-01,3.279128269857166100e-01,-2.778987638817653205e-01
2.941352588527411105e-01,3.123049570635358374e-01,-2.641909755110089519e-01
2.723611571452846936e-01,2.831545469796536429e-01,-2.559039742891328628e-01
2.562494783121493369e-01,2.640206365926697218e-01,-2.601829828340516682e-01
2.438754453636589048e-01,2.486655635981166457e-01,-2.691951662700209358e-01
2.345515904574357324e-01,2.276628431059453672e-01,-2.787304152394211032e-01
2.203713032289867646e-01,2.023248949909000061e-01,-2.848826705122592950e-01
2.019962477177761895e-01,1.805255262458307364e-01,-2.826958629682838620e-01
1.898387822079561915e-01,1.653752351828123301e-01,-2.810652998032540095e-01
1.879044294675532578e-01,1.586967025656649821e-01,-2.844793785273153075e-01
1.943933306856453491e-01,1.631232520600290337e-01,-2.889977643474538338e-01
1.953213492176857080e-01,1.644582019922035954e-01,-2.879544054485507765e-01
1.884966453052850377e-01,1.522267354881228496e-01,-2.866541374131189035e-01
1.828907879733119857e-01,1.401979113507633989e-01,-2.915535015051651246e-01
1.836872504937306361e-01,1.366326927777868350e-01,-3.010564425294777191e-01
1.898641615848346287e-01,1.382593608322545686e-01,-3.114955053502653781e-01
1.952352562668020763e-01,1.382525280520727484e-01,-3.174778296762226781e-01
1.939726725907219840e-01,1.331276715945513556e-01,-3.210994363632165838e-01
1.861364908701465537e-01,1.235804842337658027e-01,-3.248041777141219000e-01
1.792177518863862229e-01,1.141044837417565794e-01,-3.265353654843150544e-01
1.752846962262155639e-01,1.098792027323594322e-01,-3.277150263276050746e-01
1.676302336158954354e-01,1.073361296734331033e-01,-3.185347497414666718e-01
1.568322905324236183e-01,1.003690030942729627e-01,-3.082069971687948495e-01
1.451321550611542888e-01,8.636132752931767464e-02,-3.100144955106313716e-01
1.316816932433076681e-01,6.822645979746315426e-02,-3.187635429767775586e-01
1.186297754915545677e-01,4.994914735221392399e-02,-3.334000079732502009e-01
1.067279237358893240e-01,3.102822101690564521e-02,-3.459039741662754963e-01
9.471233502978557151e-02,1.258298159724247425e-02,-3.552606890789247185e-01
8.129003591037881060e-02,1.620231811520201487e-03,-3.559982315501230565e-01
6.464540459452480792e-02,-1.102470414970015480e-02,-3.482427769917224580e-01
4.300897375962466074e-02,-2.992524501118856012e-02,-3.371075627188253043e-01
1.463776429319531801e-02,-5.452608525928756555e-02,-3.213134811695605997e-01
-9.870845064419228251e-03,-7.584760678884083784e-02,-3.123337486267274143e-01
-2.108265807467164799e-02,-8.743305079920631051e-02,-3.151538698244769066e-01
-1.962967858084355491e-02,-8.669745187877250792e-02,-3.233330719114024254e-01
-1.122286686633197639e-02,-7.335091727749956658e-02,-3.264123839309319153e-01
-5.859159478552575240e-03,-6.440712971706376300e-02,-3.259980030375564941e-01
-1.027342205465991976e-02,-6.898443934842318770e-02,-3.220635084853710750e-01
-2.385795881095099935e-02,-7.835322539800157471e-02,-3.145934027788953591e-01
-4.316751582328376413e-02,-8.920085485940806858e-02,-3.047223233803350584e-01
-6.146273970822874189e-02,-9.882626336154122504e-02,-2.919878855455556588e-01
-8.416780828299254280e-02,-1.158323922149942231e-01,-2.762924977566494911e-01
-1.080283843151153556e-01,-1.353722177013803873e-01,-2.632378367890141901e-01
-1.294549945734476681e-01,-1.533804905330541091e-01,-2.549770290142376883e-01
-1.497801746279562030e-01,-1.711109876638015892e-01,-2.503984546818765478e-01
-1.691090924678823049e-01,-1.867931093654358055e-01,-2.472422561167725852e-01
-1.867920352654756366e-01,-2.009962801158660661e-01,-2.436466401450411712e-01
-2.004115529764373960e-01,-2.098580768431058119e-01,-2.361270309677230561e-01
-2.072904685307281336e-01,-2.090045950940956632e-01,-2.251025554808234463e-01
-2.103683868909666799e-01,-2.025956871083181288e-01,-2.111611334722069411e-01
-2.169812418182230640e-01,-2.013099444151716100e-01,-1.988634763625519164e-01
-2.369816567443278343e-01,-2.180834413193866728e-01,-1.851880441225032259e-01
-2.655957861250460850e-01,-2.478809794968793168e-01,-1.746417260334792720e-01
-2.947290837192284019e-01,-2.761654330470958985e-01,-1.712105118874034382e-01
-3.162657400746277103e-01,-2.949177375689281955e-01,-1.689207202394826246e-01
-3.249734533435770234e-01,-2.983548312731376106e-01,-1.671472650990687980e-01
-3.229328197418140922e-01,-2.874107638929196407e-01,-1.577870796924340790e-01
-3.174494108186550756e-01,-2.740772536964120043e-01,-1.469844153192888525e-01
