pos_X,pos_Y,pos_Z
3.209668931377563927e-01,-3.208196575974346931e-01,9.147681976720485331e-01
3.209669547002599321e-01,-3.208196567241030639e-01,9.147680604201516852e-01
3.209670707471892759e-01,-3.208195991103142131e-01,9.147679424816850258e-01
3.209669607970438432e-01,-3.208196695943618115e-01,9.147680254518967269e-01
3.209663112346460290e-01,-3.208201807731539956e-01,9.147688738166663835e-01
3.209604966077195254e-01,-3.208257237637400783e-01,9.147750393207270125e-01
3.209448480494233591e-01,-3.208413792812049303e-01,9.147898485554009085e-01
3.209163930066756265e-01,-3.208722003483878149e-01,9.148158732217414046e-01
3.208771987983171647e-01,-3.209164346196166639e-01,9.148592223818594604e-01
3.208378204072748208e-01,-3.209654902621449923e-01,9.149113200897072140e-01
3.208120492228351273e-01,-3.210035833418627971e-01,9.149706436080873306e-01
3.208158541778268757e-01,-3.210091942990129787e-01,9.150385806006036127e-01
3.208579655400833897e-01,-3.209605543293355678e-01,9.151214423635456452e-01
3.209413607478225350e-01,-3.208433531553140927e-01,9.152236468574747041e-01
3.210653455245639498e-01,-3.206508030471004744e-01,9.153385442603312327e-01
3.212243223979824869e-01,-3.203802100750673398e-01,9.154596894596805923e-01
3.214119303698339536e-01,-3.200337652643880371e-01,9.155793612473484000e-01
3.216245634836703005e-01,-3.196136549494636436e-01,9.156885283846232237e-01
3.218631055452655931e-01,-3.191165699087765151e-01,9.157838557644982780e-01
3.221308422378362790e-01,-3.185421802002880720e-01,9.158591136690980017e-01
3.224326708621256254e-01,-3.178944000503139966e-01,9.159050382963137560e-01
3.227670060205553582e-01,-3.171824823693005224e-01,9.159134349656647966e-01
3.231266585891185983e-01,-3.164237906756359187e-01,9.158825558672867295e-01
3.235077439838635605e-01,-3.156387788073642953e-01,9.158037735475811347e-01
3.239082065636690322e-01,-3.148377650017222806e-01,9.156749247087910826e-01
3.243228253656384452e-01,-3.140311743541360778e-01,9.155039408092111586e-01
3.247606117959155880e-01,-3.132154235528104014e-01,9.152830917651385567e-01
3.252263482081523827e-01,-3.123970300416015755e-01,9.150097933394421013e-01
3.257220146099825131e-01,-3.115835522206472641e-01,9.146899008727209512e-01
3.262396026411767957e-01,-3.107841616006327690e-01,9.143277156917958282e-01
3.267679535013008896e-01,-3.100038350580811564e-01,9.139324598382189135e-01
3.272973286882977506e-01,-3.092518155940945368e-01,9.135061477193939794e-01
3.278257525796513527e-01,-3.085393854146560866e-01,9.130480018993465396e-01
3.283658499129499253e-01,-3.078423626694649640e-01,9.125602497832228099e-01
3.289332594387383568e-01,-3.071372256268145584e-01,9.120524007469201777e-01
3.295358280681510155e-01,-3.064243085317573390e-01,9.115209132435515560e-01
3.301729356937663784e-01,-3.056972895381951938e-01,9.109651806648602079e-01
3.308331480236622602e-01,-3.049626575125460315e-01,9.103857715924210670e-01
3.314946399149622525e-01,-3.042514083457503737e-01,9.097891824419868101e-01
3.321444579521682927e-01,-3.035754822622398486e-01,9.091862329355869798e-01
3.327862223680270182e-01,-3.029085613011313072e-01,9.085867272976777542e-01
3.334301532079452235e-01,-3.022449343005434996e-01,9.079940078132512360e-01
3.340743983697568309e-01,-3.015902609423244396e-01,9.074154506611594728e-01
3.347043948045345108e-01,-3.009366014007671675e-01,9.068580315773276945e-01
3.352946988878208190e-01,-3.003141193686447163e-01,9.063280198885544925e-01
3.358412670079011786e-01,-2.997499318053473139e-01,9.058146145583649833e-01
3.363555220204384466e-01,-2.992240848804335607e-01,9.052926241521581652e-01
3.368449724352587937e-01,-2.987290428754361127e-01,9.047525711382675695e-01
3.373156477399431030e-01,-2.982760829320027507e-01,9.041934778744535883e-01
