joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.785382,-3.28996e-05,1.32652,1.22165,1.60571,-0.907561,1.57079
0.785385,-0.000175787,1.32672,1.22142,1.60575,-0.90753,1.57078
0.785434,-0.000494661,1.3271,1.22099,1.60583,-0.907471,1.57075
0.785552,-0.0010363,1.32768,1.22034,1.60598,-0.907379,1.5707
0.78576,-0.00182989,1.32849,1.21944,1.60619,-0.907248,1.57062
0.786083,-0.00289129,1.32954,1.21831,1.60648,-0.907075,1.57052
0.78654,-0.00422625,1.33082,1.21693,1.60686,-0.906859,1.57039
0.787146,-0.00583301,1.33234,1.21531,1.60732,-0.906596,1.57023
0.787908,-0.00770441,1.33407,1.21347,1.60788,-0.906287,1.57004
0.788829,-0.00982957,1.33603,1.21142,1.60851,-0.905931,1.56982
0.789908,-0.0121951,1.33818,1.20917,1.60924,-0.905529,1.56957
0.791139,-0.0147863,1.34053,1.20673,1.61006,-0.905079,1.56929
0.792513,-0.0175873,1.34305,1.20412,1.61095,-0.904584,1.56898
0.794022,-0.0205825,1.34573,1.20136,1.61193,-0.904043,1.56865
0.795652,-0.0237562,1.34857,1.19845,1.61299,-0.903459,1.56828
0.797393,-0.0270932,1.35154,1.19542,1.61412,-0.902832,1.56789
0.799233,-0.030579,1.35463,1.19226,1.61532,-0.902163,1.56748
0.801158,-0.0341998,1.35784,1.189,1.61659,-0.901454,1.56704
0.803159,-0.0379429,1.36115,1.18564,1.61792,-0.900706,1.56657
0.805222,-0.0417962,1.36455,1.1822,1.61932,-0.899921,1.56609
0.807337,-0.0457489,1.36803,1.17867,1.62077,-0.899099,1.56558
0.809492,-0.049791,1.37159,1.17508,1.62228,-0.898243,1.56505
0.811675,-0.0539136,1.37521,1.17143,1.62384,-0.897353,1.5645
0.813877,-0.0581082,1.3789,1.16772,1.62545,-0.896432,1.56393
0.816087,-0.0623673,1.38263,1.16395,1.6271,-0.89548,1.56335
0.818298,-0.0666842,1.38641,1.16015,1.62879,-0.894498,1.56275
0.820502,-0.0710526,1.39023,1.1563,1.63052,-0.893488,1.56214
0.822692,-0.0754672,1.39409,1.15241,1.63229,-0.892452,1.56152
0.824863,-0.079923,1.39797,1.14849,1.6341,-0.891389,1.56088
0.82701,-0.0844158,1.40188,1.14454,1.63593,-0.890302,1.56024
0.829128,-0.0889417,1.40582,1.14057,1.6378,-0.889191,1.55958
0.831213,-0.0934971,1.40977,1.13656,1.63969,-0.888058,1.55892
0.833263,-0.0980789,1.41375,1.13254,1.64161,-0.886904,1.55825
0.835278,-0.102684,1.41774,1.12849,1.64356,-0.885729,1.55758
0.837256,-0.107309,1.42174,1.12443,1.64552,-0.884534,1.5569
0.8392,-0.111952,1.42575,1.12034,1.64751,-0.883321,1.55621
