joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.785287,-0.000226325,1.32692,1.22118,1.60577,-0.907498,1.57077
0.785404,-0.00101586,1.3279,1.22006,1.60597,-0.907349,1.5707
0.785723,-0.00236941,1.32932,1.21847,1.60632,-0.907126,1.57057
0.78624,-0.00422073,1.33113,1.21649,1.60682,-0.906835,1.57039
0.786986,-0.00649568,1.33326,1.21419,1.60745,-0.906478,1.57018
0.787983,-0.00913155,1.33569,1.21162,1.60821,-0.906061,1.56992
0.789229,-0.0120748,1.33836,1.20882,1.60907,-0.905585,1.56962
0.790706,-0.0152796,1.34124,1.20582,1.61005,-0.905054,1.56929
0.792388,-0.0187069,1.3443,1.20266,1.61112,-0.904471,1.56893
0.794245,-0.022324,1.34751,1.19935,1.61228,-0.903839,1.56853
0.79625,-0.026103,1.35086,1.19593,1.61352,-0.90316,1.56811
0.798375,-0.0300202,1.35432,1.1924,1.61484,-0.902437,1.56765
0.800595,-0.0340555,1.35788,1.18879,1.61623,-0.901671,1.56718
0.80289,-0.038192,1.36152,1.18511,1.61768,-0.900866,1.56667
0.80524,-0.0424151,1.36523,1.18136,1.61919,-0.900023,1.56615
0.807629,-0.0467124,1.369,1.17756,1.62077,-0.899144,1.5656
0.810046,-0.0510731,1.37283,1.17371,1.62239,-0.898231,1.56503
0.812479,-0.0554878,1.3767,1.16982,1.62406,-0.897285,1.56444
0.814919,-0.0599491,1.38061,1.1659,1.62577,-0.896309,1.56384
0.817353,-0.0644508,1.38455,1.16195,1.62753,-0.895303,1.56322
0.819771,-0.0689879,1.38851,1.15797,1.62932,-0.894269,1.56258
0.82216,-0.0735561,1.3925,1.15396,1.63114,-0.893209,1.56193
0.824512,-0.0781511,1.39652,1.14994,1.633,-0.892124,1.56127
0.826821,-0.0827695,1.40054,1.14589,1.63489,-0.891014,1.5606
0.829083,-0.087408,1.40458,1.14183,1.63681,-0.889881,1.55993
0.831296,-0.0920642,1.40863,1.13776,1.63874,-0.888727,1.55924
0.833458,-0.096736,1.41269,1.13367,1.64071,-0.887552,1.55855
0.83557,-0.101422,1.41675,1.12956,1.64269,-0.886357,1.55785
0.83763,-0.10612,1.42082,1.12545,1.6447,-0.885143,1.55715
0.839633,-0.11083,1.42488,1.12132,1.64672,-0.883911,1.55645
0.841579,-0.115551,1.42896,1.11718,1.64877,-0.882662,1.55574
0.843471,-0.12028,1.43303,1.11304,1.65082,-0.881397,1.55503
0.845317,-0.125016,1.43711,1.10888,1.6529,-0.880116,1.55432
0.847121,-0.129758,1.44119,1.10471,1.65499,-0.87882,1.5536
0.84889,-0.134503,1.44527,1.10052,1.65709,-0.87751,1.55289
0.850624,-0.13925,1.44935,1.09633,1.65921,-0.876187,1.55217
0.852321,-0.143999,1.45344,1.09213,1.66134,-0.874851,1.55145
0.85398,-0.148747,1.45753,1.08792,1.66347,-0.873503,1.55073
0.855602,-0.153496,1.46162,1.0837,1.66562,-0.872144,1.55001
0.857186,-0.158245,1.4657,1.07947,1.66778,-0.870773,1.54929
0.858726,-0.162994,1.46979,1.07524,1.66995,-0.869392,1.54857
0.860213,-0.167742,1.47387,1.071,1.67212,-0.868001,1.54785
0.861634,-0.172484,1.47795,1.06675,1.6743,-0.8666,1.54713
0.862973,-0.177218,1.48202,1.06249,1.67649,-0.865189,1.54642
0.864222,-0.18194,1.48609,1.05823,1.67868,-0.86377,1.54571
0.865376,-0.186646,1.49016,1.05397,1.68088,-0.862341,1.54501
0.866451,-0.191332,1.49422,1.0497,1.68308,-0.860904,1.54431
0.86748,-0.195993,1.49829,1.04543,1.68529,-0.859457,1.54362
0.868492,-0.200622,1.50234,1.04116,1.6875,-0.858002,1.54293
0.8695,-0.20522,1.5064,1.03689,1.68971,-0.856538,1.54223
0.87051,-0.209785,1.51045,1.03262,1.69193,-0.855066,1.54154
0.871515,-0.214316,1.51449,1.02836,1.69416,-0.853585,1.54085
0.872506,-0.218813,1.51853,1.02409,1.69638,-0.852096,1.54015
0.87347,-0.223273,1.52256,1.01983,1.69861,-0.8506,1.53945
0.874398,-0.227696,1.52658,1.01556,1.70085,-0.849096,1.53875
0.875281,-0.232079,1.5306,1.0113,1.70309,-0.847585,1.53805
0.876106,-0.236419,1.53462,1.00704,1.70533,-0.846067,1.53734
0.87687,-0.240713,1.53862,1.00278,1.70757,-0.844542,1.53663
0.877578,-0.244956,1.54262,0.998516,1.70981,-0.843011,1.53591
0.878238,-0.249137,1.54661,0.99426,1.71206,-0.841473,1.53519
0.878856,-0.253252,1.55059,0.990008,1.71431,-0.83993,1.53447
0.879436,-0.257292,1.55456,0.985762,1.71656,-0.838382,1.53374
0.879976,-0.261249,1.55852,0.98152,1.7188,-0.836828,1.53301
0.880477,-0.265117,1.56247,0.977285,1.72105,-0.835268,1.53228
0.880946,-0.268887,1.5664,0.973057,1.7233,-0.833704,1.53154
0.881397,-0.27255,1.57031,0.968838,1.72554,-0.832136,1.5308
0.881842,-0.276101,1.57421,0.964629,1.72778,-0.830564,1.53006
0.882293,-0.279537,1.57809,0.960431,1.73002,-0.828988,1.52931
0.882763,-0.282858,1.58195,0.956243,1.73226,-0.827408,1.52856
0.883261,-0.286067,1.58579,0.952067,1.73449,-0.825825,1.5278
0.883798,-0.289168,1.58962,0.947902,1.73673,-0.824239,1.52704
0.884376,-0.292173,1.59344,0.943749,1.73896,-0.822649,1.52628
0.884995,-0.295087,1.59724,0.939607,1.74119,-0.821057,1.52551
0.885651,-0.297916,1.60102,0.935475,1.74341,-0.819463,1.52473
0.886335,-0.300666,1.60479,0.931356,1.74563,-0.817866,1.52395
0.887042,-0.303338,1.60855,0.927248,1.74785,-0.816267,1.52316
0.887771,-0.305936,1.61228,0.923156,1.75007,-0.814666,1.52237
0.888512,-0.308462,1.616,0.919088,1.75229,-0.813064,1.52157
0.889253,-0.310922,1.61971,0.915051,1.7545,-0.811459,1.52077
0.889984,-0.31332,1.6234,0.911053,1.75671,-0.809853,1.51997
0.890701,-0.315667,1.62708,0.9071,1.75891,-0.808245,1.51916
0.891408,-0.317968,1.63075,0.903196,1.76111,-0.806636,1.51834
0.89211,-0.32023,1.63441,0.899342,1.76332,-0.805025,1.51752
0.892806,-0.322454,1.63807,0.89554,1.76551,-0.803413,1.51669
0.893494,-0.324644,1.64172,0.891793,1.76771,-0.801799,1.51586
0.894168,-0.326798,1.64537,0.888106,1.76991,-0.800185,1.51502
0.894818,-0.328921,1.64903,0.884486,1.7721,-0.798571,1.51417
0.895443,-0.331013,1.65269,0.880939,1.7743,-0.796957,1.51331
0.896035,-0.333079,1.65635,0.877471,1.77649,-0.795344,1.51245
0.896593,-0.335122,1.66003,0.874089,1.77868,-0.793732,1.51158
0.897114,-0.337145,1.66373,0.870797,1.78088,-0.792121,1.5107
0.897596,-0.339156,1.66744,0.8676,1.78307,-0.790511,1.50981
0.898033,-0.341162,1.67116,0.864511,1.78527,-0.788901,1.50892
0.898423,-0.34317,1.6749,0.861543,1.78746,-0.787292,1.50802
0.898758,-0.34519,1.67867,0.858715,1.78966,-0.785684,1.50711
0.899023,-0.347234,1.68245,0.856068,1.79186,-0.784079,1.50619
0.899174,-0.349322,1.68625,0.853737,1.79406,-0.782474,1.50528
0.899069,-0.35149,1.69006,0.851943,1.79627,-0.780868,1.50436
0.898561,-0.35372,1.69388,0.850766,1.79847,-0.77926,1.50345
0.89766,-0.356014,1.6977,0.850184,1.80068,-0.77765,1.50255
0.896439,-0.358352,1.70152,0.850142,1.80289,-0.776038,1.50166
0.894956,-0.360738,1.70534,0.850557,1.8051,-0.774426,1.50077
0.893266,-0.363175,1.70917,0.851341,1.80731,-0.772815,1.49988
0.891412,-0.365653,1.713,0.852419,1.80952,-0.771204,1.49899
0.889425,-0.368155,1.71684,0.853723,1.81172,-0.769594,1.49809
0.88733,-0.370663,1.72068,0.855194,1.81393,-0.767984,1.4972
0.88515,-0.373161,1.72453,0.856786,1.81613,-0.766373,1.49631
0.882905,-0.375635,1.72839,0.858474,1.81834,-0.76476,1.49543
0.880606,-0.378077,1.73226,0.860246,1.82054,-0.763145,1.49455
0.878262,-0.380477,1.73613,0.862097,1.82275,-0.761529,1.49367
0.875875,-0.382829,1.74,0.86403,1.82496,-0.759911,1.49279
0.873443,-0.385133,1.74388,0.866057,1.82717,-0.758292,1.49192
0.870962,-0.387387,1.74775,0.868199,1.82938,-0.75667,1.49105
0.868427,-0.389592,1.75163,0.87048,1.83159,-0.755046,1.49019
0.86583,-0.391749,1.7555,0.872916,1.8338,-0.753421,1.48933
0.863174,-0.393861,1.75937,0.87551,1.836,-0.751793,1.48848
0.860465,-0.395932,1.76323,0.878252,1.83821,-0.750164,1.48764
0.857711,-0.397967,1.76709,0.881129,1.84042,-0.748533,1.4868
0.854919,-0.399973,1.77095,0.884125,1.84263,-0.7469,1.48597
0.852093,-0.401952,1.77481,0.887226,1.84484,-0.745264,1.48515
0.849237,-0.403904,1.77866,0.890417,1.84704,-0.743628,1.48433
0.846354,-0.405833,1.78252,0.893689,1.84925,-0.741989,1.48352
0.843449,-0.40774,1.78637,0.897033,1.85145,-0.74035,1.48272
