lin_vel_X,lin_vel_Y,lin_vel_Z
1.352e-05,1.34568e-05,1.78876e-07
0,0,0
-1.40454e-05,-7.88226e-06,1.92866e-05
-0.00046734,-0.000378034,0.00024238
-0.00492497,-0.00483187,-1.61791e-05
-0.00824924,-0.00758857,0.00117161
0,0,0
-0.000136163,0.0055474,0.0120645
0.00450389,0.0111984,0.0141273
0,0,0
0.00452347,0.0294201,0.0525165
0,0,0
-0.0025878,0.0159083,0.0403523
-0.0122374,0.039233,0.116818
0.00046276,0.0334303,0.0786934
0.00556089,0.0437699,0.0929134
0.00910468,0.0557264,0.113019
0.0129104,0.0654998,0.126889
0.0153015,0.0761708,0.144258
0.0194491,0.0893971,0.163577
0,0,0
0.0231292,0.101598,0.182178
0.0485889,0.232809,0.41241
0,0,0
0.0641578,0.28718,0.479064
0.0387426,0.162192,0.258451
0.0288726,0.164668,0.279706
0,0,0
0.0171416,0.164826,0.296617
0.00159929,0.161039,0.315629
-0.00421721,0.164489,0.325897
0.00279568,0.182523,0.339649
0.00909442,0.197981,0.347647
-0.000910162,0.202257,0.365969
-0.0538939,0.393215,0.778131
0,0,0
-0.0721408,0.41279,0.808548
0,0,0
-0.0669038,0.183996,0.41612
-0.0835163,0.181941,0.4322
-0.154477,0.413836,0.878445
0,0,0
-0.227962,0.363372,0.891226
0,0,0
-0.272086,0.363903,0.926487
0,0,0
-0.143334,0.179652,0.460693
-0.175083,0.155609,0.470243
-0.18149,0.159529,0.475272
-0.181847,0.167614,0.476853
-0.200096,0.148062,0.472857
-0.482525,0.231445,0.95368
0,0,0
-0.240228,0.127958,0.480908
-0.541411,0.202529,0.952734
0,0,0
-0.580506,0.195216,0.962317
0,0,0
-0.656015,0.110605,0.942778
0,0,0
-0.679864,0.116024,0.945961
0,0,0
-0.757994,0.0179298,0.917127
0,0,0
-0.767738,0.0420596,0.922888
0,0,0
-0.839215,-0.0551278,0.890708
-0.416572,-0.00806335,0.453365
-0.409302,-0.000307722,0.444052
0,0,0
-0.906134,-0.116058,0.85717
0,0,0
-0.920127,-0.0994418,0.858724
0,0,0
-0.957869,-0.156841,0.824721
0,0,0
-0.491573,-0.0857778,0.414439
-0.475184,-0.059405,0.412841
-0.481555,-0.0696439,0.40448
-0.499567,-0.101445,0.392041
-0.51439,-0.112948,0.391532
-1.01046,-0.186499,0.775045
-0.501562,-0.0961972,0.377471
-0.511704,-0.108772,0.372165
-0.517279,-0.108039,0.372184
0,0,0
-1.02125,-0.200338,0.726153
-0.504738,-0.0990514,0.353854
-0.512134,-0.104501,0.353244
0,0,0
-1.03152,-0.213857,0.689896
0,0,0
-0.504417,-0.101887,0.335297
-0.996495,-0.179058,0.663699
-0.494237,-0.0869928,0.326133
-0.497493,-0.0948538,0.318157
-0.498303,-0.102029,0.309155
0,0,0
-0.972446,-0.169834,0.60911
-0.468105,-0.0648304,0.301303
-0.463874,-0.0707713,0.290766
0,0,0
-0.941987,-0.180278,0.546876
-0.465194,-0.0930011,0.263211
-0.447277,-0.0769371,0.257071
0,0,0
-0.830656,-0.13089,0.470615
-0.404128,-0.0752332,0.214163
-0.404361,-0.0886588,0.198888
0,0,0
-0.800205,-0.210652,0.347378
0,0,0
-0.370883,-0.103711,0.148392
-0.34666,-0.0938381,0.134686
-0.649361,-0.185129,0.225158
0,0,0
-0.615446,-0.222827,0.154662
-0.304695,-0.137755,0.049306
-0.302845,-0.150455,0.0347507
0,0,0
-0.548327,-0.289435,0.0256281
-0.235947,-0.124984,-0.00390961
-0.222431,-0.126331,-0.0171449
-0.219399,-0.139826,-0.0320538
0,0,0
-0.211313,-0.153545,-0.0506396
-0.395509,-0.333327,-0.149262
-0.187732,-0.178284,-0.0934076
-0.17166,-0.172963,-0.102442
-0.148965,-0.164758,-0.114464
-0.126672,-0.156944,-0.126317
-0.114543,-0.152634,-0.134664
-0.112934,-0.163846,-0.14769
0,0,0
-0.263681,-0.371443,-0.317193
0,0,0
-0.125674,-0.192438,-0.172395
-0.0980888,-0.177404,-0.181628
-0.0746925,-0.164111,-0.18815
-0.140329,-0.321844,-0.383468
0,0,0
-0.0632516,-0.160321,-0.199025
-0.089114,-0.304658,-0.423862
0,0,0
-0.134669,-0.350657,-0.439942
0,0,0
-0.0934055,-0.332461,-0.462464
-0.00964406,-0.13196,-0.229869
-0.0154162,-0.13072,-0.226388
0,0,0
-0.0519968,-0.293425,-0.472419
-0.0171342,-0.142477,-0.241355
0,0,0
-0.0418934,-0.261539,-0.472596
-0.02602,-0.140887,-0.24235
0,0,0
-0.0427445,-0.260885,-0.479876
-0.00326167,-0.107891,-0.236157
0.0052244,-0.0927882,-0.23179
0.00407535,-0.0894489,-0.23039
-0.0195557,-0.100098,-0.224367
0,0,0
-0.0549343,-0.222147,-0.46486
-0.0193188,-0.0978196,-0.228058
-0.0225589,-0.0879583,-0.217443
0,0,0
-0.0268784,-0.159816,-0.439806
0,0,0
-0.03088,-0.13843,-0.421552
-0.023428,-0.0611432,-0.198518
-0.0308766,-0.0604573,-0.194027
-0.0307632,-0.0600441,-0.19445
-0.0437265,-0.0602725,-0.184261
0,0,0
-0.110752,-0.116638,-0.346053
-0.0572889,-0.0523989,-0.163837
-0.0563827,-0.0415842,-0.154997
0,0,0
-0.146322,-0.0663344,-0.268591
-0.0861234,-0.0337012,-0.122996
-0.0899216,-0.0321739,-0.116601
-0.0988086,-0.028301,-0.105813
-0.100224,-0.020988,-0.096983
0,0,0
-0.106844,-0.0150017,-0.0852772
-0.117186,-0.0185909,-0.0798303
-0.130881,-0.0261117,-0.0753527
-0.303074,-0.0735873,-0.143112
-0.16406,-0.0288034,-0.0565722
0,0,0
-0.350831,-0.0454493,-0.0952222
-0.203589,-0.0323062,-0.0403804
-0.220761,-0.0337586,-0.0319569
0,0,0
-0.446951,-0.0191893,-0.0270471
0,0,0
-0.234627,0.000276256,0.0014936
-0.26137,-0.00875665,0.0112153
-0.584582,-0.0131403,0.0656883
0,0,0
-0.299046,0.0139678,0.0588649
-0.315657,0.0160648,0.0742624
-0.685449,-0.00383127,0.162418
0,0,0
-0.359981,-0.035923,0.0768945
-0.363397,-0.0217296,0.100995
-0.348134,0.00816269,0.123082
-0.343559,0.0271313,0.138712
-0.361428,0.0382948,0.162431
-0.378423,0.0515664,0.185253
-0.39911,0.0577174,0.20516
-0.425699,0.0461235,0.213662
-0.452996,0.0281133,0.217263
-0.462428,0.0252887,0.223108
-0.913339,0.0774933,0.470212
0,0,0
-0.452868,0.0526687,0.249198
-0.459569,0.0546001,0.255984
-0.458238,0.0630229,0.265242
-0.444906,0.0789063,0.27271
-0.420943,0.0931269,0.27253
-0.406145,0.099243,0.271693
-0.399167,0.0920068,0.262096
-0.400599,0.0813147,0.25414
-0.412631,0.0736199,0.249692
-0.418421,0.0656081,0.242777
-0.797085,0.141324,0.460768
0,0,0
-0.374405,0.0771872,0.217794
-0.75118,0.130411,0.404948
-0.367323,0.0666414,0.195073
0,0,0
-0.339728,0.0727887,0.180677
-0.321978,0.0637865,0.160646
-0.320325,0.0423877,0.140844
-0.32201,0.0282289,0.127842
-0.291717,0.0372673,0.119429
-0.254726,0.0411033,0.103335
-0.254871,0.0116027,0.0778021
-0.258501,-0.0104381,0.0618264
-0.235886,-0.00410607,0.0548655
-0.186345,0.00930707,0.0420486
-0.183138,-0.0105402,0.0233535
-0.38701,-0.0668076,0.0108876
-0.150938,-0.0264564,-0.00753073
0,0,0
-0.286381,-0.0802099,-0.0494509
-0.131766,-0.0454864,-0.039795
-0.124276,-0.0695193,-0.0556651
0,0,0
-0.192273,-0.117695,-0.12359
0,0,0
-0.152224,-0.15451,-0.171422
-0.0689038,-0.0897084,-0.0916111
-0.0223413,-0.0511001,-0.0899534
-0.0181084,-0.069505,-0.105826
-0.0455124,-0.114148,-0.120445
0,0,0
-0.0170378,-0.182466,-0.237001
0.0202806,-0.0915023,-0.131882
-0.0104308,-0.127051,-0.140836
0,0,0
0.0601263,-0.192238,-0.271132
0,0,0
0.0560348,-0.0984713,-0.143649
0.0292743,-0.122323,-0.148893
0.128385,-0.199427,-0.294573
0.08384,-0.102024,-0.148939
0.0698894,-0.108516,-0.148628
0,0,0
0.175351,-0.217138,-0.311309
0.0949121,-0.11307,-0.154334
0.111255,-0.0848818,-0.142492
0.117453,-0.0856645,-0.146033
0.108023,-0.114017,-0.154498
0,0,0
0.101481,-0.117198,-0.149094
0.131414,-0.0844669,-0.141369
0.285086,-0.188302,-0.292287
0.125961,-0.108323,-0.142237
0.159473,-0.0709068,-0.133722
0,0,0
0.321367,-0.172066,-0.273949
0.143984,-0.0892375,-0.126149
0.172074,-0.0620706,-0.122197
0,0,0
0.336425,-0.152399,-0.244123
0,0,0
0.343617,-0.127089,-0.227329
0,0,0
0.17619,-0.0738503,-0.111916
0.169805,-0.0705935,-0.102294
0.189871,-0.0388787,-0.0937988
0.206933,-0.0340363,-0.0966562
0.362181,-0.127383,-0.19267
0.185597,-0.0425455,-0.0849977
0.202088,-0.0332275,-0.0825367
0,0,0
0.388859,-0.0539887,-0.138472
0,0,0
0.210744,0.00236014,-0.0594114
0.20565,-0.0193428,-0.0643226
0.369007,-0.0701471,-0.119354
0.202344,-0.0151229,-0.0541656
0,0,0
0.205024,-0.0209734,-0.0518714
0.197898,-0.0134995,-0.0389822
0.211841,0.0217902,-0.0252554
0.439906,0.0401342,-0.0513704
0,0,0
0.408735,0.0288002,-0.0363315
0,0,0
0.216005,0.0225961,-0.0170279
0.201805,0.00181377,-0.0162229
0.41381,0.0626312,-0.0038605
0.222213,0.0434327,0.000546605
0.207229,0.0232963,0.0014473
0,0,0
0.203561,0.0383987,0.0104218
0.441794,0.121091,0.027996
0,0,0
0.210609,0.0442388,0.0138423
0.436121,0.156103,0.0497532
0,0,0
0.230466,0.0788274,0.0222448
0.425433,0.136505,0.0491948
0,0,0
0.226473,0.100046,0.0309139
0.227556,0.0903019,0.0277713
0.21228,0.0739045,0.027598
0.427955,0.202098,0.0729602
0,0,0
0.22772,0.107453,0.0348516
0.213359,0.0883813,0.0322679
0.421968,0.204929,0.0756958
0.226145,0.112565,0.0350111
0.216426,0.0905712,0.0290036
0.20457,0.0869463,0.0307211
0.207847,0.106369,0.036547
0,0,0
0.218124,0.121755,0.0366093
0.215124,0.109338,0.0311072
0.400712,0.199066,0.0616788
0.205965,0.125039,0.0363861
0.210978,0.127362,0.0320855
0,0,0
0.39524,0.219612,0.0538874
0,0,0
0.384147,0.234208,0.0542504
0,0,0
0.37475,0.251754,0.0524545
0.182867,0.123242,0.0248253
0.183346,0.127398,0.0237935
0.179963,0.127127,0.0218196
0.173532,0.129597,0.0218347
