or_w,or_x,or_y,or_z
7.738409502046206256e-01,-5.492941398380588036e-02,6.163078067308483954e-01,-1.353426415746966649e-01
7.738409828101054933e-01,-5.492935592115272270e-02,6.163077535871906987e-01,-1.353427207125969811e-01
7.738519220944125587e-01,-5.496748916801946772e-02,6.162826555956881780e-01,-1.353789725816875178e-01
7.738450155006836306e-01,-5.518928966666026420e-02,6.162089858347910010e-01,-1.356632598284975011e-01
7.737228051437047283e-01,-5.555698912688950691e-02,6.162045536877891472e-01,-1.362291810668483927e-01
7.735664172472100919e-01,-5.564094439613016113e-02,6.162697746117552500e-01,-1.367868718627565094e-01
7.735967473004550232e-01,-5.493633731147559013e-02,6.162612954009195620e-01,-1.369382605400556729e-01
7.739708131674469804e-01,-5.322457595867883390e-02,6.160557501588158624e-01,-1.364244757189789214e-01
7.747610800851685298e-01,-5.054696142004519444e-02,6.155801567352866543e-01,-1.350975355445969972e-01
7.759560520238550918e-01,-4.720925788805674372e-02,6.148248599500020228e-01,-1.328679151814751436e-01
7.775836912635590847e-01,-4.348145387472866774e-02,6.136972594762506450e-01,-1.298023110781064138e-01
7.796310057677344751e-01,-3.959299411749742786e-02,6.121251535063340077e-01,-1.261375681835094353e-01
7.820614948594103444e-01,-3.574383958850300275e-02,6.100913508905325688e-01,-1.220276188340207735e-01
7.847830780113449478e-01,-3.208883714073142851e-02,6.076658254435327589e-01,-1.175928211500375797e-01
7.877474155598110928e-01,-2.864504743032570203e-02,6.048588709218263304e-01,-1.130451980569105730e-01
7.908941973318287522e-01,-2.545761082842679449e-02,6.017242175945149985e-01,-1.084723219905408265e-01
7.941547169847600340e-01,-2.269055711162353689e-02,5.983616914966020106e-01,-1.037627594956160859e-01
7.974459450964113127e-01,-2.035562044432167109e-02,5.948525714472134851e-01,-9.907588812751531859e-02
8.007283419112309897e-01,-1.832894864779676183e-02,5.912360683853752352e-01,-9.454143822558029597e-02
8.039858446184856566e-01,-1.668859470346232762e-02,5.875586469344462603e-01,-9.001715876701785191e-02
8.071659344828289173e-01,-1.544307609320590309e-02,5.839042310567595928e-01,-8.544304866550189725e-02
8.102593676942795309e-01,-1.437007080674846879e-02,5.802838846724025501e-01,-8.089419829741328893e-02
8.132699690961171513e-01,-1.347057666445723723e-02,5.766940359256442772e-01,-7.638383244194876798e-02
8.162209238532119882e-01,-1.290346430611005735e-02,5.731068189929415801e-01,-7.187126057682578784e-02
8.191038524461775605e-01,-1.256302777148015672e-02,5.695414048037023003e-01,-6.733229132644094617e-02
8.219110930569589746e-01,-1.242283627401940746e-02,5.660199384252244670e-01,-6.268379020072743779e-02
8.246348491584528650e-01,-1.252209332431579621e-02,5.625509029746837975e-01,-5.794000599379254407e-02
8.273058176046406142e-01,-1.270130981607982962e-02,5.590823932544485286e-01,-5.320374459896064223e-02
8.299722701336657016e-01,-1.293096854739472085e-02,5.555418743476768784e-01,-4.849790415951837214e-02
8.326225330183790740e-01,-1.334846774470534354e-02,5.519538204066317677e-01,-4.368656609817951619e-02
8.352383281136944726e-01,-1.396242203993068934e-02,5.483551476365318145e-01,-3.858261371572262177e-02
8.378182854137998792e-01,-1.468996561346103298e-02,5.447401823224722328e-01,-3.320932549504293507e-02
8.404114500488131245e-01,-1.551563093161745580e-02,5.410169179363436553e-01,-2.772281245301132929e-02
8.430375017033802099e-01,-1.629329492837794033e-02,5.371489704200870241e-01,-2.220997160602936060e-02
8.456806731443088365e-01,-1.713220812517960226e-02,5.331606620912655581e-01,-1.644368916477086454e-02
8.482974831406675520e-01,-1.812327824985572253e-02,5.291072726825246653e-01,-1.041253461688130925e-02
8.508900536870473985e-01,-1.905140804668968568e-02,5.249802806742981387e-01,-4.343419278331571605e-03
8.534909470343847726e-01,-2.006762555792631839e-02,5.207177359609636014e-01,1.879678297966716266e-03
8.560544515702792623e-01,-2.120561437387192411e-02,5.163832142627220456e-01,8.335100085464999461e-03
8.585505495483493066e-01,-2.226475751000589129e-02,5.120271347703703180e-01,1.494816718173134357e-02
8.609607508096910333e-01,-2.336667226672829722e-02,5.076647507682443550e-01,2.184227597593530606e-02
8.633248787916728562e-01,-2.436567165546552061e-02,5.032384641898711708e-01,2.876657546426098291e-02
8.656140381121260052e-01,-2.535802298372771477e-02,4.987656945774338046e-01,3.608447874454648319e-02
8.678122029069411658e-01,-2.619839371450986484e-02,4.942891699390185578e-01,4.351828504867057829e-02
8.699310712156843595e-01,-2.681198542843098859e-02,4.897969914597372076e-01,5.098976297167612942e-02
8.719641124924165654e-01,-2.740188774860676316e-02,4.852576838001882442e-01,5.875970886586735775e-02
8.739279854554012905e-01,-2.791446764545417458e-02,4.806675829677944378e-01,6.655323747071442697e-02
8.757788225502233237e-01,-2.826252217117065230e-02,4.761052461379621792e-01,7.440751583663472724e-02
8.775235349034000709e-01,-2.847706333892376096e-02,4.715542163110595375e-01,8.232936070135943307e-02
8.791395249549620594e-01,-2.876462603426197320e-02,4.670173521754851786e-01,9.044934890905230451e-02
8.806845949511379334e-01,-2.889399620862646151e-02,4.624550540102290164e-01,9.846372031993423646e-02
8.821135155037203024e-01,-2.893676052093644563e-02,4.579161118738826475e-01,1.065422176535089915e-01
8.834094381683085251e-01,-2.888943321252219337e-02,4.534378659253630039e-01,1.146615321233128149e-01
8.845681962944603738e-01,-2.880045584345803864e-02,4.489998464377273346e-01,1.229177682292967727e-01
8.856631856792095414e-01,-2.847949749291043067e-02,4.445650650882483901e-01,1.309638983009695223e-01
8.866584898906957335e-01,-2.825751190686227529e-02,4.400819586816469564e-01,1.391621535062948500e-01
8.875777751627507151e-01,-2.788311821112442537e-02,4.356231839818122120e-01,1.471756309091760972e-01
8.883953288065353782e-01,-2.744580575783225895e-02,4.311736560129150186e-01,1.552087170924615622e-01
8.891002833374714864e-01,-2.697394979240315752e-02,4.267651923353222299e-01,1.632316232009601853e-01
8.897238728610458169e-01,-2.651257420898780331e-02,4.223243258259244959e-01,1.712620135512628872e-01
8.902772734161702450e-01,-2.592102017450590573e-02,4.178945571504336098e-01,1.791608669766522055e-01
8.907446731047570232e-01,-2.533734317062953656e-02,4.134555667683604829e-01,1.870466270340284953e-01
8.910625688922005905e-01,-2.474616196965938666e-02,4.091038879497680969e-01,1.950106013820458728e-01
8.913208517353453653e-01,-2.386995656682782546e-02,4.048353662585324475e-01,2.026960548742773593e-01
8.914545423029792692e-01,-2.304696828491000285e-02,4.005778729734599253e-01,2.105112917264032046e-01
8.914779555077089190e-01,-2.211152136151134026e-02,3.964273592154274328e-01,2.182280557865035053e-01
8.914575644569223689e-01,-2.096306274481929063e-02,3.922394396517784321e-01,2.258587672740372809e-01
