joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
7.853969041176107613e-01,3.291287576277094132e-03,1.326410475653925225e+00,1.221808985036569650e+00,1.605666967911156151e+00,-9.075001568826510656e-01,1.570786617805960850e+00
7.853969041176107613e-01,3.291167803057312713e-03,1.326410295885012358e+00,1.221808865154266899e+00,1.605666967911156151e+00,-9.075001568826510656e-01,1.570786617805960850e+00
7.853848000410958985e-01,3.275827995195984468e-03,1.326355527998562822e+00,1.221748884078430519e+00,1.605704550434962075e+00,-9.075724216948318768e-01,1.570712195766827080e+00
7.853167296914350670e-01,3.181811689987765809e-03,1.325983777340719039e+00,1.221441488727855962e+00,1.605705700956003845e+00,-9.079804246956104663e-01,1.570264285376414826e+00
7.852182792681842161e-01,2.972806876054093998e-03,1.325295762987132031e+00,1.221038998567679501e+00,1.605353844150000153e+00,-9.086598703552446477e-01,1.569465656636451989e+00
7.851681252686900647e-01,2.692615645249906223e-03,1.324607269213416760e+00,1.220764499837307282e+00,1.604749359836238121e+00,-9.089166322861967906e-01,1.569017925905869637e+00
7.851424191868313640e-01,2.473304334845750040e-03,1.324201902859719393e+00,1.220789007641552848e+00,1.604546203337005261e+00,-9.081142285081493792e-01,1.569703723254976646e+00
7.850820785731695839e-01,2.459222909373671908e-03,1.324364708590239470e+00,1.221134632684019561e+00,1.605239179159867691e+00,-9.059220142486715810e-01,1.571954480548071853e+00
7.849493532650241301e-01,2.675358375041297140e-03,1.325279344565794215e+00,1.221764104113072236e+00,1.607059918327173653e+00,-9.024092581350373621e-01,1.575827422440690295e+00
7.847663541841646273e-01,3.119853265194312813e-03,1.327210722314102531e+00,1.222659984780506415e+00,1.610028650601194045e+00,-8.978831159713818177e-01,1.581003409152650585e+00
7.844975479542244390e-01,3.497116654557312632e-03,1.330080644539779922e+00,1.223619262133119223e+00,1.614134350213457525e+00,-8.928418319165241090e-01,1.587004329988863649e+00
7.840743251369703959e-01,3.630381269441062576e-03,1.333697423694794271e+00,1.224292475876500141e+00,1.619239917537119711e+00,-8.876092197423766095e-01,1.593444292979403265e+00
7.835726054821990916e-01,3.395070962134468916e-03,1.338015819317822208e+00,1.224441499723680549e+00,1.625094642832201730e+00,-8.822940362595779185e-01,1.600054132247421101e+00
7.830687288186410910e-01,2.768595608905547074e-03,1.342940616607876558e+00,1.224019175641907209e+00,1.631414643758335448e+00,-8.770291865451860236e-01,1.606629217319498926e+00
7.825504110827022908e-01,1.736514137373640658e-03,1.348198275893007558e+00,1.222869349241348713e+00,1.638028114292940707e+00,-8.718442116057542046e-01,1.613087396311420951e+00
7.820679261561799267e-01,3.402920798602500460e-04,1.353674407530589097e+00,1.220990162837184645e+00,1.644780505879996246e+00,-8.667617017831806825e-01,1.619365871840439786e+00
7.818581422709023343e-01,-1.338817633065500154e-03,1.359534693553744678e+00,1.218522251351555230e+00,1.651501738627550120e+00,-8.618079025751453903e-01,1.625379076522080357e+00
7.819211793091722651e-01,-3.137470073228422300e-03,1.365605781970878452e+00,1.215482932159445140e+00,1.658063629097764391e+00,-8.569482994412309651e-01,1.631078114739237916e+00
7.821604444234763198e-01,-5.032535591992125766e-03,1.371628094653210228e+00,1.211962566083031545e+00,1.664446235507694327e+00,-8.521826525077488279e-01,1.636457653529305611e+00
7.827219652760879498e-01,-6.986024152987250872e-03,1.377769590524953625e+00,1.208095676119587791e+00,1.670635752128439622e+00,-8.475268411074644570e-01,1.641491687050126602e+00
7.837192325559870776e-01,-8.875457057928890642e-03,1.384095883057600895e+00,1.204057651496276637e+00,1.676587597491368431e+00,-8.429068625165965223e-01,1.646188125024778515e+00
7.850543350375778218e-01,-1.083895246417889216e-02,1.390358958783065590e+00,1.200010638645494065e+00,1.682295444254350958e+00,-8.382811314296036986e-01,1.650573692261986691e+00
7.866799952421361652e-01,-1.293571237622956338e-02,1.396506147155240907e+00,1.195938339137288420e+00,1.687735802903675975e+00,-8.337548694927283677e-01,1.654645332690234394e+00
7.887084451490034009e-01,-1.505512262587134498e-02,1.402716252683383402e+00,1.191677587594230925e+00,1.692936956499839773e+00,-8.292969774476464107e-01,1.658373984504930565e+00
7.911595186797765189e-01,-1.724146461600445379e-02,1.408944993637343490e+00,1.187377887392713438e+00,1.697913477843948415e+00,-8.248362093181265120e-01,1.661774508311974374e+00
7.940451402511407020e-01,-1.956526579262445401e-02,1.415180505596129068e+00,1.183146017885334134e+00,1.702650698141786823e+00,-8.204797038855092817e-01,1.664894361577168747e+00
7.973813687466083655e-01,-2.193898120413289091e-02,1.421438068699157453e+00,1.178918163180645351e+00,1.707135674380703350e+00,-8.162146381067120204e-01,1.667771354567969988e+00
8.010696337515426091e-01,-2.443919011661662560e-02,1.427551281728570709e+00,1.174673051096664755e+00,1.711437052454495289e+00,-8.119239260235827649e-01,1.670427717979368287e+00
8.050718255654373268e-01,-2.712629303034733153e-02,1.433483053601646517e+00,1.170285266854976802e+00,1.715626833303377508e+00,-8.075881533571264148e-01,1.672887480086397094e+00
8.094807021111115608e-01,-2.990711259807064121e-02,1.439392295128516963e+00,1.165750555997368432e+00,1.719717384854014375e+00,-8.033287200830679931e-01,1.675185634958685332e+00
8.144022637789024577e-01,-3.282071736054934658e-02,1.445451219582525981e+00,1.161271811412905697e+00,1.723728456903133255e+00,-7.991755869596455231e-01,1.677330391752360095e+00
8.198019360326999072e-01,-3.590767389645811020e-02,1.451589299954010315e+00,1.156899726516904536e+00,1.727682580080554864e+00,-7.950901646480582619e-01,1.679332236732804962e+00
8.255888785211151770e-01,-3.921034647359911141e-02,1.457647745096974035e+00,1.152376820084595410e+00,1.731610337790727483e+00,-7.910560948317445495e-01,1.681173732751815475e+00
8.316404926635605488e-01,-4.284462266342770748e-02,1.463502458392917482e+00,1.147693025493196739e+00,1.735508950073221257e+00,-7.869993747869228340e-01,1.682893528925718751e+00
8.380878858479667848e-01,-4.683770647663133141e-02,1.469398037918751232e+00,1.142974356823555304e+00,1.739392126489295087e+00,-7.830527898174316492e-01,1.684486292291908383e+00
8.450117118115547665e-01,-5.094733683216527004e-02,1.475427660912646655e+00,1.138189475270907192e+00,1.743238008011823270e+00,-7.791428165105345194e-01,1.685996963769575085e+00
8.521837910078351452e-01,-5.522936033903870501e-02,1.481255709395557840e+00,1.133345331718073945e+00,1.747049375124833714e+00,-7.752001264614307718e-01,1.687457061823312454e+00
8.596789650094601720e-01,-5.971637396623850208e-02,1.487079143882430676e+00,1.128313754857255491e+00,1.750873876887648173e+00,-7.713365321159431076e-01,1.688818409802583131e+00
8.675947851769507668e-01,-6.424341497445780480e-02,1.493049085451705338e+00,1.123165451685193883e+00,1.754679203765190376e+00,-7.674365058767740333e-01,1.690150636199736045e+00
8.758072149965833164e-01,-6.889059768509625536e-02,1.498967015554831583e+00,1.118150353241406325e+00,1.758489803805995733e+00,-7.634663718342109551e-01,1.691432648710784692e+00
8.843688651278546198e-01,-7.365264934940653208e-02,1.505010899852194939e+00,1.113284937615673931e+00,1.762276818863579786e+00,-7.595650872126527009e-01,1.692662769419821744e+00
8.930995526877330004e-01,-7.850104725136974881e-02,1.510908037302550522e+00,1.108369907406268950e+00,1.766076105854719414e+00,-7.555639140165414380e-01,1.693884680972731482e+00
9.021718505964707591e-01,-8.359763849941535818e-02,1.517030957526003032e+00,1.103658129623755535e+00,1.769909715443692244e+00,-7.516454320113844512e-01,1.695090713411041561e+00
9.114179198121570291e-01,-8.880598263392308622e-02,1.523128710974335220e+00,1.099126474728580938e+00,1.773754063170875472e+00,-7.475944643536045486e-01,1.696262950384585411e+00
9.206832236470090525e-01,-9.420241915637404817e-02,1.529060902271846434e+00,1.094771886867394128e+00,1.777620845185705178e+00,-7.434906462717223441e-01,1.697427277744134599e+00
9.301687377459121331e-01,-9.976507690960420560e-02,1.535204195723634202e+00,1.090528033056719748e+00,1.781517348063267336e+00,-7.394149312632575244e-01,1.698613536256540657e+00
9.397074616976599515e-01,-1.053942471970564648e-01,1.541341077599339027e+00,1.086246249314452017e+00,1.785420082813449660e+00,-7.352626369887058644e-01,1.699757430610227660e+00
9.492111318022523614e-01,-1.111328332660219964e-01,1.547417858625987908e+00,1.082184136311330702e+00,1.789329049436252150e+00,-7.311277198666655819e-01,1.700896950623398629e+00
9.587008402545923458e-01,-1.169354752092071625e-01,1.553491343925597290e+00,1.078247917724919791e+00,1.793235810835547062e+00,-7.269591870487718266e-01,1.702073681601595112e+00
9.683338800536809288e-01,-1.226867046614258522e-01,1.559840945766710618e+00,1.074358557301880568e+00,1.797099429092045453e+00,-7.228043162319147674e-01,1.703257543231525561e+00
9.778172369256310503e-01,-1.284950391050429797e-01,1.566055245757373315e+00,1.070449363066327431e+00,1.800963814246216099e+00,-7.185935989151316372e-01,1.704429959973982278e+00
9.872279693384916621e-01,-1.343531679012456848e-01,1.572316044591748119e+00,1.066670677025356895e+00,1.804809695943277115e+00,-7.144301592952386759e-01,1.705628142793990554e+00
9.965821961714681487e-01,-1.401523942350886009e-01,1.578637123935008768e+00,1.063043112171909943e+00,1.808638128362095587e+00,-7.102179439405436057e-01,1.706858742923155869e+00
1.005921742276541409e+00,-1.460067479932066481e-01,1.585108425621229111e+00,1.059616882173924468e+00,1.812447482063283433e+00,-7.060827271672878158e-01,1.708085448241016824e+00
1.015004106917143822e+00,-1.519035259057367193e-01,1.591343338495749604e+00,1.056173874216775666e+00,1.816225293301600541e+00,-7.018275483514424540e-01,1.709345289834603099e+00
1.024067236938580594e+00,-1.578332604341622647e-01,1.597819793375663711e+00,1.052659500292009831e+00,1.819973479495761159e+00,-6.977564473390160948e-01,1.710645758002556693e+00
1.032901108690968295e+00,-1.637416631121619837e-01,1.604165080981037272e+00,1.049147643022939391e+00,1.823678522372592425e+00,-6.935936069124712944e-01,1.711928489480173399e+00
1.041604771899988791e+00,-1.696755921031075642e-01,1.610577240440292046e+00,1.045702717712526209e+00,1.827373306902223549e+00,-6.894726514426833264e-01,1.713233212106340275e+00
1.050181402301295863e+00,-1.755074755107134121e-01,1.617036677814603474e+00,1.042308365716959839e+00,1.831064160601318047e+00,-6.853671555539765370e-01,1.714577542470924865e+00
1.058638789626581422e+00,-1.813093982691645067e-01,1.623598520310080007e+00,1.038857208599376580e+00,1.834783968090939466e+00,-6.813258951993189649e-01,1.715909888750380752e+00
1.066878303792764715e+00,-1.870682377932454954e-01,1.630066825920476470e+00,1.035402995410276583e+00,1.838525826593904400e+00,-6.772194405794385030e-01,1.717251283034834541e+00
1.074986171155196013e+00,-1.927983151639511283e-01,1.636575158802809682e+00,1.031912769751930581e+00,1.842252441042133704e+00,-6.732198853035420427e-01,1.718618503283450005e+00
1.083088705664103868e+00,-1.985118543400991309e-01,1.643248634411528464e+00,1.028646948601989353e+00,1.845898617628553673e+00,-6.692496314877591779e-01,1.719957321025598507e+00
1.090893551907393233e+00,-2.042696152507036400e-01,1.649579720600043986e+00,1.025506841990762696e+00,1.849474518532722600e+00,-6.651391621742713811e-01,1.721320766236129174e+00
1.098706187991457695e+00,-2.100495469696878059e-01,1.656112021979884164e+00,1.022436004224976269e+00,1.852992032413892209e+00,-6.611470969788512120e-01,1.722721602289681186e+00
1.106384900380680270e+00,-2.157443907243252190e-01,1.662563849282333139e+00,1.019545469115440861e+00,1.856478578918179245e+00,-6.570888190095077741e-01,1.724111712422327081e+00
1.113869288465706431e+00,-2.216272669802959727e-01,1.668816019427062258e+00,1.016698256895798291e+00,1.860022170461804958e+00,-6.530315596579477910e-01,1.725536816515518712e+00
1.121356073433208200e+00,-2.273822115839894409e-01,1.675190668379159309e+00,1.014140823327779550e+00,1.863508237698679793e+00,-6.489738808819524030e-01,1.726964617142401570e+00
1.128724154631426613e+00,-2.330860435660982166e-01,1.681471960106005969e+00,1.011575420259155811e+00,1.867014821804487301e+00,-6.448552622989471850e-01,1.728383189777207507e+00
1.136001035940431114e+00,-2.389236193650529083e-01,1.687751454252808481e+00,1.009295721043772520e+00,1.870557646275907704e+00,-6.408027367166454491e-01,1.729837775099425379e+00
1.143157895211152963e+00,-2.446143285437801518e-01,1.693956466473867106e+00,1.007122921172373342e+00,1.874055218374132803e+00,-6.366768677086864781e-01,1.731266774113004558e+00
1.150227808941790553e+00,-2.503293657578400389e-01,1.700164175119533994e+00,1.005020168999591901e+00,1.877536396071113778e+00,-6.325878502370104739e-01,1.732710573627706863e+00
1.157232708176118230e+00,-2.560660943601512640e-01,1.706441991568594663e+00,1.003171662320233581e+00,1.880936272666438480e+00,-6.285441330041843244e-01,1.734198055570127295e+00
1.164065274363882185e+00,-2.617977896510716440e-01,1.712533752756196348e+00,1.001208586338419027e+00,1.884286103341782814e+00,-6.243884233384564553e-01,1.735676369625246851e+00
1.170806580666739372e+00,-2.675248709459535079e-01,1.718657691706515500e+00,9.994804011303924929e-01,1.887630277230494924e+00,-6.202707634866247988e-01,1.737162233756535556e+00
1.177553579360945069e+00,-2.731980830898663726e-01,1.724945395118528513e+00,9.979972335327950139e-01,1.890976656342714390e+00,-6.162001416761606620e-01,1.738665055615900457e+00
1.184087678429912804e+00,-2.789245053047901823e-01,1.731026250725394400e+00,9.964739186718750696e-01,1.894364165360440611e+00,-6.120646853564652989e-01,1.740156072940882925e+00
1.190482700501262148e+00,-2.846528449820612816e-01,1.737109203563520499e+00,9.952475728918396269e-01,1.897692711920114128e+00,-6.079624850857147100e-01,1.741686278688931111e+00
1.196926378534193480e+00,-2.902669150080917637e-01,1.743381806823194768e+00,9.943380302233686407e-01,1.900935067838237291e+00,-6.039084615745843321e-01,1.743210911709767164e+00
1.203141517373726765e+00,-2.959552274134264471e-01,1.749471590661838993e+00,9.934243528699044923e-01,1.904123446831310407e+00,-5.998544978409806605e-01,1.744741956415769124e+00
1.209143816474631983e+00,-3.017714113662623987e-01,1.755519789304025302e+00,9.922559509301381864e-01,1.907354681511452599e+00,-5.958944905259753178e-01,1.746300444897064263e+00
1.215159118387532544e+00,-3.074264076178760963e-01,1.761754402527330177e+00,9.912380107706882937e-01,1.910578150523629670e+00,-5.919362209044044532e-01,1.747842874603930063e+00
1.221114319342294197e+00,-3.131357522224210155e-01,1.767937963015660197e+00,9.906045246480282840e-01,1.913849076783443737e+00,-5.880103685919908507e-01,1.749425990662690555e+00
1.226903838482097830e+00,-3.189278480136130134e-01,1.773948531159302400e+00,9.899277156354754359e-01,1.917138890472802393e+00,-5.840565929750727303e-01,1.750993647140369758e+00
1.232681133772166815e+00,-3.245647480370643101e-01,1.780057070306067413e+00,9.892767923646110795e-01,1.920407036423121161e+00,-5.801449419704339805e-01,1.752555551231007147e+00
1.238497737258521081e+00,-3.302326272183707667e-01,1.786197547450944167e+00,9.890256030517879937e-01,1.923599058791003680e+00,-5.762951895039789552e-01,1.754131956171552043e+00
1.244134217748454008e+00,-3.360103419328751007e-01,1.792077966937829281e+00,9.887882555089142489e-01,1.926660309048704223e+00,-5.723600494219613921e-01,1.755695777615453590e+00
1.249722821348148383e+00,-3.419083183411845694e-01,1.797983133775399534e+00,9.885098019715445883e-01,1.929586760896176090e+00,-5.684663148765725094e-01,1.757268527400216662e+00
1.255363256754161716e+00,-3.477638704859988827e-01,1.803985912187350049e+00,9.882421343507737932e-01,1.932444375387231794e+00,-5.645867216432655100e-01,1.758828573915116600e+00
1.260894695584930947e+00,-3.536285906271973145e-01,1.809808627707654827e+00,9.879034001954353217e-01,1.935276487476352170e+00,-5.606872346017516273e-01,1.760395930741580406e+00
1.266400308451538725e+00,-3.595019993446514350e-01,1.815518931043373252e+00,9.876643748457371030e-01,1.938134581234819853e+00,-5.568105775576585037e-01,1.761987375838770964e+00
1.272085265134140997e+00,-3.651667027903044427e-01,1.821316779221607174e+00,9.877728920008527203e-01,1.940971199414998072e+00,-5.529315236310897719e-01,1.763552096236319366e+00
1.277829963346140074e+00,-3.708293088956143291e-01,1.827067469476170603e+00,9.880437954620530094e-01,1.943836004313497900e+00,-5.490825501268955522e-01,1.765153488183071939e+00
1.283421742681488009e+00,-3.766380027679738784e-01,1.832539286768929188e+00,9.883966110428635821e-01,1.946700905205106302e+00,-5.451603529702637729e-01,1.766758775159295025e+00
1.289015259819353609e+00,-3.825349005628068122e-01,1.838053588211792766e+00,9.887715974320537837e-01,1.949538865543477772e+00,-5.412975376961201013e-01,1.768377724136554807e+00
1.294669297339793745e+00,-3.884778776678336487e-01,1.843736088125309536e+00,9.891764244790128835e-01,1.952294086803423534e+00,-5.375256227690580202e-01,1.770007219156724654e+00
1.300176647899836002e+00,-3.945199044985426284e-01,1.849248591988128521e+00,9.893161006699795479e-01,1.954984209725805444e+00,-5.337114634564966709e-01,1.771631141558765332e+00
1.305583450696284231e+00,-4.005271769151455552e-01,1.854651499973272388e+00,9.893050752069411091e-01,1.957446824093527882e+00,-5.298914917612004283e-01,1.773297308346305501e+00
1.311190150524141229e+00,-4.063230477444222943e-01,1.860258439456651924e+00,9.896221777515551432e-01,1.959642334145494935e+00,-5.261424067224760304e-01,1.774965812020628197e+00
1.316869235046481901e+00,-4.120549825817822476e-01,1.865802162132848885e+00,9.901349228693647753e-01,1.961821929063630066e+00,-5.224254994464693214e-01,1.776651393305329840e+00
1.322351478608930542e+00,-4.179035240662485329e-01,1.871042504152078401e+00,9.906172279178913076e-01,1.964034216965677260e+00,-5.186680254827048531e-01,1.778340090439075150e+00
1.327858649400060154e+00,-4.237994631299078496e-01,1.876419226635235304e+00,9.911906730781051555e-01,1.966316972187127421e+00,-5.149936021386369855e-01,1.780005837802179691e+00
1.333419150035420442e+00,-4.297623340431415695e-01,1.881996445234065840e+00,9.918533408876589741e-01,1.968706818367896627e+00,-5.114011510189553356e-01,1.781694654709144787e+00
1.338727802059833438e+00,-4.358962198430226809e-01,1.887388387642781051e+00,9.922283871634590691e-01,1.971043071072452024e+00,-5.077859297884628198e-01,1.783367053303855032e+00
1.343890905733017949e+00,-4.419950517957483282e-01,1.892739943241734446e+00,9.922944202775528799e-01,1.973172524077497991e+00,-5.041840111302646754e-01,1.785096257129665132e+00
1.349218253288024583e+00,-4.479241871308257128e-01,1.898390625148525190e+00,9.923596743203025872e-01,1.975178299735763421e+00,-5.007118215953050289e-01,1.786851766339764946e+00
