pos_X,pos_Y,pos_Z
0.318886,-0.329314,0.906613
0.318886,-0.329314,0.906613
0.318886,-0.329314,0.906613
0.318884,-0.329314,0.906617
0.318879,-0.329309,0.906649
0.318918,-0.32923,0.906841
0.319029,-0.329067,0.907252
0.319188,-0.328852,0.907857
0.319364,-0.328559,0.908715
0.319531,-0.32819,0.909848
0.319675,-0.327758,0.911226
0.319778,-0.327293,0.912804
0.31985,-0.326778,0.914562
0.319913,-0.326218,0.916426
0.320008,-0.32557,0.918373
0.320192,-0.324762,0.9204
0.320425,-0.323817,0.922526
0.320641,-0.322785,0.924769
0.320829,-0.321704,0.927069
0.321088,-0.320497,0.929381
0.321403,-0.31917,0.9317
0.321658,-0.317814,0.934088
0.321832,-0.316458,0.93652
0.322032,-0.31503,0.938931
0.32225,-0.313546,0.941312
0.322385,-0.312073,0.943725
0.322442,-0.310574,0.946212
0.322481,-0.309014,0.948734
0.322478,-0.307442,0.951257
0.32237,-0.305921,0.953791
0.322208,-0.30433,0.956417
0.322046,-0.302672,0.959044
0.321746,-0.301135,0.961659
0.321237,-0.299787,0.964269
0.320708,-0.298376,0.966912
0.320298,-0.296809,0.969502
0.319804,-0.29534,0.972029
0.319039,-0.294164,0.974541
0.318168,-0.293069,0.97706
0.317425,-0.291822,0.979515
0.316708,-0.290538,0.98192
0.315814,-0.289441,0.984316
0.314751,-0.288489,0.986741
0.31368,-0.287537,0.989135
0.312603,-0.286583,0.991488
0.311415,-0.285723,0.993842
0.310103,-0.284926,0.996247
0.308746,-0.284175,0.998615
0.307267,-0.283559,1.00097
0.305633,-0.28312,1.0033
0.303903,-0.282707,1.00567
0.302182,-0.282269,1.00802
0.300407,-0.281883,1.01034
0.298504,-0.281664,1.01262
0.296501,-0.281493,1.01494
0.294554,-0.281271,1.01721
0.292583,-0.281087,1.01944
0.2905,-0.281076,1.02162
0.288318,-0.28114,1.02382
0.286127,-0.28124,1.02597
0.283869,-0.281446,1.02807
0.281552,-0.281787,1.03009
0.279158,-0.282155,1.03215
0.276735,-0.282541,1.0342
0.27427,-0.283008,1.03618
0.271797,-0.283545,1.03809
0.269271,-0.28408,1.04003
0.266672,-0.284643,1.04198
0.264022,-0.285299,1.04388
0.261378,-0.285993,1.04572
0.258743,-0.286634,1.04756
0.256044,-0.287277,1.04943
0.253273,-0.288021,1.05126
0.250475,-0.288829,1.05304
0.247732,-0.289605,1.05477
0.244976,-0.290339,1.05653
0.242138,-0.291161,1.05827
0.239247,-0.292076,1.05997
0.236415,-0.29297,1.06162
0.233665,-0.29378,1.06324
0.230902,-0.294554,1.06488
0.228067,-0.295413,1.0665
0.225222,-0.296332,1.06807
0.222462,-0.297206,1.06958
0.219748,-0.298009,1.07108
0.217009,-0.2988,1.0726
0.214234,-0.299631,1.07408
0.211508,-0.300461,1.07552
0.20884,-0.30128,1.07689
0.206196,-0.302068,1.07825
0.203527,-0.302833,1.07963
0.200892,-0.30358,1.08097
0.198327,-0.304304,1.08225
0.195826,-0.305024,1.08347
0.193305,-0.305782,1.08465
0.190763,-0.306541,1.08581
0.188272,-0.307255,1.08695
0.185911,-0.307914,1.08803
0.183637,-0.308549,1.08904
0.181415,-0.309191,1.08999
0.179241,-0.30989,1.09084
0.177186,-0.310653,1.09156
0.175308,-0.311445,1.09212
0.173676,-0.312253,1.09249
0.172287,-0.313072,1.09268
0.171056,-0.313954,1.09269
0.169943,-0.31493,1.09252
0.168892,-0.315989,1.0922
0.167856,-0.317119,1.09177
0.16681,-0.318248,1.09129
0.165741,-0.319328,1.09081
0.164671,-0.320351,1.09032
0.163624,-0.321372,1.0898
0.162594,-0.3224,1.08923
0.161559,-0.323445,1.08864
0.160546,-0.324546,1.08799
0.159624,-0.325711,1.08725
0.158847,-0.326895,1.08641
0.158249,-0.328045,1.08549
0.157879,-0.329137,1.08448
0.157662,-0.330182,1.0834
0.157505,-0.331221,1.08227
0.157301,-0.332298,1.08113
0.157069,-0.333477,1.07992
0.156807,-0.334748,1.07863
0.156576,-0.335995,1.07731
0.156308,-0.337161,1.07606
0.156101,-0.33827,1.07478
0.155952,-0.339345,1.07347
0.15581,-0.340376,1.07216
0.15556,-0.341379,1.07092
0.155233,-0.342396,1.06968
0.154927,-0.343411,1.06842
0.154711,-0.344322,1.06715
0.154496,-0.34513,1.06596
0.154268,-0.345936,1.06477
0.154089,-0.346716,1.06356
0.15399,-0.347429,1.06235
0.153888,-0.348097,1.06116
0.153763,-0.348818,1.05994
0.153594,-0.349644,1.05867
0.153432,-0.350468,1.05738
0.153294,-0.351208,1.05615
0.153262,-0.351885,1.05489
0.15333,-0.352524,1.0536
0.153431,-0.353131,1.0523
0.153451,-0.353717,1.05108
0.153449,-0.354299,1.04986
0.153454,-0.354888,1.0486
0.153444,-0.355455,1.04735
0.153349,-0.35599,1.04617
0.153233,-0.356487,1.04502
0.153154,-0.356922,1.04387
0.153092,-0.357309,1.04275
0.152992,-0.357649,1.04169
0.152868,-0.357935,1.04067
0.152763,-0.358194,1.03966
0.152656,-0.358453,1.03864
0.152474,-0.358761,1.03765
0.152185,-0.359135,1.03667
0.151946,-0.359475,1.03569
0.151814,-0.359717,1.03472
0.151771,-0.35987,1.03378
0.151675,-0.360012,1.03289
0.151521,-0.360188,1.03203
0.151344,-0.360384,1.03117
0.151141,-0.360574,1.03033
0.150826,-0.360765,1.02959
0.150368,-0.360936,1.02898
0.149838,-0.361058,1.02848
0.14933,-0.361132,1.02803
0.148764,-0.361197,1.02767
0.148102,-0.361279,1.02739
0.147386,-0.36137,1.02716
0.146637,-0.361444,1.02698
0.145872,-0.361469,1.02687
0.145053,-0.361462,1.02685
0.144197,-0.361448,1.02686
