joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.463766,-2.52181,0.35215,20.7091,-0.968412,-0.184898,-0.0110138
0.459733,-2.51509,0.356552,20.6906,-0.969293,-0.184231,-0.0103463
0.469143,-2.5245,0.353911,20.6932,-0.968412,-0.183897,-0.0113476
0.485274,-2.49896,0.343346,20.7927,-0.96225,-0.160201,-0.0126826
0.356226,-2.58768,0.431384,19.6068,-0.818749,0.090113,-0.102462
1.07002,-2.11585,1.34081,15.315,-0.635631,0.200251,-0.0801004
1.10632,-1.95319,1.14625,14.5508,-0.831954,-0.148186,0.120151
-2.26506,-2.68312,-2.36293,20.5312,-1.33905,-0.509305,0.151857
-6.97128,-5.66064,-7.49551,30.13,-2.10145,-0.68853,0.175887
-10.6263,-10.3857,-11.4502,37.4864,-2.12875,-0.682188,0.0817692
-13.3269,-16.2264,-14.2797,43.2898,-2.4897,0.0821029,0.169212
-15.1752,-21.7567,-16.1003,46.7638,-2.18245,-0.0527328,0.115812
-15.0637,-26.35,-16.0484,47.0983,-2.2476,0.328078,0.178557
-14.2759,-26.9993,-15.0659,46.4072,-1.92626,1.01127,0.140843
-13.6428,-22.9248,-13.858,42.1568,-1.63398,1.25858,0
-9.10864,-17.7065,-9.9544,38.8518,-2.29162,0.611433,0.157865
-3.65502,-9.71893,-4.52161,35.5883,-1.7898,0.757283,0.140509
-1.95723,-1.67897,-3.02145,31.7481,-1.5882,0.565042,0.100793
-2.26909,0.388488,-2.50115,25.0704,-0.829313,0.15386,0.144514
0.217768,5.02749,0.507976,22.8519,-1.33641,0.114811,0.110472
3.39154,8.96615,2.30042,23.0315,-1.78188,0.570382,0.137506
1.87388,10.5658,1.95707,20.9089,-1.61285,-0.20192,0.0844392
2.93584,11.3051,2.01078,17.4173,-0.308131,-0.146517,0.231957
6.62715,14.3015,6.1459,20.6844,-0.722788,-0.299375,0.155195
6.97397,15.5906,6.45315,22.0375,-1.92802,-0.159533,0.154193
6.80997,16.4644,5.68282,19.701,-1.53625,-0.599752,0.096788
9.33044,18.5627,7.82829,19.5091,-0.942001,-0.182562,0.136838
9.01992,20.4662,7.50079,21.0418,-1.55914,-0.227285,0.117814
7.46731,18.9136,6.25154,19.598,-1.9333,-0.728914,0.150188
10.2943,19.1112,8.83544,16.5871,-1.32496,-0.268336,0.178223
12.5539,20.8681,11.7548,17.7528,-0.928796,-0.553694,0.166542
9.62752,22.2083,9.08371,18.9025,-1.41124,-0.91982,0.127159
6.26017,20.2995,6.40913,17.4305,-1.36106,-0.842055,0.117814
8.51851,18.8612,7.48143,15.3643,-1.10223,-0.471591,0.143513
11.1156,19.9715,9.42265,17.4077,-1.25718,-0.787654,0.111473
10.8884,19.7672,9.1154,18.1912,-1.75811,-0.824033,0.105799
11.4127,16.2614,9.3487,15.9964,-1.20611,-0.815355,0.134168
9.57106,14.1321,8.33803,17.1242,-0.850442,-0.787654,0.130163
6.13381,15.104,4.29535,19.1578,-1.25277,-0.378141,0.130497
7.24954,11.8832,5.33067,19.4325,-1.27302,-0.767295,0.130831
11.5458,11.8267,9.2008,16.4137,-1.3056,-0.755614,0.136504
11.4544,9.92997,8.10297,19.4237,-1.06789,-0.429538,0.184231
6.45778,10.6935,3.31901,21.5023,-1.34169,-0.146851,0.129829
7.38665,9.42588,3.57696,19.9334,-1.05997,-0.519318,0.142512
10.3884,9.84125,6.91799,17.6392,-1.28183,-0.743599,0.156196
8.6368,8.64621,4.90193,20.2442,-1.30824,-0.309388,0.137172
5.36893,8.16901,1.48695,21.9742,-1.30031,-0.0110138,0.139174
7.65685,6.60295,4.11399,19.9933,-0.613621,-0.767963,0.167877
10.1141,5.81657,7.0069,17.6506,-0.981618,-1.00559,0.174886
7.99022,4.66589,4.77691,19.6139,-1.00275,-0.509305,0.155195
5.42808,5.17536,1.97908,19.3682,-1.16121,-0.152525,0.129162
6.48332,5.05707,3.35863,19.3286,-1.25718,-0.850733,0.128494
8.63277,3.5757,5.53756,16.8812,-0.729831,-0.933837,0.158198
5.51546,3.8795,3.21689,17.5107,-0.850442,-0.452901,0.176555
3.70206,3.6577,1.16121,17.5987,-1.23693,-0.0937842,0.133834
4.47097,1.97605,1.47991,19.105,-1.60933,-0.533669,0.159867
5.67273,-1.38323,2.01254,15.8705,0.154066,-0.449564,0.205257
3.86472,0.840156,0.642674,16.5959,-0.951685,-0.706219,0.150188
4.67799,-1.32677,0.858366,17.0432,-1.26598,-0.762289,0.123822
3.64829,-4.46425,-0.403212,19.0804,-0.709582,-0.424198,0.192908
2.32286,-6.05047,-1.96852,16.7826,0.0369757,-0.126826,0.198248
3.8795,-4.05157,-0.091559,15.9462,-1.40596,-0.65115,0.163872
6.72797,-4.32311,1.51336,16.6857,-1.21492,-0.445892,0.182896
4.63901,-6.47928,-0.301088,19.1605,-0.390006,0.147518,0.1859
2.175,-7.12587,-3.17463,18.3276,-0.654999,-0.446226,0.144514
3.31761,-4.96566,-1.72289,16.4973,-0.819629,-0.689865,0.142512
5.94024,-7.20787,0.786175,17.6225,-0.414657,-0.231624,0.173217
3.62006,-9.3506,-2.2608,18.3259,-0.713984,-0.0246976,0.159867
1.00953,-9.62483,-4.47407,19.6324,-1.2202,-0.251649,0.158866
3.55151,-8.77795,-2.69307,17.096,-0.240342,-0.18323,0.195245
3.04204,-10.879,-2.10586,16.1373,-0.264993,-0.407177,0.18857
1.54185,-14.5865,-3.83403,16.9939,-0.717506,-0.348437,0.147184
0.655994,-15.2747,-4.84118,18.3364,-0.763285,0.229621,0.146183
1.85641,-14.4843,-3.89566,17.1823,-0.453393,-0.181561,0.18323
1.16143,-17.3112,-3.66852,14.6477,-0.566081,-0.56938,0.154527
-2.81217,-19.4849,-6.84403,13.5789,-0.601296,0.0196913,0.149521
-3.05682,-22.1694,-7.30799,15.4268,-0.237701,0.18056,0.170213
-1.21117,-19.4688,-5.79903,15.6372,-0.843399,-0.264999,0.190906
0.707075,-21.5591,-4.21612,14.5429,-0.245625,-0.391491,0.187235
