joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
7.775065503764562180e-01,1.831483174186203378e-02,1.336225376033786771e+00,1.237456967210733394e+00,1.591213801096929004e+00,-8.967570781903346777e-01,1.554109729895918557e+00
7.775066103721491872e-01,1.831489173755499952e-02,1.336225256260566985e+00,1.237456967210733394e+00,1.591213513466668728e+00,-8.967568385348120286e-01,1.554109909664831424e+00
7.775012773004595923e-01,1.830134950973809349e-02,1.336170967685162525e+00,1.237397405559332642e+00,1.591137197898014888e+00,-8.966722898772034878e-01,1.554177860241272358e+00
7.774852185260303639e-01,1.820847181369934439e-02,1.335783278026109411e+00,1.237084916901673992e+00,1.590485064350398492e+00,-8.960566002224072957e-01,1.554763289595698428e+00
7.775473567197366265e-01,1.802247665701612461e-02,1.334981473441410049e+00,1.236560487240867978e+00,1.588910912280849574e+00,-8.946890204359664311e-01,1.556146389067996294e+00
7.777983063770370631e-01,1.785236050584940865e-02,1.334040472085872509e+00,1.236057509312790570e+00,1.586851159697534097e+00,-8.929079249172277022e-01,1.557893269588450424e+00
7.781606493829741344e-01,1.777751904228015711e-02,1.333140456842528021e+00,1.235615411305113209e+00,1.585496462884419255e+00,-8.916196807080917219e-01,1.558971310487873296e+00
7.785029189208746425e-01,1.783066911759809484e-02,1.332512483451387286e+00,1.234903428454019014e+00,1.586178125657616178e+00,-8.917781120980958764e-01,1.558301512244751663e+00
7.787411653083120555e-01,1.794763508436379718e-02,1.332378979180981027e+00,1.233870568020226210e+00,1.589471965821554589e+00,-8.939123228488606854e-01,1.555345663096773690e+00
7.788983383159269192e-01,1.808323658603021994e-02,1.333048477881970006e+00,1.232475304693886553e+00,1.595231488467504066e+00,-8.981252572792067790e-01,1.550065713230043052e+00
7.790470626209747840e-01,1.796117731218070321e-02,1.334845272746395528e+00,1.230731000715737711e+00,1.603150280799807703e+00,-9.042845496188139931e-01,1.542666532882583486e+00
7.790984748937751503e-01,1.740391080869897050e-02,1.337590079735789805e+00,1.228376759688000863e+00,1.612972935001212083e+00,-9.122064219336450952e-01,1.533432687625714941e+00
7.790471823941945706e-01,1.625678083274864280e-02,1.341075451851657663e+00,1.225418753422153006e+00,1.624426594325286466e+00,-9.214179764998310374e-01,1.523069329091847113e+00
7.790644996600961658e-01,1.453285008293518817e-02,1.345431298095233652e+00,1.222054901273396332e+00,1.637202736745975606e+00,-9.311041663742375407e-01,1.512503557089041273e+00
7.792202346254921697e-01,1.239330636956387580e-02,1.350668763920942261e+00,1.218263452075952769e+00,1.650971844100879604e+00,-9.405905192129283554e-01,1.502417933016892082e+00
7.795549540872233063e-01,9.882551414170093890e-03,1.356544509525179132e+00,1.214104326800882649e+00,1.665332013489481344e+00,-9.493810081888133245e-01,1.493084079412250853e+00
7.800910084044159198e-01,6.982309001512468881e-03,1.362593067705190952e+00,1.209485426823491361e+00,1.679827556723365367e+00,-9.575033765102350936e-01,1.484553348552225094e+00
7.808854426818585548e-01,3.798459966874562742e-03,1.368409012002504088e+00,1.204497053079345736e+00,1.693808736941041726e+00,-9.648557583627667134e-01,1.476825860428200299e+00
7.821034594234638204e-01,4.628906604480156482e-04,1.373830255871333117e+00,1.199355700790105450e+00,1.706831466808553799e+00,-9.716461400516414049e-01,1.469859490427897208e+00
7.838083352139411097e-01,-2.841579605820484383e-03,1.378792803651317067e+00,1.193968492041565410e+00,1.718630751240544763e+00,-9.778156190054162478e-01,1.463604144547514752e+00
7.859310410815392167e-01,-5.927157986120219074e-03,1.383195268511825393e+00,1.188142301243474641e+00,1.729199591117656531e+00,-9.832919902985203242e-01,1.457993010601615236e+00
7.884466496884942055e-01,-8.834650714648501282e-03,1.387029381628286595e+00,1.182214244412790549e+00,1.738636161559266924e+00,-9.882279330429988295e-01,1.452924642200206673e+00
7.913995027606484101e-01,-1.141904885599832886e-02,1.390420917207858986e+00,1.176319623618130361e+00,1.747019845899252966e+00,-9.926312368614609305e-01,1.448363745840611339e+00
7.948157859090719812e-01,-1.375201791991934389e-02,1.393419729816987251e+00,1.170386114051620297e+00,1.754464734041758955e+00,-9.965613436320875929e-01,1.444224214722532373e+00
7.986489401852765457e-01,-1.602350787009218860e-02,1.395891775878526975e+00,1.164343068712210716e+00,1.761172927958084999e+00,-1.000017114636626347e+00,1.440457273220251411e+00
8.027908680767478211e-01,-1.829457839582964221e-02,1.397651419555453911e+00,1.158269643299211227e+00,1.767266858306328237e+00,-1.003042532281259946e+00,1.437011928485402823e+00
8.072368357051445953e-01,-2.056043584126350174e-02,1.398740605909301049e+00,1.152169672846399262e+00,1.772867709754034626e+00,-1.005720527194299718e+00,1.433851748297056528e+00
8.121073446379607486e-01,-2.284606721260139250e-02,1.399451210495703091e+00,1.145901863242593244e+00,1.778124566056811018e+00,-1.008130734495182423e+00,1.430947491190791565e+00
8.173958631986441015e-01,-2.510761031321233003e-02,1.399853341118054040e+00,1.139609545943624846e+00,1.783106839831594570e+00,-1.010290651436889009e+00,1.428253197738717173e+00
8.229517498379658180e-01,-2.733769472675664364e-02,1.399769631309316198e+00,1.133292001873843269e+00,1.787893530963425626e+00,-1.012143172918937850e+00,1.425707868247213073e+00
8.286588175514210119e-01,-2.954279213409332847e-02,1.399173715798590178e+00,1.126858270799556916e+00,1.792566324177329751e+00,-1.013656061401084330e+00,1.423279504722474886e+00
8.346365488523876941e-01,-3.173105169565679923e-02,1.398349440754295792e+00,1.120394219538290104e+00,1.797179579498127344e+00,-1.015021004758610124e+00,1.420941622120382775e+00
8.409618227672513990e-01,-3.390882499183703325e-02,1.397459971553861369e+00,1.113923996465546074e+00,1.801766278063589688e+00,-1.016254421194686453e+00,1.418668993670123557e+00
8.473693683395508991e-01,-3.613573366972789441e-02,1.396108810188758209e+00,1.107374857239932675e+00,1.806376465444631707e+00,-1.017251928130108229e+00,1.416428422991196090e+00
8.537887783328427238e-01,-3.857248611950628292e-02,1.394318067362590119e+00,1.100901458322452342e+00,1.811057503768445542e+00,-1.018073386758408638e+00,1.414217513310207508e+00
8.604071265172864580e-01,-4.103997818070029974e-02,1.392458774766633045e+00,1.094434830518880242e+00,1.815809201048814048e+00,-1.018750855069085581e+00,1.412036983593726314e+00
8.671336322099372218e-01,-4.336677532406100349e-02,1.390410431051558815e+00,1.087896896525217816e+00,1.820632036553149202e+00,-1.019288826848625540e+00,1.409877246420932373e+00
8.738630142051920791e-01,-4.566067584721923700e-02,1.388037914026746700e+00,1.081535430263112385e+00,1.825523997218693850e+00,-1.019750878660202753e+00,1.407700252087012993e+00
8.807366862783690964e-01,-4.781783625954157818e-02,1.385613025997960657e+00,1.075242813422011556e+00,1.830485562138327360e+00,-1.020083920315109083e+00,1.405512711601100584e+00
8.876763913565567377e-01,-4.979703101147840705e-02,1.382999326505580218e+00,1.068961581472691380e+00,1.835497652594419327e+00,-1.020232045317725822e+00,1.403308872576153110e+00
8.946416827433832930e-01,-5.169599134154656550e-02,1.380206342974731992e+00,1.062897503824988821e+00,1.840582607230572876e+00,-1.020302931974297778e+00,1.401081544473826934e+00
9.017351454380096998e-01,-5.354935178154920927e-02,1.377431874987398830e+00,1.056956923493354461e+00,1.845744164891107930e+00,-1.020369264630524020e+00,1.398819402179867888e+00
9.087090655144820506e-01,-5.532175872403217315e-02,1.374280683026523731e+00,1.050968046847046589e+00,1.850938894977500082e+00,-1.020317372937595390e+00,1.396507345541937228e+00
9.156304348180677177e-01,-5.725109912769045517e-02,1.370941758106448027e+00,1.045092121473896851e+00,1.856238894423072994e+00,-1.020287771935349141e+00,1.394158437476806789e+00
9.226052536300206608e-01,-5.908630334383765947e-02,1.367562446376610286e+00,1.039366058796798553e+00,1.861575230052834762e+00,-1.020278244510222754e+00,1.391793470528163823e+00
9.294676605846365902e-01,-6.081856313208134496e-02,1.363865672564332998e+00,1.033634483388181202e+00,1.866948668938990474e+00,-1.020167390468324387e+00,1.389415980078570811e+00
9.363551144320700903e-01,-6.255232095823692884e-02,1.360145229796681177e+00,1.027983501939257804e+00,1.872403216940585091e+00,-1.020052521623735498e+00,1.387006851282081454e+00
9.432718098530072925e-01,-6.405598166647258340e-02,1.356372476020748286e+00,1.022276973532540767e+00,1.877863229917127397e+00,-1.019935256005754187e+00,1.384565125407521968e+00
9.500357063886794018e-01,-6.547952783514242314e-02,1.352279144095166252e+00,1.016693822777755774e+00,1.883357469672926721e+00,-1.019800373579738739e+00,1.382099431035455517e+00
9.567758740823668617e-01,-6.691853358489338599e-02,1.348141350779604952e+00,1.011072562104298189e+00,1.888879896321580709e+00,-1.019695631353624732e+00,1.379605873354577295e+00
9.634882384629357421e-01,-6.821276994567689045e-02,1.343902770154010273e+00,1.005381613270048380e+00,1.894387558531977156e+00,-1.019405433386648685e+00,1.377073906212894494e+00
9.700919059194762495e-01,-6.955560238143278229e-02,1.339464951795130920e+00,9.998377108249387746e-01,1.899909218282958667e+00,-1.018850024458904491e+00,1.374530494183737739e+00
9.766674703025992610e-01,-7.094067920268798400e-02,1.335003644249789900e+00,9.942762514584048139e-01,1.905447847521172022e+00,-1.018066016451151912e+00,1.371982707923148359e+00
9.831378732533391229e-01,-7.223815129481792052e-02,1.330374318002708112e+00,9.886016011631899580e-01,1.910975355521404406e+00,-1.016926376664761156e+00,1.369424735048391240e+00
9.894544585919471391e-01,-7.361130380847097365e-02,1.325532032025612317e+00,9.831406295645571669e-01,1.916534597796192063e+00,-1.015422715956525446e+00,1.366853219945817211e+00
9.957633140854730280e-01,-7.493004786441682941e-02,1.320736244783145663e+00,9.777184269645545767e-01,1.922087320742632111e+00,-1.013554794780005430e+00,1.364274394531679535e+00
1.002092003500596018e+00,-7.608988111023021195e-02,1.315954359306321431e+00,9.722536204412272065e-01,1.927608117428299517e+00,-1.011244475835509471e+00,1.361683045616591592e+00
1.008288387032008737e+00,-7.730747842740005871e-02,1.310947769560793619e+00,9.669215391169622142e-01,1.933145788131688914e+00,-1.008377250034440120e+00,1.359085404898640492e+00
1.014390934136209177e+00,-7.849901001580268656e-02,1.305840692156447824e+00,9.616178605173302252e-01,1.938682979393133277e+00,-1.004775870573897167e+00,1.356469548179306983e+00
1.020538122399301528e+00,-7.959077280287218947e-02,1.300827511065924424e+00,9.563413860374687658e-01,1.944187094221829115e+00,-1.000373465599998735e+00,1.353841108072413535e+00
1.026633478965158108e+00,-8.070195019618638110e-02,1.295704734315891837e+00,9.510904978662461096e-01,1.949698878899914112e+00,-9.950095062733149698e-01,1.351213207272258243e+00
1.032608753606122365e+00,-8.178220820917218858e-02,1.290406448565476039e+00,9.459088186538537890e-01,1.955186215878529588e+00,-9.886935202371381903e-01,1.348583508782975393e+00
1.038599188176952071e+00,-8.281393014287860566e-02,1.285135846354959366e+00,9.407812482479529503e-01,1.960645078159497512e+00,-9.815255755076849331e-01,1.345954769024866104e+00
1.044539468857370590e+00,-8.379028488770418059e-02,1.279749596446676074e+00,9.357235457717574256e-01,1.966080259813201225e+00,-9.735527103444888697e-01,1.343324950762363690e+00
1.050409761725781266e+00,-8.475633335422542991e-02,1.274255728118757647e+00,9.306597912573043585e-01,1.971507387819613655e+00,-9.650531385203139356e-01,1.340689739541561565e+00
1.056293656599535558e+00,-8.566371890482646356e-02,1.268805422554420748e+00,9.257426039300292731e-01,1.976894248985833658e+00,-9.562869176931516613e-01,1.338029661087771771e+00
1.062086351584075716e+00,-8.650225514350580458e-02,1.263205074416037021e+00,9.209034338019770338e-01,1.982261360180793464e+00,-9.473289493222644131e-01,1.335358257519727809e+00
1.067772866191199821e+00,-8.739058573477072323e-02,1.257482966545935943e+00,9.161960902465895451e-01,1.987619267381953492e+00,-9.385205439962127638e-01,1.332704290990805340e+00
1.073482270791437765e+00,-8.823817008753130631e-02,1.251838935870750902e+00,9.114237321948918114e-01,1.992947933162325880e+00,-9.299445727839468212e-01,1.330066443232005069e+00
1.079128578466795663e+00,-8.904015444114328492e-02,1.246108978382348020e+00,9.068035738351111208e-01,1.998240742200454889e+00,-9.217655190046450953e-01,1.327432070860073754e+00
1.084633831795577930e+00,-8.991080833776421422e-02,1.240195542392957373e+00,9.023848103264848763e-01,2.003516485583709983e+00,-9.139399399951949610e-01,1.324797219177097363e+00
1.090099896701294480e+00,-9.076558322886862928e-02,1.234295109215562514e+00,8.979712600072453643e-01,2.008758193824859983e+00,-9.066556884880170308e-01,1.322145170219605204e+00
