joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.000000000000000000e+00,-1.199913859314949427e-05,1.197732197866230308e-05,-4.793110455203475340e-05,1.919862175903119805e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.199913859384338366e-05,1.199913859314949427e-05,-2.395464395732460616e-05,0.000000000000000000e+00,-5.752605205522343113e-05,4.793110452983029290e-05,3.595378257337245032e-05
-1.066614337918991851e-03,-2.708445563381206567e-03,-1.085771508089194981e-02,-1.191233028015048490e-02,-1.526311373076794098e-02,1.690973152170816007e-02,1.359011528818676595e-02
-3.211754885845685692e-03,-1.857553920774981937e-02,-7.753793181062285100e-02,-6.249773153172988316e-02,-1.304267095232791718e-01,1.231379309592384175e-01,1.170858708852140495e-01
1.242763874125252244e-02,-3.719903133664395622e-02,-1.603609169398723111e-01,-1.048859321612027884e-01,-3.148304139097835019e-01,2.735159572881729062e-01,2.766198944595732456e-01
5.018993146008732253e-02,-3.402323023334319352e-02,-1.882002711075081436e-01,-1.005955856154816530e-01,-4.119505166630954562e-01,3.562191037477457911e-01,3.493761040908260895e-01
7.246860118741427215e-02,-1.496829271385030635e-02,-1.800030486688974918e-01,-8.841960153547212542e-02,-2.709393626229683605e-01,2.576488418271960512e-01,2.156081798845743691e-01
6.845390758010161392e-02,1.063001506358754455e-02,-1.255946782281469609e-01,-1.423965702188390026e-01,1.363325546393845400e-01,-3.168627800083090307e-02,-1.339596486243266327e-01
4.764927748748259972e-02,2.339319335314046788e-02,-2.670085408125189019e-02,-2.065720867585607579e-01,6.587680327876821451e-01,-4.268421501529617856e-01,-5.911698295955947202e-01
3.143460152297272714e-02,2.712030033328455270e-02,1.338997401977959356e-01,-2.790526652679314878e-01,1.151904529189895499e+00,-8.425868860692187212e-01,-1.055989973346127542e+00
2.974486100957296486e-02,-2.441185476990334613e-02,3.593589728851043219e-01,-3.488607956297684609e-01,1.583758466460727377e+00,-1.231858467921442823e+00,-1.479836069491913264e+00
1.028245456007326197e-02,-1.114533006963465411e-01,5.489613978788554505e-01,-4.708482055473695027e-01,1.964530840280875879e+00,-1.584374462966220420e+00,-1.846769051373708947e+00
-1.025849991611593737e-02,-2.294259951900655403e-01,6.970744231735714891e-01,-5.916012531695713506e-01,2.290731864814876673e+00,-1.842310913237188430e+00,-2.072671706773565603e+00
3.463453180319042701e-03,-3.447861499626909132e-01,8.711692487151978526e-01,-6.727704297513348308e-01,2.555228484137828104e+00,-1.937237974881300673e+00,-2.113154400561167989e+00
3.114699307920076876e-02,-4.279087426742624878e-01,1.047493165141721860e+00,-7.582898394887127580e-01,2.753821470980799546e+00,-1.897270567738162939e+00,-2.017124814429838153e+00
6.694389234622732943e-02,-5.021509910787563813e-01,1.175149120847374107e+00,-8.318250550140238175e-01,2.872033877720348016e+00,-1.758097795176993827e+00,-1.866770720928245808e+00
1.072108634385227077e-01,-5.800484825315249671e-01,1.209711636002364088e+00,-9.237799954782577316e-01,2.899108646776804576e+00,-1.624473664284353802e+00,-1.706146172005151840e+00
1.588868554885269901e-01,-6.367698069275812278e-01,1.163188859462627178e+00,-9.976747488291248800e-01,2.796236043535271776e+00,-1.470476370506323960e+00,-1.545497624804959003e+00
2.436033483210531259e-01,-6.671138612853093619e-01,1.084248773765805751e+00,-1.028270457848057262e+00,2.604545973502414569e+00,-1.358076337774938303e+00,-1.393274000060618079e+00
3.409751580954578642e-01,-6.608940532536999868e-01,9.925095559967900272e-01,-1.077441749708007990e+00,2.359856886398192799e+00,-1.233895790754968580e+00,-1.251069176076491374e+00
4.245411735196213954e-01,-6.171156760599468827e-01,8.804929721016652167e-01,-1.165238159618153801e+00,2.113767975422353729e+00,-1.095274258620815289e+00,-1.122226789179903150e+00
5.031217213909977559e-01,-5.814985457056564000e-01,7.668226232922403796e-01,-1.185611366136818390e+00,1.887314088322078476e+00,-9.871885488957010679e-01,-1.013673680281712564e+00
5.905706144308409122e-01,-5.168796282699654743e-01,6.783071159144782314e-01,-1.178924158932037614e+00,1.676736867997208336e+00,-8.806607636924201898e-01,-9.121792719190668919e-01
6.832566296847142340e-01,-4.665938127842029770e-01,5.997625218256530388e-01,-1.186701913302012912e+00,1.488977628501197970e+00,-7.860213541253324721e-01,-8.279062236157930244e-01
7.666308552409129007e-01,-4.542979900345689437e-01,4.944092123079446566e-01,-1.208609067881916133e+00,1.341638783265208801e+00,-6.911542009077509263e-01,-7.533883004561925389e-01
8.283855782942550761e-01,-4.542141051474907210e-01,3.519287353853872702e-01,-1.214685082599897825e+00,1.218786069648647441e+00,-6.050835289267197936e-01,-6.890689469697175440e-01
8.891935256793548348e-01,-4.531714890867719059e-01,2.178372707694276045e-01,-1.219994090562392941e+00,1.120170289541277953e+00,-5.355989826079543548e-01,-6.320360376692590876e-01
9.741017865632306538e-01,-4.571262742675781254e-01,1.421209172804083209e-01,-1.253561920761203652e+00,1.051371260555278297e+00,-4.820414601765410367e-01,-5.808514212529924947e-01
1.057703712136670582e+00,-4.523086201221874769e-01,8.042612447018981925e-02,-1.258463459793679462e+00,9.964547549567104312e-01,-4.319833883413171094e-01,-5.388586904148784384e-01
1.111177327864343312e+00,-4.460168827088626942e-01,-1.674196174756836797e-02,-1.263508813956315535e+00,9.573382263662111313e-01,-3.705042964097682301e-01,-5.090658983008200522e-01
1.141413542691038785e+00,-4.410194814673369379e-01,-1.191831021452038897e-01,-1.286746214857270587e+00,9.345586427808250107e-01,-3.025776964292958837e-01,-4.856727049476372571e-01
1.195546260193336430e+00,-4.376519123126941246e-01,-1.648550088588773832e-01,-1.292810252253362435e+00,9.226510641595186968e-01,-2.729886715051588197e-01,-4.675765204184223478e-01
1.265054782972740988e+00,-4.355546592360468039e-01,-1.778938400868845804e-01,-1.294044614548806038e+00,9.173397130924687559e-01,-2.466832872152657785e-01,-4.545256900518435117e-01
1.281509114459900012e+00,-4.453817355781722331e-01,-2.702322730206319079e-01,-1.309827845122679690e+00,9.220374762084038167e-01,-1.995013870843553860e-01,-4.481141357854934171e-01
1.283881998658364942e+00,-4.873504899556777015e-01,-3.581485652336180436e-01,-1.294679783496066605e+00,9.362076647627670667e-01,-1.642917256600817666e-01,-4.421819361977163965e-01
1.323669636888746837e+00,-4.934984122388033634e-01,-3.718585191914147714e-01,-1.293325560714420064e+00,9.503394560737010721e-01,-1.354936621353886039e-01,-4.361059432962388627e-01
1.345301138530152762e+00,-4.653594286721407514e-01,-4.096687430148460152e-01,-1.307586798732485178e+00,9.645671008670309021e-01,-1.075943559079917122e-01,-4.319474345587881459e-01
