lin_vel_X,lin_vel_Y,lin_vel_Z
3.02473e-05,3.86284e-05,3.68705e-06
6.62214e-06,-8.6872e-07,-1.43325e-05
2.25267e-06,6.81159e-06,8.99875e-06
2.97461e-06,3.85597e-06,-1.25322e-05
0.000493957,-0.000152857,-0.00411526
0.005234,9.2964e-05,-0.0220246
0.0113371,0.00594432,-0.0290182
0.0195577,0.0188289,-0.024923
0.0320044,0.0267752,-0.0387863
0.0433185,0.0327947,-0.0546842
0.0475648,0.0360659,-0.0592445
0.0488839,0.0369684,-0.0605487
0.0532256,0.0363255,-0.0699067
0.058726,0.0374711,-0.0768093
0.0629396,0.0384198,-0.0828685
0.0644996,0.0391971,-0.0809624
0.0692621,0.0428796,-0.0803025
0.0766148,0.0513307,-0.0756879
0.0814272,0.0560324,-0.0702535
0.0877331,0.0631883,-0.0633465
0.0942317,0.0732296,-0.0524128
0.097383,0.0798609,-0.0413992
0.101081,0.0861302,-0.0319673
0.102866,0.0911398,-0.0198783
0.102151,0.0945502,-0.00768748
0.100196,0.100674,0.0101378
0.0992964,0.109489,0.0289869
0.103104,0.120376,0.0425855
0.104656,0.128406,0.0581386
0.10069,0.132951,0.0788591
0.0930838,0.134424,0.101809
0.0857038,0.135263,0.123929
0.0790729,0.136314,0.143322
0.0747139,0.142238,0.164119
0.0639835,0.143973,0.191315
0.0486728,0.141003,0.218196
0.0329818,0.138036,0.244479
0.0207405,0.136541,0.266429
0.00707251,0.134399,0.290072
-0.00889342,0.131631,0.314809
-0.0261476,0.125265,0.335656
-0.041325,0.123648,0.359263
-0.054153,0.124039,0.381776
-0.0697234,0.12123,0.4032
-0.0820756,0.117889,0.416653
-0.0965414,0.113211,0.43098
-0.111381,0.108963,0.445255
-0.125956,0.109694,0.467671
-0.139512,0.107504,0.481669
-0.157276,0.0972956,0.489148
-0.176588,0.0863766,0.496628
-0.19361,0.0844519,0.516447
-0.20492,0.0879418,0.53121
-0.216372,0.0855059,0.536706
-0.223277,0.0863678,0.540263
-0.232977,0.0961242,0.560635
-0.245047,0.0952858,0.566568
-0.264352,0.0831917,0.568123
-0.279406,0.0835202,0.580211
-0.288187,0.0898564,0.588983
-0.296825,0.0851265,0.584048
-0.318137,0.0743364,0.58865
-0.33896,0.0699485,0.599599
-0.342913,0.0689683,0.593305
-0.338755,0.0801403,0.58998
-0.350353,0.0814538,0.595309
-0.369535,0.0656066,0.589752
-0.374225,0.066688,0.586537
-0.365113,0.0854123,0.586571
-0.376137,0.0730059,0.575733
-0.401402,0.0527872,0.573291
-0.404898,0.0608565,0.577227
-0.394561,0.0651602,0.561567
-0.407907,0.0504556,0.552355
-0.418262,0.0536473,0.559081
-0.409582,0.0596656,0.548056
-0.424468,0.0404,0.536458
-0.449061,0.025773,0.539421
-0.445477,0.0297158,0.532297
-0.437368,0.0348712,0.522592
-0.448076,0.0300523,0.521999
-0.449839,0.0229541,0.510886
-0.450245,0.0212806,0.503668
-0.463634,0.0129894,0.50373
-0.467281,0.0013618,0.489777
-0.454269,0.0123975,0.483808
-0.451274,0.0212893,0.485065
-0.464966,-0.00492145,0.467167
-0.484093,-0.0268452,0.459153
-0.487972,-0.0250771,0.460349
-0.482645,-0.0338926,0.44238
-0.48432,-0.0442119,0.430558
-0.485963,-0.0378373,0.434283
-0.487249,-0.0512988,0.418906
