or_w,or_x,or_y,or_z
0.773312,-0.0566465,0.616905,-0.134933
0.773312,-0.0566465,0.616905,-0.134933
0.773312,-0.0566466,0.616905,-0.134933
0.773312,-0.0566466,0.616906,-0.134933
0.773314,-0.0566377,0.616916,-0.134882
0.773325,-0.0565999,0.616957,-0.134648
0.773362,-0.0565574,0.616993,-0.134286
0.773427,-0.0565469,0.617011,-0.133834
0.77348,-0.0565147,0.617073,-0.133249
0.773526,-0.0564614,0.617178,-0.13252
0.773597,-0.0563936,0.617272,-0.131692
0.773696,-0.0563014,0.617346,-0.1308
0.773806,-0.0561573,0.617427,-0.129822
0.773948,-0.0559628,0.617496,-0.128734
0.774114,-0.0557405,0.617552,-0.127552
0.774318,-0.0554815,0.617571,-0.126334
0.774552,-0.0551991,0.617562,-0.125055
0.774823,-0.0549346,0.617516,-0.123716
0.775127,-0.054649,0.617431,-0.122356
0.775476,-0.0543506,0.617296,-0.120946
0.775871,-0.0540884,0.617104,-0.119507
0.776312,-0.0538348,0.616854,-0.118037
0.776802,-0.0535904,0.616547,-0.116524
0.777347,-0.0533392,0.616169,-0.11499
0.777942,-0.0530842,0.615728,-0.113437
0.778592,-0.052867,0.615209,-0.111879
0.779305,-0.0527061,0.614608,-0.110284
0.780063,-0.0526006,0.613948,-0.108641
0.780866,-0.0525187,0.613224,-0.106985
0.781723,-0.0524499,0.612419,-0.105368
0.78263,-0.0523731,0.611529,-0.103822
0.783586,-0.0522766,0.610559,-0.102358
0.784587,-0.0521635,0.609516,-0.10096
0.785629,-0.0520874,0.608401,-0.099609
0.786724,-0.0520204,0.607194,-0.0983619
0.787865,-0.0519408,0.605898,-0.0972536
0.789043,-0.0518586,0.604524,-0.0962952
0.790254,-0.051763,0.603082,-0.0954552
0.791495,-0.0516613,0.60157,-0.0947677
0.792766,-0.0515635,0.599986,-0.0942355
0.794063,-0.0514378,0.598338,-0.0938592
0.795384,-0.0513231,0.596626,-0.0936376
0.796726,-0.0512235,0.594853,-0.0935632
0.798083,-0.0511224,0.593025,-0.0936571
0.799446,-0.0509995,0.591162,-0.0938741
0.800815,-0.0508546,0.589262,-0.0942291
0.802189,-0.0506983,0.587324,-0.0947236
0.80358,-0.0505641,0.585323,-0.0953845
0.804982,-0.0504235,0.583279,-0.0961649
0.806379,-0.0502328,0.581211,-0.0970751
0.807769,-0.0499929,0.579123,-0.0981153
0.809178,-0.0497489,0.576968,-0.0993142
0.810594,-0.0495419,0.57477,-0.100611
0.811993,-0.0493293,0.572564,-0.102005
0.813375,-0.0491187,0.570353,-0.103473
0.81477,-0.0489763,0.568082,-0.105042
0.816147,-0.0488463,0.565803,-0.106703
0.817503,-0.0486538,0.56352,-0.108479
0.818859,-0.0484834,0.561199,-0.110342
