pos_X,pos_Y,pos_Z
0.318936,-0.329269,0.906604
0.318936,-0.329269,0.906604
0.318936,-0.329269,0.906604
0.318936,-0.329269,0.906604
0.318938,-0.32927,0.906584
0.318964,-0.329269,0.906474
0.319021,-0.329239,0.906328
0.319119,-0.329145,0.906204
0.319279,-0.329011,0.90601
0.319496,-0.328847,0.905736
0.319734,-0.328667,0.90544
0.319979,-0.328482,0.905138
0.320245,-0.328301,0.904788
0.320539,-0.328113,0.904404
0.320854,-0.327921,0.90399
0.321177,-0.327725,0.903585
0.321523,-0.327511,0.903183
0.321906,-0.327254,0.902805
0.322314,-0.326974,0.902454
0.322753,-0.326658,0.902137
0.323224,-0.326292,0.901875
0.323711,-0.325893,0.901669
0.324217,-0.325462,0.901509
0.324732,-0.325007,0.90141
0.325243,-0.324534,0.901371
0.325744,-0.324031,0.901422
0.326242,-0.323484,0.901567
0.326758,-0.322882,0.90178
0.327282,-0.322241,0.902071
0.327787,-0.321576,0.902465
0.328253,-0.320905,0.902974
0.328683,-0.320229,0.903594
0.32908,-0.319548,0.90431
0.329455,-0.318837,0.905131
0.329777,-0.318118,0.906088
0.330022,-0.317414,0.907179
0.330189,-0.316725,0.908402
0.330294,-0.316043,0.909735
0.330332,-0.315373,0.911186
0.33029,-0.314716,0.912761
0.330161,-0.314092,0.914441
0.329957,-0.313477,0.916238
0.329688,-0.31286,0.918148
0.329342,-0.312257,0.920166
0.328934,-0.311672,0.922251
0.328454,-0.311111,0.924408
0.3279,-0.310572,0.926636
0.327273,-0.310029,0.928976
0.326578,-0.309499,0.931387
0.325794,-0.30902,0.933835
0.324914,-0.308596,0.93632
0.323949,-0.308182,0.938905
0.322927,-0.307752,0.941563
0.321848,-0.307335,0.944249
0.320735,-0.306914,0.946953
0.319573,-0.306444,0.949759
0.318351,-0.30598,0.952595
0.317032,-0.305576,0.955438
0.315639,-0.305172,0.958343
0.314201,-0.304736,0.961291
0.31272,-0.304323,0.964215
0.311133,-0.303965,0.967162
0.309441,-0.303629,0.970164
0.30773,-0.303298,0.973135
0.30604,-0.30291,0.976089
0.304291,-0.302516,0.97907
0.302447,-0.302201,0.982024
0.300579,-0.30188,0.984962
0.298757,-0.301465,0.9879
0.296879,-0.301111,0.990784
0.294875,-0.300859,0.993657
0.292854,-0.300566,0.996549
0.290884,-0.30025,0.999363
0.288847,-0.300007,1.00213
0.286759,-0.299748,1.00493
0.284714,-0.299458,1.00768
0.282594,-0.299264,1.01037
0.280351,-0.299143,1.01307
0.278126,-0.299001,1.01574
0.275941,-0.298833,1.01837
0.273703,-0.298689,1.02098
0.271456,-0.298579,1.02355
0.269206,-0.298477,1.02607
0.266889,-0.298417,1.0286
0.264554,-0.298414,1.03106
0.262284,-0.298356,1.03349
0.260029,-0.298252,1.03592
0.257706,-0.298279,1.03827
0.255286,-0.298415,1.04057
