joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.378084,-2.79659,0.158693,20.8563,-0.674537,-0.15641,-0.0305057
0.38136,-2.797,0.159598,20.8582,-0.674517,-0.156424,-0.0303331
0.383461,-2.79815,0.159879,20.8603,-0.673982,-0.156437,-0.0303768
0.382314,-2.79774,0.15992,20.8597,-0.674131,-0.156173,-0.0304154
0.387936,-2.79628,0.169887,20.7548,-0.698572,-0.132646,-0.0381359
0.39037,-2.79515,0.164304,20.2309,-0.722934,-0.117412,-0.0466748
0.388254,-2.86949,0.142722,19.6,-0.729744,-0.101341,-0.0557006
0.299511,-3.04693,0.0402975,19.3445,-0.758202,-0.0855119,-0.0655483
0.108892,-3.36984,-0.165642,19.2784,-0.794178,-0.063895,-0.0759251
-0.148258,-3.90296,-0.452898,19.1181,-0.814031,-0.0435632,-0.0875141
-0.499026,-4.55255,-0.833123,18.8747,-0.818206,-0.0284833,-0.0987218
-0.89261,-5.22438,-1.26126,18.7288,-0.832649,-0.0115282,-0.111475
-1.23789,-5.94062,-1.64239,18.6624,-0.848084,0.00735634,-0.125358
-1.55319,-6.62831,-1.99291,18.6659,-0.861085,0.0176295,-0.137256
-1.87061,-7.18701,-2.34311,18.6368,-0.876179,0.0421078,-0.147952
-2.13161,-7.58972,-2.63478,18.6996,-0.888051,0.0464936,-0.158019
-2.30162,-7.86407,-2.84066,18.7934,-0.906184,0.0464816,-0.166001
-2.44343,-7.97856,-2.99618,18.993,-0.919702,0.0528242,-0.174614
-2.49765,-7.96982,-3.06721,19.2712,-0.938771,0.052735,-0.18096
-2.43889,-7.80068,-3.03608,19.6037,-0.962322,0.0418717,-0.18609
-2.34091,-7.51336,-2.9544,19.9681,-1.01435,0.0460107,-0.19144
-2.16662,-7.18336,-2.78393,20.488,-1.05891,0.0526439,-0.196436
-1.96084,-6.7059,-2.59564,21.1016,-1.07362,0.0526151,-0.201708
-1.75492,-6.17888,-2.38747,21.7373,-1.09292,0.0423541,-0.205694
-1.5416,-5.60432,-2.17635,22.2929,-1.16073,0.0307105,-0.210309
-1.27943,-5.03046,-1.91369,22.8333,-1.21458,0.0339257,-0.217363
-0.920595,-4.42214,-1.57979,23.4843,-1.23686,0.0293903,-0.218098
-0.586075,-3.82292,-1.21509,24.127,-1.28415,0.0131129,-0.220118
-0.3065,-3.28337,-0.881147,24.6992,-1.36011,-0.000742,-0.223274
-0.0397148,-2.80089,-0.611991,25.1995,-1.3804,-0.000223427,-0.224647
0.240423,-2.38159,-0.331221,25.733,-1.37316,-0.0334139,-0.224291
0.493961,-2.04488,-0.0695806,26.2899,-1.39667,-0.0768616,-0.225584
0.860025,-1.79291,0.331176,26.8292,-1.42869,-0.111831,-0.229823
1.16222,-1.60072,0.653705,27.2545,-1.44216,-0.131594,-0.232858
1.39322,-1.43427,0.915474,27.5813,-1.43346,-0.151034,-0.232556
1.53626,-1.32165,1.09714,27.8147,-1.4685,-0.183289,-0.235388
1.70513,-1.20411,1.29956,28.1061,-1.47739,-0.224028,-0.239691
1.88623,-1.10574,1.49517,28.3426,-1.45276,-0.235195,-0.242116
2.03105,-1.02146,1.6594,28.5079,-1.46588,-0.288189,-0.247354
2.13831,-0.977729,1.79338,28.6333,-1.45894,-0.307229,-0.249388
2.28383,-0.935659,1.96851,28.6806,-1.46078,-0.299012,-0.254908
2.4718,-0.870891,2.16692,28.6831,-1.47276,-0.298035,-0.25429
2.60846,-0.779457,2.33064,28.5904,-1.45984,-0.307722,-0.252215
2.73791,-0.65533,2.48185,28.6481,-1.43954,-0.318311,-0.255325
2.85294,-0.540576,2.65377,28.6394,-1.42318,-0.343381,-0.254069
2.94513,-0.441043,2.83207,28.6993,-1.47143,-0.363073,-0.257942
3.07814,-0.306452,3.0337,28.5461,-1.43126,-0.341902,-0.262301
3.20327,-0.146133,3.22798,28.3576,-1.38101,-0.357533,-0.262657
3.21054,0.0188823,3.35816,28.2839,-1.40598,-0.389877,-0.263324
3.16515,0.214421,3.43497,28.3008,-1.41673,-0.379517,-0.260305
3.2115,0.429789,3.55448,28.1327,-1.32526,-0.332923,-0.261131
3.32537,0.687771,3.7216,27.7536,-1.3335,-0.397806,-0.259429
3.38164,1.02664,3.83309,27.5231,-1.36188,-0.408829,-0.267142
3.52923,1.43167,3.98299,27.4538,-1.36675,-0.37334,-0.266773
3.67732,1.84645,4.18542,27.0196,-1.31146,-0.374532,-0.265623
3.69507,2.33396,4.2784,26.6233,-1.29929,-0.409663,-0.263942
3.53605,2.76972,4.19588,26.3751,-1.28327,-0.377095,-0.265125
3.47989,3.11446,4.17653,26.006,-1.30607,-0.3571,-0.267934
3.61799,3.39264,4.33315,25.4651,-1.26122,-0.382906,-0.267628
3.71822,3.74174,4.42584,25.1583,-1.21657,-0.366659,-0.267005
3.56231,4.11696,4.28689,24.8101,-1.24824,-0.372989,-0.263672
3.40799,4.37148,4.16044,24.2043,-1.22146,-0.335554,-0.259592
3.47208,4.59814,4.19356,23.8561,-1.1549,-0.289694,-0.258933
3.60067,4.98835,4.33918,23.5618,-1.18078,-0.366285,-0.258862
3.64117,5.33871,4.37323,23.0543,-1.18117,-0.372423,-0.262446
3.52007,5.52233,4.26457,22.7748,-1.14355,-0.321132,-0.266432
3.43025,5.73823,4.1576,22.448,-1.16828,-0.311478,-0.268695
3.63594,6.06682,4.3542,21.9716,-1.13745,-0.369351,-0.272222
3.58053,6.34874,4.28428,21.7533,-1.09473,-0.362698,-0.269334
3.17086,6.48665,3.91669,21.503,-1.08692,-0.313923,-0.270864
3.09254,6.51011,3.89343,20.9483,-1.07175,-0.320488,-0.2739
3.31501,6.64833,4.10038,20.7191,-1.06892,-0.334517,-0.273913
3.18058,6.85529,3.93998,20.6169,-1.03694,-0.335486,-0.269258
3.17015,6.85518,3.88636,20.0963,-0.988128,-0.352734,-0.276052
3.42851,6.87687,4.06176,19.7244,-0.998845,-0.375289,-0.276792
3.17492,7.06946,3.81424,19.5723,-1.02537,-0.338054,-0.277799
2.79269,7.01559,3.47571,19.1377,-0.969439,-0.332646,-0.278765
2.85311,6.83869,3.48047,18.7649,-0.918733,-0.357483,-0.280089
2.91969,6.92092,3.56464,18.5683,-0.914743,-0.389833,-0.282786
2.87215,6.96554,3.44722,18.1953,-0.870981,-0.374615,-0.288148
2.96066,6.79152,3.4574,17.9471,-0.845189,-0.391304,-0.289781
2.9677,6.79211,3.37628,17.7531,-0.820358,-0.422268,-0.297536
2.67537,6.96527,3.12842,17.366,-0.77579,-0.373121,-0.300889
2.60852,6.77011,3.04912,17.1619,-0.735321,-0.379045,-0.298829
2.81205,6.72125,3.22959,17.0305,-0.709539,-0.375997,-0.29505
2.99402,6.83371,3.39175,16.5891,-0.643027,-0.384445,-0.299166
2.88309,6.70946,3.28803,16.4571,-0.620848,-0.421353,-0.299544
2.61082,6.45954,2.99313,16.3918,-0.547897,-0.391137,-0.300034
2.57177,6.269,2.87128,16.0073,-0.501103,-0.384159,-0.300897
2.66841,6.03498,2.89793,15.8493,-0.55322,-0.419178,-0.308091
2.71279,5.80792,2.88234,15.914,-0.512111,-0.417886,-0.30891
2.83914,5.53679,3.00286,15.5356,-0.395765,-0.46008,-0.305006
2.7919,5.3768,2.93956,15.3847,-0.453329,-0.48959,-0.309913
2.38155,5.20386,2.55536,15.4909,-0.428406,-0.420846,-0.305067
2.27862,4.98317,2.47327,15.2123,-0.33555,-0.409827,-0.302202
2.68044,4.78999,2.80323,14.9463,-0.307398,-0.483832,-0.296732
2.78737,4.61572,2.85266,15.0107,-0.329622,-0.481805,-0.288925
2.46964,4.29702,2.52657,14.7718,-0.332993,-0.441271,-0.294937
2.35541,3.84881,2.34617,14.5384,-0.2949,-0.447579,-0.297184
2.39676,3.50476,2.32972,14.5808,-0.266558,-0.481695,-0.297403
2.37702,3.3046,2.21818,14.5318,-0.328339,-0.494901,-0.301674
2.50602,3.06762,2.30957,14.2362,-0.331654,-0.494711,-0.304502
2.67105,2.47845,2.37552,14.2286,-0.25896,-0.493445,-0.291546
2.31612,2.07571,2.03464,14.1402,-0.304565,-0.51076,-0.295525
2.11442,1.80922,1.83787,13.8455,-0.275708,-0.481726,-0.292213
2.20541,1.4472,1.79829,13.9149,-0.246415,-0.500026,-0.286819
2.20894,1.16011,1.73905,13.8146,-0.322459,-0.516332,-0.290804
2.41187,0.999468,1.8436,13.5988,-0.262949,-0.543193,-0.294321
2.43806,0.668159,1.89159,13.6901,-0.278809,-0.549212,-0.297739
2.06755,0.0143812,1.52439,13.8636,-0.267152,-0.496874,-0.294362
1.899,-0.449796,1.36079,13.6246,-0.223554,-0.465706,-0.295186
2.18842,-0.702584,1.53689,13.6101,-0.22294,-0.495536,-0.293757
2.14262,-0.852536,1.48509,13.7233,-0.221571,-0.482722,-0.296692
1.96714,-1.28798,1.31503,13.6282,-0.199157,-0.458864,-0.295203
2.00152,-1.79278,1.30896,13.5255,-0.150824,-0.451418,-0.285262
2.05365,-2.19909,1.29925,13.6141,-0.163929,-0.463515,-0.288489
2.0052,-2.5924,1.1801,13.5945,-0.259183,-0.467091,-0.291533
1.99372,-3.00711,1.10909,13.3472,-0.208866,-0.435697,-0.292258
1.76877,-3.27847,0.902324,13.3413,-0.217634,-0.423954,-0.293251
1.71383,-3.60924,0.786574,13.507,-0.260956,-0.426375,-0.298912
1.8857,-4.04173,0.877974,13.4768,-0.23019,-0.44208,-0.302065
1.76458,-4.63995,0.739431,13.509,-0.212245,-0.466254,-0.304063
1.48489,-5.10785,0.517858,13.4966,-0.172202,-0.466568,-0.308414
1.56614,-5.38146,0.580006,13.3735,-0.156209,-0.497865,-0.302214
1.7274,-5.56195,0.672817,13.2444,-0.165164,-0.500699,-0.301685
1.54054,-5.83812,0.452968,13.4874,-0.183722,-0.460807,-0.29808
1.36063,-6.54606,0.279951,13.5098,-0.16772,-0.432976,-0.300075
1.3369,-7.04983,0.17454,13.2263,-0.170978,-0.406336,-0.298307
1.40063,-7.36393,0.187754,13.2506,-0.14406,-0.403768,-0.294785
1.27412,-7.69198,0.0470393,13.4584,-0.189097,-0.426091,-0.306933
1.05791,-8.26675,-0.244725,13.4018,-0.154774,-0.41324,-0.304123
0.897746,-8.92231,-0.446138,13.3522,-0.168449,-0.440764,-0.307879
0.795259,-9.50715,-0.641574,13.494,-0.214655,-0.444739,-0.308174
0.916946,-9.98441,-0.621738,13.4275,-0.235673,-0.443071,-0.311336
0.943779,-10.4143,-0.644474,13.168,-0.221532,-0.407362,-0.309499
0.630701,-10.9017,-0.975809,13.3811,-0.240501,-0.377183,-0.310702
0.341933,-11.6041,-1.25425,13.5602,-0.239551,-0.360353,-0.309214
0.321815,-12.1131,-1.31728,13.4832,-0.205196,-0.363189,-0.304333
0.390461,-12.348,-1.26822,13.2487,-0.207257,-0.388201,-0.303476
0.308094,-12.6883,-1.38764,13.3003,-0.209904,-0.40949,-0.300915
0.067342,-13.2801,-1.6811,13.3689,-0.205308,-0.361335,-0.300852
0.0281543,-13.9408,-1.81987,13.2888,-0.219459,-0.325347,-0.300247
0.155474,-14.122,-1.83951,13.4349,-0.293601,-0.313237,-0.302066
0.476331,-14.2494,-1.67229,13.4281,-0.262723,-0.327373,-0.298299
0.519872,-14.6983,-1.72479,13.3454,-0.240335,-0.361378,-0.306347
0.297988,-15.1641,-2.04836,13.4714,-0.232784,-0.333269,-0.304548
0.401183,-15.6568,-2.1207,13.7977,-0.212155,-0.338463,-0.30441
0.743556,-15.654,-1.97827,13.7438,-0.276604,-0.369087,-0.307309
1.20207,-15.7628,-1.7214,13.5199,-0.235413,-0.357209,-0.306338
1.07836,-16.144,-1.93706,13.7698,-0.295578,-0.324609,-0.308069
1.02889,-16.7883,-2.14889,14.0557,-0.357155,-0.322938,-0.307988
1.32909,-16.8731,-2.04711,14.0843,-0.405084,-0.345935,-0.311565
1.68753,-16.6859,-1.83408,13.7982,-0.442105,-0.360778,-0.316603
1.67515,-17.0147,-1.90967,13.9349,-0.483982,-0.366426,-0.311324
1.53234,-17.7336,-2.10207,14.1707,-0.513387,-0.317056,-0.32243
1.68067,-17.9869,-2.07748,14.2543,-0.584957,-0.318037,-0.318309
1.95815,-17.627,-1.89782,14.0265,-0.61698,-0.356316,-0.31879
2.01949,-17.8155,-1.83702,13.9357,-0.614103,-0.38194,-0.317921
1.8558,-18.5228,-2.02771,14.0523,-0.630391,-0.349061,-0.317899
