joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.787985,0.00623461,1.32644,1.22186,1.60566,-0.907427,1.57077
0.787985,0.00623461,1.32644,1.22186,1.60566,-0.907427,1.57077
0.787985,0.00623461,1.32644,1.22186,1.60566,-0.907427,1.57077
0.787985,0.00623461,1.32644,1.22186,1.60566,-0.907427,1.57077
0.787982,0.00623539,1.32643,1.2219,1.60569,-0.907488,1.57081
0.787965,0.00625355,1.32644,1.22217,1.60587,-0.907742,1.57092
0.787927,0.00633714,1.32645,1.22255,1.60626,-0.908136,1.57107
0.787876,0.00652517,1.32649,1.22291,1.60682,-0.908639,1.57132
0.787816,0.00683346,1.32653,1.22345,1.6075,-0.909251,1.57168
0.787749,0.007229,1.3266,1.22418,1.60832,-0.909981,1.5721
0.78767,0.00763575,1.32672,1.22499,1.60925,-0.910769,1.57258
0.787563,0.00803291,1.3269,1.22583,1.61028,-0.911567,1.57308
0.787423,0.00842749,1.32716,1.2268,1.61139,-0.912357,1.57364
0.787262,0.00879331,1.32754,1.22785,1.6126,-0.913117,1.57425
0.787067,0.00912269,1.32804,1.229,1.61388,-0.913873,1.57489
0.786812,0.00943494,1.32866,1.23014,1.61526,-0.914559,1.57554
0.786489,0.00973299,1.32944,1.23129,1.61671,-0.915192,1.57624
0.786106,0.0100224,1.33042,1.23241,1.61823,-0.915785,1.57696
0.785641,0.0103092,1.33158,1.23349,1.61982,-0.916267,1.57771
0.785093,0.0105854,1.33295,1.2345,1.62149,-0.916651,1.57852
0.784461,0.0108478,1.33456,1.23542,1.62322,-0.916966,1.57932
0.783721,0.0110807,1.33639,1.23622,1.62502,-0.917207,1.58017
0.782894,0.0112598,1.33846,1.23693,1.62686,-0.917366,1.58105
0.781964,0.0113992,1.34074,1.23753,1.62878,-0.917414,1.58195
0.780928,0.011485,1.34323,1.238,1.63075,-0.917383,1.5829
0.779798,0.0115218,1.34589,1.23828,1.63277,-0.917317,1.58388
0.778603,0.0115047,1.34872,1.23837,1.63485,-0.917258,1.5849
0.777374,0.0114648,1.35172,1.23831,1.63698,-0.917199,1.58596
0.77613,0.0114045,1.35483,1.23809,1.63916,-0.91707,1.58707
0.774875,0.0113188,1.35799,1.23766,1.64139,-0.916843,1.58822
0.773615,0.0112132,1.36114,1.23699,1.64365,-0.916491,1.58942
0.77238,0.0111004,1.36424,1.23609,1.64597,-0.915993,1.59066
0.771202,0.0109861,1.36724,1.235,1.64834,-0.915375,1.59195
0.77013,0.01087,1.37016,1.23368,1.65075,-0.914704,1.59326
0.769161,0.0107568,1.37289,1.23208,1.65321,-0.913933,1.5946
0.76828,0.0106563,1.37538,1.23019,1.65573,-0.91306,1.59598
0.767495,0.01058,1.37759,1.22803,1.65828,-0.912105,1.59737
0.766829,0.010544,1.37953,1.22563,1.6609,-0.91107,1.59881
0.766285,0.0105548,1.38116,1.22299,1.66356,-0.909942,1.60025
0.765862,0.0106054,1.38247,1.22007,1.66627,-0.908754,1.6017
0.765555,0.0106929,1.38343,1.21694,1.66902,-0.907485,1.60316
0.765382,0.0108315,1.38405,1.21354,1.67181,-0.906168,1.60463
0.765349,0.0110306,1.38434,1.20989,1.67463,-0.904791,1.60611
0.76543,0.0112914,1.38428,1.20601,1.67748,-0.90335,1.60759
0.76562,0.011615,1.38391,1.20198,1.68037,-0.901856,1.60909
0.765918,0.0119911,1.38319,1.19779,1.68328,-0.900309,1.6106
0.766318,0.0124191,1.38214,1.19344,1.68623,-0.898726,1.6121
0.766822,0.0129038,1.38079,1.18883,1.68919,-0.897079,1.61359
0.767423,0.0134279,1.37914,1.18407,1.69219,-0.89539,1.61508
0.76811,0.013966,1.37715,1.17922,1.6952,-0.893654,1.61656
0.768863,0.0145163,1.37483,1.17428,1.69821,-0.891893,1.61806
0.769706,0.0150878,1.37221,1.16912,1.70123,-0.890039,1.61954
0.770668,0.0156835,1.36934,1.16378,1.70426,-0.888178,1.62102
0.771724,0.0163078,1.3662,1.15836,1.70725,-0.886303,1.62249
0.772891,0.016962,1.36283,1.15289,1.71023,-0.8844,1.62396
0.774174,0.0176405,1.35927,1.14718,1.71318,-0.882468,1.62543
0.775541,0.0183346,1.35545,1.14137,1.71609,-0.880552,1.6269
0.776949,0.019009,1.35135,1.13553,1.71895,-0.878602,1.62839
0.77845,0.0196368,1.34704,1.12953,1.72173,-0.876631,1.62989
0.780088,0.0201954,1.34262,1.12339,1.72447,-0.874703,1.6314
0.78183,0.0207001,1.33804,1.11729,1.7271,-0.87276,1.63291
0.783603,0.021144,1.33322,1.1111,1.72964,-0.870786,1.63443
0.785437,0.0214908,1.32821,1.10475,1.73207,-0.868811,1.63596
0.787402,0.0217509,1.32314,1.09843,1.73437,-0.866816,1.63751
0.789515,0.0219728,1.31804,1.09209,1.73654,-0.864882,1.63906
0.791721,0.0221087,1.31284,1.08564,1.73855,-0.862971,1.64062
0.793973,0.022119,1.30748,1.07921,1.74043,-0.861036,1.64219
0.796317,0.0220627,1.30205,1.07277,1.74215,-0.859113,1.64378
