joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
2.39759e-05,3.5953e-05,2.39541e-05,-1.19989e-05,0,-5.99071e-05,0
0,0,1.19994e-05,3.59547e-05,1.91642e-05,0,-1.19776e-05
3.5953e-05,0,-2.39759e-05,-2.39541e-05,-1.91633e-05,0,-2.39759e-05
3.59547e-05,0,-3.59547e-05,2.39552e-05,0,-5.99317e-05,3.59547e-05
-0.000671107,0.000155789,-0.000743013,0.00945534,0.00533046,-0.0120439,0.00817306
-0.00330772,0.00363131,0.000719072,0.0532712,0.036548,-0.0509462,0.0218717
-0.0077656,0.0167176,0.00316377,0.0757266,0.077656,-0.0786986,0.031386
-0.0101149,0.0376074,0.00691506,0.0722667,0.110679,-0.100694,0.0500833
-0.011984,0.0616574,0.00898798,0.107628,0.13702,-0.122368,0.0705136
-0.0133148,0.0791098,0.0140099,0.147194,0.163085,-0.145983,0.0857013
-0.0159626,0.0813471,0.0242555,0.161604,0.187448,-0.157493,0.0942897
-0.0213804,0.0794334,0.0355581,0.168167,0.20623,-0.15967,0.101797
-0.0279706,0.0789143,0.0510996,0.19233,0.221962,-0.157996,0.110816
-0.0320826,0.0731655,0.0755984,0.211767,0.240611,-0.152024,0.122805
-0.0390916,0.0658758,0.10124,0.22827,0.256246,-0.151202,0.127234
-0.0510061,0.0624513,0.123944,0.228785,0.275702,-0.137139,0.130931
-0.0646175,0.0596082,0.156439,0.230631,0.290031,-0.126658,0.139973
-0.076641,0.0578852,0.195971,0.223451,0.304541,-0.118527,0.143814
-0.0928756,0.0573552,0.231386,0.2151,0.317642,-0.0964348,0.149919
-0.109694,0.0552367,0.274601,0.203833,0.333898,-0.0768328,0.16082
-0.126455,0.0524897,0.321098,0.182504,0.347343,-0.0630715,0.160944
-0.147894,0.0465816,0.36599,0.160717,0.359058,-0.0480436,0.169237
-0.165398,0.0358217,0.413718,0.141957,0.368107,-0.0318788,0.175573
-0.186015,0.0278747,0.45708,0.119204,0.384138,-0.00963509,0.181018
-0.207272,0.0171499,0.496746,0.0945459,0.393744,0.00620798,0.190158
-0.22585,0.00735814,0.531836,0.0568758,0.403524,0.0132063,0.19535
-0.239187,-0.00341558,0.566808,0.0171259,0.416467,0.0118527,0.203965
-0.245611,-0.00798132,0.599078,-0.0113608,0.426763,0.0117922,0.212188
-0.248966,-0.0120564,0.622524,-0.0435518,0.435374,0.0258146,0.222541
-0.25092,-0.017137,0.632177,-0.0864882,0.445132,0.0453952,0.229696
-0.251975,-0.0211287,0.63005,-0.134299,0.453418,0.0702772,0.239822
-0.247025,-0.0225538,0.619343,-0.179735,0.462753,0.0997544,0.249074
-0.235616,-0.0228545,0.601731,-0.219005,0.474376,0.123596,0.257056
-0.214393,-0.0232249,0.58224,-0.263204,0.481621,0.134112,0.261957
-0.193718,-0.0226388,0.546758,-0.320382,0.492343,0.154241,0.269076
-0.176332,-0.0200971,0.497897,-0.376775,0.503556,0.174618,0.274816
-0.157021,-0.0152563,0.442792,-0.433073,0.51125,0.190901,0.279203
-0.133082,-0.00721435,0.387405,-0.479058,0.523133,0.206987,0.286488
-0.108855,0.00216919,0.32683,-0.529476,0.532477,0.225621,0.288336
-0.0846187,0.0101145,0.261634,-0.582911,0.541291,0.237726,0.289772
-0.0614207,0.0174974,0.191932,-0.627378,0.550924,0.253628,0.292267
-0.0344778,0.0277189,0.123231,-0.679322,0.557628,0.263587,0.294134
-0.00657951,0.0398246,0.0581369,-0.729042,0.564653,0.275272,0.295478
0.0161903,0.0521661,-0.0114087,-0.776728,0.569631,0.288286,0.296591
0.0378351,0.0647164,-0.0752268,-0.806175,0.577942,0.298678,0.299661
0.0596082,0.0752113,-0.142585,-0.838217,0.582573,0.309474,0.302067
0.0801127,0.0856014,-0.209731,-0.870275,0.588422,0.316664,0.301157
0.100802,0.0969428,-0.271378,-0.921034,0.593167,0.329323,0.298019
0.120175,0.104824,-0.32969,-0.952305,0.600521,0.337732,0.297166
0.137295,0.107621,-0.397191,-0.96974,0.601527,0.347204,0.296797
0.150686,0.110049,-0.465541,-0.987657,0.601153,0.352184,0.298952
0.168598,0.114308,-0.523568,-1.03249,0.60519,0.370813,0.296054
0.192378,0.119132,-0.573923,-1.06815,0.604221,0.372341,0.295584
0.211131,0.124879,-0.628133,-1.08326,0.599916,0.375032,0.294759
0.233567,0.130829,-0.67315,-1.09403,0.594155,0.380514,0.293906
0.256601,0.135701,-0.712708,-1.14361,0.590636,0.386297,0.294268
0.273306,0.138822,-0.762898,-1.16126,0.581576,0.383283,0.29447
0.281648,0.134874,-0.821479,-1.16775,0.572688,0.390024,0.296929
0.300234,0.125568,-0.860424,-1.20073,0.556899,0.394248,0.300162
0.327537,0.11172,-0.883954,-1.22654,0.546513,0.385626,0.301614
0.348373,0.100941,-0.916125,-1.22096,0.527486,0.388424,0.301516
0.354718,0.0887813,-0.964754,-1.2378,0.506859,0.394926,0.304443
0.366733,0.0693631,-1.00145,-1.27078,0.485398,0.394931,0.305627
0.392925,0.0520248,-1.01522,-1.26391,0.461836,0.399037,0.30986
0.422674,0.0443646,-1.01847,-1.26687,0.432592,0.386722,0.310552
0.441222,0.0271809,-1.03979,-1.29013,0.402277,0.382234,0.312604
0.450381,0.00206125,-1.07383,-1.28575,0.375663,0.387046,0.314495
0.468715,-0.0112535,-1.08565,-1.28945,0.343678,0.384691,0.316475
0.504345,-0.0204686,-1.07323,-1.30285,0.311506,0.368423,0.320679
0.517168,-0.0375715,-1.10128,-1.28709,0.282317,0.372095,0.324325
0.515609,-0.0622926,-1.14217,-1.29201,0.249381,0.381893,0.329523
0.541711,-0.088106,-1.13222,-1.31531,0.219488,0.373767,0.334113
0.573915,-0.104924,-1.11579,-1.29243,0.179979,0.367218,0.334704
0.579855,-0.124933,-1.13911,-1.2831,0.142599,0.37342,0.338846
0.598159,-0.153773,-1.13598,-1.31447,0.113364,0.366043,0.340552
0.628438,-0.172353,-1.11586,-1.30346,0.0779053,0.354905,0.344718
0.627006,-0.186827,-1.14791,-1.28891,0.0374684,0.365468,0.347419
0.625958,-0.21987,-1.16903,-1.31188,0.00673018,0.364528,0.3492
0.652989,-0.247241,-1.14494,-1.31096,-0.0185616,0.349385,0.352105
0.671233,-0.253628,-1.1318,-1.30089,-0.0448104,0.343616,0.354833
0.677677,-0.273655,-1.13804,-1.31456,-0.0693184,0.341211,0.358781
0.69435,-0.300462,-1.12571,-1.30252,-0.092171,0.337288,0.363497
0.701933,-0.307655,-1.12644,-1.29895,-0.118714,0.335914,0.367194
0.695405,-0.317107,-1.1435,-1.31227,-0.143328,0.349548,0.369106
0.705337,-0.346652,-1.13049,-1.29394,-0.160497,0.337736,0.372551
0.726875,-0.354725,-1.09799,-1.29366,-0.181581,0.332087,0.374427
0.737,-0.360099,-1.0831,-1.31165,-0.204063,0.330713,0.378411
0.730829,-0.38665,-1.09742,-1.28442,-0.232872,0.327114,0.379927
0.718244,-0.412064,-1.1131,-1.28086,-0.252365,0.330126,0.38112
0.722357,-0.428127,-1.09825,-1.30093,-0.272716,0.32848,0.382048
0.730121,-0.445632,-1.07893,-1.27344,-0.297676,0.313683,0.384751
0.731584,-0.462161,-1.07,-1.25978,-0.31839,0.311115,0.387417
0.739829,-0.477619,-1.04994,-1.28733,-0.335682,0.304095,0.392853
0.734269,-0.484044,-1.05396,-1.26292,-0.358982,0.303565,0.394775
0.707986,-0.494829,-1.08305,-1.24351,-0.37455,0.316631,0.394638
0.709342,-0.505495,-1.0632,-1.26962,-0.389392,0.316963,0.395986
0.733334,-0.511391,-1.01041,-1.25754,-0.407358,0.292444,0.399737
0.72492,-0.518558,-1.01345,-1.23218,-0.424501,0.293705,0.400499
0.698125,-0.538007,-1.04336,-1.25748,-0.438114,0.308023,0.400528
0.690452,-0.556777,-1.03757,-1.25219,-0.449813,0.303568,0.401553
0.689101,-0.562862,-1.02098,-1.22228,-0.461181,0.29846,0.404135
0.679295,-0.563153,-1.01556,-1.2331,-0.480685,0.292135,0.406371
0.677704,-0.572306,-0.99613,-1.24676,-0.492032,0.281803,0.409899
0.672284,-0.601048,-0.98816,-1.21881,-0.493973,0.278628,0.412232
0.643394,-0.605166,-1.01288,-1.22603,-0.511513,0.282354,0.412703
0.627821,-0.60722,-1.00996,-1.23726,-0.518575,0.279096,0.412891
0.624544,-0.616454,-0.992163,-1.21083,-0.524092,0.269783,0.41697
0.614914,-0.615597,-0.984361,-1.22213,-0.534375,0.264139,0.414293
0.614429,-0.610702,-0.959759,-1.22865,-0.5369,0.248128,0.413746
0.603205,-0.626539,-0.956317,-1.19626,-0.544922,0.242579,0.415216
0.570268,-0.653353,-0.986842,-1.18648,-0.547561,0.245503,0.415555
0.557784,-0.657986,-0.976751,-1.21056,-0.551595,0.236646,0.416989
0.566002,-0.649806,-0.938176,-1.18723,-0.556803,0.214141,0.418911
0.548364,-0.646709,-0.94305,-1.17207,-0.563349,0.203845,0.416882
