lin_vel_X,lin_vel_Y,lin_vel_Z
0,0,0
-2.65443e-05,-2.85716e-05,2.76243e-06
1.23681e-06,4.6152e-07,-1.68463e-06
1.9223e-05,3.84324e-05,3.10795e-05
-0.000565484,-9.12913e-05,0.000755322
-0.0038904,-0.0011755,0.00992989
0.00667834,0.0197813,0.0637569
0.0298468,0.0474449,0.137255
0.0401359,0.0597012,0.201001
0.0388377,0.0814299,0.283285
0.0366139,0.110725,0.368509
0.0278539,0.134129,0.442345
0.0117174,0.149025,0.503275
0.000908783,0.158486,0.532874
0.0113864,0.188126,0.548025
0.0233152,0.226034,0.569866
0.0140622,0.241457,0.584842
0.0161555,0.262721,0.584982
0.0329436,0.2954,0.57801
0.0219857,0.309591,0.590811
0.00328334,0.308896,0.588502
0.0117849,0.323432,0.569257
0.0143655,0.333235,0.552038
0.00592517,0.341727,0.552886
-0.000124594,0.693583,1.05708
0,0,0
-0.0283133,0.321307,0.514202
-0.0502355,0.313135,0.518436
-0.0356657,0.335329,0.508155
-0.034314,0.3433,0.501315
-0.0823377,0.298925,0.501563
-0.129647,0.259363,0.510336
-0.123434,0.27074,0.501179
-0.101802,0.296272,0.489916
-0.136076,0.26024,0.487131
-0.192771,0.191436,0.478254
-0.206688,0.170086,0.464625
-0.177776,0.195502,0.447185
-0.184872,0.188216,0.44207
-0.22208,0.130959,0.424087
-0.251152,0.0826013,0.407617
-0.245301,0.0780744,0.390148
-0.238891,0.0873151,0.386667
-0.243522,0.0804378,0.381992
-0.260443,0.0588817,0.375789
-0.284313,0.0305681,0.372084
-0.301877,0.0101245,0.36793
-0.314761,0.00183294,0.370479
-0.335341,-0.00582505,0.382354
-0.365443,-0.0324315,0.385866
-0.388018,-0.0580235,0.382844
-0.397247,-0.0633838,0.382182
-0.403436,-0.0569661,0.387938
-0.431146,-0.0707242,0.400086
-0.450914,-0.0961999,0.394591
-0.451134,-0.0951162,0.391
-0.447138,-0.0913674,0.383101
-0.470465,-0.109723,0.388313
-0.487214,-0.131099,0.384602
-0.488599,-0.133329,0.379219
-0.485184,-0.135049,0.368792
-0.500627,-0.154362,0.363541
-0.518126,-0.16834,0.365807
-0.522761,-0.165545,0.366877
-0.53125,-0.175137,0.358836
-1.09945,-0.398907,0.688065
0,0,0
-0.540021,-0.168508,0.354161
-0.54554,-0.169904,0.350916
-0.563322,-0.200544,0.337844
-0.568656,-0.21182,0.326701
-0.555746,-0.179761,0.334812
