or_w,or_x,or_y,or_z
0.773945,-0.0552593,0.61625,-0.134877
0.773945,-0.0552595,0.61625,-0.134878
0.773945,-0.0552594,0.61625,-0.134878
0.773945,-0.0552595,0.61625,-0.134878
0.773946,-0.0552666,0.616248,-0.134876
0.773919,-0.0552389,0.616289,-0.134856
0.773765,-0.055223,0.616497,-0.134793
0.773537,-0.0554699,0.616753,-0.134833
0.77344,-0.0559447,0.616763,-0.135147
0.773641,-0.0563964,0.616296,-0.135936
0.774251,-0.0566063,0.615225,-0.137219
0.775368,-0.0565213,0.613463,-0.138827
0.777026,-0.0563299,0.611006,-0.140459
0.779174,-0.0561855,0.60794,-0.141918
0.781743,-0.056143,0.60438,-0.143007
0.784689,-0.0563192,0.600399,-0.143568
0.787864,-0.0568069,0.596192,-0.143523
0.791154,-0.05743,0.591901,-0.142935
0.794516,-0.0583758,0.587543,-0.141878
0.79791,-0.0597051,0.583167,-0.140324
0.801266,-0.0611971,0.578874,-0.138324
0.804612,-0.0628765,0.57458,-0.136027
0.807951,-0.0646254,0.570255,-0.133598
0.811221,-0.0663948,0.566002,-0.130974
0.814372,-0.0683112,0.561886,-0.128124
0.81745,-0.070328,0.557827,-0.125132
0.820426,-0.0723685,0.553889,-0.121948
0.823293,-0.0744151,0.550073,-0.118619
0.826123,-0.0763358,0.54626,-0.115296
0.828912,-0.0781888,0.542455,-0.111952
0.831642,-0.0801057,0.538704,-0.108412
0.834323,-0.0820743,0.534975,-0.104744
0.836981,-0.0838979,0.531207,-0.10121
0.839607,-0.0855536,0.527429,-0.0977697
0.842176,-0.0871899,0.523672,-0.094369
0.844718,-0.0888373,0.519895,-0.0909379
0.84724,-0.0904336,0.516083,-0.0875434
0.849726,-0.0919101,0.512274,-0.0842208
0.852173,-0.0931909,0.508485,-0.0809935
0.854589,-0.0942982,0.504684,-0.0779685
0.856991,-0.0952758,0.500867,-0.0749734
0.859355,-0.0962095,0.497073,-0.0719163
0.861683,-0.0969832,0.493309,-0.0688715
0.863991,-0.0975437,0.489538,-0.0660038
0.866289,-0.097982,0.485744,-0.0632056
