joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.48393,-2.73958,0.323098,20.6915,-0.973695,-0.192575,-0.0223614
0.491995,-2.73824,0.32926,20.68,-0.971934,-0.196913,-0.0213601
0.494684,-2.74361,0.316055,20.6862,-0.984259,-0.19391,-0.0220276
0.431504,-2.73958,0.259711,20.8878,-0.968412,-0.155862,-0.0290364
1.06196,-2.38201,1.30824,19.4801,-0.762405,0.100459,-0.104798
4.14298,-0.668092,4.43181,14.3792,-0.549354,-0.0200251,-0.0861079
6.0303,1.05792,5.98215,13.7268,-0.899743,-0.442888,0.0961205
2.44519,1.98411,2.44304,21.5771,-1.67887,-1.09537,0.157531
-4.05963,0.643896,-4.11927,33.8363,-2.69923,-1.0403,0.171548
-10.1787,-5.55847,-10.6076,44.4088,-2.51611,-1.04364,0.115478
-13.8673,-13.3215,-14.9655,52.0029,-3.01528,-0.344432,0.251649
-18.8585,-22.0107,-19.5769,54.1792,-3.35335,0.367461,0.151523
-20.7351,-31.4783,-21.8386,55.2796,-2.50907,0.458241,0.0854404
-18.4754,-35.3242,-19.539,51.2889,-1.46054,1.10171,0.123488
-17.1674,-30.3962,-18.0908,46.1677,-2.04511,0.896791,0.00433877
-17.7307,-25.9655,-18.5072,43.4377,-1.16738,1.08836,0.227285
-12.8981,-17.7508,-13.1458,35.7212,-1.2114,1.50822,0.045724
-5.30441,-8.43382,-6.96553,26.4817,-1.28447,0.952194,0.190238
-2.55945,-3.82305,-3.55495,24.6109,-1.41212,0.353777,0.182562
1.77307,0.842845,0.780893,20.04,-1.26158,0.294035,0.136504
2.58634,4.26934,2.08473,14.2057,-0.420819,0.452234,0.219275
3.11059,6.34217,3.51182,14.6195,-0.745678,-0.216605,0.142512
6.8019,13.8229,6.92679,16.228,-1.66567,-0.309722,0.148186
8.70939,18.3073,8.03078,13.99,-0.63387,-0.250648,0.153526
10.1585,20.8439,9.83291,16.4709,-0.403212,-1.34902,0.192575
10.8508,25.1039,10.6737,18.4148,-1.39187,-0.592075,0.131164
9.97433,23.8416,9.34166,16.4005,-1.80301,0.194577,0.143179
10.3064,24.2745,9.48428,15.1037,-1.47991,-0.388487,0.147852
15.1914,27.2264,13.041,16.625,-0.923513,-1.14477,0.187235
15.9307,27.6203,14.6732,16.9948,-1.30824,-1.26292,0.16721
10.9825,26.7869,11.1473,14.5623,-1.28447,-0.610766,0.148186
9.68129,23.9626,9.73166,15.1583,-1.33817,-0.505634,0.127827
10.836,26.4669,10.4228,14.9091,-1.24573,-0.81669,0.134836
13.5097,25.7988,12.5128,14.8194,-1.16121,-1.30664,0.140176
13.3793,23.2138,12.0946,13.7286,-1.0318,-1.02662,0.137172
11.6856,22.2299,11.0329,14.6538,-1.67799,-0.81402,0.0811017
10.4072,18.5748,8.94549,16.6109,-1.34169,-0.678517,0.128494
8.24832,19.2604,6.96465,15.8159,-1.023,-0.635797,0.123822
9.76194,15.3406,7.80628,15.6284,-0.859246,-0.936507,0.147852
12.4236,15.8003,9.51421,17.9324,-1.57411,-1.06033,0.131164
11.4893,12.558,8.1329,19.8657,-1.38307,-0.576389,0.129162
8.28596,12.3133,4.92394,19.2564,-1.32849,-0.374136,0.133167
8.47146,9.65709,4.77603,17.8153,-0.854844,-0.647478,0.171882
9.87217,9.64096,5.90555,20.7821,-1.40508,-0.68586,0.163872
9.24575,7.13393,4.4996,21.2232,-0.732472,-0.319734,0.16187
6.46584,9.05755,2.37525,22.0833,-1.79685,-0.516314,0.125157
8.23353,6.81131,3.71606,19.7952,-0.905906,-0.553694,0.162537
8.25369,5.64182,4.42388,21.0753,-1.07406,-0.617774,0.152525
7.13797,3.53269,3.54879,20.6131,-0.908547,-0.809348,0.127827
6.6621,5.1189,2.87883,21.5481,-1.46494,-0.567378,0.162871
8.22681,4.90248,4.50488,19.7583,-1.10135,-0.377139,0.171215
6.68092,2.34572,3.81026,18.5574,-0.853964,-0.600419,0.171882
3.87682,1.92228,1.29239,17.7642,-0.701659,-0.427536,0.163872
5.29231,2.68312,2.41839,18.9703,-1.19995,-0.694203,0.167877
6.63387,1.89539,3.68173,19.4281,-1.23164,-0.600086,0.177222
3.58377,-1.08212,0.437546,17.1691,-0.265873,-0.464249,0.17789
0.858976,-1.601,-2.24408,15.5606,-0.758883,-0.658158,0.16454
3.49371,-5.18343,-0.136458,17.4649,-0.688453,-0.624449,0.181227
3.74777,-6.2763,-0.560799,17.7272,-0.794098,-0.134502,0.17255
2.83099,-5.95771,-1.87696,18.1982,-1.34785,-0.512309,0.154861
3.10387,-6.69033,-1.28711,16.6347,-0.626827,-0.452567,0.175887
1.28645,-8.17169,-2.71244,16.5695,-0.385604,-0.348437,0.176555
2.32152,-10.7164,-2.37437,17.5256,-0.448991,-0.376472,0.157865
3.68862,-6.82744,-1.38307,19.7811,-1.33113,-0.25532,0.165207
5.99939,-7.87058,0.170793,17.876,-0.363595,-0.217606,0.165207
2.21936,-11.0094,-2.46505,16.4357,-0.552875,-0.459576,0.137506
-0.181474,-13.1172,-6.26123,17.2527,-0.490369,-0.123488,0.15653
2.4304,-10.3655,-3.96433,19.7354,-0.867169,0.165875,0.116146
5.64316,-12.1184,-0.831074,19.0707,-0.706061,-0.432208,0.146183
2.28254,-14.5999,-3.68349,16.7509,-0.612741,-0.42253,0.193576
-0.891238,-17.5801,-6.55791,16.485,0.106525,0.00500628,0.192241
-0.353538,-15.3688,-5.8633,17.6357,-0.830194,-0.218274,0.143847
1.50556,-16.2641,-4.08318,17.4807,-0.669965,-0.140176,0.146851
0.279604,-20.192,-5.02606,17.4614,-0.467479,-0.178223,0.176221
-2.23818,-22.3992,-6.92503,14.8009,0.014086,-0.0307052,0.173551
-2.52719,-22.2487,-7.12135,14.5623,-0.463077,-0.135503,0.184565
-1.3214,-22.3307,-5.8633,14.7956,-0.535268,-0.279684,0.160868
-3.26115,-26.2935,-7.48407,15.6839,-0.0343346,0.0747604,0.202587
-5.74801,-28.3892,-9.9007,14.2093,-0.257069,0.094118,0.190238
-4.31773,-28.3838,-8.6444,12.4547,-0.471001,-0.0423865,0.173217
-2.06611,-25.9265,-6.45139,13.4363,-0.0836356,0.0410515,0.184898
-2.67775,-28.033,-6.95144,14.071,0.154066,-0.562038,0.226617
-6.39594,-29.4969,-10.2678,14.6574,-0.233299,-0.157197,0.158198
-5.61493,-31.0387,-10.0574,12.3816,-0.0334542,0.383814,0.142178
-4.05157,-29.8195,-8.22182,11.5003,-0.413776,0.165207,0.162871
-1.64939,-29.3503,-6.54911,11.9414,-0.07043,-0.250648,0.217606
-3.00037,-29.7859,-7.49727,13.034,0.225376,-0.0587403,0.194911
-5.40792,-30.5548,-9.99754,13.1704,-0.126774,0.115478,0.16454
-4.73848,-30.5158,-9.18231,11.5118,-0.0721907,-0.229955,0.145516
-3.64023,-30.9446,-7.88816,10.3286,-0.0132056,-0.137506,0.177222
-3.49236,-30.1851,-8.27112,11.1112,-0.0334542,0.186901,0.190238
-2.81889,-30.7779,-8.03606,12.2707,-0.077473,-0.0233626,0.183563
-3.83111,-29.5453,-8.60566,11.9062,-0.285241,0.112474,0.139842
-3.54748,-29.7469,-8.52819,11.1887,-0.0510617,-0.124156,0.178557
-3.18587,-28.7952,-7.95507,9.90862,-0.0246505,-0.0123488,0.159867
-3.03397,-31.4245,-7.71473,9.67972,0.144381,-0.206926,0.178557
-4.16045,-31.7713,-9.06346,11.1112,-0.0246505,-0.130163,0.197247
-2.99768,-30.3397,-8.47713,10.7371,-0.0827552,-0.152858,0.172883
-2.48283,-27.9711,-6.92415,10.0627,0.0272916,0.0917817,0.162537
-3.33374,-26.4091,-7.38811,8.15227,-0.11797,-0.0647478,0.162203
-3.98032,-27.7588,-7.41804,5.15107,0.14174,-0.166876,0.168211
-5.35684,-27.8152,-7.44445,-0.385604,0.124133,0.136504,0.129162
-5.26811,-28.6487,-5.52787,-3.81819,0.35303,-0.392158,0.120818
-6.36637,-27.7399,-4.62109,-6.47692,0.595133,-0.591408,0.143847
-8.19992,-25.2383,-4.37634,-8.40494,0.350389,-0.581062,0.137172
-9.59122,-23.0216,-3.59457,-9.88133,0.501814,-0.376138,0.148186
-10.7527,-20.6786,-2.88851,-9.17439,0.237701,-0.370464,0.157865
-9.60198,-19.0843,-0.875093,-6.50597,0.154066,-0.725242,0.169546
-8.49297,-18.9217,-0.333662,-2.37437,0.254428,-0.855406,0.181561
-8.42172,-18.7066,-1.68768,2.38229,-0.409374,-0.807012,0.144848
-6.51558,-20.157,-2.02222,4.87464,-0.0871571,-0.485942,0.160535
-3.95613,-19.5736,-2.69923,9.83907,-0.135578,-0.600086,0.167543
0.736649,-17.5075,-3.10244,15.4277,-0.523823,-0.376472,0.184565
2.55004,-17.3529,-4.7998,17.0168,-0.373279,-0.0784316,0.195912
2.85922,-18.9956,-7.84326,16.6127,-0.00440187,0.373134,0.179558
5.01808,-19.5656,-9.16206,16.9217,-0.102123,0.0867754,0.148186
8.1811,-20.5509,-7.98852,18.0072,-0.161109,-0.0557365,0.141844
8.989,-20.8197,-8.43223,20.2689,-0.261471,0.40117,0.164873
7.97812,-23.1802,-9.45875,19.797,-0.285241,0.452901,0.154193
4.15508,-24.5998,-10.5601,17.493,-0.442829,0.353777,0.147852
3.05817,-25.2423,-9.77304,12.9917,0.379442,0.491616,0.170881
1.73946,-24.1145,-8.40054,13.6942,0.0625066,-0.104131,0.162537
3.10522,-24.8243,-6.59841,13.7462,0.0123252,-0.218274,0.177222
2.66699,-25.1993,-6.68909,14.5808,-0.623305,0.233626,0.157531
1.89674,-27.2278,-8.03254,11.7151,0.0616262,0.261661,0.173217
-0.125015,-27.506,-9.58024,13.2224,-0.158467,0.0243639,0.163872
-0.818648,-29.3127,-11.1992,17.3751,0.0035215,0.289696,0.192908
-1.43431,-28.4712,-10.5522,18.4518,-0.223615,0.20726,0.176221
0.262129,-28.1042,-7.88728,14.2269,0.137338,-0.106467,0.187902
-0.612978,-28.4887,-7.43565,12.6281,-0.132056,-0.307385,0.165875
-3.10791,-27.7117,-9.02913,15.3458,-0.475402,0.188903,0.166542
-2.15214,-27.381,-8.87242,14.9884,0.338064,0.447561,0.199917
-3.2383,-25.5932,-9.24042,14.6283,-0.220094,-0.0764291,0.183897
-1.77575,-25.0877,-8.56693,11.6016,0.11797,0.152525,0.202254
-1.63998,-23.4383,-7.37402,14.2084,0.0158467,0.174552,0.198248
0.892582,-24.0217,-6.92767,13.6793,0.0616262,-0.201252,0.172216
-0.319931,-23.8914,-8.60038,15.9788,-0.567842,-0.345099,0.175887
-0.660027,-25.6617,-9.76688,13.7655,0.457795,0.244306,0.18056
-1.62385,-25.0461,-10.0011,12.8042,0.0255309,0.395829,0.165541
0.73396,-25.4453,-9.05378,13.5657,-0.450752,0.0657491,0.165207
1.93975,-24.4707,-8.79671,15.418,-0.130295,0.296371,0.19124
1.93572,-23.6722,-9.28003,15.9779,-0.177836,0.157865,0.153192
1.85775,-23.9505,-9.48516,14.2392,-0.0933197,-0.0894454,0.134836
1.20042,-22.0968,-9.22897,14.2762,-0.116209,0.0707554,0.145849
2.59306,-22.414,-9.02032,16.0035,0.0343346,0.281686,0.16988
2.0446,-21.2607,-9.49836,17.2404,-0.444589,0.390489,0.100459
2.18306,-22.7783,-9.43674,16.2737,0.084516,0.253651,0.0463915
0.307833,-22.8119,-9.54679,14.697,-0.0334542,0.328078,0.00867754
0.676158,-23.2085,-8.68226,15.3176,0.0378561,-0.0503965,-0.0250314
1.88061,-23.2192,-7.65134,17.0044,-0.0871571,-0.332417,-0.0390489
1.75021,-22.7514,-7.98764,16.7588,-0.364475,-0.053734,-0.0477265
0.118294,-22.6587,-8.85745,14.2445,-0.0554636,0.200585,-0.0607428
-2.19247,-21.6384,-10.046,12.9406,-0.191922,0.342763,-0.123154
-0.393865,-21.3574,-8.84865,15.0315,0.114449,0.202921,-0.0764291
1.93975,-20.6262,-7.10639,16.1029,0.224496,-0.144181,-0.104131
3.10387,-21.1477,-6.72694,16.6717,-0.0906786,-0.0841054,-0.158198
1.50153,-22.2164,-8.11706,14.9822,-0.200725,-0.00367127,-0.224615
-0.130392,-24.2032,-9.90422,13.9865,-0.0457795,0.350773,-0.226617
0.892582,-25.651,-10.8709,16.8504,-0.247385,0.235629,-0.239634
2.42906,-26.3728,-10.7837,18.4201,0.279079,0.448896,-0.24998
3.53672,-27.744,-10.4765,18.4315,0.296686,0.0213601,-0.239634
2.62666,-27.705,-10.9237,16.2781,0.238582,0.130831,-0.254319
2.43847,-28.8839,-11.3172,15.8987,0.0836356,0.242637,-0.245307
2.94525,-28.8705,-11.1922,18.1894,0.00528225,0.291365,-0.279016
4.13894,-28.4215,-10.4412,19.4713,0.0176075,0.438883,-0.273676
2.86056,-28.1916,-10.6983,20.3182,0.247385,0.173551,-0.254986
2.62398,-26.5597,-10.9026,19.9651,0.229778,0.107802,-0.301044
3.30954,-25.9333,-9.93151,21.7541,-0.0123252,0.149855,-0.294703
5.13503,-24.9184,-9.55295,25.6154,-0.228017,0.565042,-0.277348
6.40401,-23.7327,-9.78977,26.9985,-0.198965,0.350773,-0.283689
6.40266,-24.4559,-10.4157,24.3952,0.213051,0.297039,-0.274344
5.65929,-24.3645,-12.0039,23.0473,0.0801141,0.229621,-0.267001
5.08126,-24.5514,-13.2188,23.5439,-0.136458,0.889114,-0.312392
6.7804,-25.3888,-11.981,22.0208,0.0457795,0.601087,-0.292366
5.99132,-24.6885,-11.6095,20.7231,-0.0035215,0.17789,-0.297706
5.45362,-24.7691,-11.1447,19.8252,0.39969,0.2126,-0.269338
4.41317,-23.5499,-11.3155,20.8006,0.196324,0.516314,-0.281353
4.58927,-22.4517,-11.6245,20.2116,-0.0651477,0.312392,-0.317398
2.82696,-21.2297,-11.2494,16.8583,-0.098602,0.597749,-0.32207
2.9103,-19.3868,-8.97718,12.2434,0.169912,0.297039,-0.328745
3.99511,-16.951,-6.03585,11.0778,0.0466599,-0.0784316,-0.335754
5.71844,-15.2935,-3.63683,12.0928,-0.147023,-0.311724,-0.324407
4.84468,-13.4102,-3.10596,11.9889,-0.21129,0.090113,-0.365124
0.992056,-12.3389,-4.32528,10.5126,-0.347748,0.166876,-0.331415
-0.763534,-12.7018,-4.84646,10.0829,0.0484206,-0.124823,-0.287694
0.65465,-12.3389,-4.0462,12.3032,0.0589851,-0.204924,-0.331415
3.25443,-12.9707,-2.77494,15.8221,-0.321337,-0.130163,-0.293368
3.01246,-14.3579,-3.56376,17.9658,-0.392647,-0.110472,-0.316063
-0.233899,-15.3271,-8.10649,22.1036,-0.257069,0.333418,-0.283355
2.43981,-15.0516,-8.82752,27.0143,-0.0616262,0.380477,-0.317398
9.13283,-12.2811,-6.11861,30.77,-0.603937,0.156863,-0.267001
12.7529,-8.17438,-7.17418,33.7826,-0.792337,0.567378,-0.256655
10.7016,-6.12709,-11.3938,36.9405,-0.542311,1.03396,-0.00834379
11.1237,-4.5476,-14.1987,38.9381,-0.160228,1.15778,0.139174
16.6405,-1.84028,-12.6809,41.1769,-0.482445,1.15845,0.173885
19.6771,0.05377,-11.9009,42.4217,-0.583689,1.23622,0.154527
18.9418,1.75693,-12.526,39.1098,-0.460436,1.37806,0.0130163
17.0854,2.13467,-12.5286,36.915,-0.442829,1.32333,0.242971
14.7545,0.217768,-12.5304,33.029,-0.30549,1.09771,0.484607
12.2139,-0.180129,-11.5241,27.8242,-0.319576,1.00192,-0.0584065
11.8576,1.05658,-7.92249,21.0251,-0.396169,0.780311,0.0487277
10.0886,0.872418,-4.92482,19.4422,-0.345107,0.641137,0.234961
7.29928,-1.0875,-3.92295,17.155,0.0994824,0.387486,0.137839
3.03128,-4.00855,-3.41762,13.1915,-0.297567,0.212266,0.145849
-0.360259,-6.78846,-3.72134,8.15491,-0.478924,0.253318,0.0103463
-1.9169,-8.9527,-3.73631,9.2545,-0.147903,0.493619,0.207927
-2.92509,-13.5245,-2.65345,9.50013,0.254428,0.341428,0.195578
-5.46841,-14.5421,-2.19037,5.79991,-0.11797,0.181227,0.0891117
-9.20005,-15.8339,-2.27225,2.1534,-0.360954,0.435546,0.124489
-12.3832,-19.6153,-3.36479,1.42004,-0.133817,0.663832,0.103797
-14.1469,-21.9045,-4.0286,0.368877,0.217453,0.476597,0.154861
-14.9844,-24.3269,-3.53471,-0.533507,-0.0836356,0.0557365,0.144514
-15.5731,-23.4787,-3.58929,-6.63803,0.0818749,0.273343,0.116813
-18.5775,-25.8378,-4.78308,-7.06325,-0.507976,1.03196,0.114143
-18.8155,-32.0321,-5.4548,-7.96123,-0.14086,0.308053,-0.00333752
-18.0936,-32.9973,-4.0867,-7.65926,0.0862767,0.337423,-0.0777641
-18.2926,-31.6826,-4.71793,-8.90851,0.286122,-0.711559,-0.117814
-19.4836,-31.2269,-5.14931,-9.21929,-0.0132056,0.103797,-0.119817
-19.8452,-38.3514,-4.84558,-9.03177,-0.0484206,-0.836048,-0.161536
-18.9297,-41.3437,-4.40011,-7.54657,-0.049301,-0.477599,-0.140843
-19.6664,-37.4132,-6.19168,-5.02606,-0.0748319,-1.329,-0.133501
-18.0519,-34.6037,-6.0693,-4.25485,0.186639,-0.711225,-0.0847729
-18.7173,-41.0762,-6.73751,-3.67645,0.267634,-0.594078,-0.0413852
-19.2591,-44.3468,-7.84238,-3.28028,-0.119731,-1.03897,-0.0717566
-16.5975,-38.6539,-7.64606,-1.91394,0.267634,-0.543681,-0.0186901
-14.4467,-36.9373,-6.28236,-1.23164,0.246505,-0.580394,-0.00734254
-16.6754,-44.9221,-8.18837,-1.2739,0.241223,-0.74727,-0.0240301
-21.3185,-46.6522,-11.7865,-2.63408,0.374159,-0.448896,-0.0353777
-18.8504,-41.5642,-10.0239,-3.06459,0.136458,-0.121819,-0.0360452
-14.4063,-43.2338,-5.07888,-2.65169,0.0589851,-0.712226,0.00600753
-18.4781,-46.7194,-6.21985,-2.2476,0.156707,-0.968881,0.0170213
-25.9131,-46.9923,-12.4652,-4.46702,0.660281,-0.366126,0.0203589
-22.4866,-43.8467,-9.91214,-5.48914,0.0968412,-0.169546,0.0297039
-15.0516,-46.2166,-3.22833,-2.01078,-0.248266,-0.808013,0.0777641
-21.4798,-48.4562,-7.63197,-2.12611,-0.0801141,-0.391157,0.0700879
-24.6858,-47.5367,-12.3279,-4.87904,0.566081,0.0387152,0.0991242
-16.4173,-44.3011,-7.40924,-2.56365,0.102123,-0.561037,0.125157
-17.3072,-48.4857,-8.41286,-0.683171,0.110927,-0.379476,0.123822
-16.2641,-51.1406,-9.80033,-2.42191,0.684051,-0.286359,0.127827
-13.2785,-45.1493,-9.35662,-0.662922,-0.121492,-0.152525,0.128494
-14.0313,-45.2837,-11.1244,-1.45702,0.265873,0.0987905,0.130163
-10.1679,-51.1447,-8.99303,-0.249146,0.802022,-0.366126,0.194911
-14.1939,-49.7319,-12.2319,1.81181,0.0942001,0.0160201,0.156863
-7.35708,-47.7222,-11.5576,-0.603057,1.13128,-0.0831042,0.175887
-7.7133,-44.1519,-10.0019,4.29535,-0.0387365,0.0260326,0.168211
