pos_X,pos_Y,pos_Z
0.317249,-0.330925,0.906604
0.317249,-0.330925,0.906604
0.317249,-0.330925,0.906604
0.317251,-0.330921,0.906606
0.317229,-0.330954,0.90656
0.317129,-0.331095,0.906334
0.317003,-0.331223,0.906073
0.316976,-0.331207,0.905987
0.317129,-0.331031,0.906218
0.317472,-0.330713,0.90685
0.318002,-0.330192,0.908012
0.318675,-0.329416,0.909773
0.319308,-0.328481,0.912071
0.319784,-0.327455,0.914802
0.320181,-0.32626,0.917876
0.320509,-0.324952,0.921095
0.3209,-0.323445,0.924347
0.321438,-0.321601,0.92771
0.322035,-0.31959,0.931023
0.322678,-0.317467,0.934216
0.323262,-0.315256,0.937434
0.323718,-0.313056,0.940648
0.324146,-0.310836,0.943753
0.324548,-0.308579,0.946791
0.324913,-0.306301,0.949759
0.325299,-0.303993,0.95261
0.325564,-0.301828,0.955316
0.325587,-0.299885,0.957994
0.325539,-0.297992,0.960615
0.325542,-0.296017,0.963158
0.325416,-0.29413,0.9657
0.324989,-0.292539,0.968244
0.324409,-0.291099,0.970766
0.323822,-0.289631,0.973268
0.323177,-0.288163,0.975791
0.322346,-0.286852,0.978339
0.321355,-0.285752,0.980816
0.320288,-0.284771,0.983236
0.31911,-0.283916,0.985633
0.317808,-0.283202,0.988005
0.316425,-0.282651,0.990273
0.315033,-0.282194,0.992435
0.313582,-0.281808,0.994579
0.312019,-0.281571,0.996691
0.310341,-0.281539,0.99872
0.308663,-0.281574,1.00067
0.306982,-0.2816,1.0026
0.305212,-0.281703,1.00455
0.303302,-0.281991,1.00647
0.301341,-0.282362,1.00835
0.299354,-0.282713,1.01025
0.297258,-0.283118,1.01218
0.294992,-0.283655,1.01417
0.292647,-0.284242,1.01618
0.290328,-0.28476,1.01818
0.287978,-0.285293,1.02017
0.285541,-0.285892,1.02219
0.282985,-0.286596,1.02421
0.28033,-0.287411,1.02621
0.277686,-0.288249,1.02817
0.275088,-0.289028,1.03009
0.272389,-0.289857,1.03205
0.269552,-0.290879,1.03395
0.266706,-0.291942,1.03581
0.263965,-0.292878,1.03762
0.261187,-0.29381,1.03944
0.258276,-0.294906,1.04124
0.255363,-0.296058,1.04296
0.252566,-0.297087,1.04464
0.249787,-0.298083,1.0463
0.246911,-0.299176,1.04794
0.244006,-0.300293,1.04957
0.241192,-0.301292,1.05119
0.238408,-0.30227,1.05277
0.235568,-0.303308,1.05433
0.232697,-0.304331,1.05591
0.229887,-0.305232,1.05752
0.227107,-0.306101,1.0591
0.224274,-0.307072,1.06062
0.221361,-0.308105,1.06215
0.218505,-0.308996,1.06371
0.215762,-0.309737,1.06528
0.213052,-0.310501,1.06679
0.210324,-0.311323,1.06825
0.207596,-0.312121,1.06971
0.204936,-0.31282,1.07118
0.202377,-0.313458,1.07259
0.199891,-0.314095,1.07393
0.197426,-0.314748,1.07524
0.194989,-0.315356,1.07653
0.192574,-0.31592,1.07782
0.190239,-0.31647,1.07904
0.187994,-0.316985,1.0802
0.185829,-0.317443,1.08132
0.183699,-0.317853,1.08243
0.181611,-0.31821,1.08353
0.17953,-0.318607,1.08457
0.177492,-0.319062,1.08553
0.175559,-0.319477,1.08642
0.17376,-0.319805,1.08727
0.172139,-0.320096,1.08802
0.170731,-0.320439,1.08857
