joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.795458,0.0160496,1.37915,1.25946,1.69297,-0.822404,1.66635
0.806838,0.0285066,1.38769,1.2717,1.69467,-0.818314,1.66655
0.808642,0.0282178,1.39599,1.27263,1.69503,-0.818789,1.66604
0.807982,0.0312236,1.40057,1.27089,1.69651,-0.817968,1.66609
0.81221,0.031572,1.40232,1.27066,1.69766,-0.817895,1.66679
0.812698,0.0317239,1.40666,1.2692,1.69873,-0.816797,1.66692
0.822382,0.0276392,1.40929,1.26743,1.69997,-0.817162,1.66753
0.827185,0.0230251,1.41118,1.26497,1.70198,-0.816125,1.66831
0.82928,0.0185877,1.4124,1.2543,1.70377,-0.815628,1.66908
0.832064,0.00588454,1.41577,1.24399,1.70515,-0.814548,1.66981
0.83969,-0.00889331,1.41844,1.2489,1.70786,-0.813145,1.67053
0.844824,-0.0121174,1.42027,1.23564,1.70973,-0.812196,1.67168
0.854959,-0.0261978,1.41854,1.20783,1.71149,-0.812753,1.67261
0.858191,-0.0269106,1.42105,1.19275,1.71329,-0.811249,1.67419
0.864591,-0.0381525,1.41525,1.18543,1.71578,-0.81182,1.67521
0.867463,-0.0370736,1.4057,1.1887,1.71748,-0.808656,1.67644
0.873413,-0.0385752,1.39004,1.17971,1.71956,-0.809381,1.67808
0.877634,-0.0443483,1.39271,1.18654,1.72225,-0.806998,1.67946
0.88561,-0.0530916,1.34617,1.19023,1.72402,-0.810314,1.68076
0.888599,-0.0545755,1.33782,1.18216,1.72628,-0.807749,1.68273
0.89538,-0.0583072,1.32333,1.1767,1.72873,-0.810495,1.68417
0.899026,-0.0500036,1.32707,1.18652,1.72993,-0.805374,1.68591
0.905185,-0.0512662,1.32552,1.18172,1.73237,-0.807061,1.68724
0.910432,-0.0581485,1.32856,1.18439,1.73452,-0.809996,1.68865
0.914506,-0.0585501,1.32485,1.1744,1.73739,-0.809827,1.69052
0.919777,-0.0621259,1.31973,1.16409,1.73935,-0.821026,1.69207
0.923859,-0.061511,1.32076,1.15925,1.74243,-0.810811,1.69423
0.927731,-0.0596653,1.32942,1.15912,1.7459,-0.809958,1.69564
0.932244,-0.0598759,1.33729,1.16648,1.74827,-0.807196,1.69732
0.93721,-0.0639294,1.33389,1.15548,1.7515,-0.804022,1.69896
0.941126,-0.057026,1.34736,1.15501,1.75481,-0.795938,1.70084
0.945315,-0.0671511,1.34534,1.14903,1.75791,-0.796966,1.70322
0.949594,-0.0660306,1.35926,1.14536,1.76078,-0.792435,1.70512
0.954693,-0.0840786,1.35285,1.14217,1.76443,-0.79474,1.70676
0.960023,-0.0881219,1.34363,1.13554,1.76735,-0.796518,1.70882
0.965424,-0.0888212,1.32395,1.12755,1.76995,-0.796643,1.71077
0.971205,-0.0953672,1.30813,1.12056,1.77254,-0.804782,1.71315
0.975473,-0.0900066,1.31451,1.11806,1.77567,-0.801096,1.71469
0.980512,-0.098208,1.31061,1.12067,1.77863,-0.807271,1.71708
0.986287,-0.097139,1.30611,1.11012,1.78199,-0.816788,1.71892
0.990419,-0.0857078,1.31118,1.1047,1.78512,-0.788101,1.72115
0.995344,-0.0902347,1.3255,1.10325,1.78835,-0.789203,1.72299
0.999352,-0.0983856,1.3168,1.0979,1.79111,-0.784044,1.7249
1.00281,-0.0986688,1.35134,1.10075,1.79507,-0.773411,1.72782
1.00725,-0.103876,1.36754,1.0919,1.79879,-0.772545,1.72937
1.01255,-0.108609,1.37657,1.08298,1.80249,-0.769482,1.73166
1.01545,-0.122758,1.37216,1.08765,1.8048,-0.76932,1.73336
1.02169,-0.126134,1.36702,1.0776,1.80865,-0.766534,1.73615
1.02602,-0.128416,1.36519,1.07027,1.81154,-0.766311,1.73799
1.02976,-0.127841,1.36416,1.06981,1.815,-0.759702,1.74066
1.03477,-0.135449,1.36753,1.0646,1.8187,-0.759139,1.74272
1.04109,-0.131738,1.35416,1.05674,1.82161,-0.757752,1.74468
1.04432,-0.134161,1.3736,1.05783,1.82463,-0.754417,1.74708
