joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-1.19989e-05,0,-2.39541e-05,1.1977e-05,0,0,3.5953e-05
-8.3887e-05,0,0,2.39771e-05,-3.83284e-05,0,-3.59547e-05
0,0,2.39541e-05,0,0,-2.39759e-05,0
0,0,2.39771e-05,1.19776e-05,1.91642e-05,2.39771e-05,-1.19994e-05
-0.000107859,0,-0.000611178,-0.000251649,0.000306787,-0.000299601,-2.39541e-05
-0.00251674,-0.00227706,-0.0107381,-0.0102827,-0.00444864,-0.0116609,-0.0128234
-0.0140931,-0.0147882,-0.0665229,-0.0590809,-0.0360477,-0.0790821,-0.10474
-0.0237893,-0.0353783,-0.141825,-0.0894405,-0.0987141,-0.174507,-0.229755
-0.0185632,-0.0524537,-0.176116,-0.0838038,-0.139512,-0.199173,-0.278483
-0.0182764,-0.0554524,-0.17018,-0.0547932,-0.110641,-0.0744598,-0.161144
-0.0262449,-0.0361915,-0.106346,-0.00124633,0.00358559,0.185008,0.101216
-0.0388639,-0.0072383,0.00115045,0.0871952,0.15443,0.517695,0.43292
-0.0530195,0.0171499,0.144318,0.215769,0.3134,0.84993,0.777376
-0.067206,0.0391516,0.330098,0.348637,0.458075,1.1428,1.09473
-0.0887933,0.0376074,0.510061,0.451589,0.603291,1.34282,1.35221
-0.121733,0.00703458,0.638445,0.497406,0.746571,1.45114,1.51139
-0.14403,-0.0261263,0.764205,0.485541,0.869405,1.48794,1.55776
-0.147738,-0.0581581,0.900366,0.471928,0.948803,1.44328,1.52635
-0.157501,-0.100994,1.00582,0.392481,0.990209,1.39108,1.46806
-0.181533,-0.155132,1.07205,0.269219,1.01208,1.34074,1.39448
-0.193706,-0.20726,1.12254,0.140327,1.01681,1.27164,1.31936
-0.180263,-0.254599,1.14511,-0.0106298,1.01359,1.20295,1.24435
-0.152707,-0.303136,1.10449,-0.124399,1.00892,1.13267,1.1639
-0.114207,-0.334089,1.00536,-0.229301,1.00065,1.05535,1.08766
-0.0418979,-0.335039,0.896083,-0.318321,0.987793,0.970459,1.01297
0.0420397,-0.289916,0.750028,-0.388987,0.976644,0.889305,0.942945
0.119749,-0.239726,0.550377,-0.442636,0.962769,0.811664,0.877662
0.202457,-0.171359,0.330517,-0.472971,0.947672,0.749824,0.812404
0.309716,-0.0732254,0.146223,-0.480136,0.921888,0.689134,0.754977
0.435689,-0.0208521,-0.00420637,-0.44518,0.902765,0.609216,0.702236
0.538453,0.0343117,-0.169006,-0.432473,0.879664,0.541748,0.651503
0.621416,0.0419438,-0.326119,-0.412308,0.860639,0.449698,0.604482
0.705037,0.0473389,-0.448029,-0.431167,0.845839,0.393871,0.561379
0.798167,0.048559,-0.519348,-0.464126,0.825646,0.335503,0.522416
0.877519,0.0236095,-0.563476,-0.47551,0.811438,0.29863,0.488969
0.921398,-0.00137815,-0.606424,-0.50027,0.796578,0.291713,0.459704
0.971359,-0.0543592,-0.58701,-0.551166,0.791094,0.289245,0.433555
1.0404,-0.101677,-0.513944,-0.604679,0.783979,0.275644,0.415372
1.10273,-0.153299,-0.445336,-0.637127,0.773415,0.277357,0.400288
1.12671,-0.239559,-0.427308,-0.666447,0.769521,0.279431,0.385326
1.14072,-0.340596,-0.442783,-0.729415,0.769715,0.261861,0.368267
1.19366,-0.432761,-0.437615,-0.841218,0.773932,0.209873,0.353963
1.24774,-0.495824,-0.465301,-0.901505,0.76751,0.146731,0.343017
1.26567,-0.520991,-0.557352,-0.915198,0.755447,0.112666,0.333985
1.32158,-0.535671,-0.573959,-0.963905,0.75008,0.0356283,0.32878
1.38506,-0.515358,-0.575173,-1.05485,0.743558,-0.0274446,0.328256
1.40285,-0.505926,-0.629445,-1.10267,0.739247,-0.01196,0.327258
1.4444,-0.501996,-0.591604,-1.09632,0.732206,0.0140459,0.324757
1.47907,-0.475847,-0.522992,-1.11414,0.726208,0.0452874,0.321589
1.46614,-0.491557,-0.473856,-1.12034,0.724958,0.0968229,0.321365
1.46915,-0.519336,-0.349128,-1.11646,0.721626,0.152735,0.322248
1.46021,-0.566472,-0.225561,-1.08062,0.721181,0.229228,0.323558
1.43775,-0.62887,-0.10631,-1.04021,0.716295,0.295033,0.323423
1.45232,-0.695366,0.0571662,-1.01922,0.714124,0.32961,0.325332
1.4314,-0.762958,0.140116,-0.974559,0.708587,0.371047,0.328612
1.40557,-0.844957,0.209549,-0.935763,0.709426,0.408648,0.333589
1.39841,-0.887675,0.284044,-0.940297,0.704369,0.432549,0.338307
