ball_x,ball_y,ball_z
1.0312,-0.144419,-1.35728
1.03125,-0.144404,-1.35735
1.03125,-0.144462,-1.35732
1.03119,-0.144451,-1.35728
1.03127,-0.144461,-1.35735
1.03125,-0.144435,-1.35731
1.03123,-0.144419,-1.35728
1.03122,-0.14447,-1.35726
1.03129,-0.144473,-1.35734
1.0312,-0.14445,-1.35726
1.03126,-0.144444,-1.35731
1.03124,-0.144457,-1.35729
1.03126,-0.144505,-1.35731
1.03127,-0.144396,-1.35732
1.03128,-0.144439,-1.35732
1.03123,-0.144441,-1.35728
1.03126,-0.144454,-1.35734
1.03125,-0.144393,-1.3573
1.03122,-0.144441,-1.35728
1.03124,-0.144454,-1.3573
1.0312,-0.14445,-1.35726
1.0312,-0.144431,-1.35727
1.03125,-0.144464,-1.35729
1.03124,-0.144456,-1.35731
1.03121,-0.144427,-1.35727
1.03126,-0.144462,-1.35729
1.03124,-0.14447,-1.35728
1.03128,-0.144481,-1.35733
1.03134,-0.144497,-1.35732
1.03127,-0.144446,-1.35733
1.03131,-0.144456,-1.35729
1.03126,-0.144462,-1.35728
1.0312,-0.14441,-1.35727
1.03118,-0.144421,-1.35725
1.03117,-0.144418,-1.35725
1.03125,-0.144435,-1.35729
1.0312,-0.144425,-1.35728
1.0312,-0.144433,-1.35726
1.03122,-0.14445,-1.35729
1.0312,-0.144456,-1.35728
1.03121,-0.144454,-1.3573
1.03125,-0.144495,-1.35734
1.0312,-0.144446,-1.3573
1.0312,-0.144455,-1.35728
1.03129,-0.1444,-1.35735
1.03123,-0.144415,-1.35732
1.0312,-0.144426,-1.35726
1.03119,-0.144418,-1.35728
1.0312,-0.144435,-1.35728
1.0313,-0.144359,-1.35732
1.03125,-0.144443,-1.35731
1.03119,-0.144447,-1.35729
1.03126,-0.144456,-1.35736
1.03121,-0.144456,-1.3573
1.03125,-0.144448,-1.35733
1.03123,-0.144441,-1.35733
1.03121,-0.14444,-1.35732
1.03118,-0.144431,-1.35728
1.03123,-0.144425,-1.35732
1.03123,-0.144412,-1.35734
1.03118,-0.144407,-1.35728
1.03123,-0.144428,-1.35732
1.03121,-0.144413,-1.35732
1.03118,-0.144384,-1.35729
1.03125,-0.144411,-1.35733
1.03126,-0.144433,-1.35735
1.03117,-0.144421,-1.35729
1.03119,-0.144419,-1.35731
1.03122,-0.144466,-1.35733
1.0312,-0.144439,-1.35733
1.03126,-0.144439,-1.35735
1.03124,-0.144443,-1.35733
1.03121,-0.14447,-1.35733
1.03122,-0.144465,-1.35732
1.03116,-0.144388,-1.35729
1.03129,-0.144438,-1.35735
1.03122,-0.144412,-1.35735
1.03122,-0.144412,-1.35733
1.0312,-0.144423,-1.35732
1.03126,-0.144388,-1.35732
1.03127,-0.14444,-1.35733
1.03126,-0.144429,-1.35735
1.03126,-0.144452,-1.35733
1.03127,-0.144453,-1.35735
1.03117,-0.144418,-1.35728
1.03123,-0.144431,-1.35733
1.03122,-0.144445,-1.35732
1.03127,-0.14447,-1.35733
1.03123,-0.144444,-1.35734
1.03121,-0.144398,-1.35732
1.03127,-0.144425,-1.35731
1.03121,-0.144399,-1.35732
1.03123,-0.144393,-1.35732
1.03126,-0.144467,-1.35733
1.03125,-0.144409,-1.35734
1.03125,-0.144411,-1.35732
1.03119,-0.144411,-1.35729
1.03126,-0.144409,-1.35734
1.03126,-0.144439,-1.35733
1.03121,-0.144471,-1.35731
1.0312,-0.144421,-1.35732
1.03121,-0.144428,-1.35732
1.03127,-0.144456,-1.35729
1.03124,-0.144456,-1.35731
1.03117,-0.144427,-1.35727
1.03117,-0.14441,-1.35728
1.03124,-0.144384,-1.35732
1.03121,-0.144393,-1.35732
1.0312,-0.144413,-1.3573
1.03125,-0.144428,-1.35733
1.03119,-0.144423,-1.35728
1.03123,-0.14447,-1.35733
1.03124,-0.144398,-1.35733
1.03128,-0.144468,-1.35731
1.03117,-0.144432,-1.35728
1.03121,-0.144476,-1.35732
1.03123,-0.144467,-1.3573
1.03119,-0.144435,-1.35728
1.03122,-0.144481,-1.35731
1.0312,-0.144432,-1.35729
1.03121,-0.144425,-1.35728
1.03124,-0.144426,-1.35736
1.03121,-0.144439,-1.35731
1.03124,-0.144453,-1.35731
1.03124,-0.144405,-1.3573
1.03119,-0.144453,-1.35727
1.03122,-0.144434,-1.35729
1.0313,-0.144451,-1.35732
1.03118,-0.144462,-1.35727
1.03124,-0.144463,-1.35729
1.0312,-0.144449,-1.35729
1.03125,-0.144432,-1.35733
1.03128,-0.144518,-1.35733
1.03118,-0.144451,-1.35727
1.03118,-0.144443,-1.35727
1.03118,-0.144434,-1.35729
1.03119,-0.144476,-1.35728
1.0313,-0.144454,-1.35733
1.0312,-0.144436,-1.35732
1.0312,-0.144448,-1.35727
1.0312,-0.144455,-1.35729
1.03128,-0.14445,-1.35735
1.03127,-0.144445,-1.35735
1.03126,-0.144467,-1.35731
1.03122,-0.14446,-1.35729
1.0312,-0.144427,-1.35726
1.0312,-0.144442,-1.35727
1.03118,-0.144443,-1.35726
1.0312,-0.144409,-1.35728
1.0312,-0.14444,-1.35728
1.03118,-0.144445,-1.35726
1.03119,-0.144443,-1.35729
1.03122,-0.144442,-1.35728
1.0312,-0.144437,-1.35727
1.03124,-0.144468,-1.35731
1.0312,-0.144431,-1.35728
1.03122,-0.14444,-1.35729
1.03118,-0.144472,-1.35723
1.03119,-0.144477,-1.35724
1.03127,-0.144465,-1.35733
1.03118,-0.144456,-1.35726
1.03127,-0.144446,-1.35733
1.03123,-0.144471,-1.35732
1.0312,-0.144428,-1.35731
1.03127,-0.144419,-1.35736
1.03119,-0.144448,-1.35728
1.03119,-0.144457,-1.35728
1.0312,-0.144454,-1.35728
1.0312,-0.144453,-1.35729
1.03121,-0.144429,-1.35731
1.03121,-0.144432,-1.3573
1.03127,-0.144459,-1.35731
1.03119,-0.144458,-1.35726
1.03119,-0.144449,-1.35726
1.03124,-0.144428,-1.35731
1.03125,-0.144427,-1.35735
1.03127,-0.144461,-1.35732
1.03129,-0.144485,-1.35738
1.03127,-0.144495,-1.35739
1.03121,-0.144419,-1.3573
1.03118,-0.144455,-1.35727
1.03119,-0.144444,-1.35728
1.03126,-0.14443,-1.3573
1.03119,-0.144441,-1.35727
1.03117,-0.144443,-1.35729
1.03123,-0.144444,-1.35731
1.0312,-0.144431,-1.35726
1.03123,-0.144422,-1.35729
1.03123,-0.144438,-1.35728
1.03121,-0.144443,-1.35729
1.0313,-0.144509,-1.35736
1.03122,-0.14443,-1.35732
1.03121,-0.144454,-1.35732
1.03124,-0.144434,-1.35732
1.03122,-0.144422,-1.35732
1.03123,-0.144445,-1.35735
1.0312,-0.144433,-1.35727
1.0313,-0.144434,-1.35733
1.03119,-0.144437,-1.35728
1.03125,-0.144428,-1.35732
1.0312,-0.144414,-1.35729
1.03122,-0.144426,-1.35728
