joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.798426,-0.00674668,1.33751,1.20958,1.61937,-0.900109,1.5739
0.810446,-0.013765,1.34743,1.19969,1.63024,-0.893898,1.58083
0.821456,-0.0211854,1.35667,1.1924,1.64026,-0.88778,1.58611
0.830936,-0.0282668,1.36488,1.18622,1.64909,-0.88235,1.59062
0.839255,-0.0354309,1.37214,1.18079,1.65685,-0.877909,1.59434
0.846625,-0.0425318,1.3786,1.17565,1.66357,-0.874258,1.5976
0.853242,-0.0496465,1.38442,1.17103,1.6696,-0.871113,1.60035
0.859526,-0.0568078,1.3897,1.16644,1.67495,-0.868732,1.60274
0.865371,-0.0638656,1.39453,1.16197,1.67977,-0.866797,1.60493
0.870589,-0.0707394,1.39912,1.15753,1.6842,-0.865174,1.60671
0.87561,-0.0772674,1.40358,1.1533,1.68826,-0.863577,1.60836
0.880333,-0.0834599,1.40799,1.14895,1.69195,-0.86235,1.6099
0.885159,-0.0894313,1.41228,1.1448,1.69549,-0.861395,1.61134
0.889764,-0.0952881,1.41664,1.14067,1.69884,-0.860604,1.61262
0.894229,-0.101112,1.42113,1.13651,1.70206,-0.859637,1.61388
0.898777,-0.106808,1.42548,1.13245,1.70508,-0.858839,1.61504
0.903237,-0.112472,1.42995,1.12822,1.70808,-0.858021,1.61622
0.907845,-0.118155,1.43436,1.12409,1.71104,-0.85728,1.61744
0.912341,-0.123665,1.43883,1.11975,1.71393,-0.856351,1.61864
0.916856,-0.129152,1.4432,1.11522,1.71669,-0.855659,1.61981
0.921417,-0.134645,1.44771,1.11082,1.71944,-0.854644,1.62098
0.925751,-0.140181,1.45223,1.10627,1.7223,-0.853716,1.62214
0.929992,-0.145692,1.45688,1.10192,1.72519,-0.852605,1.62322
0.934102,-0.151059,1.46145,1.09745,1.72799,-0.851562,1.62436
0.938017,-0.156692,1.4661,1.09289,1.7308,-0.850367,1.62547
0.942388,-0.162181,1.47063,1.08835,1.73348,-0.849657,1.62671
0.946299,-0.167657,1.47528,1.08362,1.7363,-0.848686,1.62771
0.95013,-0.173111,1.4799,1.07897,1.73909,-0.847808,1.62879
0.954105,-0.1786,1.48461,1.07457,1.74196,-0.846948,1.62972
0.957585,-0.184041,1.48925,1.07027,1.74485,-0.846362,1.63074
0.9614,-0.189645,1.49412,1.06602,1.74787,-0.845418,1.63174
0.964935,-0.195073,1.4988,1.06165,1.75077,-0.844866,1.63281
0.968395,-0.200591,1.50352,1.05748,1.75372,-0.844404,1.63372
0.971576,-0.206028,1.5083,1.05317,1.75665,-0.843446,1.63473
0.974229,-0.211344,1.51309,1.04881,1.75961,-0.842763,1.63574
0.976148,-0.216526,1.51785,1.04458,1.76253,-0.842064,1.63664
0.977895,-0.221887,1.52261,1.04067,1.76556,-0.841076,1.63759
0.978818,-0.227018,1.52761,1.03717,1.76867,-0.840159,1.63845
0.978556,-0.231695,1.53182,1.03355,1.77172,-0.839964,1.63928
0.976604,-0.236317,1.53617,1.03006,1.77463,-0.839702,1.64015
0.970447,-0.240401,1.54031,1.02639,1.77771,-0.839664,1.64088
0.961059,-0.243437,1.54442,1.02258,1.78074,-0.839676,1.64128
0.951361,-0.245322,1.54855,1.01834,1.78353,-0.840847,1.64156
0.94286,-0.246935,1.5536,1.01495,1.78671,-0.841727,1.64185
0.936022,-0.24865,1.55853,1.01344,1.78997,-0.84138,1.64234
0.929743,-0.249686,1.56305,1.01257,1.79311,-0.841149,1.64274
0.924406,-0.251721,1.5679,1.01111,1.79629,-0.84075,1.64336
0.920346,-0.253596,1.57249,1.01027,1.7994,-0.840846,1.64424
0.91642,-0.25587,1.57724,1.00998,1.80252,-0.840456,1.64503
0.91292,-0.258211,1.58193,1.0095,1.80566,-0.839605,1.64588
0.91037,-0.261071,1.58669,1.01036,1.80883,-0.838175,1.64693
0.907915,-0.263703,1.59103,1.01052,1.81185,-0.836561,1.64782
0.905673,-0.266372,1.59585,1.00932,1.81493,-0.835264,1.64847
0.903337,-0.268566,1.60074,1.00772,1.81798,-0.834678,1.64917
0.900563,-0.270292,1.60547,1.00615,1.82105,-0.835585,1.64995
0.897915,-0.27223,1.61025,1.0047,1.82425,-0.838806,1.65071
0.894882,-0.273848,1.61464,1.0047,1.82731,-0.844694,1.65124
0.890872,-0.275616,1.61931,1.00955,1.83047,-0.849676,1.65114
0.886483,-0.278137,1.62382,1.01632,1.83341,-0.85292,1.64961
0.881805,-0.281077,1.62835,1.02481,1.83623,-0.854259,1.64732
0.876529,-0.284349,1.63317,1.03313,1.83899,-0.851861,1.64577
0.871584,-0.28783,1.63812,1.04032,1.84185,-0.848158,1.64488
0.867182,-0.290924,1.64327,1.0458,1.84492,-0.843395,1.64413
0.862958,-0.293976,1.64859,1.05093,1.84814,-0.838906,1.64365
0.858162,-0.296224,1.65378,1.05509,1.85125,-0.835286,1.64293
0.853575,-0.298247,1.65898,1.05907,1.85458,-0.831744,1.64188
0.848725,-0.299953,1.66408,1.06231,1.85784,-0.829295,1.64033
0.843603,-0.30141,1.66914,1.06481,1.86099,-0.82724,1.63816
0.838914,-0.303017,1.67423,1.06744,1.86426,-0.82614,1.63481
0.833351,-0.304278,1.67935,1.06972,1.8675,-0.825651,1.63134
0.828511,-0.306109,1.68449,1.07194,1.87074,-0.826742,1.62779
0.823716,-0.307465,1.68964,1.07361,1.87399,-0.829378,1.62394
0.819262,-0.3088,1.69471,1.07499,1.87732,-0.83355,1.61976
0.815014,-0.310151,1.69962,1.07632,1.88064,-0.841193,1.61544
0.812416,-0.311707,1.70415,1.07895,1.88416,-0.850156,1.61012
0.810841,-0.314099,1.70813,1.0813,1.88739,-0.859253,1.6056
0.811852,-0.317383,1.7116,1.08377,1.89057,-0.867992,1.60245
0.81407,-0.320867,1.71499,1.08736,1.8935,-0.875525,1.60021
0.815822,-0.324312,1.71867,1.09021,1.89641,-0.882285,1.59936
0.819971,-0.328319,1.72279,1.09319,1.89934,-0.88798,1.59927
0.82384,-0.332562,1.72714,1.09483,1.90205,-0.893016,1.60059
0.827912,-0.33782,1.73174,1.09603,1.90476,-0.897599,1.60367
0.831162,-0.343912,1.73631,1.09624,1.90739,-0.900953,1.60864
0.83361,-0.350345,1.74064,1.09723,1.91042,-0.902486,1.6148
0.835195,-0.356661,1.74474,1.0999,1.91371,-0.903145,1.62072
0.835145,-0.362166,1.74815,1.10153,1.91713,-0.904047,1.62589
0.834378,-0.367078,1.75094,1.1036,1.92054,-0.905521,1.63044
0.831474,-0.371741,1.75384,1.10535,1.92387,-0.907447,1.63404
0.827083,-0.375617,1.75627,1.10758,1.92729,-0.909142,1.63638
0.821468,-0.378853,1.75925,1.11184,1.93075,-0.910515,1.63782
