ball_qw,ball_qx,ball_qy,ball_qz
0.999983,0.00471237,0.000596153,0.0035198
0.999983,0.00463308,0.000594193,0.0035868
0.999983,0.00457568,0.000613447,0.00355913
0.999984,0.00448074,0.000623311,0.00355497
0.999983,0.00453544,0.000572459,0.00350456
0.999984,0.00452509,0.000572604,0.00349631
0.999983,0.00458914,0.000622851,0.00359724
0.999984,0.00449284,0.000548323,0.00343285
0.999984,0.00452012,0.000579415,0.00337052
0.999983,0.00451011,0.000593826,0.00361042
0.999983,0.00456093,0.000609193,0.00348889
0.999984,0.00446547,0.000517893,0.00345071
0.999983,0.00448219,0.00059828,0.00361376
0.999984,0.00442381,0.000537721,0.0035115
0.999983,0.00463997,0.000638947,0.00350816
0.999982,0.00463019,0.000590015,0.00375212
0.999983,0.00460876,0.000600251,0.00360089
0.999983,0.00461596,0.000640104,0.00352267
0.999983,0.00449389,0.000601713,0.00361338
0.999983,0.0046083,0.000595474,0.00365536
0.999984,0.00450005,0.000579912,0.00348557
0.999984,0.00450019,0.000582186,0.00350935
0.999983,0.00459123,0.000617249,0.00351062
0.999982,0.00472667,0.000687807,0.00367686
0.999982,0.00466468,0.000612503,0.00369325
0.999982,0.0046894,0.000607681,0.00369836
0.999982,0.00468074,0.000637845,0.0036641
0.999984,0.0044892,0.000560423,0.00353586
0.999987,0.00405799,0.000574806,0.0030246
0.999983,0.00466623,0.000663826,0.00350795
0.999982,0.00466307,0.00063849,0.00365601
0.999983,0.00459794,0.000630896,0.00349509
0.999983,0.00460728,0.000657386,0.00351492
0.999984,0.00454137,0.000651332,0.00345929
0.999983,0.00459439,0.000663381,0.00345912
0.999985,0.00442999,0.000612487,0.0032406
0.999983,0.00453936,0.000636437,0.00350096
0.999984,0.00456448,0.000668681,0.00343725
0.999983,0.00456971,0.000648727,0.00348408
0.999983,0.00468335,0.000723022,0.00351773
0.999982,0.00477953,0.000690666,0.00366534
0.999982,0.0047319,0.000715444,0.00350694
0.999983,0.00465212,0.000723397,0.00349971
0.999981,0.00480836,0.000725118,0.0037399
0.999983,0.00468627,0.000748779,0.00347154
0.999983,0.00466876,0.000736198,0.00345795
0.999982,0.00476875,0.000807248,0.00352949
0.999982,0.00472284,0.000791405,0.00352233
0.999983,0.00460669,0.000690634,0.00359586
0.999982,0.00479831,0.000738705,0.0036702
0.999982,0.00475622,0.000844234,0.00357158
0.999983,0.00466061,0.000716331,0.00343648
