joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.78694,0.00468577,1.32639,1.22178,1.60576,-0.907429,1.57079
0.78694,0.00468583,1.32639,1.22178,1.60576,-0.907429,1.57079
0.78694,0.00468595,1.32639,1.22178,1.60576,-0.907429,1.57079
0.78694,0.00468523,1.32639,1.22178,1.60576,-0.907433,1.57079
0.786946,0.00468895,1.32638,1.22184,1.60572,-0.90751,1.57083
0.786958,0.00469057,1.32624,1.22214,1.60556,-0.907981,1.57087
0.787019,0.00472077,1.32606,1.22249,1.6054,-0.90883,1.57054
0.787196,0.00481664,1.32609,1.22266,1.60559,-0.909386,1.56954
0.78747,0.0049873,1.32654,1.22259,1.60639,-0.908817,1.56771
0.787796,0.00513902,1.3276,1.22219,1.60792,-0.906671,1.56514
0.788175,0.00514153,1.32948,1.22119,1.61014,-0.902905,1.56217
0.788593,0.00483336,1.33218,1.21942,1.6129,-0.897765,1.55902
0.789057,0.00406433,1.33563,1.21687,1.61602,-0.891912,1.55585
0.789619,0.00269927,1.33974,1.21355,1.61931,-0.885852,1.55272
0.790316,0.00075992,1.34434,1.20961,1.62271,-0.879783,1.5497
0.791165,-0.00160684,1.34927,1.20516,1.62618,-0.873843,1.54683
0.792296,-0.00424877,1.35455,1.20043,1.62969,-0.868217,1.54415
0.793807,-0.00695858,1.36018,1.19557,1.63321,-0.862887,1.54167
0.795634,-0.00966995,1.36594,1.19055,1.63672,-0.857866,1.5394
0.797705,-0.0124732,1.37168,1.18529,1.64023,-0.853233,1.53731
0.800066,-0.0152769,1.37748,1.17995,1.6437,-0.849003,1.5354
0.802711,-0.0180898,1.38333,1.17465,1.64711,-0.845106,1.53367
0.805503,-0.0210102,1.38907,1.16924,1.65046,-0.84152,1.53211
0.808438,-0.0240921,1.39474,1.16368,1.65379,-0.838291,1.53073
0.811607,-0.0272885,1.4005,1.15828,1.65703,-0.835429,1.52953
0.814923,-0.0306366,1.40625,1.15302,1.66019,-0.832866,1.52848
0.818317,-0.0341769,1.41192,1.14764,1.66328,-0.830572,1.52757
0.821834,-0.0378843,1.41762,1.14229,1.66632,-0.828554,1.52681
0.825395,-0.04173,1.42327,1.13711,1.66927,-0.826734,1.52619
0.828927,-0.0457936,1.42882,1.13187,1.67215,-0.825143,1.5257
0.832525,-0.050008,1.43445,1.12645,1.67497,-0.823795,1.52531
0.83622,-0.0542595,1.44023,1.12103,1.67772,-0.822651,1.52502
0.839848,-0.0585455,1.44589,1.11566,1.68041,-0.821636,1.52481
0.843315,-0.0629578,1.45132,1.11018,1.68306,-0.820738,1.52466
0.846715,-0.0674609,1.45673,1.10459,1.68567,-0.819941,1.52457
0.850114,-0.0719758,1.46223,1.09908,1.68823,-0.819236,1.52451
0.853466,-0.076522,1.46774,1.09366,1.69071,-0.818619,1.52446
0.856765,-0.0812233,1.47323,1.08813,1.69319,-0.818046,1.5244
0.859951,-0.0860467,1.47862,1.08271,1.69563,-0.817472,1.52433
0.862928,-0.0909164,1.48375,1.07748,1.69803,-0.816844,1.52423
0.865807,-0.0959,1.48884,1.07232,1.7004,-0.816219,1.52412
0.868738,-0.100929,1.49409,1.0671,1.70274,-0.815606,1.52399
0.87163,-0.106028,1.49933,1.0621,1.70506,-0.814981,1.52385
0.874298,-0.11114,1.50429,1.0573,1.70732,-0.814239,1.52368
0.876865,-0.116272,1.50917,1.05249,1.70958,-0.813433,1.52349
0.879452,-0.121367,1.51417,1.04765,1.71182,-0.812665,1.52331
0.88192,-0.126457,1.51904,1.04298,1.71403,-0.811818,1.52315
0.884163,-0.131561,1.52367,1.03847,1.71622,-0.81086,1.52301
0.886317,-0.136703,1.52833,1.0339,1.7184,-0.809897,1.52289
0.888425,-0.141869,1.53312,1.02924,1.72057,-0.808999,1.52278
0.89032,-0.14707,1.5378,1.02465,1.72274,-0.808042,1.52269
0.89193,-0.152272,1.5423,1.02009,1.72489,-0.807008,1.52257
0.89337,-0.157434,1.54681,1.01552,1.72704,-0.805977,1.52242
0.894738,-0.16258,1.55142,1.01083,1.72921,-0.804991,1.52219
0.895946,-0.167635,1.55593,1.00614,1.73137,-0.803915,1.52186
0.897007,-0.172619,1.5603,1.0015,1.73352,-0.802758,1.52144
0.898006,-0.177601,1.56466,0.996933,1.73567,-0.801588,1.52096
0.898968,-0.182618,1.56898,0.992215,1.73786,-0.800371,1.5204
0.899869,-0.187554,1.57322,0.987554,1.74002,-0.799089,1.51974
0.900741,-0.19252,1.57742,0.982957,1.74222,-0.797782,1.51898
