joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.781787,0.0129938,1.32562,1.2402,1.63285,-0.930904,1.58366
0.781804,0.0130372,1.32568,1.24023,1.63289,-0.930898,1.58367
0.781876,0.01315,1.32589,1.24034,1.63299,-0.930871,1.58371
0.782034,0.0133426,1.3263,1.24058,1.63318,-0.930813,1.58378
0.782292,0.0136317,1.32693,1.24098,1.63346,-0.930715,1.5839
0.782635,0.0140321,1.32781,1.24154,1.63387,-0.930572,1.58407
0.783039,0.0145478,1.32894,1.24227,1.63439,-0.93038,1.58431
0.783449,0.0151775,1.33034,1.24313,1.63504,-0.930135,1.5846
0.783797,0.015883,1.33198,1.24411,1.63581,-0.929838,1.58496
0.784022,0.0166206,1.33388,1.24511,1.63672,-0.929489,1.58539
0.784069,0.0173347,1.33601,1.24602,1.63775,-0.929085,1.58589
0.783898,0.0179617,1.33837,1.24676,1.63892,-0.928624,1.58645
0.783483,0.0184475,1.34093,1.24724,1.6402,-0.928106,1.58707
0.782816,0.0187601,1.34367,1.24742,1.64161,-0.927529,1.58777
0.781908,0.0188793,1.34658,1.24727,1.64313,-0.926893,1.58852
0.780774,0.0187968,1.34965,1.24678,1.64476,-0.926198,1.58934
0.779437,0.0185077,1.35284,1.24592,1.64649,-0.925444,1.59022
0.777939,0.0180391,1.35613,1.24472,1.64833,-0.924632,1.59115
0.776331,0.0173992,1.3595,1.24317,1.65026,-0.923762,1.59215
0.774652,0.0166145,1.36289,1.2413,1.65228,-0.922836,1.5932
0.772948,0.0157064,1.36628,1.23912,1.65438,-0.921854,1.5943
0.771283,0.0147145,1.36961,1.23664,1.65655,-0.920818,1.59545
0.769708,0.0136817,1.37279,1.2339,1.6588,-0.919728,1.59665
0.768273,0.0126701,1.37574,1.2309,1.66112,-0.918586,1.5979
0.767026,0.0117279,1.37837,1.22767,1.66349,-0.917394,1.59919
0.766004,0.0108952,1.38061,1.22423,1.66592,-0.916154,1.60052
0.765223,0.0101985,1.38242,1.22059,1.6684,-0.914867,1.60189
0.764691,0.00966536,1.38379,1.21677,1.67093,-0.913536,1.60329
0.764367,0.00931091,1.3847,1.21278,1.6735,-0.912163,1.60471
0.764213,0.00912232,1.38516,1.20865,1.67611,-0.910752,1.60616
0.764218,0.00909528,1.38517,1.20437,1.67876,-0.909304,1.6076
0.764363,0.00920012,1.38476,1.19996,1.68143,-0.907822,1.60905
0.764654,0.00942959,1.38395,1.19544,1.68414,-0.906308,1.6105
0.765052,0.00978142,1.38277,1.19081,1.68686,-0.904763,1.61195
0.765529,0.0102337,1.38124,1.18607,1.68961,-0.90319,1.6134
0.76606,0.0107713,1.37937,1.18125,1.69237,-0.90159,1.61484
0.766646,0.0113851,1.37721,1.17635,1.69514,-0.899965,1.61627
0.767286,0.0120516,1.37476,1.17137,1.69793,-0.898317,1.61768
0.767989,0.0127508,1.37206,1.16632,1.70072,-0.896648,1.61908
0.768739,0.0134721,1.36913,1.16121,1.70352,-0.89496,1.62048
0.769515,0.0141974,1.36599,1.15605,1.70632,-0.893255,1.62187
0.770308,0.0148925,1.36266,1.15084,1.70912,-0.891535,1.62325
0.771126,0.015532,1.35915,1.14559,1.71191,-0.889802,1.62463
0.771983,0.0161008,1.35549,1.1403,1.71469,-0.88806,1.62601
0.772882,0.0165723,1.35169,1.13498,1.71745,-0.886309,1.62739
0.773822,0.0169353,1.34777,1.12964,1.72016,-0.884554,1.62878
0.774815,0.0172072,1.34374,1.12429,1.72283,-0.882794,1.63017
0.775868,0.0173816,1.33961,1.11891,1.72543,-0.881028,1.63157
0.776993,0.017463,1.33539,1.11352,1.72795,-0.879257,1.63297
0.778189,0.0174363,1.33109,1.10813,1.73036,-0.877485,1.63439
0.779466,0.0172871,1.32672,1.10273,1.73263,-0.875719,1.63582
0.780828,0.0170056,1.32229,1.09732,1.73473,-0.873962,1.63726
0.782292,0.0165917,1.3178,1.09192,1.73667,-0.872213,1.63871
0.783858,0.0160414,1.31326,1.08653,1.73842,-0.870473,1.64019
0.785522,0.0153519,1.30868,1.08114,1.73998,-0.868748,1.64168
0.787286,0.0145244,1.30406,1.07575,1.74134,-0.867042,1.64319
0.789156,0.0135629,1.2994,1.07038,1.7425,-0.865355,1.64472
0.791142,0.0124707,1.29471,1.06502,1.74347,-0.863689,1.64626
0.793237,0.0112536,1.28999,1.05968,1.74425,-0.86204,1.64783
0.795437,0.00992725,1.28524,1.05434,1.74485,-0.860404,1.64942
0.797732,0.00849775,1.28047,1.04901,1.74526,-0.85878,1.65103
0.800117,0.00698023,1.27568,1.04369,1.74551,-0.857164,1.65265
0.802587,0.00537641,1.27087,1.03838,1.74561,-0.855554,1.6543
0.805141,0.00368766,1.26605,1.03307,1.74554,-0.853949,1.65597
0.807783,0.00191612,1.26121,1.02777,1.74533,-0.852347,1.65765
0.810502,7.04877e-05,1.25635,1.02248,1.74498,-0.850746,1.65936
0.813296,-0.00184635,1.25149,1.01719,1.7445,-0.849146,1.66108
0.816156,-0.00382993,1.24661,1.01191,1.74389,-0.847547,1.66282
0.819074,-0.00588032,1.24173,1.00663,1.74316,-0.845946,1.66458
0.822039,-0.00799394,1.23683,1.00134,1.74232,-0.844344,1.66635
0.82505,-0.0101688,1.23193,0.996059,1.74137,-0.84274,1.66814
0.828104,-0.0124047,1.22703,0.990774,1.74033,-0.84114,1.66994
0.831198,-0.0146993,1.22211,0.985486,1.73919,-0.839544,1.67176
0.834329,-0.0170351,1.2172,0.980194,1.73797,-0.837949,1.67359
0.837493,-0.0194088,1.21228,0.974896,1.73666,-0.836353,1.67544
0.84068,-0.0218208,1.20735,0.969592,1.73529,-0.834756,1.6773
0.843874,-0.024273,1.20243,0.964282,1.73385,-0.83316,1.67917
0.847063,-0.0267688,1.1975,0.958965,1.73234,-0.831568,1.68105
0.850242,-0.0293092,1.19257,0.953641,1.73078,-0.829981,1.68294
0.853405,-0.0318948,1.18765,0.948309,1.72916,-0.828401,1.68484
0.856552,-0.0345263,1.18273,0.942968,1.72749,-0.826826,1.68676
0.85969,-0.0372003,1.17781,0.937619,1.72577,-0.825256,1.68868
0.862823,-0.0399137,1.1729,0.932262,1.72401,-0.82369,1.69061
0.865948,-0.0426595,1.16799,0.926897,1.7222,-0.822127,1.69254
0.869068,-0.0454338,1.16308,0.921525,1.72034,-0.820566,1.69449
0.872173,-0.0482325,1.15818,0.916144,1.71845,-0.819005,1.69644
0.875263,-0.0510502,1.15328,0.910753,1.71652,-0.817444,1.69841
0.878334,-0.0538807,1.14838,0.905353,1.71456,-0.81588,1.70037
0.881384,-0.0567313,1.14349,0.899944,1.71256,-0.814322,1.70235
0.884413,-0.059603,1.1386,0.894526,1.71053,-0.812771,1.70433
0.887428,-0.0624898,1.13372,0.8891,1.70848,-0.811225,1.70632
0.890422,-0.0653897,1.12884,0.883665,1.70639,-0.809682,1.70831
0.893399,-0.0683022,1.12398,0.878222,1.70428,-0.808142,1.71031
0.896348,-0.0712227,1.11912,0.872771,1.70214,-0.806602,1.71231
0.899265,-0.0741598,1.11426,0.867311,1.69998,-0.805075,1.71431
0.902133,-0.0771035,1.10942,0.861842,1.69781,-0.803559,1.71632
0.904944,-0.0800585,1.1046,0.856364,1.69562,-0.802061,1.71833
0.907692,-0.0830283,1.09978,0.850876,1.69342,-0.800586,1.72035
0.910391,-0.0860163,1.09498,0.845378,1.69122,-0.799145,1.72236
0.913054,-0.0890274,1.0902,0.839872,1.689,-0.797752,1.72438
0.915675,-0.0920547,1.08543,0.834358,1.68678,-0.796418,1.7264
0.918255,-0.0950984,1.08068,0.828838,1.68454,-0.795152,1.72843
0.920788,-0.0981606,1.07594,0.82331,1.6823,-0.793961,1.73045
0.923281,-0.10124,1.07123,0.817777,1.68004,-0.792849,1.73248
0.925734,-0.104336,1.06653,0.812239,1.67778,-0.791821,1.73451
0.928146,-0.107443,1.06185,0.806696,1.6755,-0.790874,1.73654
0.93052,-0.11056,1.05719,0.801149,1.67321,-0.790008,1.73858
0.932843,-0.113687,1.05256,0.795598,1.67091,-0.789221,1.74061
0.935123,-0.116818,1.04795,0.790042,1.6686,-0.788505,1.74264
0.937349,-0.119958,1.04338,0.784481,1.66628,-0.787848,1.74468
0.939508,-0.123109,1.03884,0.778915,1.66395,-0.787253,1.74672
0.941599,-0.126273,1.03433,0.773344,1.66161,-0.786713,1.74876
0.943625,-0.129455,1.02987,0.767768,1.65926,-0.786214,1.75079
0.945567,-0.13265,1.02545,0.762186,1.65691,-0.785741,1.75283
0.947424,-0.135862,1.02109,0.756597,1.65455,-0.785282,1.75486
0.949188,-0.139097,1.01678,0.751003,1.6522,-0.784841,1.7569
0.950871,-0.142353,1.01255,0.745401,1.64985,-0.784409,1.75893
0.952486,-0.145628,1.00839,0.739794,1.64751,-0.783975,1.76096
0.95406,-0.148919,1.00432,0.73418,1.64519,-0.783535,1.76299
0.955579,-0.152225,1.00033,0.728561,1.64289,-0.783081,1.76501
0.957035,-0.155546,0.996421,0.722936,1.6406,-0.782611,1.76704
0.958419,-0.158884,0.992608,0.717305,1.63833,-0.782123,1.76907
0.959742,-0.162245,0.988974,0.711668,1.6361,-0.781627,1.7711
0.960994,-0.165627,0.985616,0.706024,1.63394,-0.781122,1.77312
0.962182,-0.169033,0.982615,0.700373,1.63191,-0.780602,1.77515
0.963268,-0.17247,0.980033,0.694716,1.63003,-0.780059,1.77718
0.964215,-0.175943,0.977908,0.689054,1.62832,-0.77949,1.77922
0.96499,-0.179455,0.97626,0.683388,1.62681,-0.778891,1.78126
0.965566,-0.183011,0.975097,0.677717,1.6255,-0.778261,1.7833
0.96592,-0.186613,0.974413,0.672044,1.62439,-0.777604,1.78535
0.966046,-0.190264,0.974192,0.666367,1.6235,-0.776931,1.7874
0.965947,-0.193963,0.974415,0.660688,1.62283,-0.776258,1.78946
0.965638,-0.197711,0.975056,0.655006,1.62236,-0.7756,1.79152
0.965155,-0.201507,0.976089,0.649322,1.62209,-0.774966,1.79358
0.964514,-0.205347,0.977485,0.643638,1.62203,-0.774354,1.79565
0.963729,-0.20923,0.979206,0.637951,1.62215,-0.773759,1.79772
0.9628,-0.213148,0.98122,0.632263,1.62246,-0.773179,1.79979
0.961738,-0.217099,0.983496,0.626573,1.62295,-0.772613,1.80186
0.960554,-0.221081,0.986007,0.620881,1.62361,-0.772061,1.80394
0.959263,-0.225094,0.988733,0.615187,1.62442,-0.77152,1.80602
0.957874,-0.229139,0.99165,0.609494,1.62539,-0.771,1.8081
0.956409,-0.233217,0.994738,0.603801,1.6265,-0.770512,1.81017
0.954916,-0.237322,0.997979,0.598109,1.62774,-0.77006,1.81225
0.953413,-0.241456,1.00136,0.592419,1.62911,-0.769633,1.81433
0.951888,-0.245616,1.00485,0.586731,1.63059,-0.769218,1.81641
0.950335,-0.249803,1.00843,0.581045,1.63219,-0.768809,1.81848
0.948749,-0.254017,1.01211,0.575361,1.63389,-0.768415,1.82056
0.947153,-0.258257,1.01586,0.569679,1.63568,-0.768035,1.82263
0.945573,-0.262519,1.01969,0.564,1.63757,-0.767673,1.8247
0.944021,-0.266803,1.02357,0.558325,1.63954,-0.767321,1.82677
0.942491,-0.271108,1.02751,0.552654,1.64158,-0.766979,1.82884
0.940992,-0.275428,1.03149,0.546987,1.64369,-0.76664,1.8309
0.939511,-0.279764,1.03551,0.541325,1.64587,-0.766305,1.83297
0.938055,-0.284115,1.03956,0.535667,1.64811,-0.765969,1.83502
0.936653,-0.288483,1.04364,0.530015,1.65041,-0.765641,1.83708
0.93533,-0.292871,1.04774,0.52437,1.65276,-0.765318,1.83913
0.934094,-0.297277,1.05187,0.518734,1.65515,-0.764987,1.84117
0.93293,-0.301701,1.05601,0.513108,1.65758,-0.764639,1.84322
0.931834,-0.30614,1.06015,0.507493,1.66005,-0.764265,1.84525
0.930809,-0.310591,1.06431,0.501887,1.66256,-0.76386,1.84729
0.929863,-0.315056,1.06847,0.496294,1.6651,-0.763422,1.84931
0.929007,-0.319535,1.07264,0.490714,1.66766,-0.76295,1.85133
0.928235,-0.324028,1.07681,0.48515,1.67024,-0.762452,1.85335
0.927571,-0.328533,1.08098,0.479603,1.67284,-0.761926,1.85535
0.92702,-0.333049,1.08516,0.474075,1.67546,-0.761371,1.85735
0.926588,-0.337574,1.08934,0.468566,1.67809,-0.76078,1.85934
0.926278,-0.342111,1.09352,0.463078,1.68073,-0.760152,1.86132
0.926061,-0.34666,1.09769,0.457613,1.68337,-0.759485,1.8633
0.925932,-0.351219,1.10185,0.452172,1.68601,-0.758779,1.86526
0.925912,-0.355787,1.10601,0.446756,1.68864,-0.758034,1.86721
0.926003,-0.360363,1.11017,0.441368,1.69127,-0.75725,1.86915
0.926208,-0.364948,1.11431,0.436017,1.69389,-0.756427,1.87107
0.926534,-0.369544,1.11845,0.430711,1.69648,-0.755565,1.87298
0.926971,-0.374151,1.12257,0.425454,1.69904,-0.754667,1.87487
