lin_vel_X,lin_vel_Y,lin_vel_Z
1.92339e-05,1.94653e-05,1.78161e-06
-1.28574e-05,-1.77231e-05,-2.14039e-05
-1.93629e-05,-1.27125e-05,3.20223e-07
-0.00259889,-0.00334915,-0.00443414
-0.00500389,-0.00848819,-0.0282528
0.01639,0.0130687,-0.062301
0.0379398,0.0407602,-0.0789052
0.0362616,0.0369808,-0.0898399
0.0445904,0.0361463,-0.0981115
0.0735183,0.0571383,-0.107974
0.0876568,0.0621404,-0.118086
0.0773612,0.0510565,-0.112593
0.0707104,0.0452028,-0.102504
0.074195,0.0451101,-0.100516
0.0749224,0.0410682,-0.101756
0.0753428,0.0376669,-0.100721
0.0808084,0.0406108,-0.095764
0.0886879,0.0489412,-0.0856855
0.101377,0.0650141,-0.071713
0.111335,0.0784134,-0.0597114
0.115432,0.0881368,-0.0444281
0.119552,0.095975,-0.0325814
0.128815,0.109027,-0.0207504
0.136786,0.12049,-0.010714
0.137669,0.127292,0.00281626
0.132581,0.129757,0.0190921
0.130501,0.135225,0.0361245
0.131606,0.142649,0.0540307
0.127307,0.147245,0.0775148
0.113923,0.147052,0.107179
0.10213,0.147599,0.135054
0.0959325,0.151373,0.156824
0.0914053,0.157721,0.17888
0.0799792,0.160591,0.207895
0.0598346,0.15574,0.237783
0.0442776,0.152421,0.263124
0.0284284,0.150682,0.29248
0.012033,0.146027,0.316578
0.00108963,0.146132,0.336652
-0.0102395,0.146293,0.356695
-0.0221623,0.142845,0.371646
-0.0408503,0.137564,0.394836
-0.0607566,0.132744,0.41935
-0.077495,0.126279,0.434389
-0.0963112,0.11542,0.445991
-0.11663,0.103421,0.455752
-0.136339,0.100322,0.479478
-0.151005,0.103186,0.502982
-0.163332,0.0974629,0.508078
-0.176312,0.0904316,0.511044
-0.195536,0.0887202,0.533066
-0.215186,0.0852567,0.550807
-0.229852,0.0805871,0.555916
-0.243219,0.0758465,0.559037
-0.253943,0.0865342,0.580401
-0.264872,0.0875688,0.586993
-0.282975,0.0778536,0.588895
-0.298516,0.0799688,0.602553
-0.305427,0.086707,0.6101
-0.309746,0.0858656,0.602156
-0.329838,0.0788026,0.609283
-0.356134,0.0642599,0.614736
-0.36718,0.0552018,0.605004
-0.361701,0.0700984,0.604554
-0.365593,0.0743151,0.603585
-0.388793,0.0519166,0.593912
-0.397236,0.0557943,0.596893
-0.383384,0.0767288,0.593828
-0.393911,0.0606442,0.578439
-0.422995,0.0440241,0.583028
-0.421748,0.0544917,0.583686
-0.419819,0.0493062,0.566545
-0.441424,0.0332868,0.563804
-0.441863,0.0429391,0.565497
-0.430127,0.050433,0.552796
-0.445885,0.0374722,0.54719
-0.46064,0.0297815,0.546491
-0.456046,0.0282219,0.532923
-0.464729,0.0240966,0.530008
-0.482999,0.00911235,0.52621
-0.478516,0.00635531,0.512242
0,0,0
-0.949541,0.0300762,1.01125
-0.484904,-0.0088772,0.486409
-0.483549,-0.00559543,0.482874
-0.48555,-0.00385621,0.48137
-0.491616,-0.0244022,0.462185
-0.487474,-0.0205102,0.45692
-0.47591,-0.00435547,0.457352
-0.480807,-0.0236653,0.439483
-0.504009,-0.0496853,0.431069
-0.509549,-0.0489135,0.433117
-0.500795,-0.0542592,0.417382
-0.504671,-0.0668214,0.405482
-0.5066,-0.0599082,0.409927
-0.495012,-0.0579108,0.398966
-0.504849,-0.0777078,0.385459
-0.524868,-0.0894967,0.387097
-0.52339,-0.0930751,0.379738
-0.510486,-0.0931195,0.366701
-0.512729,-0.0964655,0.361989
-0.519659,-0.101363,0.359581
-0.524729,-0.119708,0.344581
-0.527798,-0.129306,0.335225
-0.533901,-0.13223,0.334575
-0.536636,-0.14942,0.319644
-0.533188,-0.151664,0.311299
-0.52531,-0.13747,0.314147
-0.53032,-0.149462,0.302946
-0.54125,-0.167316,0.291493
-0.538199,-0.1634,0.289627
-0.532875,-0.161383,0.283873
-0.541009,-0.186718,0.265242
-0.547581,-0.192482,0.260044
-0.541125,-0.172596,0.267381
-0.530286,-0.181048,0.248812
-0.541601,-0.202282,0.234652
-0.556734,-0.202969,0.240544
-0.548822,-0.195947,0.23611
-0.534902,-0.196201,0.22318
-0.535336,-0.195114,0.220509
-0.549598,-0.200786,0.220218
-0.555221,-0.220545,0.204151
-0.554696,-0.228797,0.194795
-0.554572,-0.21606,0.201454
-0.553974,-0.223035,0.191873
-0.560332,-0.235156,0.182229
-0.555738,-0.225947,0.182319
-0.546716,-0.218584,0.180254
-0.547161,-0.229398,0.169493
-0.552799,-0.229179,0.169609
-0.547567,-0.213837,0.175904
-0.532923,-0.215843,0.163804
-0.524553,-0.220312,0.154677
-0.525807,-0.215152,0.158759
-0.527909,-0.202902,0.165688
-0.520561,-0.202584,0.158928
-0.51867,-0.198657,0.157192
-0.520638,-0.18556,0.164261
-0.521706,-0.188288,0.158378
-0.525668,-0.179661,0.161155
-0.524409,-0.159118,0.170557
-0.522666,-0.150667,0.170922
-0.528101,-0.164339,0.157697
-0.533696,-0.160495,0.158346
-0.524111,-0.120955,0.177089
-0.510546,-0.10808,0.174506
-0.518658,-0.124432,0.160833
-0.527044,-0.123698,0.160093
-0.517408,-0.0969572,0.169806
-0.503502,-0.0770994,0.171791
-0.512079,-0.0848754,0.164087
-0.537378,-0.094552,0.161877
-0.543792,-0.097117,0.157134
-0.531931,-0.0765823,0.160451
-0.522887,-0.050336,0.168067
-0.544619,-0.0495353,0.170187
-0.567748,-0.0702495,0.157517
-0.569851,-0.0679353,0.155108
-0.551721,-0.0281836,0.169159
-0.558817,-0.0109122,0.177364
-0.589792,-0.0452202,0.158116
-0.612079,-0.0623419,0.148112
