or_w,or_x,or_y,or_z
0.773374,-0.0562252,0.61681,-0.135193
0.773373,-0.0562251,0.61681,-0.135193
0.773374,-0.0562251,0.61681,-0.135193
0.773372,-0.0561979,0.616823,-0.135155
0.773376,-0.0560892,0.616901,-0.134819
0.773451,-0.0559767,0.617041,-0.133789
0.773608,-0.0559667,0.617173,-0.132275
0.773785,-0.0559191,0.617283,-0.130738
0.773927,-0.0557966,0.617419,-0.129296
0.773995,-0.0557615,0.617632,-0.127877
0.774016,-0.0556999,0.617894,-0.126505
0.774042,-0.0555711,0.618126,-0.125264
0.774098,-0.0553998,0.618303,-0.12411
0.774187,-0.0551893,0.618444,-0.122944
0.77431,-0.0549218,0.618549,-0.121759
0.774462,-0.0546088,0.618615,-0.120589
0.774648,-0.0542555,0.61864,-0.119419
0.774859,-0.0539002,0.618627,-0.118274
0.775108,-0.0536012,0.61856,-0.117119
0.775392,-0.0533635,0.618446,-0.115949
0.775728,-0.0531588,0.618265,-0.114755
0.776107,-0.0529786,0.61803,-0.113533
0.776531,-0.0528528,0.61774,-0.112261
0.777002,-0.0527733,0.617398,-0.110923
0.777537,-0.0527169,0.616981,-0.109511
0.778132,-0.0526829,0.616485,-0.108075
0.778789,-0.0526728,0.615912,-0.106608
0.779508,-0.0526736,0.615258,-0.105123
0.780292,-0.0526798,0.614509,-0.103673
0.781141,-0.0526894,0.613657,-0.102311
0.782046,-0.0527038,0.612712,-0.10105
0.783,-0.0527266,0.611689,-0.0998336
0.784001,-0.0527825,0.610592,-0.0986598
0.785054,-0.0528682,0.609402,-0.0975912
0.786157,-0.0529454,0.608119,-0.0966691
0.787288,-0.0530088,0.60677,-0.0959079
0.788452,-0.0530667,0.605342,-0.0953322
0.789649,-0.0530903,0.603843,-0.094917
0.790865,-0.0531179,0.602292,-0.0946305
0.792101,-0.0531469,0.600688,-0.0944706
0.793352,-0.0531452,0.599042,-0.0944317
0.794627,-0.0531269,0.59733,-0.0945619
0.795931,-0.0531033,0.595546,-0.0948585
0.797256,-0.05305,0.59371,-0.0952705
0.798596,-0.0529289,0.59183,-0.09581
0.799934,-0.052755,0.589925,-0.0964938
0.8013,-0.0525855,0.587944,-0.0973363
0.802688,-0.0524507,0.585893,-0.0983343
0.804063,-0.0522758,0.583832,-0.0994463
0.805422,-0.0520551,0.581766,-0.100668
0.806798,-0.0518371,0.579633,-0.102061
0.808189,-0.0516185,0.577438,-0.103597
0.809578,-0.0513864,0.575218,-0.105204
0.810953,-0.0511354,0.572988,-0.106892
0.812357,-0.0509619,0.570679,-0.108648
0.813748,-0.0508014,0.568355,-0.110483
0.815107,-0.0505916,0.566035,-0.112456
0.816469,-0.0504095,0.563669,-0.114521
