pos_X,pos_Y,pos_Z
0.318343,-0.329819,0.906603
0.318343,-0.329819,0.906603
0.318343,-0.329819,0.906603
0.31833,-0.329836,0.906581
0.318305,-0.329878,0.90644
0.318387,-0.329813,0.906128
0.318577,-0.329609,0.905733
0.318759,-0.329425,0.905284
0.318982,-0.329244,0.904793
0.319351,-0.328958,0.904253
0.31979,-0.328647,0.903663
0.320177,-0.328392,0.9031
0.320531,-0.328166,0.902588
0.320902,-0.32794,0.902085
0.321277,-0.327735,0.901577
0.321654,-0.327547,0.901073
0.322059,-0.327344,0.900595
0.322502,-0.327099,0.900166
0.32301,-0.326774,0.899808
0.323566,-0.326382,0.89951
0.324144,-0.325941,0.899288
0.324742,-0.325461,0.899126
0.325386,-0.324916,0.899022
0.326071,-0.324314,0.898969
0.326759,-0.323678,0.898984
0.327423,-0.32303,0.899079
0.328076,-0.322354,0.89926
0.328735,-0.321642,0.89953
0.329373,-0.320906,0.899918
0.329944,-0.320171,0.900453
0.330456,-0.319434,0.901129
0.330938,-0.318678,0.901913
0.331397,-0.31789,0.902807
0.331799,-0.317088,0.903847
0.3321,-0.316311,0.905036
0.332324,-0.31555,0.906353
0.332468,-0.314798,0.907816
0.33253,-0.31407,0.909399
0.332538,-0.313342,0.911084
0.332489,-0.312613,0.912869
0.332381,-0.311902,0.914728
0.332179,-0.311218,0.916704
0.331878,-0.310558,0.918802
0.331493,-0.309932,0.920976
0.331014,-0.30936,0.923208
0.330434,-0.308848,0.925488
0.329755,-0.308353,0.927888
0.329003,-0.307845,0.930405
0.328189,-0.307366,0.932948
0.32731,-0.306922,0.935505
0.326336,-0.306488,0.938173
0.325263,-0.306073,0.940929
0.324117,-0.305681,0.943711
0.322904,-0.305313,0.946509
0.321637,-0.304893,0.949414
0.320316,-0.304468,0.952352
0.318905,-0.304093,0.9553
0.317415,-0.303707,0.958316
0.315892,-0.303288,0.96137
0.314346,-0.302873,0.964385
0.3127,-0.302494,0.967435
0.310923,-0.302188,0.970513
0.30909,-0.301927,0.973543
0.307285,-0.301591,0.97657
0.30546,-0.301233,0.979593
0.30352,-0.300988,0.982567
0.301537,-0.300723,0.985557
0.299623,-0.300352,0.988531
0.297656,-0.300062,0.991429
0.295544,-0.299855,0.99435
0.293438,-0.299595,0.997275
0.291342,-0.29936,1.00011
0.289137,-0.299205,1.00294
0.286931,-0.299001,1.00577
0.284783,-0.298759,1.00854
0.282556,-0.298581,1.01129
0.280255,-0.298441,1.01403
0.277977,-0.298308,1.0167
0.275655,-0.298196,1.01936
0.273242,-0.298158,1.022
0.270851,-0.298133,1.02457
0.270851,-0.298133,1.02457
0.26611,-0.298006,1.02966
0.263687,-0.298055,1.0321
0.26127,-0.298087,1.03452
0.258844,-0.298111,1.03694
0.256387,-0.298237,1.03926
0.25395,-0.298342,1.04155
0.251571,-0.298366,1.04385
0.249168,-0.298487,1.04605
0.246648,-0.298737,1.04822
0.2441,-0.298983,1.05039
0.241596,-0.299255,1.05249
0.239072,-0.29959,1.05453
0.236539,-0.29989,1.05659
0.234063,-0.300179,1.05859
0.231538,-0.300568,1.06053
0.228913,-0.301016,1.06248
0.226295,-0.301481,1.06438
0.223741,-0.301945,1.06623
0.221176,-0.302427,1.06805
0.218576,-0.302933,1.06986
0.215951,-0.30353,1.07159
0.21331,-0.304176,1.07328
0.210638,-0.304836,1.07496
0.207952,-0.305581,1.07657
0.205284,-0.306338,1.07814
0.202655,-0.307023,1.07972
0.200001,-0.307769,1.08124
0.197291,-0.308604,1.08271
0.194597,-0.30942,1.08417
0.19193,-0.310225,1.0856
0.189221,-0.311157,1.08694
0.18648,-0.312117,1.08825
0.183771,-0.312979,1.0896
0.181116,-0.313882,1.09085
0.178404,-0.314892,1.09203
0.175616,-0.315906,1.09325
0.172868,-0.316884,1.09444
0.170189,-0.317864,1.09556
0.167509,-0.318838,1.09668
0.164756,-0.319841,1.09779
0.161976,-0.320943,1.09882
0.159198,-0.322086,1.0998
