joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.786853,0.00568064,1.32644,1.22184,1.60571,-0.907674,1.57072
0.786853,0.00568052,1.32644,1.22184,1.60571,-0.907674,1.57072
0.786853,0.00568052,1.32644,1.22184,1.60571,-0.907674,1.57072
0.786844,0.00567663,1.3264,1.22189,1.60573,-0.907732,1.57077
0.786814,0.00567747,1.32626,1.22221,1.6059,-0.908169,1.57112
0.786795,0.00575728,1.32621,1.22295,1.60651,-0.909353,1.57201
0.786724,0.00597899,1.32631,1.22395,1.60764,-0.911157,1.5731
0.786508,0.00632216,1.32636,1.22513,1.60913,-0.913079,1.57404
0.786221,0.00679775,1.32642,1.22644,1.61069,-0.914787,1.57489
0.785965,0.00745215,1.32666,1.22786,1.61215,-0.916388,1.57564
0.785707,0.00821507,1.32696,1.22938,1.61358,-0.917821,1.57635
0.785373,0.00895689,1.32723,1.23086,1.61501,-0.919088,1.57697
0.78501,0.00963652,1.32754,1.23224,1.61644,-0.920173,1.57755
0.784684,0.0102386,1.32798,1.23361,1.61787,-0.921076,1.57812
0.784381,0.0107422,1.32852,1.235,1.61931,-0.92181,1.57866
0.784079,0.0111678,1.32918,1.23639,1.62076,-0.922367,1.57915
0.783761,0.0115663,1.32998,1.23774,1.62225,-0.922726,1.57964
0.783404,0.011984,1.33096,1.23899,1.62375,-0.922907,1.58016
0.783019,0.0124233,1.33217,1.2401,1.62528,-0.922959,1.58069
0.78258,0.0128594,1.33363,1.24108,1.62682,-0.922924,1.58122
0.782049,0.013272,1.33531,1.24189,1.62842,-0.922822,1.58178
0.781429,0.0136455,1.33723,1.24258,1.63004,-0.922642,1.58239
0.780744,0.0139842,1.33942,1.24315,1.63169,-0.922388,1.58302
0.779994,0.0142712,1.3419,1.2436,1.63336,-0.922078,1.58369
0.779164,0.0144689,1.34462,1.24391,1.63507,-0.921735,1.58442
0.778234,0.0145656,1.34753,1.24405,1.63682,-0.921366,1.58519
0.777223,0.014585,1.35064,1.244,1.6386,-0.920949,1.58602
0.776159,0.0145454,1.35394,1.24377,1.64041,-0.920412,1.58691
0.775038,0.0144557,1.35737,1.24329,1.64228,-0.919741,1.58785
0.773826,0.0143278,1.36083,1.2425,1.64419,-0.918985,1.58886
0.77255,0.0141914,1.36426,1.24141,1.64614,-0.918141,1.58992
0.771282,0.0140467,1.36768,1.24009,1.64814,-0.917221,1.59104
0.770084,0.0138986,1.37104,1.23854,1.65018,-0.916246,1.59221
0.768975,0.0137534,1.37423,1.23668,1.65227,-0.915205,1.59341
0.767945,0.0136246,1.37712,1.23451,1.65442,-0.914123,1.59467
0.767018,0.0135503,1.37968,1.23206,1.6566,-0.912961,1.59597
0.7662,0.013552,1.3819,1.2293,1.65884,-0.911703,1.5973
0.765513,0.0136176,1.38374,1.22629,1.66115,-0.910351,1.59867
0.764989,0.0137467,1.38525,1.22306,1.6635,-0.908942,1.60006
0.764629,0.0139468,1.3864,1.21962,1.6659,-0.907484,1.60148
0.764442,0.0142083,1.38719,1.21602,1.66835,-0.905954,1.60293
0.764404,0.0145173,1.38757,1.21217,1.67083,-0.904363,1.60439
0.7645,0.0148627,1.38756,1.20805,1.67336,-0.902729,1.60587
0.764725,0.0152191,1.38721,1.20376,1.67593,-0.901047,1.60737
0.765056,0.0155967,1.38649,1.19936,1.67856,-0.899298,1.60889
0.765471,0.0160073,1.38537,1.19485,1.6812,-0.897533,1.61042
0.766002,0.0164434,1.3839,1.19008,1.68389,-0.895725,1.61195
0.766638,0.0169456,1.38211,1.18504,1.68663,-0.893885,1.61347
0.767368,0.0175055,1.37999,1.17995,1.68939,-0.892005,1.61499
0.76818,0.0181246,1.37754,1.17482,1.69218,-0.890101,1.6165
0.769065,0.0187846,1.37476,1.16944,1.695,-0.888141,1.61803
0.770024,0.0194503,1.37168,1.16386,1.69783,-0.886148,1.61954
0.771074,0.0201127,1.36832,1.15822,1.70069,-0.884172,1.62105
0.772204,0.0207821,1.3647,1.15253,1.70354,-0.882201,1.62256
0.773457,0.0214468,1.3609,1.14659,1.7064,-0.880231,1.62407
0.774788,0.0221274,1.35687,1.14055,1.70924,-0.878265,1.62559
0.776129,0.0228385,1.35254,1.13448,1.71204,-0.876286,1.62711
0.777528,0.0235345,1.348,1.12824,1.71482,-0.874309,1.62865
0.779051,0.0241736,1.34337,1.12188,1.71756,-0.872324,1.6302
0.780672,0.0247693,1.33862,1.11559,1.72021,-0.870372,1.63175
0.782316,0.0253125,1.33366,1.10918,1.72279,-0.86839,1.63329
