joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
5.99317e-05,0,0,1.19994e-05,7.66917e-05,0,-3.59329e-05
-2.39759e-05,-2.39759e-05,0,3.5953e-05,-3.83615e-05,-4.79518e-05,3.59311e-05
-3.59547e-05,0,-2.39771e-05,0,1.91991e-05,-4.79323e-05,3.59547e-05
-0.00188147,-0.000778944,-0.00790939,0.00994667,0.00396907,-0.0115166,0.0100905
-0.00599228,0.000167774,-0.0281277,0.0641651,0.0340169,-0.0875589,0.0693784
-0.00371502,0.0159626,-0.00862845,0.148038,0.121086,-0.236791,0.17735
-0.0142376,0.0443427,0.020122,0.198655,0.225443,-0.36071,0.218502
-0.0431182,0.0686321,0.00862845,0.237546,0.299158,-0.384469,0.18701
-0.0574538,0.0951212,0.0135066,0.262137,0.310926,-0.341451,0.170108
-0.0511235,0.130877,0.0470849,0.282282,0.29306,-0.320343,0.151333
-0.0516053,0.152587,0.0602821,0.305833,0.285596,-0.28655,0.140722
-0.0669663,0.148361,0.0543592,0.29598,0.286771,-0.253425,0.125304
-0.0724704,0.135928,0.0619959,0.275512,0.28621,-0.217004,0.115962
-0.0652047,0.120415,0.0867399,0.272863,0.285391,-0.180538,0.113824
-0.0606657,0.10073,0.109023,0.277909,0.287782,-0.146846,0.108268
-0.0603512,0.08511,0.130865,0.278088,0.290568,-0.111415,0.0973097
-0.0636139,0.0797091,0.161432,0.270646,0.29758,-0.0717034,0.0988483
-0.0713165,0.0835281,0.195075,0.250225,0.298985,-0.0361915,0.104009
-0.0771886,0.0878544,0.242663,0.221403,0.30608,-0.0105339,0.105746
-0.0876548,0.0872353,0.291152,0.195515,0.309258,0.00703492,0.104481
-0.106322,0.0825215,0.336617,0.163617,0.320019,0.0204806,0.113872
-0.123992,0.0746875,0.383121,0.138086,0.324062,0.0360135,0.121643
-0.136869,0.0677333,0.439487,0.112553,0.328916,0.050812,0.126179
-0.150034,0.0574178,0.495416,0.0908067,0.333687,0.0619121,0.132573
-0.166062,0.0395231,0.543736,0.0622566,0.343278,0.0685482,0.146144
-0.185928,0.019355,0.582028,0.0269532,0.348759,0.0739205,0.154397
-0.202169,0.00387081,0.621008,-0.00929953,0.356221,0.0832525,0.165726
-0.212857,-0.00790979,0.660958,-0.0465838,0.363467,0.107453,0.178186
-0.224256,-0.01794,0.686357,-0.0954402,0.372826,0.134196,0.18828
-0.242375,-0.025587,0.691087,-0.158555,0.381626,0.151173,0.201795
-0.25515,-0.0272874,0.687411,-0.217664,0.390447,0.16895,0.212535
-0.253652,-0.0289426,0.683753,-0.263048,0.400992,0.183867,0.224386
-0.239679,-0.0296123,0.672096,-0.310001,0.407991,0.195087,0.233771
-0.221738,-0.0290385,0.638104,-0.371868,0.416908,0.208123,0.240206
-0.205956,-0.0257655,0.576476,-0.435029,0.429658,0.216442,0.250992
-0.185472,-0.0148488,0.512434,-0.489316,0.436678,0.23238,0.259465
-0.163521,0.000335554,0.443334,-0.551825,0.448008,0.251627,0.265828
-0.137439,0.013123,0.368452,-0.602186,0.461816,0.270407,0.274805
-0.104764,0.0258134,0.30166,-0.645515,0.469579,0.281767,0.278519
-0.0719551,0.0400163,0.231733,-0.688703,0.479611,0.291655,0.283973
-0.0375457,0.0523099,0.157685,-0.72002,0.489961,0.305854,0.288801
-0.00751429,0.0617922,0.0756583,-0.770521,0.497732,0.318237,0.293153
0.0192342,0.0690875,-0.00304392,-0.824148,0.506164,0.326946,0.296363
0.0449158,0.0712685,-0.0700462,-0.856649,0.513488,0.33633,0.299431
0.0661905,0.0755385,-0.144102,-0.880467,0.524596,0.349744,0.30352
0.0829649,0.082102,-0.223177,-0.902212,0.528866,0.353035,0.305794
0.106195,0.0872234,-0.29446,-0.954663,0.53775,0.361645,0.306097
0.12721,0.100437,-0.358056,-1.00733,0.547331,0.367907,0.303925
0.146019,0.111995,-0.42309,-1.01898,0.552036,0.376122,0.304083
0.16255,0.123806,-0.490048,-1.02545,0.558586,0.380694,0.303434
0.176987,0.13201,-0.555674,-1.07546,0.563637,0.391978,0.304635
0.191635,0.133142,-0.616179,-1.11605,0.56756,0.398742,0.303074
0.210185,0.132477,-0.671744,-1.12863,0.571364,0.395106,0.30201
0.225981,0.133885,-0.724849,-1.13765,0.569496,0.394152,0.301936
0.250477,0.132944,-0.760094,-1.18849,0.572496,0.394123,0.302226
0.266235,0.136102,-0.804722,-1.2069,0.567215,0.393098,0.303625
0.26813,0.14222,-0.866721,-1.21408,0.561355,0.395885,0.304203
0.279837,0.139206,-0.907772,-1.24915,0.555748,0.395279,0.307544
0.30473,0.127815,-0.926847,-1.27116,0.546839,0.396999,0.309249
0.324022,0.119144,-0.949129,-1.25893,0.530477,0.390533,0.309965
0.328867,0.108652,-0.992366,-1.2804,0.516907,0.396304,0.309045
0.330074,0.0856373,-1.03508,-1.29791,0.502175,0.405237,0.311163
0.343345,0.0632064,-1.05483,-1.28288,0.480646,0.400499,0.313551
0.370735,0.0564444,-1.04978,-1.29134,0.458611,0.391168,0.317179
0.390204,0.0444266,-1.0599,-1.29863,0.432708,0.389221,0.318609
0.388064,0.0196417,-1.1001,-1.28371,0.407531,0.391767,0.320487
0.400774,0.00266058,-1.10789,-1.30209,0.38105,0.380389,0.322719
0.435593,-0.00540477,-1.08377,-1.30812,0.349069,0.366877,0.326323
0.44204,-0.0202169,-1.11118,-1.28049,0.31885,0.377159,0.329846
0.436045,-0.0474587,-1.14999,-1.3017,0.293343,0.378867,0.334991
0.463959,-0.0718917,-1.13166,-1.31729,0.262477,0.369969,0.340236
0.481406,-0.0869957,-1.13146,-1.28864,0.22784,0.369651,0.344136
0.474612,-0.104584,-1.16623,-1.29332,0.197361,0.374942,0.344383
0.499251,-0.131254,-1.14573,-1.31293,0.168685,0.360926,0.34561
0.529067,-0.147211,-1.12043,-1.29627,0.137921,0.353646,0.349164
0.526156,-0.163864,-1.14451,-1.29573,0.106902,0.354215,0.353687
