joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.785398,0,1.32645,1.22173,1.6057,-0.907571,1.5708
0.786124,-0.000375939,1.32707,1.22105,1.60594,-0.907508,1.57082
0.787619,-0.00119454,1.32832,1.21973,1.60639,-0.907384,1.57091
0.789821,-0.00248102,1.33016,1.21793,1.60706,-0.907195,1.57105
0.792619,-0.00421039,1.33253,1.21574,1.60794,-0.906941,1.57125
0.795913,-0.00637164,1.33532,1.21324,1.609,-0.906629,1.57149
0.799616,-0.00894594,1.33848,1.21046,1.61024,-0.906264,1.57178
0.803652,-0.0119163,1.34193,1.20746,1.61163,-0.905847,1.57212
0.807974,-0.0152668,1.34562,1.20426,1.61318,-0.905386,1.57249
0.81253,-0.0189727,1.34951,1.20088,1.61487,-0.904883,1.5729
0.817259,-0.0230029,1.35355,1.19734,1.61668,-0.904343,1.57335
0.822126,-0.0273164,1.35772,1.19367,1.61862,-0.903765,1.57383
0.827092,-0.0318717,1.36199,1.18987,1.62066,-0.903153,1.57435
0.832145,-0.0366338,1.36636,1.18598,1.62281,-0.902512,1.5749
0.837258,-0.0415758,1.3708,1.182,1.62505,-0.901843,1.57547
0.842407,-0.0466773,1.37531,1.17794,1.62738,-0.901146,1.57608
0.847585,-0.0519141,1.37987,1.17383,1.62979,-0.900425,1.57671
0.852777,-0.0572683,1.38449,1.16965,1.63227,-0.899679,1.57738
0.857982,-0.0627262,1.38914,1.16543,1.63483,-0.898911,1.57806
0.863186,-0.0682653,1.39383,1.16115,1.63745,-0.89812,1.57878
0.868384,-0.073871,1.39854,1.15682,1.64013,-0.89731,1.57951
0.873572,-0.0795325,1.40328,1.15245,1.64286,-0.896479,1.58028
0.878735,-0.0852423,1.40803,1.14803,1.64565,-0.895627,1.58106
0.88386,-0.0909907,1.4128,1.14359,1.64848,-0.894756,1.58187
0.888938,-0.0967616,1.41758,1.13911,1.65136,-0.893865,1.5827
0.893953,-0.102562,1.42238,1.1346,1.65427,-0.892956,1.58355
0.898928,-0.108379,1.42718,1.13006,1.65722,-0.892031,1.58442
0.903841,-0.114206,1.43199,1.12549,1.66021,-0.891091,1.58531
0.908684,-0.120037,1.4368,1.1209,1.66322,-0.890136,1.58621
0.913466,-0.125869,1.44161,1.11629,1.66626,-0.889168,1.58714
0.91816,-0.131696,1.44643,1.11169,1.66933,-0.88819,1.58807
0.922783,-0.137525,1.45126,1.10709,1.67243,-0.8872,1.58903
0.927324,-0.143344,1.45609,1.1025,1.67555,-0.886202,1.59
0.931781,-0.149155,1.46092,1.09792,1.67868,-0.885198,1.59098
0.936138,-0.154952,1.46575,1.09336,1.68184,-0.884184,1.59197
0.940368,-0.160726,1.47058,1.0888,1.68501,-0.883164,1.59298
0.944431,-0.166469,1.47542,1.08426,1.6882,-0.882138,1.594
0.948315,-0.172188,1.48025,1.07975,1.6914,-0.881104,1.59503
0.951977,-0.177872,1.4851,1.07531,1.69462,-0.880063,1.59607
0.955353,-0.183494,1.48992,1.07092,1.69785,-0.879023,1.59711
0.958347,-0.189048,1.4947,1.06659,1.70108,-0.877983,1.59817
0.96072,-0.194503,1.49945,1.06232,1.70433,-0.876948,1.59923
0.962271,-0.199799,1.50415,1.05809,1.70758,-0.875917,1.60029
0.962973,-0.204867,1.50881,1.05387,1.71083,-0.874903,1.60135
0.962912,-0.209684,1.51348,1.04971,1.71409,-0.873906,1.60242
0.962219,-0.214261,1.51817,1.04571,1.71736,-0.872915,1.60348
0.960973,-0.218566,1.52284,1.04193,1.72064,-0.871933,1.60454
0.959263,-0.22266,1.52752,1.03834,1.72392,-0.870959,1.60561
0.957201,-0.226552,1.53219,1.03495,1.72721,-0.869997,1.60667
0.954838,-0.230273,1.53687,1.0318,1.73049,-0.869044,1.60773
0.952229,-0.233842,1.54154,1.02887,1.73379,-0.868096,1.6088
0.949457,-0.237298,1.54621,1.02623,1.73708,-0.867148,1.60987
0.946561,-0.240644,1.55087,1.02384,1.74037,-0.866197,1.61094
0.943576,-0.24389,1.55553,1.0216,1.74367,-0.865247,1.612
0.940519,-0.247019,1.56021,1.01948,1.74696,-0.864301,1.61307
0.937382,-0.250009,1.56488,1.01746,1.75025,-0.863374,1.61413
0.934185,-0.252878,1.56957,1.01554,1.75354,-0.862486,1.6152
0.93092,-0.255616,1.57423,1.01378,1.75683,-0.861664,1.61625
0.927543,-0.258239,1.5789,1.01245,1.76012,-0.860907,1.6173
0.924036,-0.260798,1.58355,1.01171,1.76341,-0.860205,1.61833
0.92039,-0.263331,1.5882,1.01164,1.76668,-0.859542,1.61932
0.916579,-0.265868,1.59285,1.01223,1.76995,-0.858888,1.62028
0.912628,-0.268429,1.59752,1.01341,1.77321,-0.858226,1.62122
0.90858,-0.271,1.60222,1.01503,1.77646,-0.857544,1.62213
0.904459,-0.273579,1.60696,1.01704,1.77971,-0.85684,1.62302
0.900245,-0.276126,1.61173,1.01935,1.78296,-0.856116,1.62388
0.895954,-0.278622,1.61654,1.02192,1.7862,-0.855372,1.62472
0.89158,-0.281052,1.62137,1.02468,1.78945,-0.854615,1.62552
0.887115,-0.283401,1.62622,1.02756,1.79269,-0.853846,1.62627
0.882588,-0.28568,1.6311,1.03054,1.79593,-0.853072,1.62698
0.877959,-0.287873,1.636,1.03358,1.79917,-0.8523,1.62762
0.873271,-0.290014,1.64092,1.03666,1.80241,-0.851542,1.62821
0.868536,-0.292085,1.64586,1.03974,1.80565,-0.850814,1.62873
0.863781,-0.294084,1.65082,1.04278,1.80889,-0.850133,1.62918
0.859025,-0.296018,1.65579,1.04577,1.81213,-0.849532,1.62956
0.854367,-0.2979,1.66074,1.04877,1.81537,-0.849029,1.62985
0.849882,-0.299784,1.66564,1.05176,1.81862,-0.848635,1.63006
0.845723,-0.30173,1.67045,1.05476,1.82186,-0.848352,1.6302
0.841979,-0.303759,1.67516,1.05781,1.82509,-0.848177,1.63027
0.838631,-0.305874,1.6798,1.06089,1.82832,-0.848106,1.6303
0.835801,-0.308105,1.68438,1.06398,1.83155,-0.848133,1.63028
0.83348,-0.31047,1.68894,1.06701,1.83476,-0.848256,1.63023
0.831665,-0.313026,1.69348,1.06995,1.83796,-0.848471,1.63017
0.830293,-0.315824,1.69802,1.07273,1.84115,-0.848768,1.63012
0.829294,-0.318886,1.70253,1.07538,1.84433,-0.849131,1.63011
0.828591,-0.322202,1.707,1.07801,1.84751,-0.849551,1.63012
0.828064,-0.325718,1.71141,1.08057,1.85069,-0.850027,1.63016
0.82764,-0.329385,1.7157,1.08308,1.85387,-0.85056,1.63024
0.827176,-0.333174,1.71989,1.08554,1.85705,-0.851154,1.63035
0.826555,-0.337029,1.72394,1.08796,1.86023,-0.851805,1.63047
0.825684,-0.3409,1.7279,1.09047,1.86342,-0.852508,1.63061
0.824567,-0.344725,1.73185,1.09306,1.86661,-0.853256,1.63075
0.823208,-0.348474,1.73586,1.09571,1.8698,-0.854032,1.63089
0.821654,-0.352083,1.73989,1.09838,1.87301,-0.854832,1.631
0.819947,-0.355525,1.74391,1.10111,1.87622,-0.855664,1.63109
0.818113,-0.358809,1.74796,1.10395,1.87943,-0.856532,1.63113
0.816255,-0.361954,1.75203,1.10688,1.88263,-0.857442,1.63115
0.814419,-0.365027,1.75613,1.1099,1.88584,-0.858395,1.63114
0.812647,-0.368053,1.76028,1.11297,1.88904,-0.859388,1.6311
0.810935,-0.37105,1.76449,1.11606,1.89224,-0.860417,1.63103
0.809226,-0.374027,1.76867,1.11904,1.89543,-0.861483,1.63095
0.807521,-0.37706,1.7728,1.12199,1.89861,-0.862583,1.63086
0.805855,-0.380159,1.7769,1.12496,1.90178,-0.863713,1.63076
0.80423,-0.383317,1.78096,1.12794,1.90495,-0.864871,1.63066
0.802624,-0.386528,1.785,1.13095,1.90811,-0.866053,1.63055
0.801018,-0.389783,1.78895,1.13398,1.91127,-0.86726,1.63044
0.799426,-0.393071,1.79284,1.13703,1.91442,-0.868492,1.63034
0.797855,-0.396419,1.79671,1.14014,1.91756,-0.869744,1.63022
0.796351,-0.399803,1.80054,1.14328,1.9207,-0.871017,1.63011
0.794864,-0.403213,1.8043,1.14642,1.92384,-0.872312,1.62999
0.793404,-0.406669,1.80801,1.14958,1.92697,-0.873629,1.62987
0.791992,-0.410176,1.81166,1.15281,1.93009,-0.874967,1.62974
0.790629,-0.413738,1.81527,1.15605,1.9332,-0.876326,1.62962
0.789346,-0.417338,1.81883,1.1593,1.93631,-0.877706,1.62949
0.78808,-0.420961,1.82233,1.16254,1.93942,-0.879105,1.62937
0.786818,-0.424617,1.82575,1.16581,1.94251,-0.880523,1.62924
0.785664,-0.428332,1.82908,1.16911,1.94561,-0.881963,1.62911
0.784594,-0.432084,1.83231,1.17243,1.94869,-0.883422,1.629
0.783762,-0.435858,1.83524,1.17576,1.95177,-0.884902,1.6289
0.783166,-0.439681,1.83788,1.17912,1.95484,-0.886405,1.62882
0.782798,-0.443544,1.84033,1.18249,1.95787,-0.887938,1.62877
0.782615,-0.447451,1.84239,1.18585,1.96086,-0.889504,1.62876
0.782388,-0.45138,1.84405,1.18927,1.96381,-0.891108,1.62878
0.78203,-0.455335,1.84562,1.19279,1.96667,-0.892752,1.62883
0.781541,-0.45931,1.8471,1.19638,1.96947,-0.89443,1.62891
0.78104,-0.463336,1.8484,1.20008,1.97222,-0.896141,1.62904
0.780573,-0.467413,1.84949,1.20386,1.97493,-0.897883,1.62919
0.7802,-0.471535,1.85028,1.2077,1.97762,-0.899654,1.62939
0.779785,-0.475688,1.85082,1.21161,1.98027,-0.901456,1.62961
0.779289,-0.47988,1.8511,1.21557,1.98286,-0.903286,1.62987
0.77869,-0.484104,1.85108,1.21959,1.98541,-0.905145,1.63016
0.777893,-0.488358,1.85083,1.22369,1.9879,-0.90703,1.63048
0.776912,-0.492653,1.85031,1.22785,1.99034,-0.908941,1.63081
0.77572,-0.496986,1.84951,1.2321,1.99272,-0.910873,1.63117
0.774279,-0.501354,1.84854,1.23644,1.99506,-0.912824,1.63154
0.772543,-0.505743,1.84743,1.24088,1.99735,-0.914791,1.63192
0.770647,-0.510165,1.84599,1.24543,1.99961,-0.91677,1.63232
0.768566,-0.51462,1.84439,1.25005,2.00183,-0.918764,1.63274
0.766275,-0.519085,1.84265,1.25475,2.00403,-0.920769,1.63316
0.763833,-0.523568,1.84065,1.25955,2.0062,-0.92278,1.63361
0.761221,-0.528057,1.83852,1.26441,2.00835,-0.924803,1.63406
0.758495,-0.532538,1.83617,1.26933,2.01047,-0.926831,1.63453
0.755547,-0.537031,1.83373,1.27433,2.01256,-0.928865,1.635
0.75247,-0.54153,1.83105,1.27939,2.01463,-0.930899,1.63549
0.749171,-0.546023,1.82833,1.28454,2.01668,-0.93294,1.63597
0.745736,-0.550525,1.82541,1.28976,2.01872,-0.934976,1.63648
0.742067,-0.555027,1.82249,1.29508,2.02075,-0.937015,1.63698
0.738313,-0.55955,1.81934,1.30048,2.02277,-0.939049,1.63751
0.734388,-0.564085,1.81611,1.30595,2.02477,-0.941086,1.63805
0.730413,-0.568642,1.81271,1.31145,2.02676,-0.94312,1.6386
0.726306,-0.573232,1.80925,1.31702,2.02875,-0.945156,1.63918
0.722154,-0.577852,1.80566,1.32262,2.03073,-0.947191,1.63977
0.717907,-0.582506,1.80201,1.32827,2.0327,-0.949226,1.64038
0.713661,-0.587203,1.7982,1.33394,2.03467,-0.951255,1.64101
0.709316,-0.591934,1.79438,1.33965,2.03663,-0.953289,1.64166
0.704982,-0.596697,1.79042,1.34537,2.03859,-0.955318,1.64233
0.700572,-0.601487,1.78643,1.35113,2.04054,-0.957351,1.64302
0.696172,-0.606313,1.78233,1.35691,2.04249,-0.959381,1.64372
0.691733,-0.611168,1.77818,1.36272,2.04444,-0.961413,1.64445
0.687278,-0.61605,1.77398,1.36854,2.04638,-0.963446,1.6452
0.682795,-0.620962,1.76972,1.37439,2.04832,-0.965478,1.64596
0.678289,-0.625903,1.76541,1.38024,2.05026,-0.96751,1.64674
0.673573,-0.630819,1.76043,1.38647,2.0512,-0.972649,1.64856
0.669836,-0.635642,1.75671,1.39136,2.05261,-0.976744,1.65003
0.666757,-0.640228,1.75418,1.39474,2.05413,-0.980731,1.65148
0.66352,-0.644018,1.75272,1.39686,2.05574,-0.984651,1.65288
0.660014,-0.646695,1.75186,1.39787,2.05742,-0.988517,1.6542
0.65625,-0.648362,1.75137,1.39798,2.05918,-0.992321,1.65541
0.65226,-0.649167,1.75086,1.39736,2.06101,-0.996032,1.65652
0.648085,-0.649296,1.75041,1.39612,2.06291,-0.999627,1.65753
0.643787,-0.648894,1.75,1.3944,2.0649,-1.00308,1.65844
0.639384,-0.648032,1.74951,1.3923,2.06696,-1.00637,1.65926
0.634896,-0.646821,1.74908,1.38995,2.0691,-1.0095,1.65998
0.630387,-0.645346,1.74872,1.38742,2.07131,-1.01247,1.6606
0.625885,-0.643693,1.74838,1.38476,2.07359,-1.01529,1.66114
0.621436,-0.641932,1.74803,1.382,2.07594,-1.01796,1.66158
0.617159,-0.640113,1.74757,1.37916,2.07836,-1.02048,1.66194
0.613101,-0.638293,1.74711,1.37628,2.08084,-1.02286,1.66222
0.60945,-0.636627,1.74686,1.37334,2.08339,-1.02511,1.66242
0.606524,-0.635372,1.74702,1.37032,2.08599,-1.02723,1.66255
0.604525,-0.634671,1.74755,1.36716,2.08866,-1.02924,1.66262
0.603472,-0.634382,1.74843,1.36373,2.09138,-1.03114,1.66265
0.603192,-0.634359,1.74962,1.36006,2.09415,-1.03295,1.66266
0.603476,-0.634479,1.751,1.35619,2.09696,-1.03472,1.66264
0.604327,-0.634696,1.75246,1.35209,2.0998,-1.0365,1.66257
0.605671,-0.63481,1.75385,1.34777,2.10267,-1.03831,1.66245
0.607344,-0.634681,1.75515,1.34328,2.10554,-1.04016,1.6623
0.609275,-0.634559,1.75659,1.33868,2.10842,-1.04204,1.66212
0.611479,-0.634691,1.75827,1.33398,2.11131,-1.04394,1.66192
0.614014,-0.635173,1.76025,1.3292,2.1142,-1.04585,1.6617
0.616848,-0.635821,1.76244,1.32432,2.11711,-1.04775,1.66147
0.619944,-0.636443,1.76471,1.3193,2.12003,-1.04966,1.66122
0.623209,-0.636865,1.76694,1.31418,2.12295,-1.05159,1.66094
0.626637,-0.637134,1.76913,1.30894,2.12588,-1.05354,1.66064
0.630221,-0.637582,1.77142,1.30361,2.12879,-1.05551,1.66032
0.633912,-0.638234,1.77388,1.29826,2.13171,-1.05746,1.65998
0.637813,-0.639058,1.77646,1.29288,2.13465,-1.0594,1.65962
0.641881,-0.639836,1.779,1.28742,2.13759,-1.06134,1.65925
0.646096,-0.6405,1.78147,1.28187,2.14052,-1.0633,1.65887
0.650415,-0.641081,1.78382,1.27623,2.14345,-1.06527,1.65846
0.65486,-0.641763,1.7862,1.27051,2.14637,-1.06724,1.65804
0.6594,-0.64257,1.78864,1.26476,2.1493,-1.0692,1.65761
0.664013,-0.643348,1.79108,1.259,2.15222,-1.07116,1.65715
0.668695,-0.644021,1.7934,1.25323,2.15514,-1.07313,1.65667
0.673449,-0.644721,1.79564,1.24744,2.15806,-1.0751,1.65619
0.678285,-0.645553,1.79786,1.24164,2.16097,-1.07706,1.65571
0.683187,-0.646535,1.80004,1.23589,2.16387,-1.07901,1.65522
0.688143,-0.647723,1.80215,1.23023,2.16675,-1.08096,1.65474
0.693121,-0.649296,1.80423,1.22475,2.16963,-1.0829,1.65427
0.698101,-0.651217,1.80624,1.21964,2.17248,-1.0848,1.65381
0.70302,-0.653415,1.80823,1.21509,2.17534,-1.08668,1.65333
0.707698,-0.655603,1.80955,1.21138,2.17821,-1.08851,1.65281
0.711897,-0.657425,1.81008,1.20844,2.18107,-1.09027,1.65226
0.715594,-0.659055,1.81007,1.20601,2.18395,-1.09193,1.65168
0.719177,-0.660729,1.81011,1.20368,2.18686,-1.09347,1.65109
0.722784,-0.662526,1.81018,1.20138,2.1898,-1.09488,1.65048
0.726477,-0.664351,1.80986,1.19939,2.19275,-1.09626,1.64983
0.729978,-0.666066,1.80929,1.19787,2.19572,-1.09754,1.64918
0.733367,-0.667879,1.80895,1.19634,2.19872,-1.09872,1.64854
0.736844,-0.669872,1.80909,1.19483,2.20175,-1.09981,1.64788
0.740457,-0.672052,1.80965,1.19362,2.20479,-1.10088,1.64721
0.744239,-0.674509,1.81076,1.19257,2.20784,-1.10198,1.64652
0.748053,-0.677133,1.81232,1.19147,2.2109,-1.10312,1.6458
0.751896,-0.679866,1.81428,1.19031,2.21397,-1.10428,1.64506
0.755725,-0.68274,1.81657,1.18916,2.21703,-1.10547,1.6443
0.759556,-0.685719,1.81915,1.18813,2.2201,-1.10667,1.64353
0.763378,-0.688795,1.82195,1.18722,2.22317,-1.1079,1.64273
0.767195,-0.691937,1.82494,1.18635,2.22624,-1.10913,1.64192
0.770998,-0.695117,1.82808,1.18563,2.22931,-1.11039,1.6411
0.774776,-0.698357,1.83137,1.18514,2.23238,-1.11165,1.64026
0.778603,-0.701691,1.83479,1.18472,2.23545,-1.11295,1.63941
0.782403,-0.705017,1.83832,1.18442,2.23852,-1.11427,1.63854
0.786112,-0.708353,1.84192,1.18433,2.24158,-1.11561,1.63767
0.789838,-0.711744,1.84561,1.18441,2.24464,-1.11697,1.63678
0.793633,-0.715227,1.84938,1.18454,2.24771,-1.11836,1.63589
0.797483,-0.718754,1.85323,1.18478,2.25077,-1.11976,1.635
0.801343,-0.722312,1.85712,1.18513,2.25383,-1.1212,1.63409
0.805202,-0.725873,1.86107,1.18554,2.25689,-1.12266,1.63317
0.808983,-0.729398,1.86504,1.18602,2.25994,-1.12415,1.63225
0.812756,-0.732918,1.86902,1.18649,2.26298,-1.12566,1.63132
0.816446,-0.7364,1.87301,1.18709,2.26601,-1.1272,1.63038
0.820145,-0.739852,1.87701,1.18767,2.26904,-1.12876,1.62944
0.823768,-0.743272,1.881,1.18831,2.27206,-1.13034,1.62849
0.82736,-0.746654,1.885,1.189,2.27507,-1.13195,1.62754
0.830816,-0.749987,1.88899,1.18979,2.27807,-1.13357,1.62658
0.834304,-0.753318,1.89298,1.19049,2.28107,-1.13521,1.62561
0.837685,-0.756556,1.89685,1.19119,2.28405,-1.13687,1.62464
0.840989,-0.759673,1.90061,1.19193,2.28701,-1.13856,1.62366
0.844179,-0.762684,1.90432,1.19262,2.28997,-1.14026,1.62268
