joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.399968,-2.76387,0.106567,20.6273,-0.669359,-0.156246,0.00699377
0.401304,-2.76339,0.106872,20.6273,-0.669637,-0.156397,0.00699554
0.401852,-2.76217,0.107763,20.6284,-0.669986,-0.156099,0.00711474
0.410075,-2.7532,0.11341,20.6523,-0.671535,-0.154031,0.00686699
0.442604,-2.72269,0.134946,20.6563,-0.671868,-0.156325,0.00684444
0.478419,-2.67619,0.15933,20.6854,-0.677024,-0.158035,0.00678531
0.468641,-2.60545,0.134505,20.7979,-0.685918,-0.159427,0.00665471
0.376613,-2.53923,0.0245636,21.0107,-0.701319,-0.158028,0.00602962
0.197784,-2.51239,-0.171872,21.2766,-0.718118,-0.150754,0.00543878
-0.0309539,-2.51744,-0.418362,21.5798,-0.740287,-0.140295,0.00464283
-0.256823,-2.53691,-0.662682,21.8858,-0.763472,-0.128241,0.00292078
-0.46863,-2.53292,-0.888948,22.1994,-0.792104,-0.117369,0.000852039
-0.722206,-2.49055,-1.15266,22.5191,-0.820683,-0.104362,-0.00179717
-1.04076,-2.43167,-1.46866,22.8855,-0.849628,-0.0896675,-0.00491943
-1.27655,-2.28384,-1.69726,23.2116,-0.883137,-0.0787391,-0.00943958
-1.33173,-2.00521,-1.71444,23.2603,-0.904019,-0.0845855,-0.0163699
-1.05805,-1.57357,-1.42827,22.8549,-0.917792,-0.101275,-0.0240153
-0.694896,-0.989052,-1.09203,22.465,-0.936361,-0.116983,-0.0329977
-0.710859,-0.470686,-1.12716,22.7125,-0.984402,-0.11861,-0.046415
-1.23371,-0.382209,-1.65429,23.3532,-1.03932,-0.0965946,-0.0606087
-1.78138,-0.660787,-2.21631,23.8956,-1.08819,-0.067087,-0.0731346
-2.19945,-1.50464,-2.65715,24.2931,-1.09687,-0.0604198,-0.0846201
-2.59636,-2.48627,-3.08799,24.5608,-1.12254,-0.048379,-0.0975012
-2.91582,-3.67368,-3.42071,24.9102,-1.14788,-0.0547339,-0.109888
-3.2145,-4.76579,-3.764,25.2225,-1.15906,-0.0314,-0.121604
-3.47049,-5.3906,-4.03509,25.5515,-1.18445,-0.0281026,-0.132963
-3.50386,-5.63731,-4.1387,25.6445,-1.1811,-0.0340948,-0.144399
-3.41422,-5.33378,-4.15359,25.555,-1.20783,-0.0406771,-0.155982
