pos_X,pos_Y,pos_Z
3.201670050621032715e-01,-3.456445038318634033e-01,8.584703803062438965e-01
3.201669752597808838e-01,-3.456445336341857910e-01,8.584704399108886719e-01
3.201670348644256592e-01,-3.456444740295410156e-01,8.584704399108886719e-01
3.201668858528137207e-01,-3.456446528434753418e-01,8.584703803062438965e-01
3.199725747108459473e-01,-3.456766903400421143e-01,8.590195775032043457e-01
3.204126060009002686e-01,-3.446246683597564697e-01,8.591372966766357422e-01
3.209844827651977539e-01,-3.430413305759429932e-01,8.592299222946166992e-01
3.217364251613616943e-01,-3.410176336765289307e-01,8.590822219848632812e-01
3.227606415748596191e-01,-3.385861814022064209e-01,8.585678339004516602e-01
3.239915370941162109e-01,-3.358661234378814697e-01,8.576312065124511719e-01
3.252184987068176270e-01,-3.330451846122741699e-01,8.564333319664001465e-01
3.264249861240386963e-01,-3.305790722370147705e-01,8.549510836601257324e-01
3.276582062244415283e-01,-3.285527825355529785e-01,8.530781269073486328e-01
3.288002908229827881e-01,-3.270490765571594238e-01,8.510100245475769043e-01
3.297503888607025146e-01,-3.261616826057434082e-01,8.490219712257385254e-01
3.305995762348175049e-01,-3.257053196430206299e-01,8.472365140914916992e-01
3.314807415008544922e-01,-3.256031572818756104e-01,8.456444144248962402e-01
3.324355781078338623e-01,-3.255061507225036621e-01,8.442663550376892090e-01
3.334238529205322266e-01,-3.247478306293487549e-01,8.434964418411254883e-01
3.343972563743591309e-01,-3.232128918170928955e-01,8.435906767845153809e-01
3.353396058082580566e-01,-3.209798932075500488e-01,8.443782925605773926e-01
3.361589014530181885e-01,-3.182015419006347656e-01,8.457366228103637695e-01
3.367844521999359131e-01,-3.151058554649353027e-01,8.474923372268676758e-01
3.372359573841094971e-01,-3.117472529411315918e-01,8.495908379554748535e-01
3.375364840030670166e-01,-3.080921769142150879e-01,8.520328402519226074e-01
3.377469480037689209e-01,-3.041886687278747559e-01,8.547622561454772949e-01
3.378481864929199219e-01,-3.003001809120178223e-01,8.575754165649414062e-01
3.379960656166076660e-01,-2.965494990348815918e-01,8.599832653999328613e-01
3.382114470005035400e-01,-2.928636968135833740e-01,8.624376058578491211e-01
3.384983539581298828e-01,-2.892754375934600830e-01,8.649245500564575195e-01
3.387102484703063965e-01,-2.859058082103729248e-01,8.674034476280212402e-01
3.386671245098114014e-01,-2.825871407985687256e-01,8.699940443038940430e-01
3.383952975273132324e-01,-2.792002558708190918e-01,8.727832436561584473e-01
3.378588557243347168e-01,-2.756164073944091797e-01,8.758567571640014648e-01
3.371683955192565918e-01,-2.719622552394866943e-01,8.790273666381835938e-01
3.363261222839355469e-01,-2.682338953018188477e-01,8.823114037513732910e-01
3.353149592876434326e-01,-2.645070850849151611e-01,8.858641982078552246e-01
3.342173397541046143e-01,-2.607523500919342041e-01,8.896988630294799805e-01
3.330571353435516357e-01,-2.569206953048706055e-01,8.937781453132629395e-01
3.318285346031188965e-01,-2.531661689281463623e-01,8.979422450065612793e-01
3.305570781230926514e-01,-2.494802325963973999e-01,9.018737077713012695e-01
3.292360603809356689e-01,-2.458129078149795532e-01,9.056034088134765625e-01
3.277465403079986572e-01,-2.421458959579467773e-01,9.093533754348754883e-01
3.260453045368194580e-01,-2.385408431291580200e-01,9.130785465240478516e-01
3.241899907588958740e-01,-2.350081652402877808e-01,9.167265295982360840e-01
3.222340941429138184e-01,-2.315479218959808350e-01,9.203075170516967773e-01
3.202154338359832764e-01,-2.281740009784698486e-01,9.237928986549377441e-01
3.181559145450592041e-01,-2.248168289661407471e-01,9.272680282592773438e-01
3.160295784473419189e-01,-2.214738130569458008e-01,9.308003783226013184e-01
3.137921690940856934e-01,-2.182289659976959229e-01,9.342803955078125000e-01
3.114074766635894775e-01,-2.151215970516204834e-01,9.377211928367614746e-01
3.088649213314056396e-01,-2.120090574026107788e-01,9.411942958831787109e-01
3.061932325363159180e-01,-2.089098691940307617e-01,9.446101188659667969e-01
3.034176528453826904e-01,-2.059358656406402588e-01,9.479612112045288086e-01
3.005443811416625977e-01,-2.029809206724166870e-01,9.512644410133361816e-01
2.976523637771606445e-01,-2.001463472843170166e-01,9.544643163681030273e-01
2.946841418743133545e-01,-1.974651515483856201e-01,9.576379656791687012e-01
2.916582226753234863e-01,-1.948048323392868042e-01,9.607778787612915039e-01
2.886459231376647949e-01,-1.921828091144561768e-01,9.638054370880126953e-01
2.855443060398101807e-01,-1.895772665739059448e-01,9.667741656303405762e-01
2.823759615421295166e-01,-1.869831085205078125e-01,9.696486592292785645e-01
2.792397737503051758e-01,-1.844970732927322388e-01,9.723172187805175781e-01
2.760697901248931885e-01,-1.822049170732498169e-01,9.747850298881530762e-01
2.730220258235931396e-01,-1.802037209272384644e-01,9.769285917282104492e-01
2.702107131481170654e-01,-1.786335706710815430e-01,9.785767197608947754e-01
2.675974965095520020e-01,-1.776936948299407959e-01,9.797747731208801270e-01
2.655205428600311279e-01,-1.773618757724761963e-01,9.805670380592346191e-01
2.641102373600006104e-01,-1.774431318044662476e-01,9.811077713966369629e-01
2.633824348449707031e-01,-1.780752688646316528e-01,9.813218116760253906e-01
2.632759809494018555e-01,-1.793081164360046387e-01,9.811637401580810547e-01
2.636585831642150879e-01,-1.812723428010940552e-01,9.806795120239257812e-01
2.644239962100982666e-01,-1.839636713266372681e-01,9.799500703811645508e-01
2.655359208583831787e-01,-1.870627254247665405e-01,9.791995286941528320e-01
2.669120430946350098e-01,-1.900596767663955688e-01,9.787217378616333008e-01
2.685522139072418213e-01,-1.928462982177734375e-01,9.783833026885986328e-01
