lin_vel_X,lin_vel_Y,lin_vel_Z
6.289938482950674370e-06,9.619988304621074349e-06,-2.324570914424839430e-06
1.464496381231583655e-05,1.711758704914245754e-05,2.368052491874550469e-06
3.055889101233333349e-05,4.184943827567622066e-05,2.972501079057110474e-06
4.136233656026888639e-06,-5.138125288794981316e-06,-1.536773561383597553e-05
3.151035308837890625e-02,8.590456843376159668e-02,3.932666778564453125e-02
1.094693243503570557e-01,2.630397677421569824e-01,2.945571951568126678e-02
1.413611471652984619e-01,3.958148360252380371e-01,2.360583655536174774e-02
1.848780661821365356e-01,5.058466792106628418e-01,-3.566858172416687012e-02
2.513427734375000000e-01,6.079539060592651367e-01,-1.264604330062866211e-01
3.014459908008575439e-01,6.804694533348083496e-01,-2.309976816177368164e-01
2.992077767848968506e-01,7.058953642845153809e-01,-2.952708899974822998e-01
2.951620519161224365e-01,6.175531148910522461e-01,-3.664386272430419922e-01
3.036522269248962402e-01,5.084416866302490234e-01,-4.650035500526428223e-01
2.827216386795043945e-01,3.782696723937988281e-01,-5.149039030075073242e-01
2.364376932382583618e-01,2.240581959486007690e-01,-4.960771203041076660e-01
2.121212929487228394e-01,1.159312278032302856e-01,-4.461666345596313477e-01
2.203717231750488281e-01,2.692512981593608856e-02,-3.982463777065277100e-01
2.386977821588516235e-01,2.530292607843875885e-02,-3.447184562683105469e-01
2.468718439340591431e-01,1.903317421674728394e-01,-1.924366503953933716e-01
2.420795112848281860e-01,3.841360211372375488e-01,2.382777631282806396e-02
2.323903292417526245e-01,5.583838224411010742e-01,1.974450200796127319e-01
1.989892125129699707e-01,6.942827701568603516e-01,3.405070006847381592e-01
1.478068083524703979e-01,7.729539871215820312e-01,4.404106438159942627e-01
1.016557738184928894e-01,8.379443883895874023e-01,5.264703631401062012e-01
6.127214431762695312e-02,9.112233519554138184e-01,6.123979091644287109e-01
3.675781935453414917e-02,9.725324511528015137e-01,6.840356588363647461e-01
9.191508404910564423e-03,9.680876731872558594e-01,7.047459483146667480e-01
2.238534018397331238e-02,9.335610866546630859e-01,6.035135984420776367e-01
4.046439006924629211e-02,9.178541302680969238e-01,6.146383285522460938e-01
5.966063961386680603e-02,8.941060304641723633e-01,6.224024295806884766e-01
4.235974699258804321e-02,8.398331403732299805e-01,6.200466752052307129e-01
-2.119987271726131439e-02,8.269468545913696289e-01,6.474310159683227539e-01
-7.892118394374847412e-02,8.437504768371582031e-01,6.965434551239013672e-01
-1.466248929500579834e-01,8.923977613449096680e-01,7.669258117675781250e-01
-1.857705712318420410e-01,9.095236063003540039e-01,7.908541560173034668e-01
-2.240744829177856445e-01,9.278029203414916992e-01,8.186771273612976074e-01
-2.665615677833557129e-01,9.273377060890197754e-01,8.852776885032653809e-01
-2.884673774242401123e-01,9.344251155853271484e-01,9.552858471870422363e-01
-3.044956624507904053e-01,9.537438750267028809e-01,1.015953779220581055e+00
-3.213156461715698242e-01,9.344781637191772461e-01,1.037002563476562500e+00
-3.315310478210449219e-01,9.168228507041931152e-01,9.790361523628234863e-01
-3.436655998229980469e-01,9.116387367248535156e-01,9.286700487136840820e-01
-3.859435021877288818e-01,9.111812114715576172e-01,9.333037734031677246e-01
-4.389257431030273438e-01,8.951461315155029297e-01,9.266810417175292969e-01
-4.773011803627014160e-01,8.765808343887329102e-01,9.071446061134338379e-01
-5.020617842674255371e-01,8.583111166954040527e-01,8.902340531349182129e-01
-5.172814726829528809e-01,8.365640044212341309e-01,8.663437962532043457e-01
-5.274660587310791016e-01,8.321382999420166016e-01,8.637515902519226074e-01
-5.441980361938476562e-01,8.284631371498107910e-01,8.778703212738037109e-01
-5.715474486351013184e-01,8.037468194961547852e-01,8.646092414855957031e-01
-6.080302000045776367e-01,7.691335678100585938e-01,8.546085357666015625e-01
-6.476228237152099609e-01,7.700518369674682617e-01,8.621719479560852051e-01
-6.797333359718322754e-01,7.663688063621520996e-01,8.474757075309753418e-01
-7.053415179252624512e-01,7.348756194114685059e-01,8.312020897865295410e-01
-7.296366691589355469e-01,7.297645211219787598e-01,8.189741373062133789e-01
-7.337106466293334961e-01,6.997654438018798828e-01,7.932848930358886719e-01
-7.522474527359008789e-01,6.615403294563293457e-01,7.867025136947631836e-01
-7.663789391517639160e-01,6.562908291816711426e-01,7.780839800834655762e-01
-7.625164389610290527e-01,6.467855572700500488e-01,7.501237988471984863e-01
-7.846837043762207031e-01,6.423170566558837891e-01,7.351523637771606445e-01
-8.011730909347534180e-01,6.390995979309082031e-01,7.114036679267883301e-01
-7.924689054489135742e-01,6.120317578315734863e-01,6.602378487586975098e-01
-8.001353144645690918e-01,5.634675025939941406e-01,6.101642251014709473e-01
-7.683351039886474609e-01,4.911915957927703857e-01,5.298711061477661133e-01
-7.074422240257263184e-01,3.843574821949005127e-01,4.070601165294647217e-01
-6.560923457145690918e-01,2.279291898012161255e-01,2.953937351703643799e-01
-5.203866362571716309e-01,7.773555070161819458e-02,1.952399313449859619e-01
-3.526174724102020264e-01,-2.391350455582141876e-02,1.332777738571166992e-01
-1.810822188854217529e-01,-1.603488028049468994e-01,5.202163010835647583e-02
-2.531522884964942932e-02,-3.097775280475616455e-01,-4.119155555963516235e-02
9.688238799571990967e-02,-4.925661683082580566e-01,-1.235843524336814880e-01
1.920821219682693481e-01,-6.748501062393188477e-01,-1.861778348684310913e-01
2.780589759349822998e-01,-7.777244448661804199e-01,-1.926383972167968750e-01
3.439875543117523193e-01,-7.529479265213012695e-01,-1.249420717358589172e-01
4.101584255695343018e-01,-7.006866335868835449e-01,-9.058798849582672119e-02
4.102823734283447266e-01,-7.638434767723083496e-01,-1.212996467947959900e-01
2.903619408607482910e-01,-8.667954206466674805e-01,-1.882989704608917236e-01
1.546489149332046509e-01,-8.924074769020080566e-01,-2.238406389951705933e-01
5.561298504471778870e-02,-8.580102324485778809e-01,-2.704308629035949707e-01
-1.983605325222015381e-03,-8.234561085700988770e-01,-3.540402650833129883e-01
-2.272774092853069305e-02,-8.066532611846923828e-01,-4.263685941696166992e-01
6.035355851054191589e-02,-8.352514505386352539e-01,-4.300826489925384521e-01
1.849298328161239624e-01,-8.510295152664184570e-01,-4.368668198585510254e-01
3.136311471462249756e-01,-8.847867846488952637e-01,-4.735330939292907715e-01
4.073363840579986572e-01,-9.513543248176574707e-01,-5.037180185317993164e-01
4.459010660648345947e-01,-1.019431591033935547e+00,-5.013116002082824707e-01
4.708910584449768066e-01,-1.079273343086242676e+00,-5.147799253463745117e-01
4.338109195232391357e-01,-1.122491359710693359e+00,-5.278138518333435059e-01
4.061104357242584229e-01,-1.175730466842651367e+00,-5.684646368026733398e-01
3.583262562751770020e-01,-1.211062431335449219e+00,-6.198844313621520996e-01
2.652632296085357666e-01,-1.189798474311828613e+00,-6.260087490081787109e-01
2.279987037181854248e-01,-1.141950249671936035e+00,-6.592764854431152344e-01
2.190935462713241577e-01,-1.085549235343933105e+00,-6.775071620941162109e-01
2.487211525440216064e-01,-1.047073006629943848e+00,-6.652916669845581055e-01
2.692229449748992920e-01,-1.045913815498352051e+00,-6.744831800460815430e-01
2.682783901691436768e-01,-1.076000094413757324e+00,-6.480732560157775879e-01
2.552182674407958984e-01,-1.060159802436828613e+00,-6.285735368728637695e-01
2.447002679109573364e-01,-9.969545602798461914e-01,-6.408013701438903809e-01
1.469628959894180298e-01,-9.261715412139892578e-01,-5.857108831405639648e-01
3.432478383183479309e-02,-8.361918330192565918e-01,-5.409774184226989746e-01
-7.748482376337051392e-02,-7.329935431480407715e-01,-4.731585085391998291e-01
-1.801169663667678833e-01,-6.313819289207458496e-01,-4.162872433662414551e-01
-2.920667529106140137e-01,-5.834730267524719238e-01,-3.773223161697387695e-01
-4.506047070026397705e-01,-5.751827955245971680e-01,-2.927151620388031006e-01
-5.776607990264892578e-01,-5.378299951553344727e-01,-2.186738699674606323e-01
-7.283926010131835938e-01,-5.248697996139526367e-01,-1.220497936010360718e-01
-8.486467003822326660e-01,-5.037528276443481445e-01,-2.674276009202003479e-02
-8.939894437789916992e-01,-4.878662228584289551e-01,1.823971047997474670e-02
-8.056648969650268555e-01,-5.276053547859191895e-01,-3.825297951698303223e-02
-7.120766639709472656e-01,-5.307254195213317871e-01,-2.584665641188621521e-02
-6.019825935363769531e-01,-5.052805542945861816e-01,-2.313375473022460938e-02
-4.897986948490142822e-01,-5.305194258689880371e-01,-6.332866102457046509e-02
-4.125825464725494385e-01,-5.653366446495056152e-01,-7.956290245056152344e-02
-4.200592935085296631e-01,-5.259508490562438965e-01,-5.326721444725990295e-02
-5.028506517410278320e-01,-4.260525703430175781e-01,-2.681237645447254181e-02
-5.975477695465087891e-01,-3.762969672679901123e-01,-3.811437636613845825e-02
-7.214019894599914551e-01,-3.242491781711578369e-01,9.532381780445575714e-03
-8.217244148254394531e-01,-2.263177782297134399e-01,1.112206429243087769e-01
-8.795601725578308105e-01,-1.392051130533218384e-01,1.667429208755493164e-01
-8.878195881843566895e-01,-1.148624867200851440e-01,1.454364508390426636e-01
-8.677803874015808105e-01,-1.031046956777572632e-01,1.377761512994766235e-01
-8.336235880851745605e-01,-8.776772022247314453e-02,1.394432336091995239e-01
-7.911910414695739746e-01,-1.001604422926902771e-01,1.496158391237258911e-01
-7.348530888557434082e-01,-1.311818808317184448e-01,1.734090894460678101e-01
-7.294065952301025391e-01,-1.741225570440292358e-01,2.029272764921188354e-01
-7.452651858329772949e-01,-1.994252651929855347e-01,1.780851483345031738e-01
-7.595651149749755859e-01,-1.912807971239089966e-01,1.283690482378005981e-01
-8.006229996681213379e-01,-1.560706794261932373e-01,9.384725242853164673e-02
-8.155819773674011230e-01,-1.790050864219665527e-01,6.140488758683204651e-02
-7.540922760963439941e-01,-2.262148857116699219e-01,1.370536163449287415e-02
-6.542271375656127930e-01,-2.890406250953674316e-01,-2.960849087685346603e-03
-5.530027151107788086e-01,-3.854411244392395020e-01,-6.313582509756088257e-02
-4.442792534828186035e-01,-4.983650743961334229e-01,-1.512966006994247437e-01
-3.204380869865417480e-01,-5.767098069190979004e-01,-2.461786419153213501e-01
-2.243074178695678711e-01,-6.573833823204040527e-01,-3.243191540241241455e-01
-1.733279526233673096e-01,-6.993541121482849121e-01,-3.100253939628601074e-01
-6.506150960922241211e-02,-7.178080081939697266e-01,-3.401151299476623535e-01
3.836951032280921936e-02,-7.442849278450012207e-01,-4.075982272624969482e-01
9.789261966943740845e-02,-7.707474231719970703e-01,-4.925385713577270508e-01
4.553854465484619141e-03,-7.670319676399230957e-01,-5.182955861091613770e-01
-1.396357715129852295e-01,-7.306037545204162598e-01,-4.842725098133087158e-01
-2.240116149187088013e-01,-6.595460772514343262e-01,-4.584427177906036377e-01
-2.801186740398406982e-01,-5.537621378898620605e-01,-4.353049397468566895e-01
-3.605445325374603271e-01,-4.955677986145019531e-01,-4.277362823486328125e-01
-4.236833453178405762e-01,-5.702461600303649902e-01,-4.352903962135314941e-01
-4.082082808017730713e-01,-7.013834118843078613e-01,-4.626325368881225586e-01
-3.215877115726470947e-01,-7.802259325981140137e-01,-5.032682418823242188e-01
-2.372625619173049927e-01,-8.332096934318542480e-01,-5.171405673027038574e-01
-1.912578195333480835e-01,-9.161291122436523438e-01,-5.607452988624572754e-01
-2.094114869832992554e-01,-1.014894008636474609e+00,-6.022560596466064453e-01
-2.351571023464202881e-01,-1.056320071220397949e+00,-6.276441216468811035e-01
-2.467750161886215210e-01,-1.049196362495422363e+00,-6.541568040847778320e-01
-2.876503467559814453e-01,-1.035148620605468750e+00,-6.615123748779296875e-01
-3.610791862010955811e-01,-9.966224431991577148e-01,-6.775950789451599121e-01
-4.250904023647308350e-01,-9.451438784599304199e-01,-6.989558339118957520e-01
-4.389757215976715088e-01,-8.790438771247863770e-01,-7.052659988403320312e-01
-4.250829219818115234e-01,-8.307511806488037109e-01,-7.128782868385314941e-01
-4.431508779525756836e-01,-7.686717510223388672e-01,-6.900490522384643555e-01
-4.531038403511047363e-01,-6.449399590492248535e-01,-6.438828110694885254e-01
-4.554233551025390625e-01,-5.271155834197998047e-01,-6.498081684112548828e-01
-4.815296530723571777e-01,-4.376027584075927734e-01,-6.497120261192321777e-01
-5.185938477516174316e-01,-3.397518396377563477e-01,-5.977472066879272461e-01
-5.542244911193847656e-01,-2.339790165424346924e-01,-5.240515470504760742e-01
-5.895638465881347656e-01,-1.499086320400238037e-01,-4.595513939857482910e-01
-5.646057128906250000e-01,-4.777298867702484131e-02,-4.019745588302612305e-01
-5.134140253067016602e-01,6.261022388935089111e-02,-2.773202955722808838e-01
-4.774514734745025635e-01,9.672878682613372803e-02,-1.428349465131759644e-01
-4.799147844314575195e-01,2.863579429686069489e-02,-2.208022587001323700e-02
-4.667985141277313232e-01,-4.074912890791893005e-02,1.189053878188133240e-01
-4.244101643562316895e-01,-1.161070168018341064e-01,2.083567231893539429e-01
-3.291463553905487061e-01,-1.141380518674850464e-01,1.637680828571319580e-01
-2.159959226846694946e-01,6.842058151960372925e-02,2.039870917797088623e-01
-1.586304008960723877e-01,2.525980472564697266e-01,2.317277789115905762e-01
-1.802524924278259277e-01,3.236660063266754150e-01,1.456381827592849731e-01
-2.511425316333770752e-01,3.233171999454498291e-01,4.614387080073356628e-02
-2.942648231983184814e-01,3.420876562595367432e-01,3.901458159089088440e-02
-3.070994913578033447e-01,3.254988193511962891e-01,4.753091931343078613e-02
-3.619070947170257568e-01,2.552807033061981201e-01,7.515869569033384323e-03
-4.716361463069915771e-01,1.677234917879104614e-01,1.408285833895206451e-02
-5.449000597000122070e-01,5.624689161777496338e-02,4.785399138927459717e-02
-5.803771615028381348e-01,-4.038335010409355164e-02,7.708927243947982788e-02
-5.775918364524841309e-01,-8.552758395671844482e-02,1.180609762668609619e-01
-5.783316493034362793e-01,-8.621124923229217529e-02,1.496609896421432495e-01
-6.194651722908020020e-01,-8.172529190778732300e-02,1.761032938957214355e-01
-6.635847091674804688e-01,-6.917854398488998413e-02,1.777199208736419678e-01
-7.215123176574707031e-01,-8.514694124460220337e-02,8.733540028333663940e-02
-7.912820577621459961e-01,-1.639585345983505249e-01,-2.490736171603202820e-02
-8.223262429237365723e-01,-1.859721094369888306e-01,-9.331294149160385132e-02
-7.600113749504089355e-01,-2.061667442321777344e-01,-1.390453428030014038e-01
-7.165688276290893555e-01,-2.421168088912963867e-01,-1.710895001888275146e-01
-6.934480667114257812e-01,-3.677956461906433105e-01,-2.567786574363708496e-01
