joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
8.694809079170227051e-01,-1.141179949045181274e-01,1.385723114013671875e+00,1.351516962051391602e+00,1.590328454971313477e+00,-1.009985685348510742e+00,1.636675953865051270e+00
8.695029020309448242e-01,-1.141302213072776794e-01,1.385751962661743164e+00,1.352221608161926270e+00,1.590416431427001953e+00,-1.010038852691650391e+00,1.648823618888854980e+00
8.695010542869567871e-01,-1.141288876533508301e-01,1.385749697685241699e+00,1.352190971374511719e+00,1.590411663055419922e+00,-1.010037422180175781e+00,1.649875283241271973e+00
8.694997429847717285e-01,-1.141283959150314331e-01,1.385748505592346191e+00,1.352172374725341797e+00,1.590410470962524414e+00,-1.010036826133728027e+00,1.649981021881103516e+00
8.695021867752075195e-01,-1.141317933797836304e-01,1.385752677917480469e+00,1.352054238319396973e+00,1.590410947799682617e+00,-1.010041236877441406e+00,1.650196313858032227e+00
8.695080280303955078e-01,-1.141346767544746399e-01,1.385765910148620605e+00,1.351673722267150879e+00,1.590403079986572266e+00,-1.010049462318420410e+00,1.650638937950134277e+00
8.695125579833984375e-01,-1.141362488269805908e-01,1.385774493217468262e+00,1.351211667060852051e+00,1.590396165847778320e+00,-1.010052919387817383e+00,1.650959491729736328e+00
8.695155978202819824e-01,-1.141355484724044800e-01,1.385782718658447266e+00,1.350451946258544922e+00,1.590384840965270996e+00,-1.010054230690002441e+00,1.651227712631225586e+00
8.695177435874938965e-01,-1.141335517168045044e-01,1.385790705680847168e+00,1.348757624626159668e+00,1.590369820594787598e+00,-1.010054707527160645e+00,1.651458978652954102e+00
8.695190548896789551e-01,-1.141304224729537964e-01,1.385797023773193359e+00,1.344156026840209961e+00,1.590352892875671387e+00,-1.010053157806396484e+00,1.651633739471435547e+00
8.695200085639953613e-01,-1.141277253627777100e-01,1.385799646377563477e+00,1.326993227005004883e+00,1.590338706970214844e+00,-1.010050177574157715e+00,1.651727914810180664e+00
