or_w,or_x,or_y,or_z
7.664484977722167969e-01,-4.641046747565269470e-02,6.378654837608337402e-01,-5.941751599311828613e-02
7.664483785629272461e-01,-4.641051962971687317e-02,6.378655433654785156e-01,-5.941761657595634460e-02
7.664485573768615723e-01,-4.641046002507209778e-02,6.378653645515441895e-01,-5.941756814718246460e-02
7.664484381675720215e-01,-4.641040414571762085e-02,6.378654837608337402e-01,-5.941763147711753845e-02
7.664687633514404297e-01,-4.653782024979591370e-02,6.377787590026855469e-01,-5.998466908931732178e-02
7.664862275123596191e-01,-4.679839685559272766e-02,6.377328634262084961e-01,-6.004642695188522339e-02
7.665448784828186035e-01,-4.721902683377265930e-02,6.376892924308776855e-01,-5.942790210247039795e-02
7.667073607444763184e-01,-4.774662107229232788e-02,6.376082897186279297e-01,-5.775608494877815247e-02
7.669993042945861816e-01,-4.826748371124267578e-02,6.374871134757995605e-01,-5.470374226570129395e-02
7.674067616462707520e-01,-4.859027266502380371e-02,6.373384594917297363e-01,-5.025495961308479309e-02
7.678731679916381836e-01,-4.865737259387969971e-02,6.371966004371643066e-01,-4.453903436660766602e-02
7.683581113815307617e-01,-4.846381768584251404e-02,6.370514631271362305e-01,-3.798048570752143860e-02
7.688159942626953125e-01,-4.812405258417129517e-02,6.368994116783142090e-01,-3.106853738427162170e-02
7.692300081253051758e-01,-4.769345372915267944e-02,6.367356777191162109e-01,-2.404640428721904755e-02
7.695987820625305176e-01,-4.730874300003051758e-02,6.365478634834289551e-01,-1.692249067127704620e-02
7.699220776557922363e-01,-4.699651896953582764e-02,6.363321542739868164e-01,-9.630169719457626343e-03
7.701960206031799316e-01,-4.673467949032783508e-02,6.360891461372375488e-01,-2.123236889019608498e-03
7.704142928123474121e-01,-4.649644717574119568e-02,6.358214020729064941e-01,5.576182156801223755e-03
7.706193923950195312e-01,-4.629626870155334473e-02,6.354701519012451172e-01,1.342068240046501160e-02
7.708142399787902832e-01,-4.619091749191284180e-02,6.350216865539550781e-01,2.143194153904914856e-02
7.709861993789672852e-01,-4.620557278394699097e-02,6.344785690307617188e-01,2.970270439982414246e-02
7.711315155029296875e-01,-4.629968106746673584e-02,6.338388323783874512e-01,3.822143375873565674e-02
7.712199687957763672e-01,-4.636685550212860107e-02,6.331385374069213867e-01,4.696213826537132263e-02
7.713013887405395508e-01,-4.633218422532081604e-02,6.323234438896179199e-01,5.580829083919525146e-02
7.713893651962280273e-01,-4.625592008233070374e-02,6.313712000846862793e-01,6.472393870353698730e-02
7.714515924453735352e-01,-4.627244919538497925e-02,6.302985548973083496e-01,7.379025965929031372e-02
7.715107202529907227e-01,-4.647602885961532593e-02,6.290718317031860352e-01,8.294507116079330444e-02
