joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
8.358528614044189453e-01,-8.000177145004272461e-02,1.350983142852783203e+00,1.307936191558837891e+00,1.541992545127868652e+00,-9.481354355812072754e-01,1.591986060142517090e+00
8.358527421951293945e-01,-8.000189065933227539e-02,1.350983262062072754e+00,1.307935953140258789e+00,1.541992545127868652e+00,-9.481354355812072754e-01,1.591986060142517090e+00
8.358525037765502930e-01,-8.000177145004272461e-02,1.350983262062072754e+00,1.307936072349548340e+00,1.541992545127868652e+00,-9.481353163719177246e-01,1.591985940933227539e+00
8.358526229858398438e-01,-8.000177145004272461e-02,1.350983381271362305e+00,1.307936191558837891e+00,1.541992545127868652e+00,-9.481353759765625000e-01,1.591986060142517090e+00
8.357675671577453613e-01,-7.997199147939682007e-02,1.350703716278076172e+00,1.307474374771118164e+00,1.541915535926818848e+00,-9.479508996009826660e-01,1.591441869735717773e+00
8.357787728309631348e-01,-7.986593246459960938e-02,1.350751280784606934e+00,1.307304263114929199e+00,1.542014002799987793e+00,-9.481837749481201172e-01,1.591162800788879395e+00
8.358247280120849609e-01,-7.967400550842285156e-02,1.351148009300231934e+00,1.307349801063537598e+00,1.542419195175170898e+00,-9.491251111030578613e-01,1.591385126113891602e+00
8.358240127563476562e-01,-7.944935560226440430e-02,1.351967930793762207e+00,1.307668805122375488e+00,1.543347954750061035e+00,-9.511735439300537109e-01,1.592545628547668457e+00
8.357280492782592773e-01,-7.928139716386795044e-02,1.353311896324157715e+00,1.308420538902282715e+00,1.544907093048095703e+00,-9.545345306396484375e-01,1.595034003257751465e+00
8.355230689048767090e-01,-7.922735065221786499e-02,1.355234026908874512e+00,1.309760570526123047e+00,1.547084689140319824e+00,-9.589083194732666016e-01,1.598955154418945312e+00
8.352117538452148438e-01,-7.938296347856521606e-02,1.357700824737548828e+00,1.311817169189453125e+00,1.549737334251403809e+00,-9.641027450561523438e-01,1.604097366333007812e+00
8.348457217216491699e-01,-7.979983836412429810e-02,1.360646724700927734e+00,1.314492821693420410e+00,1.552660822868347168e+00,-9.696018099784851074e-01,1.609972715377807617e+00
8.344749808311462402e-01,-8.047676831483840942e-02,1.363926172256469727e+00,1.317589879035949707e+00,1.555625081062316895e+00,-9.750608205795288086e-01,1.615986108779907227e+00
8.341626524925231934e-01,-8.140428364276885986e-02,1.367382526397705078e+00,1.321033954620361328e+00,1.558561682701110840e+00,-9.803472757339477539e-01,1.621809244155883789e+00
8.340023756027221680e-01,-8.250563591718673706e-02,1.370942354202270508e+00,1.324680685997009277e+00,1.561474084854125977e+00,-9.856227040290832520e-01,1.627419590950012207e+00
8.340293169021606445e-01,-8.367673307657241821e-02,1.374547243118286133e+00,1.328440189361572266e+00,1.564419269561767578e+00,-9.910105466842651367e-01,1.633003711700439453e+00
8.342381715774536133e-01,-8.487204462289810181e-02,1.378178119659423828e+00,1.332319974899291992e+00,1.567447423934936523e+00,-9.965488314628601074e-01,1.638663291931152344e+00
8.346084952354431152e-01,-8.611570298671722412e-02,1.381797313690185547e+00,1.336288690567016602e+00,1.570512056350708008e+00,-1.002232074737548828e+00,1.644443750381469727e+00
8.351232409477233887e-01,-8.740592747926712036e-02,1.385355830192565918e+00,1.340156555175781250e+00,1.573673605918884277e+00,-1.008072257041931152e+00,1.650387167930603027e+00
8.358271121978759766e-01,-8.875714987516403198e-02,1.388914585113525391e+00,1.343847990036010742e+00,1.576896429061889648e+00,-1.014080405235290527e+00,1.656512975692749023e+00
8.367977738380432129e-01,-9.021532535552978516e-02,1.392614722251892090e+00,1.347475171089172363e+00,1.580176830291748047e+00,-1.020210266113281250e+00,1.662779688835144043e+00
8.380340337753295898e-01,-9.182456880807876587e-02,1.396431326866149902e+00,1.351088881492614746e+00,1.583512902259826660e+00,-1.026418566703796387e+00,1.669156074523925781e+00
8.394380807876586914e-01,-9.363184869289398193e-02,1.400227069854736328e+00,1.354837417602539062e+00,1.586876988410949707e+00,-1.032757401466369629e+00,1.675638437271118164e+00
8.409374952316284180e-01,-9.570134431123733521e-02,1.403925776481628418e+00,1.358616590499877930e+00,1.590310692787170410e+00,-1.039105534553527832e+00,1.682186245918273926e+00
8.425263762474060059e-01,-9.802071005105972290e-02,1.407574653625488281e+00,1.362299084663391113e+00,1.593793988227844238e+00,-1.045459151268005371e+00,1.688790917396545410e+00
8.442504405975341797e-01,-1.004963517189025879e-01,1.411297678947448730e+00,1.365869045257568359e+00,1.597325086593627930e+00,-1.051946759223937988e+00,1.695465683937072754e+00
8.461399078369140625e-01,-1.030464172363281250e-01,1.415165424346923828e+00,1.369120597839355469e+00,1.600925683975219727e+00,-1.058507323265075684e+00,1.702196240425109863e+00
8.481642603874206543e-01,-1.055737137794494629e-01,1.419161915779113770e+00,1.371994256973266602e+00,1.604532957077026367e+00,-1.065145254135131836e+00,1.708986401557922363e+00
8.502636551856994629e-01,-1.080179512500762939e-01,1.423171401023864746e+00,1.374362587928771973e+00,1.608161449432373047e+00,-1.071898460388183594e+00,1.715869069099426270e+00
8.524193167686462402e-01,-1.104478761553764343e-01,1.427177906036376953e+00,1.376033306121826172e+00,1.611790299415588379e+00,-1.078718543052673340e+00,1.722821831703186035e+00
8.546954989433288574e-01,-1.129337027668952942e-01,1.431262493133544922e+00,1.376947283744812012e+00,1.615410208702087402e+00,-1.085588097572326660e+00,1.729843139648437500e+00
8.571301102638244629e-01,-1.154813095927238464e-01,1.435431718826293945e+00,1.377166032791137695e+00,1.619026064872741699e+00,-1.092575907707214355e+00,1.736957311630249023e+00
8.596975207328796387e-01,-1.181475594639778137e-01,1.439643621444702148e+00,1.376838922500610352e+00,1.622630357742309570e+00,-1.099581956863403320e+00,1.744125485420227051e+00
8.623288273811340332e-01,-1.209149584174156189e-01,1.443783760070800781e+00,1.375748753547668457e+00,1.626248121261596680e+00,-1.106541633605957031e+00,1.751360774040222168e+00
8.649735450744628906e-01,-1.237137541174888611e-01,1.447794079780578613e+00,1.373928308486938477e+00,1.629883289337158203e+00,-1.113537907600402832e+00,1.758663773536682129e+00
8.677329421043395996e-01,-1.265017092227935791e-01,1.451844096183776855e+00,1.371546149253845215e+00,1.633512496948242188e+00,-1.120473623275756836e+00,1.766009926795959473e+00
8.707196712493896484e-01,-1.292333900928497314e-01,1.456100821495056152e+00,1.369222760200500488e+00,1.637109398841857910e+00,-1.127443790435791016e+00,1.773416042327880859e+00
8.739069700241088867e-01,-1.319470405578613281e-01,1.460543751716613770e+00,1.366818785667419434e+00,1.640718221664428711e+00,-1.134450912475585938e+00,1.780867218971252441e+00
8.771468997001647949e-01,-1.346929222345352173e-01,1.464974164962768555e+00,1.364318370819091797e+00,1.644361257553100586e+00,-1.141379237174987793e+00,1.788362383842468262e+00
8.803161978721618652e-01,-1.374943554401397705e-01,1.469255805015563965e+00,1.362026929855346680e+00,1.648050904273986816e+00,-1.148328304290771484e+00,1.795903563499450684e+00
8.834015727043151855e-01,-1.402902752161026001e-01,1.473452448844909668e+00,1.360009193420410156e+00,1.651794433593750000e+00,-1.155289173126220703e+00,1.803479909896850586e+00
