joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-1.497165249020326883e-05,-2.997057526954449713e-05,-4.494222957873716950e-05,-1.497165249020326883e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-5.991388024995103478e-05,0.000000000000000000e+00,-5.991388024995103478e-05,4.795292261405847967e-05,0.000000000000000000e+00,1.499892368883593008e-05
-2.997057526954449713e-05,0.000000000000000000e+00,1.499892277934122831e-05,-2.997057526954449713e-05,2.399827644694596529e-05,2.994330498040653765e-05,-1.499892368883593008e-05
2.997057526954449713e-05,0.000000000000000000e+00,2.994330498040653765e-05,4.494222957873716950e-05,0.000000000000000000e+00,-1.497165249020326883e-05,1.499892368883593008e-05
-1.068092416971921921e-02,7.699874695390462875e-03,-3.554818406701087952e-02,-6.970324367284774780e-02,-7.190538570284843445e-03,1.656819321215152740e-02,-8.848851919174194336e-02
2.801307942718267441e-03,2.651509642601013184e-02,1.189433690160512924e-02,-4.251403734087944031e-02,2.459160238504409790e-02,-5.822835490107536316e-02,-6.974818557500839233e-02
1.148985698819160461e-02,4.798182845115661621e-02,9.918444603681564331e-02,1.138502825051546097e-02,1.013146638870239258e-01,-2.353252172470092773e-01,5.557684600353240967e-02
-1.797416480258107185e-04,5.616106837987899780e-02,2.049901485443115234e-01,7.974003255367279053e-02,2.321823686361312866e-01,-5.121158957481384277e-01,2.901231050491333008e-01
-2.398344129323959351e-02,4.198973253369331360e-02,3.359927237033843994e-01,1.879575848579406738e-01,3.897749185562133789e-01,-8.402439355850219727e-01,6.220861077308654785e-01
-5.124752968549728394e-02,1.351222954690456390e-02,4.805074930191040039e-01,3.350040018558502197e-01,5.444193482398986816e-01,-1.093455672264099121e+00,9.802945852279663086e-01
-7.783754169940948486e-02,-3.890379890799522400e-02,6.167231798171997070e-01,5.141532421112060547e-01,6.631590723991394043e-01,-1.298595666885375977e+00,1.285547852516174316e+00
