joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4.86289e-05,-0.000592861,0.000999858,-0.000231038,0.00113363,0.00160293,0.000844435
0.0393048,-0.0167575,0.0342001,0.00773053,-0.0252542,0.00983632,0.00589905
0.142481,-0.0555501,0.119974,-0.00661848,-0.103221,0.0148643,0.0108061
0.31385,-0.115788,0.235667,-0.0677502,-0.228181,0.018029,0.0151702
0.544515,-0.191896,0.364132,-0.166996,-0.381297,0.0267828,0.0209163
0.816406,-0.275984,0.499825,-0.283031,-0.547927,0.0430149,0.0270608
1.07009,-0.348554,0.605174,-0.405006,-0.689093,0.0625761,0.0296088
1.26447,-0.402277,0.649679,-0.487259,-0.776082,0.0950788,0.0331875
1.38527,-0.440181,0.651265,-0.49943,-0.812433,0.13814,0.0390166
1.43773,-0.471736,0.626639,-0.454718,-0.818534,0.182788,0.0458346
1.44043,-0.506602,0.583733,-0.386462,-0.812307,0.223944,0.05399
1.41661,-0.550814,0.536686,-0.327409,-0.805313,0.259283,0.063622
1.38638,-0.6065,0.498606,-0.297956,-0.802905,0.288081,0.073565
1.36213,-0.670157,0.474897,-0.302492,-0.80597,0.310993,0.0823128
1.34816,-0.7371,0.463025,-0.325875,-0.811735,0.329212,0.089195
1.34303,-0.803047,0.454063,-0.343796,-0.817641,0.344188,0.094607
1.34253,-0.865246,0.434305,-0.327175,-0.822737,0.357423,0.0995692
1.3411,-0.922615,0.387833,-0.251799,-0.827001,0.370093,0.10513
1.33198,-0.978348,0.296307,-0.0971059,-0.831354,0.382825,0.112675
1.30539,-1.03505,0.146387,0.137845,-0.836367,0.396158,0.123547
1.25401,-1.09415,-0.0582194,0.43275,-0.839824,0.410057,0.138122
1.17491,-1.15548,-0.29626,0.749548,-0.835837,0.423946,0.15581
1.06561,-1.21622,-0.532821,1.04384,-0.817266,0.437039,0.176009
0.920268,-1.27263,-0.733024,1.2733,-0.777214,0.448629,0.197468
0.725025,-1.31988,-0.866758,1.41347,-0.70833,0.458102,0.218346
0.474647,-1.34987,-0.896917,1.48697,-0.586642,0.49066,0.246124
0.164328,-1.35849,-0.77618,1.52286,-0.423608,0.541893,0.279827
-0.200672,-1.349,-0.481465,1.53447,-0.28116,0.576363,0.307932
-0.589868,-1.31779,-0.0381545,1.52905,-0.225263,0.569738,0.323271
-0.944657,-1.24663,0.47329,1.51861,-0.265664,0.554389,0.332528
-1.22315,-1.12725,0.962302,1.49149,-0.400306,0.527411,0.332571
-1.40232,-0.961818,1.34956,1.45316,-0.606357,0.501268,0.326539
-1.48094,-0.75003,1.58774,1.42977,-0.814117,0.515994,0.326809
-1.48259,-0.498209,1.68469,1.43986,-0.940434,0.600454,0.339583
-1.44884,-0.227399,1.70704,1.47872,-0.959959,0.714437,0.354603
-1.41449,0.0458907,1.71008,1.53137,-0.885241,0.816106,0.360562
-1.39847,0.31845,1.71049,1.57156,-0.724563,0.873958,0.349657
-1.40345,0.588688,1.70128,1.57537,-0.484724,0.876372,0.319725
-1.42316,0.846582,1.67539,1.53309,-0.193225,0.824341,0.274195
-1.44772,1.07623,1.63308,1.44922,0.110991,0.733605,0.220764
-1.46686,1.26285,1.57928,1.33621,0.393456,0.630192,0.169018
-1.47303,1.39647,1.51934,1.21028,0.629784,0.542281,0.127225
-1.46493,1.47434,1.46651,1.08501,0.801701,0.479936,0.0982942
-1.44623,1.50538,1.43028,0.968453,0.907013,0.439577,0.0809717
-1.42274,1.50526,1.41128,0.863306,0.958226,0.414659,0.0722181
-1.3997,1.48904,1.40417,0.76562,0.972998,0.399894,0.0685497
-1.381,1.46777,1.40275,0.671147,0.967472,0.391793,0.0670425
-1.36844,1.44764,1.40254,0.572299,0.953658,0.388232,0.0653153
-1.36142,1.43065,1.40087,0.454571,0.938931,0.388241,0.0614394
-1.35738,1.41692,1.39636,0.304555,0.926689,0.391473,0.053809
-1.35415,1.4064,1.38875,0.125813,0.917769,0.397315,0.0421502
-1.34909,1.39838,1.378,-0.0696827,0.911351,0.405297,0.0279671
-1.3413,1.39226,1.36359,-0.266168,0.905516,0.414921,0.0142577
-1.3322,1.3875,1.34563,-0.443198,0.898305,0.425338,0.00375668
-1.32268,1.38291,1.32469,-0.58233,0.888353,0.435733,-0.00165151
-1.31433,1.37731,1.30182,-0.679871,0.875202,0.445466,-0.00146546
-1.30931,1.36979,1.2782,-0.74392,0.859561,0.454082,0.00317348
-1.30772,1.3595,1.25472,-0.785819,0.842308,0.461521,0.0103422
-1.30777,1.34608,1.23173,-0.814378,0.823747,0.468005,0.0183116
-1.3088,1.32994,1.20904,-0.835604,0.804331,0.473609,0.0258613
-1.30921,1.31058,1.18535,-0.851166,0.782921,0.478456,0.032222
-1.30718,1.28648,1.15853,-0.859978,0.757121,0.482723,0.0371757
-1.30333,1.25693,1.12726,-0.864065,0.725497,0.486435,0.0411965
-1.29731,1.22053,1.08899,-0.867336,0.68618,0.489626,0.0451211
-1.28784,1.17396,1.03755,-0.871692,0.632627,0.492389,0.0496056
-1.27496,1.11317,0.961353,-0.87818,0.553717,0.494693,0.055389
-1.26146,1.03873,0.845135,-0.893803,0.439962,0.496144,0.063466
-1.24886,0.954285,0.671926,-0.924874,0.289255,0.496194,0.0732877
-1.2402,0.868272,0.430151,-0.9723,0.108463,0.49439,0.0840112
-1.24131,0.79203,0.125951,-1.03273,-0.0843337,0.490323,0.0970076
-1.25693,0.739987,-0.213758,-1.10194,-0.259326,0.483573,0.11403
-1.28572,0.71713,-0.552177,-1.1703,-0.388412,0.4743,0.135249
-1.32197,0.716711,-0.851188,-1.22658,-0.460436,0.463388,0.160737
-1.35873,0.720572,-1.08046,-1.26599,-0.477594,0.451598,0.19017
-1.38738,0.694806,-1.22823,-1.2898,-0.442636,0.439787,0.221075
-1.39757,0.600001,-1.29791,-1.29954,-0.356551,0.428425,0.24948
-1.36786,0.416381,-1.28453,-1.29593,-0.229586,0.417039,0.27042
-1.25878,0.150897,-1.18795,-1.2831,-0.0742609,0.404943,0.276341
-1.03293,-0.177358,-1.0526,-1.26512,0.0947414,0.391266,0.261969
-0.681698,-0.528008,-0.933135,-1.24652,0.260548,0.372285,0.227388
-0.232452,-0.851727,-0.862771,-1.2293,0.407067,0.342467,0.176988
0.255104,-1.11362,-0.866438,-1.21166,0.525902,0.300951,0.116696
0.701984,-1.302,-0.953102,-1.19076,0.614138,0.251343,0.0550588
1.04031,-1.41578,-1.0814,-1.16361,0.674341,0.198561,-0.00111244
1.24261,-1.46573,-1.19769,-1.12833,0.706201,0.149208,-0.049221
1.32393,-1.47167,-1.27337,-1.08609,0.705303,0.110123,-0.0891733
1.32187,-1.45473,-1.30482,-1.04049,0.671083,0.0836266,-0.120436
1.27463,-1.43183,-1.3025,-0.989497,0.60734,0.0675721,-0.141532
1.20994,-1.41357,-1.28142,-0.926731,0.52081,0.0581286,-0.15046
1.14159,-1.40571,-1.2566,-0.84229,0.415785,0.0521381,-0.146613
1.07313,-1.40954,-1.23965,-0.732156,0.294909,0.0483922,-0.131212
0.997837,-1.42343,-1.23744,-0.603141,0.168494,0.0459659,-0.10676
