action_0,action_1,action_2,action_3,action_4,action_5,action_6
0.65666,-0.269646,0.584002,0.119872,-0.528398,0.636902,0.0537548
0.65666,-0.269646,0.584002,0.119872,-0.528398,0.636902,0.0537548
0.65666,-0.269646,0.584002,0.119872,-0.528398,0.636902,0.0537548
0.65886,-0.235018,0.596615,0.174959,-0.50489,0.635629,0.0737136
0.660298,-0.221437,0.604253,0.20987,-0.463416,0.633266,0.107324
0.658211,-0.175235,0.608999,0.272431,-0.367598,0.626951,0.167348
0.677581,-0.149606,0.593078,0.321697,-0.378292,0.637304,0.0967182
0.687835,-0.105476,0.580477,0.382402,-0.37177,0.639389,0.0990316
0.694651,-0.0881102,0.569215,0.406237,-0.365835,0.646308,0.0980821
0.69943,-0.00848876,0.562855,0.449588,-0.300176,0.654246,0.0891654
0.701617,0.0825882,0.555401,0.478856,-0.253728,0.666481,0.0415152
0.703661,0.110981,0.559053,0.46915,-0.267844,0.676823,0.00989721
0.701124,0.170526,0.556762,0.493695,-0.187137,0.686054,-0.0342581
0.70636,0.227559,0.557545,0.484541,-0.21672,0.696859,-0.0703351
0.698074,0.338371,0.585249,0.481819,-0.114775,0.708977,-0.115693
0.694063,0.392095,0.595374,0.484918,-0.0161589,0.719546,-0.138688
0.690914,0.433214,0.59957,0.492269,0.0613528,0.730344,-0.165418
0.687286,0.466463,0.603377,0.499219,0.116049,0.740158,-0.198291
0.681526,0.495647,0.610961,0.499711,0.179974,0.748521,-0.22723
0.674772,0.518885,0.620228,0.491903,0.293237,0.754748,-0.26567
0.6702,0.526949,0.614167,0.492991,0.306272,0.762672,-0.303756
0.663713,0.536173,0.615961,0.489917,0.338027,0.768912,-0.319139
0.659117,0.545105,0.620205,0.487959,0.371702,0.773666,-0.323223
0.65605,0.552792,0.623957,0.488185,0.399112,0.77762,-0.323251
0.654008,0.555742,0.623581,0.488563,0.41053,0.780762,-0.32648
0.650808,0.559973,0.621627,0.494158,0.419162,0.784079,-0.331359
0.644347,0.560795,0.623567,0.509317,0.441512,0.788011,-0.332012
0.633612,0.559653,0.626163,0.520486,0.473549,0.790945,-0.327393
0.620102,0.550644,0.623106,0.534679,0.493136,0.794071,-0.318814
0.592486,0.543367,0.618124,0.554765,0.529898,0.797587,-0.298858
0.5779,0.525705,0.603787,0.569775,0.52275,0.800393,-0.281513
0.562529,0.530483,0.604414,0.574366,0.534916,0.800655,-0.268686
0.515227,0.530613,0.605462,0.589611,0.555936,0.800904,-0.247279
0.475741,0.531344,0.612419,0.595512,0.576352,0.800429,-0.221903
0.426197,0.53115,0.613092,0.609202,0.586867,0.800039,-0.198975
0.361866,0.531424,0.620896,0.616829,0.60116,0.798978,-0.181283
0.310435,0.526891,0.618672,0.629004,0.603291,0.798937,-0.163196
0.230826,0.526575,0.624422,0.632539,0.615759,0.797777,-0.156899
0.176287,0.517269,0.624901,0.636395,0.621374,0.797583,-0.146135
0.0745667,0.50892,0.620925,0.64489,0.626529,0.797512,-0.133529
0.00772535,0.499116,0.620469,0.646731,0.630884,0.797489,-0.123575
-0.09717,0.504673,0.632765,0.64287,0.645354,0.795743,-0.119945
-0.16786,0.496648,0.630589,0.64856,0.647307,0.795684,-0.0988004
-0.250723,0.492409,0.629539,0.654699,0.6508,0.795099,-0.0764056
-0.283038,0.487268,0.632631,0.654509,0.65538,0.794519,-0.0619484
-0.316755,0.477756,0.630645,0.658049,0.655701,0.79443,-0.0396822
-0.283962,0.438363,0.616401,0.661629,0.643515,0.796676,-0.0200292
-0.375136,0.465358,0.634089,0.660887,0.659729,0.79322,6.67676e-05
-0.39655,0.450075,0.630574,0.664419,0.657389,0.793259,0.0216507
-0.426515,0.450113,0.636908,0.664074,0.662902,0.79192,0.0344112
-0.444063,0.442789,0.639656,0.664154,0.665262,0.791252,0.0464667
-0.450645,0.425716,0.638387,0.665302,0.66372,0.791371,0.0579434
-0.468767,0.423963,0.644988,0.663239,0.66865,0.789933,0.066783
-0.480669,0.414539,0.648301,0.662203,0.670713,0.789073,0.075647
-0.48093,0.387772,0.643034,0.66539,0.665858,0.789948,0.0832756
-0.488332,0.372909,0.643005,0.666577,0.665521,0.789754,0.0934603
-0.506787,0.364879,0.646392,0.666433,0.668081,0.788442,0.105638
-0.502193,0.328553,0.637191,0.673127,0.659919,0.790243,0.11152
-0.503922,0.307089,0.638523,0.672601,0.659509,0.789834,0.115786
-0.503456,0.290448,0.642208,0.669757,0.660925,0.789093,0.119957
-0.491382,0.25312,0.638553,0.670704,0.656169,0.790047,0.120834
-0.491618,0.218646,0.635796,0.673493,0.651697,0.790275,0.126072
-0.484889,0.183586,0.638153,0.671241,0.650281,0.789759,0.128187
-0.481568,0.120453,0.629371,0.677965,0.640301,0.791024,0.130784
-0.487218,0.0933803,0.637848,0.672487,0.643942,0.788881,0.13342
-0.475019,0.0292149,0.637224,0.669827,0.640132,0.788755,0.129638
-0.450862,-0.0704844,0.627168,0.67283,0.628188,0.790667,0.122651
-0.431308,-0.129046,0.625545,0.670416,0.623234,0.790738,0.117136
-0.414712,-0.178293,0.627322,0.665066,0.620819,0.789837,0.112011
-0.368675,-0.230018,0.624954,0.661785,0.616677,0.78975,0.0864054
-0.386431,-0.281449,0.616026,0.666781,0.605373,0.788803,0.0907852
-0.381305,-0.320004,0.616804,0.662929,0.602433,0.786598,0.0764102
-0.365341,-0.369882,0.601355,0.668206,0.589465,0.786171,0.0639968
-0.354525,-0.399606,0.611066,0.656734,0.592141,0.782274,0.0397054
-0.313235,-0.440965,0.602239,0.654093,0.581758,0.780671,0.00365163
-0.295876,-0.473392,0.595803,0.652146,0.571254,0.778872,-0.020234
-0.273887,-0.497227,0.597611,0.644863,0.565454,0.776059,-0.0502602
