or_w,or_x,or_y,or_z
7.660593390464782715e-01,-4.695781320333480835e-02,6.382669806480407715e-01,-5.969364196062088013e-02
7.660593986511230469e-01,-4.695774987339973450e-02,6.382669210433959961e-01,-5.969367548823356628e-02
7.660593986511230469e-01,-4.695776477456092834e-02,6.382668614387512207e-01,-5.969379469752311707e-02
7.660593986511230469e-01,-4.695776849985122681e-02,6.382669210433959961e-01,-5.969375371932983398e-02
7.660593390464782715e-01,-4.695769399404525757e-02,6.382669210433959961e-01,-5.969374626874923706e-02
7.660605907440185547e-01,-4.695528000593185425e-02,6.382637619972229004e-01,-5.971402674913406372e-02
7.660675644874572754e-01,-4.696558788418769836e-02,6.382399797439575195e-01,-5.987060070037841797e-02
7.660771608352661133e-01,-4.704876616597175598e-02,6.382007598876953125e-01,-6.010011211037635803e-02
7.660834789276123047e-01,-4.722644761204719543e-02,6.381753087043762207e-01,-6.015032529830932617e-02
7.660969495773315430e-01,-4.747882857918739319e-02,6.381760239601135254e-01,-5.977049469947814941e-02
7.661665678024291992e-01,-4.777783900499343872e-02,6.381748914718627930e-01,-5.864192917943000793e-02
7.663251757621765137e-01,-4.804846644401550293e-02,6.381528973579406738e-01,-5.655021965503692627e-02
7.665613293647766113e-01,-4.821770265698432922e-02,6.381248235702514648e-01,-5.343651771545410156e-02
7.668494582176208496e-01,-4.820439592003822327e-02,6.381061673164367676e-01,-4.938355460762977600e-02
7.671623229980468750e-01,-4.804656654596328735e-02,6.380931735038757324e-01,-4.461676999926567078e-02
7.674670219421386719e-01,-4.779972508549690247e-02,6.380869746208190918e-01,-3.942810371518135071e-02
7.677630186080932617e-01,-4.747716337442398071e-02,6.380662918090820312e-01,-3.401807323098182678e-02
7.680584192276000977e-01,-4.710738360881805420e-02,6.380106806755065918e-01,-2.845161035656929016e-02
7.683359384536743164e-01,-4.675339907407760620e-02,6.379328370094299316e-01,-2.270885370671749115e-02
7.685883045196533203e-01,-4.645147547125816345e-02,6.378344297409057617e-01,-1.677633076906204224e-02
7.688120007514953613e-01,-4.622624814510345459e-02,6.377127170562744141e-01,-1.066270098090171814e-02
7.689911127090454102e-01,-4.603731259703636169e-02,6.375845074653625488e-01,-4.379751160740852356e-03
7.691648602485656738e-01,-4.586768150329589844e-02,6.373990178108215332e-01,2.023976529017090797e-03
7.693517208099365234e-01,-4.579406231641769409e-02,6.371247768402099609e-01,8.538573980331420898e-03
