pos_X,pos_Y,pos_Z
0.535548,-0.454063,0.703211
0.535548,-0.454063,0.703211
0.535548,-0.454063,0.703211
0.535548,-0.454063,0.703211
0.535541,-0.454063,0.703215
0.535897,-0.45348,0.703352
0.537576,-0.450795,0.703658
0.541149,-0.44512,0.703554
0.546471,-0.436718,0.702677
0.55285,-0.426378,0.701388
0.559557,-0.415038,0.700059
0.566075,-0.403626,0.69878
0.572157,-0.392814,0.697474
0.577777,-0.382836,0.696003
0.583053,-0.373559,0.69418
0.588119,-0.364609,0.691913
0.59308,-0.355661,0.689169
0.597984,-0.346607,0.685958
0.602814,-0.337523,0.682389
0.607548,-0.32871,0.678529
0.612171,-0.320497,0.674442
0.61672,-0.313366,0.6701
0.621288,-0.307967,0.6653
0.625941,-0.304994,0.659756
0.63066,-0.304762,0.65321
0.635321,-0.306985,0.645665
0.639721,-0.311119,0.63733
0.643586,-0.316828,0.628456
0.646497,-0.324307,0.619274
0.647745,-0.334228,0.610537
0.646527,-0.347031,0.603745
0.642537,-0.362276,0.599846
0.636126,-0.378765,0.598781
0.627949,-0.395161,0.600038
0.618614,-0.410549,0.603126
0.608557,-0.424609,0.607845
0.597842,-0.437522,0.614228
0.58633,-0.44964,0.62232
0.573873,-0.461192,0.632103
0.560458,-0.472225,0.643492
0.546196,-0.482637,0.656375
0.531273,-0.492258,0.670557
0.515902,-0.500937,0.685639
0.500309,-0.508573,0.701127
0.484704,-0.515119,0.716592
0.469252,-0.520568,0.731752
0.454034,-0.524983,0.746472
0.439055,-0.528467,0.760724
0.42429,-0.531111,0.774524
0.409748,-0.532939,0.787882
0.395487,-0.533921,0.800801
0.381545,-0.534051,0.813301
0.368052,-0.533235,0.825363
0.355235,-0.531297,0.836936
0.343248,-0.528163,0.848004
0.332066,-0.52395,0.858609
0.321575,-0.518863,0.868802
0.31162,-0.513116,0.878624
0.302082,-0.506884,0.88809
0.292901,-0.500281,0.897198
0.284029,-0.493381,0.905953
0.275449,-0.486238,0.914353
0.267166,-0.478887,0.922388
0.259186,-0.471368,0.930052
0.251522,-0.46373,0.937329
0.244187,-0.456058,0.944188
0.237198,-0.448435,0.950589
0.230615,-0.440888,0.956479
0.224571,-0.43349,0.961748
0.219239,-0.426409,0.966214
0.214848,-0.419805,0.969667
0.211688,-0.413722,0.971936
0.209988,-0.40817,0.97293
0.209719,-0.403159,0.972715
0.21055,-0.398661,0.971539
0.212054,-0.394599,0.969728
0.213885,-0.391017,0.967466
0.215812,-0.388049,0.964785
0.21761,-0.386172,0.961498
0.218945,-0.38624,0.95728
0.219577,-0.388648,0.952069
0.219845,-0.392751,0.946137
0.220867,-0.397673,0.939527
0.223856,-0.403129,0.931851
0.229244,-0.408956,0.922979
0.236598,-0.415021,0.913147
0.245163,-0.421129,0.90271
0.254292,-0.427048,0.891966
0.263525,-0.432625,0.881116
0.272605,-0.437811,0.870265
0.281382,-0.442674,0.859463
0.289788,-0.447303,0.848725
0.297803,-0.451805,0.838045
0.305374,-0.45637,0.827396
0.31243,-0.461222,0.816705
0.318879,-0.466556,0.805874
0.324421,-0.472595,0.794754
