lin_vel_X,lin_vel_Y,lin_vel_Z
1.145852274930803105e-05,1.620329749130178243e-05,-6.029053565725916997e-06
1.444935514882672578e-05,9.761389264895115048e-06,7.248502697621006519e-06
-1.693406193226110190e-05,-1.431457621947629377e-05,6.257722361624473706e-06
6.560544989042682573e-06,3.736422058864263818e-06,-6.866893272672314197e-06
-9.290013622376136482e-06,-7.591256235173204914e-06,-8.068990382525953464e-07
-1.763698761351406574e-03,-1.627851859666407108e-03,1.700813765637576580e-03
-1.247308403253555298e-02,-9.969296865165233612e-03,1.405500154942274094e-02
-1.376370806246995926e-02,-6.513798143714666367e-03,2.443114109337329865e-02
7.022981066256761551e-03,1.845945976674556732e-02,1.738062873482704163e-02
4.062825813889503479e-02,5.916494131088256836e-02,1.396856969222426414e-03
7.428212463855743408e-02,1.086226031184196472e-01,-2.082752808928489685e-02
1.037297546863555908e-01,1.575195938348770142e-01,-4.868806153535842896e-02
1.312120109796524048e-01,1.991676092147827148e-01,-9.013596922159194946e-02
1.530687361955642700e-01,2.245724797248840332e-01,-1.456438899040222168e-01
1.735636293888092041e-01,2.422381043434143066e-01,-1.970747560262680054e-01
1.904398053884506226e-01,2.514558732509613037e-01,-2.394474893808364868e-01
1.935028880834579468e-01,2.477892488241195679e-01,-2.676949501037597656e-01
1.902418732643127441e-01,2.424322813749313354e-01,-2.841438055038452148e-01
1.948739737272262573e-01,2.490489482879638672e-01,-2.971786260604858398e-01
2.115173190832138062e-01,2.693121433258056641e-01,-3.060102760791778564e-01
2.251124382019042969e-01,2.913938164710998535e-01,-3.078139126300811768e-01
2.330857217311859131e-01,3.056214749813079834e-01,-3.164976239204406738e-01
2.358089089393615723e-01,3.155581653118133545e-01,-3.115943372249603271e-01
2.377977222204208374e-01,3.314796090126037598e-01,-2.920798957347869873e-01
2.469666898250579834e-01,3.514554202556610107e-01,-2.818095982074737549e-01
2.541823685169219971e-01,3.672544062137603760e-01,-2.828232347965240479e-01
2.484863996505737305e-01,3.650788664817810059e-01,-2.919668257236480713e-01
2.358051687479019165e-01,3.533335030078887939e-01,-3.049997091293334961e-01
2.221619635820388794e-01,3.475377261638641357e-01,-2.959780395030975342e-01
2.135241329669952393e-01,3.566853106021881104e-01,-2.625760436058044434e-01
2.100219726562500000e-01,3.779707252979278564e-01,-2.146347165107727051e-01
2.146449685096740723e-01,4.068479835987091064e-01,-1.685321629047393799e-01
2.192669063806533813e-01,4.335859417915344238e-01,-1.227329745888710022e-01
2.132267355918884277e-01,4.570008218288421631e-01,-5.644356086850166321e-02
2.005981504917144775e-01,4.762671589851379395e-01,2.266735024750232697e-02
1.891407519578933716e-01,4.958715736865997314e-01,9.875728189945220947e-02
1.801000833511352539e-01,5.138424634933471680e-01,1.595123261213302612e-01
1.640499383211135864e-01,5.236988663673400879e-01,2.189241796731948853e-01
1.392796784639358521e-01,5.172421932220458984e-01,2.653452455997467041e-01
1.171566396951675415e-01,4.990410208702087402e-01,2.841308712959289551e-01
1.091490536928176880e-01,5.017913579940795898e-01,2.997290492057800293e-01
1.280821710824966431e-01,5.397928953170776367e-01,3.087471127510070801e-01
