joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398272,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787052,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398272,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398272,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787052,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787052,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787052,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787052,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787052,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787052,0.00398284,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398314,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398314,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398314,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.0039829,1.32646,1.23279,1.59157,-0.907683,1.57076
0.787051,0.00398302,1.32646,1.23279,1.59157,-0.907683,1.57076
