joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1.8612,-1.14253,-1.80918,-1.18364,1.9789,1.17027,-0.961923
1.86121,-1.14109,-1.80714,-1.18276,1.97726,1.17063,-0.961703
1.86189,-1.13399,-1.80626,-1.18552,1.98058,1.17057,-0.961889
1.86332,-1.13086,-1.82563,-1.19409,1.99425,1.16971,-0.958025
1.86279,-1.12307,-1.81945,-1.20601,2.00599,1.17693,-0.954898
1.86139,-1.12086,-1.81615,-1.21871,2.0135,1.18904,-0.966429
1.85993,-1.12202,-1.80845,-1.23013,2.01889,1.20032,-0.980835
1.8605,-1.13175,-1.80988,-1.23884,2.02376,1.2116,-0.992157
1.86336,-1.1368,-1.81008,-1.24699,2.03016,1.22169,-0.997723
1.8672,-1.1368,-1.80539,-1.25737,2.03754,1.23137,-0.999963
1.87083,-1.1341,-1.79921,-1.26979,2.04605,1.24121,-1.00174
1.87514,-1.13948,-1.80021,-1.28195,2.05669,1.25201,-1.00819
1.88032,-1.1442,-1.79782,-1.29216,2.06181,1.26453,-1.01572
1.88589,-1.14547,-1.79091,-1.30236,2.06393,1.27755,-1.02376
1.89204,-1.14772,-1.7836,-1.31134,2.0643,1.29057,-1.03157
1.8994,-1.15556,-1.78094,-1.32019,2.06533,1.30292,-1.03933
1.90704,-1.1616,-1.78097,-1.32995,2.06741,1.31443,-1.04656
1.91491,-1.16564,-1.7786,-1.34021,2.0639,1.32607,-1.0529
1.923,-1.16927,-1.77616,-1.35137,2.06374,1.3377,-1.05991
1.93008,-1.16947,-1.77362,-1.36131,2.06405,1.34976,-1.06599
1.93793,-1.17069,-1.77553,-1.36807,2.05701,1.36298,-1.07372
1.94563,-1.16977,-1.77652,-1.37628,2.05406,1.37546,-1.08016
1.95341,-1.17371,-1.78241,-1.38316,2.05118,1.38818,-1.08783
1.96139,-1.17853,-1.78642,-1.39234,2.0493,1.4007,-1.09414
1.9688,-1.18255,-1.79441,-1.39642,2.04595,1.41333,-1.10095
1.9774,-1.18718,-1.80019,-1.39987,2.04148,1.42564,-1.10657
1.98561,-1.18983,-1.80635,-1.40059,2.03686,1.43787,-1.11178
1.99466,-1.19484,-1.81134,-1.39908,2.03214,1.45031,-1.11835
2.00282,-1.19747,-1.81706,-1.39301,2.02627,1.46279,-1.12239
2.01133,-1.20456,-1.82484,-1.38706,2.02076,1.4751,-1.12952
2.01796,-1.21208,-1.83276,-1.38457,2.01504,1.4859,-1.13342
2.02535,-1.22167,-1.83862,-1.37984,2.00686,1.49617,-1.13762
2.03297,-1.22962,-1.84564,-1.3762,1.99937,1.50669,-1.14133
2.04021,-1.23642,-1.85056,-1.37145,1.99119,1.51628,-1.14573
2.04841,-1.24136,-1.85629,-1.3664,1.98344,1.52626,-1.15014
2.05606,-1.24592,-1.86195,-1.35975,1.97348,1.5362,-1.15453
2.06194,-1.25043,-1.86668,-1.35397,1.9652,1.54518,-1.15849
2.07044,-1.25688,-1.87255,-1.34739,1.95642,1.55569,-1.16244
2.07582,-1.26434,-1.87757,-1.33991,1.94809,1.56438,-1.16626
2.08287,-1.27093,-1.88592,-1.33217,1.93814,1.57365,-1.17012
2.08698,-1.27818,-1.88992,-1.32413,1.92915,1.58189,-1.1738
2.09337,-1.28372,-1.89683,-1.31587,1.91887,1.58998,-1.17768
2.09566,-1.28998,-1.89863,-1.309,1.91113,1.59782,-1.18068
2.10153,-1.29593,-1.90786,-1.29869,1.89902,1.60564,-1.18455
2.10247,-1.30219,-1.91097,-1.29065,1.89094,1.61342,-1.18761
2.10636,-1.30764,-1.92197,-1.27873,1.87735,1.61981,-1.19235
2.11263,-1.31532,-1.9218,-1.27165,1.86912,1.62918,-1.19391
2.10651,-1.32164,-1.92975,-1.26017,1.85716,1.63445,-1.19806
2.11654,-1.3287,-1.93531,-1.25024,1.84609,1.64169,-1.20014
2.11518,-1.33668,-1.93719,-1.24052,1.83657,1.64697,-1.20098
2.11974,-1.34373,-1.94332,-1.22954,1.82532,1.65239,-1.20382
2.12243,-1.3511,-1.94554,-1.21948,1.8156,1.65775,-1.20495
2.12786,-1.35906,-1.95085,-1.20817,1.80406,1.66255,-1.20742
2.12846,-1.36718,-1.9483,-1.19857,1.79524,1.66622,-1.20833
2.13045,-1.37482,-1.95099,-1.18789,1.78444,1.66971,-1.20982
2.13105,-1.38278,-1.95144,-1.1776,1.77378,1.67185,-1.2106
2.13281,-1.3904,-1.9522,-1.16676,1.76327,1.67342,-1.21328
2.13048,-1.39938,-1.94322,-1.15673,1.75566,1.67658,-1.2125
2.12965,-1.40816,-1.94022,-1.14487,1.74633,1.67877,-1.21502
2.13049,-1.41574,-1.93853,-1.13258,1.73562,1.68127,-1.218
2.13267,-1.4239,-1.93513,-1.12184,1.72614,1.68527,-1.22059
2.13527,-1.43394,-1.92728,-1.11442,1.72184,1.69082,-1.22245
2.13295,-1.44384,-1.9212,-1.10395,1.71237,1.69555,-1.22081
2.13724,-1.45065,-1.92183,-1.09001,1.69789,1.69615,-1.22156
2.13665,-1.45886,-1.91709,-1.08103,1.68919,1.6957,-1.22292
2.13377,-1.46871,-1.90951,-1.0754,1.68189,1.69103,-1.22383
2.13064,-1.4778,-1.90129,-1.07093,1.67657,1.68868,-1.22602
2.12761,-1.48795,-1.89579,-1.05859,1.66399,1.6895,-1.22647
2.13308,-1.49535,-1.89009,-1.04258,1.65478,1.70185,-1.23003
2.13113,-1.50269,-1.88308,-1.02754,1.64541,1.71052,-1.22833
2.1301,-1.50836,-1.87748,-1.01939,1.64162,1.71321,-1.22745
2.1213,-1.5184,-1.87223,-1.0136,1.63687,1.70427,-1.22689
2.11323,-1.52953,-1.86744,-1.00994,1.6277,1.68647,-1.22893
2.10888,-1.54074,-1.86382,-1.01368,1.61939,1.67726,-1.23432
2.10358,-1.54984,-1.85738,-0.991594,1.60315,1.67643,-1.23546
2.10262,-1.55399,-1.84846,-0.967926,1.60096,1.68639,-1.22796
2.10168,-1.55959,-1.83541,-0.953454,1.59075,1.71725,-1.2203
2.11114,-1.57036,-1.83442,-0.949056,1.61331,1.7293,-1.21983
2.10916,-1.58505,-1.83232,-0.952297,1.6257,1.71165,-1.2154
2.09308,-1.59662,-1.8293,-0.962037,1.60882,1.67926,-1.22662
2.08399,-1.6053,-1.82645,-1.01047,1.60452,1.65356,-1.23414
2.07879,-1.61406,-1.81901,-0.999612,1.58518,1.64941,-1.23811
2.07226,-1.62031,-1.84937,-0.967376,1.58361,1.65757,-1.21386
2.06881,-1.62853,-1.84896,-0.956315,1.58975,1.67013,-1.21278
2.07918,-1.63821,-1.80019,-0.974482,1.57136,1.72539,-1.21038
2.07486,-1.65046,-1.80341,-1.0085,1.58459,1.72088,-1.2265
2.04792,-1.66191,-1.84345,-1.02903,1.60454,1.68901,-1.25447
2.03484,-1.66928,-1.85952,-1.03867,1.62397,1.64862,-1.26047
2.02989,-1.68016,-1.86255,-1.04208,1.6374,1.64468,-1.25508
2.02657,-1.68787,-1.86674,-1.04239,1.63744,1.63832,-1.24386
2.01749,-1.68704,-1.85594,-1.03791,1.63133,1.64618,-1.23627
2.01458,-1.68582,-1.83122,-1.04217,1.60333,1.71028,-1.22337
2.01695,-1.69814,-1.8405,-1.04791,1.56792,1.71393,-1.25072
1.99858,-1.71206,-1.85202,-1.06696,1.58295,1.70081,-1.28091
1.98566,-1.72644,-1.86543,-1.08299,1.63808,1.68578,-1.28383
1.97797,-1.73881,-1.89615,-1.09774,1.6646,1.6685,-1.27662
1.9707,-1.74702,-1.90743,-1.10989,1.66855,1.66152,-1.26634
1.96548,-1.75448,-1.9115,-1.12161,1.6667,1.66968,-1.28108
1.96051,-1.76245,-1.91715,-1.1354,1.66157,1.69175,-1.2775
1.95004,-1.77374,-1.91949,-1.1482,1.65864,1.69444,-1.29483
1.93595,-1.78133,-1.92251,-1.16183,1.6567,1.69731,-1.3083
