joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0,1.19776e-05,-1.19994e-05,2.39771e-05,0,0,0
0.00281635,-0.00343956,-0.0127635,-0.0147649,0.00751669,0.0154121,-0.0158435
0.0638655,-0.0373078,-0.206673,-0.235508,0.233535,0.331624,-0.388994
0.124783,0.0355701,-0.260124,-0.580015,0.661335,0.896934,-0.951176
-0.00420657,0.0635539,-0.0835082,-0.914779,0.861179,1.16905,-1.09401
-0.124615,-0.0771204,0.203329,-1.12874,0.803634,1.04149,-0.914179
-0.124447,-0.307906,0.313551,-1.12318,0.821007,0.844034,-0.649717
0.0784387,-0.438574,0.148249,-1.10059,0.905455,0.746839,-0.396316
0.322839,-0.386273,0.0463082,-1.09039,1.00242,0.844897,-0.359668
0.41929,-0.3342,0.10828,-1.1127,1.04471,0.966216,-0.486727
0.389089,-0.428363,0.195216,-1.17484,1.01675,1.07162,-0.692885
0.431782,-0.596261,0.184205,-1.16138,0.968898,1.12341,-0.838445
0.565762,-0.586542,0.270514,-1.16104,0.920943,1.18539,-0.821308
0.593122,-0.563557,0.306082,-1.16314,0.894175,1.18173,-0.70498
0.64947,-0.639092,0.290898,-1.11162,0.910799,1.14575,-0.623201
0.748002,-0.682019,0.249026,-1.10009,0.919792,1.1436,-0.607323
0.778753,-0.660747,0.207634,-1.10903,0.866986,1.12825,-0.64083
0.846259,-0.658698,0.326503,-1.14364,0.730254,1.15673,-0.681995
0.808006,-0.686465,0.332063,-1.12257,0.576073,1.16591,-0.718678
0.756906,-0.714231,0.283361,-1.09896,0.458381,1.18646,-0.747607
0.874505,-0.627372,0.346492,-1.13202,0.281364,1.22241,-0.745617
0.813758,-0.559327,0.260603,-1.07785,0.145571,1.21233,-0.741651
0.866284,-0.550962,0.298101,-1.13668,0.0344371,1.2287,-0.726791
0.826054,-0.551118,0.164276,-1.07688,-0.0874924,1.24254,-0.714759
0.858176,-0.456419,0.108304,-1.02341,-0.221321,1.24756,-0.710598
0.909793,-0.3999,-0.0246881,-1.00592,-0.326209,1.2836,-0.709316
0.874738,-0.383589,-0.202443,-0.901991,-0.371233,1.28837,-0.705121
0.964287,-0.338287,-0.296629,-0.884961,-0.427339,1.29025,-0.695258
0.916372,-0.291559,-0.46476,-0.756223,-0.481797,1.31405,-0.684196
1.01145,-0.253101,-0.492312,-0.685754,-0.562352,1.3072,-0.642682
0.938232,-0.236886,-0.604979,-0.436045,-0.619034,1.30417,-0.616867
1.04177,-0.241596,-0.616855,-0.311238,-0.696847,1.30847,-0.581873
1.01726,-0.262617,-0.720306,-0.035642,-0.752302,1.28514,-0.55903
1.11029,-0.288539,-0.703456,0.105692,-0.802579,1.26093,-0.541844
1.06302,-0.299925,-0.771444,0.296845,-0.837632,1.24313,-0.50782
1.08293,-0.324517,-0.745533,0.373558,-0.890325,1.1819,-0.458072
1.0349,-0.364252,-0.724298,0.51247,-0.917089,1.13815,-0.424136
1.0119,-0.407586,-0.711547,0.575421,-0.948784,1.09405,-0.409504
0.972953,-0.474517,-0.665768,0.66487,-0.969281,1.04728,-0.402097
0.964996,-0.535611,-0.632944,0.694782,-1.00834,1.01198,-0.392295
0.91851,-0.557997,-0.623429,0.769753,-1.01913,0.9585,-0.38061
0.912218,-0.557997,-0.559686,0.788388,-1.02692,0.948086,-0.36919
0.842424,-0.612931,-0.574774,0.838721,-1.02341,0.923795,-0.365942
0.852694,-0.622087,-0.560106,0.853976,-1.03626,0.892637,-0.35874
0.769394,-0.615328,-0.583906,0.930314,-1.03676,0.860639,-0.355348
0.819379,-0.623441,-0.501996,0.902955,-1.04143,0.81655,-0.340632
0.697801,-0.67647,-0.561077,0.941747,-1.03785,0.794428,-0.331764
0.695596,-0.663348,-0.523818,0.972018,-1.04352,0.746336,-0.326647
0.669795,-0.661119,-0.538007,0.961844,-1.05906,0.738044,-0.335814
0.604367,-0.673195,-0.55154,1.01797,-1.07412,0.711209,-0.322827
0.576959,-0.656572,-0.535696,1.00656,-1.09073,0.685527,-0.309297
0.514735,-0.680685,-0.550737,1.03114,-1.10074,0.659065,-0.296197
0.497801,-0.68434,-0.503482,1.02561,-1.11402,0.622105,-0.245635
0.431419,-0.679618,-0.494793,1.06743,-1.11648,0.568462,-0.220515
0.393536,-0.699201,-0.454861,1.04692,-1.11989,0.541976,-0.195935
0.379502,-0.728767,-0.416438,1.06725,-1.11207,0.49737,-0.182249
0.335662,-0.698841,-0.32653,1.09692,-1.11048,0.449563,-0.161168
0.254827,-0.765332,-0.284812,1.0786,-1.09652,0.406227,-0.137175
0.21964,-0.779749,-0.182584,1.10455,-1.08386,0.341139,-0.116022
0.175825,-0.76472,-0.111276,1.09696,-1.08497,0.271485,-0.117245
0.149735,-0.800722,0.0421256,1.0689,-1.07435,0.208902,-0.0866361
0.0568758,-0.821871,0.194835,1.08757,-1.04569,0.165367,-0.086632
0.000311578,-0.903949,0.259345,1.08843,-1.02036,0.136222,-0.121565
0.0325484,-0.868369,0.363833,1.07424,-1.01727,0.131979,-0.147223
0.0222302,-0.864558,0.448104,1.10581,-0.97185,0.175445,-0.165271
-0.00246869,-0.905915,0.511811,1.05804,-0.91753,0.234622,-0.11326
-0.0609983,-0.884967,0.547163,1.11311,-0.894079,0.253017,-0.0921566
-0.062748,-0.916185,0.532315,1.09209,-0.911049,0.215459,-0.0815028
-0.0717,-0.803128,0.59583,1.09654,-0.913982,0.105039,-0.0833124
-0.0989155,-0.872863,0.61993,1.00288,-0.868673,-0.0100186,-0.09411
-0.172329,-0.839787,0.669735,0.962395,-0.833335,-0.0319252,-0.101456
-0.18635,-0.887831,0.697849,0.931872,-0.836691,0.0558572,-0.13017
-0.142633,-0.868848,0.734197,0.956104,-0.866794,0.212463,-0.0990234
-0.108635,-0.860304,0.716484,1.06203,-0.85575,0.339397,-0.0461382
-0.0947736,-0.904795,0.697991,1.06336,-0.785667,0.25243,-0.0127995
-0.132717,-0.837359,0.697463,1.05078,-0.720299,-0.00291224,-0.0299493
-0.204564,-0.851584,0.6379,0.780192,-0.691766,-0.261898,-0.102647
-0.314977,-0.732554,0.66773,0.630194,-0.694412,-0.442325,-0.149267
-0.445944,-0.768711,0.631405,0.671241,-0.739033,-0.336837,-0.0417181
-0.381,-0.815235,0.66266,0.80397,-0.779358,-0.0223631,0.0991719
-0.27085,-0.832685,0.715224,1.07685,-0.623559,0.358349,0.186587
-0.15629,-0.952038,0.612062,1.09406,-0.249681,0.514651,0.241165
